000715 中兴商业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.25	3.32	3.19	3.32	231700	1729585.88
2000/01/05	3.32	3.46	3.28	3.35	373100	2844040.00
2000/01/06	3.35	3.55	3.34	3.55	521200	4055716.25
2000/01/07	3.58	3.72	3.58	3.72	1196000	9692453.00
2000/01/10	3.72	3.93	3.70	3.85	1407300	11738677.00
2000/01/11	3.87	3.90	3.55	3.59	983900	8088618.00
2000/01/12	3.49	4.02	3.49	3.74	2077600	17403538.00
2000/01/13	3.71	3.74	3.54	3.54	527100	4221249.00
2000/01/14	3.58	3.58	3.34	3.38	440600	3404582.00
2000/01/17	3.34	3.54	3.26	3.52	302200	2326492.75
2000/01/18	3.52	3.70	3.49	3.58	373100	2986809.00
2000/01/19	3.58	3.61	3.49	3.55	244900	1937357.13
2000/01/20	3.67	3.67	3.51	3.58	280600	2237294.75
2000/01/21	3.61	3.81	3.56	3.67	895900	7333773.00
2000/01/24	3.61	3.72	3.52	3.58	468200	3730305.50
2000/01/25	3.64	3.75	3.58	3.71	553400	4483358.50
2000/01/26	3.68	3.71	3.56	3.66	282300	2272351.00
2000/01/27	3.61	4.07	3.61	3.69	1004300	8315801.00
2000/01/28	3.67	3.89	3.67	3.78	958300	7995392.00
2000/02/14	3.89	4.26	3.87	4.20	2438000	21802654.00
2000/02/15	4.42	4.74	4.39	4.45	7447400	72557632.00
2000/02/16	4.45	4.91	4.29	4.90	4610800	44294436.00
2000/02/17	5.01	5.29	4.31	4.32	5493700	55635952.00
2000/02/18	4.26	4.49	4.11	4.45	2003600	18285586.00
2000/02/21	4.49	4.55	4.20	4.32	2127500	19587194.00
2000/02/22	4.38	4.42	4.07	4.08	1266100	11543654.00
2000/02/23	4.04	4.04	3.86	3.87	1138400	9733675.00
2000/02/24	3.87	4.05	3.84	4.05	594900	5098576.00
2000/02/25	4.05	4.05	3.89	3.91	710800	6073516.00
2000/02/28	3.87	4.35	3.87	4.25	1447000	12813248.00
2000/02/29	4.25	4.26	3.96	4.13	941800	8313646.50
2000/03/01	4.08	4.20	4.02	4.14	1004800	8880487.00
2000/03/02	4.51	4.67	4.48	4.67	2499700	24438314.00
2000/03/03	5.04	5.04	4.55	4.58	7617200	75923472.00
2000/03/06	4.67	4.98	4.55	4.76	7802400	78151688.00
2000/03/07	4.68	4.73	4.32	4.62	2496000	23867246.00
2000/03/08	4.66	4.73	4.49	4.73	1539900	15032820.00
2000/03/09	4.73	4.79	4.53	4.55	1367500	13255441.00
2000/03/10	4.58	4.76	4.19	4.26	2217800	20734274.00
2000/03/13	4.27	4.40	4.21	4.38	1392600	12768941.00
2000/03/14	4.20	4.26	4.07	4.23	1999700	17797016.00
2000/03/15	4.20	4.41	4.20	4.35	1185500	10865957.00
2000/03/16	4.33	4.33	3.93	3.99	1107600	9769250.00
2000/03/17	3.91	4.13	3.91	4.12	865800	7607681.50
2000/03/20	3.61	4.17	3.61	4.04	3428600	29518474.00
2000/03/21	4.04	4.38	3.96	4.29	3116200	27943834.00
2000/03/22	4.29	4.44	4.14	4.42	2558400	23393784.00
2000/03/23	4.46	4.55	4.36	4.52	3028900	28665662.00
2000/03/24	4.57	4.64	4.32	4.36	3217500	30621178.00
2000/03/27	4.36	4.79	4.36	4.79	4745400	46605896.00
2000/03/28	4.91	4.96	4.67	4.75	3836400	38440356.00
2000/03/29	4.79	4.85	4.52	4.61	1856700	18043724.00
2000/03/30	4.67	4.72	4.56	4.70	1467700	14318671.00
2000/03/31	4.46	4.49	4.39	4.41	1896900	17858342.00
2000/04/03	4.39	4.49	4.26	4.43	1757700	16389727.00
2000/04/04	4.36	4.42	4.20	4.22	1155600	10615117.00
2000/04/05	4.20	4.35	4.18	4.33	946900	8640064.00
2000/04/06	4.32	4.52	4.32	4.50	1378100	13011642.00
2000/04/07	4.55	4.67	4.54	4.62	1729800	16733001.00
2000/04/10	4.62	4.76	4.57	4.59	1772500	17365866.00
2000/04/11	4.59	4.84	4.59	4.81	2976100	29355454.00
2000/04/12	4.85	4.91	4.62	4.71	3067700	30603604.00
2000/04/13	4.71	5.29	4.71	5.29	6997400	73456440.00
2000/04/14	5.57	5.62	5.14	5.19	14148000	156290928.00
2000/04/17	5.13	5.82	5.03	5.70	12126000	137411104.00
2000/04/18	5.61	5.79	5.29	5.55	4635500	52253980.00
2000/04/19	5.51	5.55	5.25	5.31	3516000	38438876.00
2000/04/20	5.26	5.50	5.19	5.45	2831000	30884096.00
2000/04/21	5.49	5.54	5.06	5.13	2432600	26269780.00
2000/04/24	5.14	5.14	4.88	4.91	2689300	27770320.00
2000/04/25	4.97	5.23	4.93	5.07	1809600	18961338.00
2000/04/26	5.06	5.09	4.94	4.97	966400	10000820.00
2000/04/27	4.98	5.26	4.98	5.09	2086300	22067952.00
2000/04/28	5.06	5.23	5.00	5.04	1568200	16540355.00
2000/05/08	5.04	5.32	5.03	5.21	1404800	15066072.00
2000/05/10	4.79	5.03	4.58	4.58	1388500	13733181.00
2000/05/11	4.49	4.67	4.22	4.26	1413500	13181721.00
2000/05/12	4.27	4.41	4.23	4.25	1054300	9668785.00
2000/05/15	4.27	4.33	4.05	4.11	819400	7301886.50
2000/05/16	4.22	4.29	4.13	4.27	567500	5140586.50
2000/05/17	4.32	4.32	4.17	4.23	638200	5784372.50
2000/05/18	4.19	4.39	4.19	4.38	572800	5273706.00
2000/05/19	4.38	4.46	4.31	4.46	1009200	9379438.00
2000/05/22	4.43	4.67	4.38	4.62	1464600	14092459.00
2000/05/23	4.62	4.75	4.43	4.65	1490600	14325655.00
2000/05/24	4.67	4.74	4.55	4.59	1146500	11231958.00
2000/05/25	4.61	4.90	4.61	4.87	1925500	19163914.00
