000738 航发控制 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.58	3.67	3.57	3.66	315000	1619171.13
2000/01/05	3.66	3.73	3.60	3.61	583100	3020763.25
2000/01/06	3.62	3.74	3.59	3.71	839800	4364014.50
2000/01/07	3.75	3.89	3.75	3.85	2022500	10879848.00
2000/01/10	3.90	3.97	3.75	3.89	1860500	10147531.00
2000/01/11	3.90	3.94	3.68	3.71	1164700	6254551.00
2000/01/12	3.70	3.75	3.61	3.64	639600	3312459.75
2000/01/13	3.68	3.68	3.58	3.60	441800	2258219.25
2000/01/14	3.57	3.60	3.51	3.53	538100	2705926.00
2000/01/17	3.53	3.58	3.48	3.57	422400	2120792.50
2000/01/18	3.57	3.60	3.50	3.53	713200	3571543.50
2000/01/19	3.53	3.57	3.50	3.53	493600	2469143.00
2000/01/20	3.54	3.90	3.50	3.90	12317200	64245272.00
2000/01/21	3.90	3.97	3.74	3.77	7639300	41214724.00
2000/01/24	3.80	3.83	3.65	3.74	2397200	12600655.00
2000/01/25	3.80	3.83	3.71	3.80	1895200	10099705.00
2000/01/26	3.79	3.81	3.68	3.71	1098400	5782369.00
2000/01/27	3.71	3.75	3.60	3.63	2274500	11716654.00
2000/01/28	3.63	3.71	3.55	3.70	2006200	10221710.00
2000/02/14	3.75	4.01	3.73	3.96	4045700	22142396.00
2000/02/15	3.97	3.99	3.77	3.77	4863900	26502742.00
2000/02/16	3.74	3.95	3.66	3.88	3836200	20281142.00
2000/02/17	3.91	4.23	3.79	3.94	6201600	34721704.00
2000/02/18	3.93	3.94	3.69	3.83	2843100	15247568.00
2000/02/21	3.90	3.92	3.74	3.89	2803500	15214079.00
2000/02/22	3.96	4.20	3.83	3.83	4385800	24817496.00
2000/02/23	3.81	4.03	3.79	3.89	2139400	11705662.00
2000/02/24	3.90	4.09	3.83	4.02	4506200	25417610.00
2000/02/25	4.11	4.12	4.02	4.06	3949400	22553924.00
2000/02/28	4.12	4.41	4.12	4.32	7924900	47637536.00
2000/02/29	4.34	4.40	4.14	4.24	4687600	27924642.00
2000/03/01	4.24	4.34	4.09	4.13	3075700	18126806.00
2000/03/02	4.11	4.16	4.04	4.08	2151000	12357228.00
2000/03/03	4.11	4.23	4.04	4.14	2589800	15004755.00
2000/03/06	4.23	4.23	3.94	3.97	2763900	15849551.00
2000/03/07	3.96	4.01	3.86	4.00	1955100	10811350.00
2000/03/08	4.01	4.03	3.91	3.97	1364000	7601577.00
2000/03/09	3.97	3.97	3.90	3.93	1417800	7845746.00
2000/03/10	3.92	4.01	3.88	3.97	1814600	10091052.00
2000/03/13	3.97	4.08	3.94	4.06	1581200	8903006.00
2000/03/14	4.03	4.04	3.79	4.01	2006200	11090299.00
2000/03/15	3.94	4.16	3.94	4.07	2298700	13177661.00
2000/03/16	4.05	4.07	3.84	3.86	1477500	8159913.00
2000/03/17	3.83	3.93	3.79	3.88	1183000	6460216.00
2000/03/20	3.86	4.05	3.79	4.03	1830000	10263774.00
2000/03/21	4.03	4.20	3.96	4.20	5055300	29509768.00
2000/03/22	4.20	4.23	4.09	4.12	1727300	10014475.00
2000/03/23	4.12	4.20	4.07	4.20	2840000	16602206.00
2000/03/24	4.23	4.26	4.05	4.06	3010600	17660652.00
2000/03/27	4.06	4.33	4.06	4.26	3699500	22051970.00
2000/03/28	4.31	4.54	4.31	4.47	7735800	48290396.00
2000/03/29	4.49	4.52	4.29	4.36	3595400	22012102.00
2000/03/30	4.36	4.56	4.34	4.49	2846500	17887758.00
2000/03/31	4.49	4.74	4.43	4.56	7601500	49017668.00
2000/04/03	4.63	4.79	4.54	4.66	7332200	47940948.00
2000/04/04	4.66	4.66	4.38	4.39	3285200	20588970.00
2000/04/05	4.34	4.49	4.31	4.43	2115000	13054964.00
2000/04/06	4.44	4.50	4.39	4.49	2186800	13624781.00
2000/04/07	4.44	4.67	4.41	4.64	4314400	27480138.00
2000/04/10	4.64	4.85	4.64	4.78	5606100	37374040.00
2000/04/11	4.79	4.83	4.60	4.63	3668900	24182492.00
2000/04/12	4.63	4.77	4.54	4.77	3674800	24071264.00
2000/04/13	4.79	4.83	4.70	4.74	3302900	22044256.00
2000/04/14	4.75	5.01	4.57	4.99	7008300	47246100.00
2000/04/17	5.01	5.23	4.86	5.06	18664400	132518656.00
2000/04/18	5.03	5.09	4.86	5.03	5114700	35674844.00
2000/04/19	5.03	5.06	4.92	4.97	2679400	18608014.00
2000/04/20	4.97	5.16	4.79	4.94	4786400	33578600.00
2000/04/21	4.94	5.00	4.86	4.88	3805100	25999730.00
2000/04/24	4.84	4.89	4.70	4.72	3215000	21486000.00
2000/04/25	4.71	4.86	4.70	4.83	2177400	14596157.00
2000/04/26	4.85	4.90	4.74	4.76	1610000	10769024.00
2000/04/27	4.79	4.80	4.42	4.57	1975200	12825134.00
2000/04/28	4.56	4.64	4.46	4.60	1867200	11887694.00
2000/05/08	4.60	4.64	4.46	4.55	1389400	8833928.00
2000/05/09	4.55	4.55	4.45	4.48	1436900	9036896.00
2000/05/10	4.45	4.46	4.25	4.26	2004000	12194809.00
2000/05/11	4.23	4.34	4.11	4.12	1333900	7839737.00
2000/05/12	4.12	4.23	4.11	4.16	1014300	5929512.00
2000/05/15	4.16	4.22	4.12	4.19	767300	4509774.50
2000/05/17	4.23	4.37	4.20	4.34	1691900	10250916.00
2000/05/18	4.34	4.53	4.27	4.47	3346100	20846940.00
2000/05/19	4.49	4.52	4.37	4.42	1462200	9099808.00
2000/05/22	4.46	4.53	4.40	4.49	1710300	10745954.00
2000/05/23	4.49	4.64	4.47	4.63	2463900	15846090.00
2000/05/24	4.70	4.83	4.63	4.64	5345200	35340520.00
2000/05/25	4.67	4.78	4.49	4.74	2441700	15974161.00
2000/05/26	4.73	4.79	4.58	4.63	2038800	13332848.00
2000/05/29	4.64	4.74	4.57	4.68	2399600	15613162.00
2000/05/30	4.68	4.74	4.54	4.54	1557100	10081273.00
