000739 普洛药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.30	1.46	1.30	1.45	1229500	10740553.00
2000/01/05	1.45	1.54	1.42	1.49	2131200	19342616.00
2000/01/06	1.49	1.61	1.45	1.61	3204000	30120580.00
2000/01/07	1.66	1.78	1.62	1.73	6522000	66073956.00
2000/01/10	1.76	1.77	1.65	1.73	4102500	41511992.00
2000/01/11	1.73	1.83	1.67	1.71	4357000	44835640.00
2000/01/12	1.69	1.76	1.60	1.61	2726100	27047432.00
2000/01/13	1.61	1.65	1.51	1.52	1562900	14525367.00
2000/01/14	1.52	1.56	1.43	1.44	1229200	11089909.00
2000/01/17	1.45	1.55	1.42	1.53	1020900	9191114.00
2000/01/18	1.54	1.56	1.46	1.47	878100	7957514.50
2000/01/19	1.46	1.50	1.46	1.47	637100	5705129.50
2000/01/20	1.47	1.54	1.46	1.53	1010300	9180205.00
2000/01/21	1.55	1.61	1.46	1.54	2210300	20590100.00
2000/01/24	1.54	1.60	1.49	1.56	1647100	15257923.00
2000/01/25	1.57	1.71	1.52	1.70	2466700	23535460.00
2000/01/26	1.69	1.76	1.65	1.70	4420500	44766900.00
2000/01/27	1.79	1.91	1.77	1.91	6460500	70564848.00
2000/01/28	2.14	2.14	2.14	2.14	3631100	44191180.00
2000/02/14	2.39	2.39	2.39	2.39	791600	10599886.00
2000/02/15	2.66	2.66	2.66	2.66	2075800	30577374.00
2000/02/16	2.96	2.96	2.66	2.96	27719200	432852864.00
2000/02/17	3.23	3.29	2.63	2.63	18121400	295894112.00
2000/02/18	2.45	2.92	2.33	2.91	8563200	127039224.00
2000/02/21	2.87	2.91	2.59	2.59	8453400	126823800.00
2000/02/22	2.49	2.69	2.39	2.44	5198900	72790592.00
2000/02/23	2.33	2.43	2.16	2.16	5237300	66997416.00
2000/02/24	2.14	2.33	2.12	2.32	3626200	46048144.00
2000/02/25	2.32	2.42	2.22	2.29	3372200	43903684.00
2000/02/28	2.29	2.51	2.20	2.50	5116400	68605064.00
2000/02/29	2.51	2.53	2.29	2.34	4172300	55689808.00
2000/03/01	2.34	2.34	2.24	2.28	2271400	29258102.00
2000/03/02	2.27	2.39	2.26	2.34	1853000	24253388.00
2000/03/03	2.37	2.43	2.34	2.39	2907500	39025048.00
2000/03/06	2.43	2.45	2.13	2.15	2723800	34952996.00
2000/03/07	2.10	2.26	2.10	2.25	2017400	24861172.00
2000/03/08	2.22	2.31	2.18	2.27	1361400	17366142.00
2000/03/09	2.33	2.53	2.31	2.43	6652600	91480280.00
2000/03/10	2.41	2.54	2.32	2.34	2605200	35157136.00
2000/03/13	2.31	2.38	2.31	2.36	986200	13003434.00
2000/03/14	2.22	2.30	2.18	2.26	2295500	29095324.00
2000/03/15	2.24	2.30	2.18	2.21	1852400	23197300.00
2000/03/16	2.20	2.20	2.02	2.03	2041800	24310760.00
2000/03/17	2.03	2.16	2.02	2.13	1644300	19730206.00
2000/03/20	2.10	2.18	2.02	2.17	1263100	15374473.00
2000/03/21	2.17	2.17	2.10	2.14	1007500	12249844.00
2000/03/22	2.14	2.30	2.13	2.22	1376600	17349320.00
2000/03/23	2.23	2.24	2.14	2.24	1159900	14476103.00
2000/03/24	2.26	2.30	2.14	2.16	1432100	18079228.00
2000/03/27	2.16	2.22	2.11	2.18	1413900	17403412.00
2000/03/28	2.18	2.31	2.18	2.31	2857100	36603812.00
2000/03/29	2.40	2.40	2.25	2.30	2081500	27288552.00
2000/03/30	2.31	2.37	2.25	2.32	1468900	19097874.00
2000/03/31	2.34	2.36	2.25	2.26	1138200	14685354.00
2000/04/03	2.24	2.33	2.20	2.26	1011100	12992290.00
2000/04/04	2.22	2.32	2.20	2.23	1063900	13653697.00
2000/04/05	2.23	2.25	2.16	2.19	967400	12043743.00
2000/04/06	2.20	2.24	2.14	2.24	753100	9437158.00
2000/04/07	2.24	2.27	2.22	2.25	891600	11327634.00
2000/04/10	2.25	2.27	2.18	2.21	1103500	13762233.00
2000/04/11	2.22	2.31	2.17	2.31	1495000	18969596.00
2000/04/12	2.35	2.35	2.20	2.23	1005900	12886778.00
2000/04/13	2.25	2.29	2.18	2.23	667100	8476288.00
2000/04/14	2.22	2.22	2.18	2.20	792200	9895792.00
2000/04/17	2.18	2.18	2.10	2.13	1092100	13295070.00
2000/04/18	2.13	2.17	2.12	2.15	493700	6035453.50
2000/04/19	2.16	2.16	2.14	2.15	532200	6505456.50
2000/04/20	2.14	2.15	2.12	2.14	893900	10873078.00
2000/04/21	2.14	2.22	2.13	2.17	736800	9124895.00
2000/04/24	2.16	2.16	2.11	2.12	716500	8671844.00
2000/04/25	2.13	2.13	2.07	2.09	596400	7120189.50
2000/04/26	2.10	2.13	2.07	2.08	509200	6072689.50
2000/04/27	2.08	2.12	2.06	2.07	539400	6419781.00
2000/04/28	2.08	2.15	2.07	2.12	683500	8235398.00
2000/05/08	2.11	2.12	2.04	2.04	654400	7734710.50
2000/05/09	2.04	2.05	1.95	1.99	738300	8435275.00
2000/05/10	1.96	1.97	1.87	1.87	655200	7274369.00
2000/05/11	1.88	1.92	1.83	1.83	536300	5849069.00
2000/05/12	1.84	1.87	1.74	1.75	903300	9418754.00
2000/05/15	1.75	1.77	1.69	1.71	624900	6311372.50
2000/05/16	1.72	1.77	1.71	1.76	448600	4617741.00
2000/05/17	1.76	1.84	1.75	1.79	686100	7269699.50
2000/05/18	1.78	1.81	1.73	1.81	338700	3523526.00
2000/05/19	1.82	1.82	1.77	1.82	492300	5200158.00
2000/05/22	1.82	1.98	1.81	1.95	1083000	11950908.00
2000/05/23	1.96	1.99	1.87	1.92	770800	8605190.00
2000/05/24	1.91	2.09	1.87	2.02	1062800	12193551.00
2000/05/25	2.04	2.08	2.00	2.08	1129600	13201553.00
2000/05/26	2.10	2.12	2.02	2.08	1358000	16119538.00
2000/05/29	2.08	2.15	2.06	2.13	1598100	19294362.00
2000/05/30	2.13	2.18	2.06	2.06	1904300	23096362.00
2000/05/31	2.04	2.10	2.02	2.10	827600	9829935.00
2000/06/01	2.11	2.16	2.08	2.16	973400	11711497.00
2000/06/02	2.16	2.22	2.14	2.15	4657000	57637604.00
2000/06/05	2.15	2.16	2.02	2.03	1526800	17985500.00
2000/06/06	2.03	2.07	2.02	2.05	660500	7751813.00
2000/06/07	2.06	2.09	2.06	2.07	528800	6278144.50
2000/06/08	2.07	2.07	2.00	2.01	897400	10377920.00
2000/06/09	2.02	2.02	1.94	1.97	731300	8304698.00
2000/06/12	1.97	1.97	1.86	1.92	711200	7867544.50
2000/06/13	1.95	1.95	1.92	1.95	509900	5713027.00
2000/06/14	1.95	1.98	1.90	1.93	711000	7971858.50
2000/06/15	1.93	2.01	1.90	2.01	542400	6086845.50
2000/06/16	2.03	2.04	1.98	1.98	454000	5241508.50
2000/06/19	1.97	1.97	1.92	1.94	400400	4481291.50
2000/06/20	1.94	1.98	1.92	1.92	297000	3327278.75
2000/06/21	1.93	1.99	1.92	1.97	342400	3863506.00
2000/06/22	1.98	1.99	1.94	1.94	259800	2927281.25
2000/06/23	1.94	1.96	1.92	1.95	497800	5573053.00
2000/06/26	1.96	1.96	1.92	1.93	779800	8714712.00
2000/06/27	1.93	1.95	1.90	1.91	884500	9823581.00
