000776 广发证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.93	1.03	0.90	0.99	449600	6277636.50
2000/01/05	0.99	1.09	0.93	0.98	364300	5141609.00
2000/01/06	0.99	1.16	0.96	1.15	532600	7559850.50
2000/01/07	1.19	1.39	1.19	1.34	1675300	25061638.00
2000/01/10	1.38	1.44	1.23	1.43	1592000	23937290.00
2000/01/11	1.49	1.51	1.13	1.16	1132600	16908922.00
2000/01/12	1.16	1.26	1.03	1.05	715100	10233680.00
2000/01/13	1.05	1.12	1.00	1.05	354700	5031157.00
2000/01/14	1.05	1.09	0.98	0.99	416000	5885432.00
2000/01/17	0.98	1.45	0.98	1.41	2099600	31440366.00
2000/01/18	1.49	1.86	1.41	1.46	3952500	62490004.00
2000/01/19	1.45	1.55	1.33	1.51	1287000	19836036.00
2000/01/20	1.49	1.69	1.46	1.66	1822600	28875048.00
2000/01/21	1.68	1.72	1.53	1.53	1540800	24318328.00
2000/01/24	1.59	1.59	1.36	1.46	1554600	23760928.00
2000/01/25	1.46	1.66	1.39	1.54	1369500	21459120.00
2000/01/26	1.53	1.65	1.46	1.62	805700	12695053.00
2000/01/27	1.63	1.75	1.52	1.56	1230900	19477584.00
2000/01/28	1.59	1.66	1.44	1.57	1378300	21445574.00
2000/02/14	1.66	1.99	1.64	1.99	2444000	40569680.00
2000/02/15	1.99	2.02	1.57	1.63	2935800	48492768.00
2000/02/16	1.56	1.64	1.34	1.44	2575000	39592576.00
2000/02/17	1.43	1.83	1.36	1.44	2636200	41260728.00
2000/02/18	1.44	1.64	1.39	1.43	1140300	17659790.00
2000/02/21	1.47	1.62	1.36	1.53	1495500	23033600.00
2000/02/22	1.58	1.76	1.43	1.46	1823100	29038378.00
2000/02/23	1.43	1.53	1.29	1.32	1150400	17437194.00
2000/02/24	1.32	1.41	1.29	1.39	733200	11053718.00
2000/02/25	1.39	1.42	1.26	1.29	981500	14600162.00
2000/02/28	1.29	1.38	1.19	1.35	1265100	18839406.00
2000/02/29	1.38	1.39	1.16	1.29	1578100	23357398.00
2000/03/01	1.30	1.46	1.23	1.36	982200	14845928.00
2000/03/02	1.36	1.40	1.25	1.30	769700	11485118.00
2000/03/03	1.29	1.39	1.28	1.39	955100	14399365.00
2000/03/06	1.43	1.66	1.42	1.46	2082100	32579622.00
2000/03/07	1.41	1.52	1.33	1.44	679800	10325777.00
2000/03/08	1.44	1.49	1.33	1.34	970200	14694497.00
2000/03/09	1.34	1.38	1.25	1.28	1163900	17283226.00
2000/03/10	1.29	1.31	1.19	1.21	749200	11030136.00
2000/03/13	1.33	1.65	1.33	1.62	4029400	63002488.00
2000/03/14	1.62	1.62	1.39	1.50	1904200	29407416.00
2000/03/15	1.53	1.59	1.50	1.54	905300	14162525.00
2000/03/16	1.53	1.53	1.23	1.30	913000	13801534.00
2000/03/17	1.28	1.41	1.26	1.39	737100	11099982.00
2000/03/20	1.33	1.49	1.19	1.45	909200	13832007.00
2000/03/21	1.47	1.49	1.36	1.49	831600	12743021.00
2000/03/22	1.49	1.59	1.45	1.56	1283100	20054146.00
2000/03/23	1.55	1.65	1.53	1.63	1862500	29450458.00
2000/03/24	1.66	1.72	1.52	1.52	1521500	24127232.00
2000/03/27	1.53	1.82	1.53	1.77	2669700	42944324.00
2000/03/28	1.79	1.84	1.65	1.73	1439100	23266928.00
2000/03/29	1.79	1.83	1.59	1.64	1242000	19910300.00
2000/03/30	1.63	1.73	1.63	1.66	1128300	18084142.00
2000/03/31	1.67	1.69	1.59	1.61	1065800	16919022.00
2000/04/03	1.61	1.69	1.52	1.60	1146900	18199658.00
2000/04/04	1.53	1.58	1.52	1.53	666300	10430180.00
2000/04/05	1.53	1.63	1.52	1.58	554200	8708445.00
2000/04/06	1.59	1.73	1.59	1.70	1257900	20114274.00
2000/04/07	1.76	1.79	1.68	1.75	1300900	21064026.00
2000/04/10	1.76	1.95	1.76	1.88	2150000	35763312.00
2000/04/11	1.89	1.91	1.78	1.79	1030100	16945992.00
2000/04/12	1.77	1.83	1.63	1.68	1121100	18099504.00
2000/04/13	1.67	1.78	1.66	1.71	728700	11776769.00
2000/04/14	1.74	1.76	1.66	1.74	750200	12073593.00
2000/04/17	1.72	1.72	1.59	1.65	898300	14343871.00
2000/04/18	1.62	1.71	1.56	1.70	588500	9416263.00
2000/04/19	1.71	1.82	1.70	1.76	903300	14730366.00
2000/04/20	1.79	1.86	1.75	1.83	1489700	24512136.00
2000/04/21	1.82	1.86	1.70	1.72	819200	13399652.00
2000/04/24	1.76	1.88	1.72	1.83	1031700	16970686.00
