000795 英洛华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.55	2.60	2.52	2.58	488600	3079583.75
2000/01/05	2.57	2.64	2.57	2.59	710900	4588502.00
2000/01/06	2.59	2.70	2.56	2.69	801400	5238927.50
2000/01/07	2.71	2.77	2.69	2.77	1678900	11551913.00
2000/01/10	2.82	2.96	2.76	2.93	2350500	17015172.00
2000/01/11	2.93	2.94	2.75	2.77	1731600	12424612.00
2000/01/12	2.75	2.80	2.67	2.69	990700	6739602.50
2000/01/13	2.68	2.74	2.64	2.69	678400	4545760.50
2000/01/14	2.69	2.72	2.63	2.64	374200	2480345.50
2000/01/17	2.62	2.68	2.60	2.66	351300	2303064.50
2000/01/18	2.67	2.68	2.62	2.63	328900	2162528.50
2000/01/19	2.62	2.66	2.62	2.65	344100	2262725.00
2000/01/20	2.67	2.72	2.63	2.70	492000	3289515.50
2000/01/21	2.70	2.72	2.64	2.67	679200	4502785.50
2000/01/24	2.65	2.65	2.54	2.61	929900	5961966.50
2000/01/25	2.62	2.76	2.62	2.69	1054900	7111382.50
2000/01/26	2.68	2.73	2.65	2.71	784900	5328026.00
2000/01/27	2.72	2.85	2.68	2.83	2332600	16400423.00
2000/01/28	2.83	2.88	2.79	2.81	1771000	12702217.00
2000/02/14	2.86	3.02	2.84	3.02	3506400	26960304.00
2000/02/15	3.18	3.26	3.01	3.06	5985700	49571176.00
2000/02/16	3.06	3.26	3.04	3.18	3960800	33038110.00
2000/02/17	3.22	3.43	3.11	3.19	9788700	86997176.00
2000/02/18	3.17	3.23	3.10	3.19	3158000	26263164.00
2000/02/21	3.20	3.25	3.07	3.10	3405900	28148398.00
2000/02/22	3.10	3.12	2.95	2.97	2372300	18716220.00
2000/02/23	2.95	2.99	2.90	2.92	2332600	17626986.00
2000/02/24	2.93	2.98	2.90	2.96	1357700	10289743.00
2000/02/25	2.96	2.98	2.92	2.95	1148600	8715186.00
2000/02/28	2.95	3.10	2.88	3.07	2186400	17144086.00
2000/02/29	3.08	3.11	2.98	3.03	1775700	14037563.00
2000/03/01	3.03	3.11	3.00	3.09	1780000	14135487.00
2000/03/02	3.07	3.15	3.00	3.04	1379900	11030353.00
2000/03/03	3.06	3.11	3.02	3.09	1796000	14348305.00
2000/03/06	3.10	3.20	3.06	3.06	2514300	20713482.00
2000/03/07	3.04	3.06	2.98	3.02	1300100	10153508.00
2000/03/08	3.02	3.12	3.02	3.09	1311500	10571893.00
2000/03/09	3.10	3.11	3.02	3.04	1197300	9545806.00
2000/03/10	3.07	3.09	3.00	3.01	1006300	7950751.50
2000/03/13	3.00	3.08	2.95	3.07	1286500	10115002.00
2000/03/14	3.05	3.27	3.01	3.22	8328600	70024376.00
2000/03/15	3.23	3.29	3.19	3.23	4219400	36220744.00
2000/03/16	3.23	3.24	3.04	3.13	2644300	21605980.00
2000/03/17	3.12	3.20	3.11	3.18	2201200	18247330.00
2000/03/20	3.18	3.38	3.14	3.31	5873200	51937104.00
2000/03/21	3.32	3.42	3.29	3.33	4580900	41093796.00
2000/03/22	3.35	3.45	3.32	3.36	4432600	40212364.00
2000/03/23	3.36	3.40	3.30	3.36	2549900	22792744.00
2000/03/24	3.39	3.56	3.32	3.45	8690400	80956496.00
2000/03/27	3.54	3.72	3.48	3.72	9992200	100059328.00
2000/03/28	3.78	3.82	3.66	3.69	6932700	70631200.00
2000/03/29	3.71	3.72	3.50	3.57	5028100	48860580.00
2000/03/30	3.60	3.70	3.53	3.69	4059900	40008560.00
2000/03/31	3.66	3.76	3.59	3.60	3455400	34585680.00
2000/04/03	3.61	3.68	3.54	3.55	2600700	25721930.00
2000/04/04	3.52	3.53	3.40	3.42	2945300	27356668.00
2000/04/05	3.39	3.51	3.36	3.43	2239100	20580986.00
2000/04/06	3.44	3.52	3.42	3.51	2206800	20596812.00
2000/04/07	3.53	3.54	3.47	3.48	1718000	16173876.00
2000/04/10	3.52	3.72	3.52	3.67	3892200	38774740.00
2000/04/11	3.69	3.72	3.57	3.59	2365300	23388218.00
2000/04/12	3.59	3.64	3.48	3.53	1685300	16270003.00
2000/04/13	3.53	3.57	3.49	3.53	1924900	18394124.00
2000/04/14	3.53	3.68	3.53	3.66	4593800	45704928.00
2000/04/17	3.68	3.73	3.57	3.60	3688900	36891600.00
2000/04/18	3.65	3.75	3.61	3.66	2366000	23948340.00
2000/04/19	3.66	3.93	3.66	3.84	6435900	67168464.00
2000/04/20	3.85	3.92	3.79	3.80	4262700	45437900.00
2000/04/21	3.85	4.04	3.80	3.92	6988100	75783496.00
2000/04/24	3.93	4.03	3.90	3.94	4693500	51810972.00
2000/04/25	3.95	3.98	3.80	3.85	2541700	27179318.00
2000/04/26	3.86	3.88	3.81	3.82	1697000	17970954.00
2000/04/27	3.82	3.86	3.69	3.69	2561800	26452312.00
2000/04/28	3.67	3.75	3.64	3.74	2517300	25417678.00
2000/05/08	3.79	3.86	3.72	3.84	1626300	16846354.00
2000/05/09	3.84	3.86	3.69	3.74	1567800	16277109.00
2000/05/10	3.72	3.72	3.49	3.51	2043200	19944912.00
2000/05/11	3.51	3.56	3.36	3.37	1504700	14018607.00
2000/05/12	3.38	3.44	3.36	3.42	1346200	12275627.00
2000/05/15	3.42	3.42	3.35	3.37	760700	6893531.50
2000/05/16	3.37	3.50	3.37	3.48	1088500	10191486.00
2000/05/17	3.48	3.49	3.43	3.45	502700	4685249.50
2000/05/18	3.43	3.52	3.41	3.52	811700	7593976.50
2000/05/19	3.51	3.54	3.50	3.54	998700	9508595.00
2000/05/22	3.56	3.67	3.54	3.64	1920200	19002790.00
2000/05/23	3.65	3.72	3.65	3.68	1515700	15275510.00
2000/05/24	3.71	3.72	3.66	3.68	1597600	16120728.00
2000/05/25	3.70	3.72	3.66	3.71	1995100	20166740.00
2000/05/26	3.73	3.85	3.70	3.74	2600600	27007580.00
2000/05/29	3.76	3.79	3.69	3.69	1604300	16356862.00
2000/05/31	3.70	3.73	3.59	3.61	1664800	16545345.00
2000/06/01	3.63	3.66	3.57	3.58	1655900	16295535.00
2000/06/02	3.59	3.60	3.53	3.57	1594800	15423755.00
2000/06/05	3.57	3.72	3.54	3.65	2800900	27851440.00
2000/06/06	3.63	3.69	3.59	3.66	1322900	13165413.00
2000/06/07	3.67	3.76	3.67	3.72	1887700	19247610.00
2000/06/08	3.72	3.81	3.71	3.78	2455800	25367818.00
2000/06/09	3.81	3.83	3.68	3.69	1855700	19110628.00
2000/06/12	3.69	3.69	3.62	3.66	1091900	10863445.00
2000/06/13	3.67	3.75	3.67	3.71	876500	8910516.00
2000/06/14	3.73	3.74	3.64	3.67	1261300	12662208.00
2000/06/15	3.69	3.71	3.63	3.65	1211000	12074957.00
2000/06/16	3.66	3.72	3.63	3.68	1514200	15209534.00
2000/06/19	3.70	3.78	3.69	3.74	1660700	17044998.00
2000/06/20	3.74	3.81	3.68	3.69	1615200	16695011.00
2000/06/21	3.69	3.71	3.65	3.69	757500	7616273.50
2000/06/22	3.69	3.72	3.66	3.68	508800	5134480.50
2000/06/23	3.68	3.70	3.65	3.70	1089100	10964272.00
2000/06/26	3.74	3.78	3.70	3.73	1397400	14313609.00
2000/06/27	3.75	3.81	3.73	3.76	1664800	17286532.00
2000/06/28	3.79	3.80	3.73	3.74	1378900	14297112.00
2000/06/29	3.75	3.77	3.67	3.69	1185500	12028778.00
2000/06/30	3.70	3.74	3.68	3.69	1212300	12307741.00
2000/07/03	3.69	3.69	3.57	3.58	1280600	12671321.00
2000/07/04	3.57	3.61	3.54	3.59	721500	7026894.50
2000/07/05	3.60	3.63	3.51	3.56	852000	8318382.00
2000/07/06	3.56	3.57	3.51	3.52	1069600	10229614.00
2000/07/07	3.51	3.59	3.51	3.56	693600	6699259.50
2000/07/10	3.57	3.66	3.57	3.64	942500	9289171.00
2000/07/11	3.65	3.65	3.59	3.62	897000	8842674.00
2000/07/12	3.62	3.65	3.60	3.63	867900	8562034.00
2000/07/13	3.63	3.75	3.61	3.73	1968300	19972498.00
2000/07/14	3.73	3.75	3.69	3.72	1230700	12550324.00
2000/07/17	3.72	3.74	3.66	3.69	1083500	10993847.00
2000/07/18	3.69	3.72	3.67	3.68	777200	7843071.00
2000/07/19	3.68	3.72	3.66	3.70	800700	8077293.00
2000/07/20	3.72	3.84	3.70	3.84	4099900	42702064.00
2000/07/21	3.90	3.92	3.79	3.80	3693500	39470032.00
2000/07/24	3.81	3.90	3.81	3.86	2177600	23270968.00
2000/07/25	3.87	3.89	3.82	3.84	1021900	10849199.00
2000/07/26	3.86	3.95	3.84	3.92	2780900	29982766.00
2000/07/27	3.93	3.95	3.82	3.82	1836100	19716952.00
2000/07/28	3.83	3.87	3.78	3.80	1272300	13357139.00
2000/07/31	3.80	3.82	3.72	3.78	1336300	13829939.00
2000/08/01	3.78	3.81	3.76	3.78	837400	8731185.00
2000/08/02	3.80	3.80	3.72	3.74	943300	9720740.00
2000/08/03	3.74	3.78	3.74	3.75	1058500	10920842.00
2000/08/04	3.76	3.80	3.70	3.71	1055800	10812853.00
2000/08/07	3.71	3.73	3.67	3.69	1306200	13234069.00
2000/08/08	3.70	3.77	3.70	3.75	998400	10242259.00
2000/08/09	3.75	3.81	3.75	3.79	1502600	15660817.00
2000/08/10	3.83	3.87	3.80	3.80	1734200	18324082.00
2000/08/11	3.82	3.83	3.74	3.75	999200	10333133.00
2000/08/14	3.76	3.77	3.73	3.75	1007300	10380589.00
2000/08/15	3.76	3.80	3.72	3.74	975600	10080543.00
2000/08/16	3.75	3.78	3.72	3.75	1081400	11122923.00
2000/08/17	3.77	3.81	3.74	3.80	1538700	16011838.00
2000/08/18	3.81	3.82	3.77	3.77	1430700	14900254.00
2000/08/21	3.80	3.86	3.78	3.83	5572100	58909916.00
2000/08/22	3.85	3.88	3.76	3.77	6612000	69914472.00
2000/08/23	3.83	3.88	3.64	3.79	1959000	19252974.00
2000/08/24	3.79	3.86	3.76	3.81	1240800	12300068.00
2000/08/25	3.83	3.86	3.81	3.84	841300	8410068.00
2000/08/28	3.87	3.91	3.84	3.91	1061500	10685679.00
2000/08/29	3.91	3.93	3.84	3.87	822500	8316095.00
2000/08/30	3.87	3.88	3.80	3.83	944000	9432372.00
2000/08/31	3.76	3.81	3.68	3.68	1000000	9744294.00
2000/09/01	3.64	3.71	3.61	3.61	843600	8032333.00
2000/09/04	3.61	3.68	3.56	3.60	670300	6284624.50
2000/09/06	3.49	3.55	3.31	3.33	2327300	20670412.00
2000/09/07	3.39	3.50	3.39	3.46	942100	8478249.00
2000/09/08	3.49	3.49	3.41	3.43	532800	4786490.00
2000/09/11	3.45	3.50	3.42	3.49	468700	4237041.00
2000/09/12	3.49	3.51	3.43	3.47	535000	4832733.50
2000/09/13	3.47	3.50	3.45	3.48	770300	6978495.50
2000/09/14	3.45	3.55	3.42	3.51	699300	6382055.00
2000/09/15	3.56	3.67	3.52	3.66	1699100	16059944.00
2000/09/18	3.68	3.71	3.53	3.53	1001800	9466011.00
