000812 陕西金叶 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.39	2.53	2.39	2.52	288300	4063813.50
2000/01/05	2.52	2.58	2.48	2.49	427500	6129824.00
2000/01/06	2.46	2.61	2.42	2.59	432100	6207172.00
2000/01/07	2.59	2.83	2.59	2.72	1526400	23176126.00
2000/01/10	2.74	2.76	2.66	2.74	1243400	19061312.00
2000/01/11	2.74	2.76	2.55	2.56	861500	12939338.00
2000/01/12	2.56	2.65	2.52	2.52	549700	8023896.00
2000/01/13	2.53	2.54	2.46	2.48	323700	4597796.50
2000/01/14	2.46	2.50	2.44	2.45	287200	4026159.75
2000/01/17	2.40	2.51	2.40	2.48	286700	4030807.25
2000/01/18	2.52	2.52	2.44	2.44	283000	3967126.25
2000/01/19	2.44	2.50	2.43	2.46	347700	4863317.00
2000/01/20	2.46	2.56	2.45	2.55	421500	6017571.00
2000/01/21	2.53	2.59	2.46	2.55	857300	12282721.00
2000/01/24	2.57	2.78	2.55	2.75	2041900	31012360.00
2000/01/25	2.81	2.84	2.64	2.67	1348100	20758950.00
2000/01/26	2.66	2.69	2.58	2.61	661900	9859045.00
2000/01/27	2.62	2.73	2.62	2.69	852100	12958672.00
2000/01/28	2.71	2.77	2.61	2.69	1101700	16842342.00
2000/02/14	2.75	2.98	2.75	2.98	2649300	43783204.00
2000/02/15	3.04	3.30	3.04	3.16	5095500	92820504.00
2000/02/16	3.22	3.50	3.22	3.50	4916800	93631896.00
2000/02/17	3.79	3.87	3.16	3.20	6636500	132781288.00
2000/02/18	3.13	3.47	2.96	3.46	3223800	57379800.00
2000/02/21	3.43	3.51	3.22	3.25	2246100	41501872.00
2000/02/22	3.21	3.28	3.11	3.12	1504000	26640900.00
2000/02/23	3.03	3.09	2.86	2.89	1542400	25663688.00
2000/02/24	2.89	2.99	2.88	2.99	1081800	17862262.00
2000/02/25	3.12	3.17	3.00	3.04	1179000	20329502.00
2000/02/28	3.05	3.23	3.01	3.19	1581400	27817936.00
2000/02/29	3.22	3.22	3.01	3.07	1536600	26577266.00
2000/03/01	3.05	3.12	2.97	3.07	1026200	17371808.00
2000/03/02	3.07	3.27	3.05	3.24	1573900	27749048.00
2000/03/03	3.42	3.55	3.33	3.44	5003900	95753792.00
2000/03/06	3.44	3.44	3.09	3.10	2534000	46186900.00
2000/03/07	3.05	3.19	3.00	3.17	1236600	21408140.00
2000/03/08	3.18	3.27	3.13	3.26	800900	14279074.00
2000/03/09	3.26	3.27	3.14	3.18	763600	13678313.00
2000/03/10	3.13	3.19	3.07	3.09	663600	11539958.00
2000/03/13	3.08	3.16	3.02	3.13	741600	12799882.00
2000/03/14	3.10	3.10	2.96	3.06	939600	15929069.00
2000/03/15	3.03	3.10	3.01	3.07	444800	7633894.00
2000/03/16	3.03	3.03	2.84	2.87	873100	14446525.00
2000/03/17	2.86	2.98	2.84	2.98	664000	10951069.00
2000/03/20	2.89	3.09	2.86	3.06	707600	12028972.00
2000/03/21	3.06	3.11	3.02	3.06	620000	10614645.00
2000/03/22	3.08	3.15	3.03	3.14	686700	11849882.00
2000/03/23	3.17	3.19	3.10	3.16	987700	17355778.00
2000/03/24	3.19	3.33	3.12	3.14	1539100	27732808.00
2000/03/28	3.32	3.41	3.19	3.31	1402500	25493186.00
2000/03/29	3.31	3.31	3.19	3.26	832100	15048610.00
2000/03/30	3.26	3.32	3.24	3.30	732000	13384228.00
2000/03/31	3.28	3.28	3.15	3.20	700100	12515977.00
2000/04/03	3.20	3.26	3.13	3.19	471200	8404829.00
2000/04/04	3.15	3.16	3.06	3.08	526300	9173513.00
2000/04/05	3.07	3.13	3.06	3.12	383200	6643093.00
2000/04/06	3.18	3.24	3.14	3.20	396100	7037014.50
2000/04/07	3.22	3.41	3.21	3.36	2272600	42205128.00
2000/04/10	3.41	3.51	3.34	3.36	1641500	31226086.00
2000/04/11	3.35	3.35	3.27	3.28	881900	16210121.00
2000/04/12	3.26	3.39	3.25	3.30	736400	13558068.00
2000/04/13	3.30	3.42	3.26	3.36	1124400	21002198.00
2000/04/14	3.38	3.40	3.28	3.29	546200	10053084.00
2000/04/17	3.28	3.28	3.14	3.19	815800	14550224.00
2000/04/18	3.17	3.26	3.16	3.26	552400	9890461.00
2000/04/19	3.26	3.31	3.23	3.25	382900	6987119.50
2000/04/20	3.26	3.36	3.25	3.35	667500	12240362.00
2000/04/21	3.35	3.37	3.25	3.25	477900	8818517.00
2000/04/24	3.26	3.31	3.21	3.22	452000	8194084.00
2000/04/25	3.22	3.24	3.19	3.24	409300	7337581.50
2000/04/26	3.31	3.34	3.22	3.26	239200	4358472.50
2000/04/27	3.30	3.30	3.24	3.25	353600	6457596.00
2000/04/28	3.25	3.41	3.24	3.37	1025600	19066382.00
2000/05/08	3.43	3.43	3.34	3.36	849600	15980156.00
2000/05/09	3.38	3.45	3.34	3.37	764400	11990957.00
