000821 京山轻机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	5.58	5.78	5.38	5.76	508000	4268376.00
2000/01/05	5.76	5.90	5.63	5.65	468800	4012982.25
2000/01/06	5.63	6.23	5.55	6.16	965500	8469949.00
2000/01/07	6.20	6.52	6.01	6.41	2011400	18785220.00
2000/01/10	6.46	6.54	6.20	6.35	2153300	19988202.00
2000/01/11	6.38	6.40	6.01	6.09	1156800	10572923.00
2000/01/12	6.09	6.16	5.70	5.85	1130000	9838349.00
2000/01/13	5.84	6.51	5.75	6.51	3203400	30051830.00
2000/01/14	6.58	7.10	6.42	6.84	5672400	56197692.00
2000/01/17	6.95	7.05	6.60	6.92	3804800	38105736.00
2000/01/18	7.04	7.45	6.92	7.35	5143900	53758136.00
2000/01/19	7.33	7.56	6.98	7.07	4967000	52494140.00
2000/01/20	7.10	7.27	6.75	6.94	3291000	33146668.00
2000/01/21	6.94	7.21	6.77	6.92	3258000	33041964.00
2000/01/24	6.92	7.48	6.82	7.47	3661800	38108432.00
2000/01/25	7.52	7.94	7.14	7.26	3596400	39339496.00
2000/01/26	7.23	7.23	6.96	7.01	1500500	15392711.00
2000/01/27	7.01	7.14	6.83	6.98	2694600	27275866.00
2000/01/28	7.00	7.13	6.84	6.92	2204900	22250336.00
2000/02/14	7.18	7.69	6.95	7.69	5562000	60128200.00
2000/02/15	7.82	8.53	7.75	7.91	9087500	108380136.00
2000/02/16	7.90	8.77	7.86	8.77	7981800	96286728.00
2000/02/17	9.64	9.72	7.82	7.83	9572000	121760896.00
2000/02/18	7.60	8.42	7.45	8.34	4166900	48054548.00
2000/02/21	8.43	9.15	8.20	9.06	9056100	114523040.00
2000/02/22	9.15	9.32	8.08	8.11	5109800	63138120.00
2000/02/23	7.98	8.04	7.24	7.26	3869600	42380092.00
2000/02/24	7.18	7.58	7.18	7.51	1638200	17730838.00
2000/02/25	7.55	7.58	7.22	7.30	1950000	20821052.00
2000/02/28	7.29	7.82	7.23	7.72	3077800	33725808.00
2000/02/29	7.79	7.82	7.22	7.59	2145700	23374624.00
2000/03/01	7.60	8.24	7.51	8.05	3718600	42580340.00
2000/03/02	8.13	8.20	7.82	7.98	2220100	25531608.00
2000/03/03	8.05	8.73	8.05	8.35	5449500	65959136.00
2000/03/06	8.49	8.57	7.48	7.57	3218400	37232248.00
2000/03/07	7.49	7.82	7.35	7.72	2518300	27467316.00
2000/03/08	7.76	8.20	7.71	8.03	3418200	39116964.00
2000/03/09	8.07	8.08	7.73	7.84	1483600	16718302.00
2000/03/10	7.84	7.95	7.45	7.51	1814400	19935038.00
2000/03/13	7.56	7.63	7.36	7.48	1696400	18346506.00
2000/03/14	7.45	7.45	6.92	7.19	2192500	22848780.00
2000/03/15	7.18	7.33	6.99	7.23	1182200	12352379.00
2000/03/16	7.14	7.14	6.84	6.91	1410400	14335227.00
2000/03/17	6.84	7.20	6.82	7.07	1098900	11214961.00
2000/03/20	6.98	7.37	6.88	7.27	1316500	13742459.00
2000/03/21	7.27	7.33	7.07	7.20	1363700	14182371.00
2000/03/22	7.20	7.45	7.08	7.31	1262500	13355380.00
2000/03/23	7.34	7.53	7.22	7.48	1627900	17428170.00
2000/03/24	7.48	7.57	7.30	7.32	1622200	17409114.00
2000/03/27	7.29	7.52	7.09	7.48	2123900	22574182.00
2000/03/28	7.63	7.98	7.45	7.91	3440500	38509840.00
2000/03/29	7.98	8.12	7.64	8.10	3611900	41194824.00
2000/03/30	8.20	8.63	8.20	8.32	8363200	100168984.00
2000/03/31	8.26	8.26	7.98	8.01	2748400	31917932.00
2000/04/03	7.98	8.01	7.82	7.83	1535900	17468098.00
2000/04/04	7.82	7.82	7.58	7.60	1597700	17727788.00
2000/04/05	7.57	7.75	7.41	7.61	1107200	12186399.00
2000/04/06	7.61	7.82	7.57	7.82	1211400	13461128.00
2000/04/07	7.82	8.01	7.82	7.92	1216100	13852868.00
2000/04/10	7.98	8.28	7.80	8.25	2430200	28372694.00
2000/04/11	8.35	8.76	8.13	8.17	9048400	110004112.00
2000/04/12	8.20	8.54	7.99	8.49	3865000	46157656.00
2000/04/13	8.62	8.84	8.51	8.75	8299300	103443024.00
2000/04/14	8.81	8.88	8.52	8.73	3851200	47893184.00
2000/04/17	8.70	8.70	8.20	8.33	3003400	36236832.00
2000/04/18	8.35	8.60	8.24	8.49	2189300	26499114.00
2000/04/19	8.51	8.58	8.35	8.40	1425300	17322176.00
2000/04/20	8.40	8.41	8.20	8.30	1911700	22816344.00
2000/04/24	8.35	8.43	8.05	8.09	1624100	19071218.00
2000/04/25	8.10	8.35	8.10	8.31	839500	9942125.00
2000/04/26	8.35	8.55	8.20	8.23	1300400	15692677.00
2000/04/27	8.17	8.32	7.98	8.01	1269500	14799127.00
2000/04/28	7.98	8.20	7.98	8.08	1090300	12630893.00
2000/05/08	8.08	8.35	8.05	8.21	736200	8724316.00
2000/05/09	8.28	8.34	8.01	8.03	638200	7456726.50
2000/05/10	8.03	8.09	7.60	7.60	959500	10697958.00
2000/05/11	7.52	7.67	7.14	7.20	983800	10488054.00
2000/05/12	7.29	7.38	7.10	7.27	737000	7766875.50
2000/05/15	7.24	7.27	6.99	7.09	550100	5661946.50
2000/05/16	7.08	7.29	7.07	7.21	423900	4437679.00
2000/05/17	7.22	7.43	7.13	7.39	704400	7482078.00
2000/05/18	7.45	7.82	7.45	7.75	1915900	21335604.00
2000/05/19	7.75	7.79	7.59	7.73	1139900	12644589.00
2000/05/22	7.86	7.98	7.71	7.90	1191100	13484789.00
2000/05/23	7.90	7.95	7.60	7.70	1113700	12415955.00
2000/05/24	7.75	7.92	7.71	7.79	859400	9701265.00
2000/05/25	7.83	8.13	7.79	8.09	1491600	17133316.00
2000/05/26	8.20	8.20	7.87	7.90	900600	10369107.00
2000/05/29	7.98	8.05	7.82	7.92	1177000	13379263.00
2000/05/30	7.98	8.05	7.75	7.76	1015400	11539662.00
2000/05/31	7.76	7.85	7.75	7.82	879200	9896394.00
2000/06/01	7.90	7.96	7.75	7.82	833800	9411941.00
2000/06/02	7.82	7.90	7.70	7.79	1044600	11708093.00
2000/06/05	7.79	7.98	7.67	7.89	1253400	14158357.00
2000/06/06	7.88	8.20	7.82	8.17	1724300	20073724.00
2000/06/07	8.26	8.28	8.01	8.23	1621300	19038806.00
2000/06/08	8.34	8.66	8.32	8.36	5997300	72929280.00
2000/06/09	8.36	8.45	8.05	8.09	1281100	15140120.00
