000899 赣能股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.89	4.25	3.82	4.15	1482200	14095227.00
2000/01/05	4.18	4.32	4.07	4.16	1350100	13185466.00
2000/01/06	4.16	4.44	4.12	4.43	1924600	19160306.00
2000/01/07	4.34	4.93	4.34	4.93	7137700	78057616.00
2000/01/10	5.01	5.25	4.94	5.02	4859500	55734412.00
2000/01/11	4.98	4.99	4.55	4.63	2792500	30393302.00
2000/01/12	4.62	4.71	4.30	4.39	3017500	30737546.00
2000/01/13	4.59	4.59	4.27	4.35	1343200	13730458.00
2000/01/14	4.40	4.45	4.12	4.18	737100	7186363.00
2000/01/17	4.05	4.30	4.05	4.27	711500	6829809.50
2000/01/18	4.30	4.32	4.10	4.21	929700	9033010.00
2000/01/19	4.21	4.27	4.09	4.25	1197800	11603398.00
2000/01/20	4.25	4.34	4.15	4.34	2124800	20785596.00
2000/01/21	4.38	4.56	4.32	4.35	2045300	20829228.00
2000/01/24	4.34	4.53	4.15	4.30	3965600	39323036.00
2000/01/25	4.33	4.49	4.25	4.40	2176200	21962028.00
2000/01/26	4.44	4.47	4.25	4.37	1533300	15179049.00
2000/01/27	4.37	4.48	4.25	4.39	2536600	25338394.00
2000/01/28	4.43	4.83	4.35	4.72	6446900	68634144.00
2000/02/14	4.96	5.25	4.96	5.25	6585900	76859928.00
2000/02/15	5.82	5.82	5.45	5.70	10337400	134073776.00
2000/02/16	5.92	6.32	5.57	6.29	14584500	190778224.00
2000/02/17	6.44	6.60	5.60	5.60	13020400	175557328.00
2000/02/18	5.13	5.75	5.13	5.68	6837900	82761904.00
2000/02/21	5.76	5.81	5.42	5.70	5969000	74805144.00
2000/02/22	5.67	5.67	5.26	5.30	3852600	47297924.00
2000/02/23	5.23	5.37	5.13	5.23	3894900	45859996.00
2000/02/24	5.32	5.80	5.08	5.77	10610900	131190984.00
2000/02/25	5.86	6.26	5.72	5.96	22006900	293515904.00
2000/02/28	5.95	6.18	5.72	6.11	13458900	180428560.00
2000/02/29	6.12	6.30	5.81	5.92	12059000	162435264.00
2000/03/01	5.86	5.96	5.61	5.65	6285100	80096552.00
2000/03/02	5.62	5.80	5.52	5.58	3295800	41455020.00
2000/03/03	5.62	5.77	5.60	5.63	3089000	39271100.00
2000/03/06	5.64	5.74	5.23	5.23	4683900	56949052.00
2000/03/07	5.12	5.47	5.08	5.41	3397300	40749440.00
2000/03/08	5.41	5.57	5.28	5.55	2631500	32261478.00
2000/03/09	5.62	5.96	5.59	5.79	5506300	71332136.00
2000/03/10	5.76	5.86	5.44	5.50	2462200	30757790.00
2000/03/13	5.47	5.56	5.42	5.55	1500300	18488796.00
2000/03/14	5.46	5.52	5.23	5.50	2749700	33220046.00
2000/03/15	5.45	5.52	5.36	5.51	1348800	16503746.00
2000/03/16	5.47	5.47	5.08	5.28	2426000	28862282.00
2000/03/17	5.19	5.82	5.19	5.48	2715100	33756384.00
2000/03/20	5.40	5.60	5.32	5.56	1851700	22931114.00
2000/03/22	5.59	5.96	5.42	5.76	7427200	94986888.00
2000/03/23	5.90	5.94	5.67	5.77	3909800	50578252.00
2000/03/24	5.82	5.96	5.68	5.70	5193700	67915168.00
2000/03/27	5.62	5.95	5.62	5.92	4633000	60314536.00
2000/03/28	6.40	6.40	5.92	6.01	4752600	64654696.00
2000/03/29	6.06	6.09	5.75	5.90	5066200	66187492.00
2000/03/30	5.91	5.93	5.76	5.88	2277100	29581782.00
2000/03/31	5.91	5.94	5.67	5.72	2318200	29832052.00
2000/04/03	5.72	5.92	5.67	5.81	1564400	20305904.00
2000/04/04	5.72	5.78	5.51	5.53	1994500	25067514.00
2000/04/05	5.55	5.72	5.50	5.64	1298100	16272306.00
2000/04/06	5.72	5.74	5.62	5.71	1159500	14718824.00
2000/04/07	5.77	5.81	5.59	5.74	1907200	24270030.00
2000/04/10	5.72	5.92	5.70	5.91	2768000	36029284.00
2000/04/11	5.92	5.95	5.74	5.81	1502100	19560916.00
2000/04/12	5.81	5.87	5.64	5.71	1213600	15505881.00
2000/04/13	5.74	6.05	5.70	6.02	7001500	92569888.00
2000/04/14	6.16	6.21	5.99	6.04	10194700	138333232.00
2000/04/17	6.04	6.04	5.71	5.78	4781200	62101512.00
2000/04/18	5.81	5.85	5.62	5.83	1955700	25062508.00
2000/04/19	5.83	5.85	5.72	5.77	1375700	17795230.00
2000/04/20	5.77	5.83	5.67	5.77	2058700	26444212.00
2000/04/21	5.81	5.97	5.72	5.84	3187600	41675532.00
2000/04/24	5.91	5.95	5.74	5.84	2701700	35312000.00
2000/04/25	5.81	5.86	5.64	5.76	2142000	27393972.00
2000/04/26	5.72	5.89	5.62	5.82	5586600	72122392.00
2000/04/27	5.86	6.16	5.81	5.91	13118300	175160272.00
2000/04/28	5.94	6.00	5.74	5.91	2926700	38385380.00
2000/05/08	5.96	6.03	5.81	5.93	2057000	27149348.00
2000/05/10	5.57	5.72	5.42	5.47	1725900	21553100.00
2000/05/11	5.47	5.55	5.18	5.20	1756000	20960496.00
2000/05/12	5.28	5.37	5.12	5.18	1274500	14983550.00
2000/05/15	5.15	5.23	4.96	4.96	1120300	12769668.00
2000/05/16	4.98	5.10	4.98	5.05	646300	7366327.00
2000/05/17	5.03	5.27	4.97	5.05	950700	11020319.00
2000/05/18	5.01	5.19	5.01	5.18	612000	7085253.00
2000/05/19	5.18	5.28	5.13	5.26	1314700	15399413.00
2000/05/22	5.25	5.44	5.18	5.40	1716800	20585180.00
2000/05/23	5.38	5.42	5.27	5.31	1097300	13132249.00
2000/05/24	5.33	5.50	5.23	5.44	2535500	30553498.00
2000/05/25	5.42	5.53	5.36	5.45	1834800	22428624.00
2000/05/26	5.45	5.52	5.38	5.47	1657300	20324888.00
2000/05/29	5.47	5.64	5.45	5.55	2922200	36537652.00
2000/05/30	5.55	5.72	5.35	5.38	1618500	20003740.00
2000/05/31	5.35	5.36	5.23	5.31	1886800	22480256.00
2000/06/01	5.30	5.47	5.27	5.34	1357700	16348109.00
2000/06/02	5.34	5.45	5.27	5.44	2219900	26783230.00
2000/06/05	5.42	5.42	5.32	5.33	1732000	20917872.00
2000/06/06	5.33	5.50	5.30	5.49	1386000	16859230.00
2000/06/07	5.49	5.63	5.47	5.52	1785300	22229240.00
2000/06/08	5.56	5.57	5.32	5.37	2003700	24281152.00
2000/06/09	5.37	5.42	5.28	5.29	1046300	12535242.00
2000/06/12	5.32	5.45	5.30	5.43	905600	10920434.00
2000/06/13	5.47	5.50	5.35	5.43	970900	11827891.00
2000/06/14	5.43	5.56	5.42	5.46	2054900	25348490.00
2000/06/15	5.46	5.55	5.42	5.54	1653200	20351678.00
2000/06/16	5.58	5.77	5.56	5.69	4488300	56712132.00
2000/06/19	5.68	5.81	5.62	5.64	3140100	40097348.00
2000/06/20	5.64	5.67	5.52	5.57	1310200	16357843.00
2000/06/21	5.57	5.66	5.52	5.64	1051400	13228619.00
2000/06/22	5.66	5.75	5.65	5.71	2757000	35211124.00
2000/06/23	5.71	5.74	5.57	5.71	1066000	12935473.00
2000/06/26	5.70	5.70	5.58	5.61	1221700	14773391.00
2000/06/27	5.59	5.66	5.59	5.65	1354500	16404357.00
2000/06/28	5.62	5.64	5.57	5.60	1792800	21586930.00
2000/06/29	5.58	5.60	5.42	5.46	2609400	30877064.00
2000/06/30	5.46	5.56	5.46	5.51	1268100	15011196.00
2000/07/03	5.47	5.50	5.37	5.42	1178600	13742275.00
2000/07/04	5.37	5.49	5.37	5.46	699700	8176068.00
2000/07/05	5.43	5.50	5.41	5.43	618900	7269598.00
2000/07/06	5.44	5.47	5.37	5.47	671600	7819019.00
2000/07/07	5.47	5.56	5.47	5.54	686300	8165154.00
2000/07/10	5.55	5.64	5.51	5.61	1185200	14252929.00
2000/07/11	5.62	5.64	5.53	5.58	1096600	13165945.00
2000/07/12	5.56	5.61	5.45	5.47	1680400	19915070.00
2000/07/13	5.49	5.59	5.49	5.52	1235700	14760205.00
2000/07/14	5.55	5.56	5.42	5.47	1502700	17704970.00
2000/07/17	5.45	5.52	5.38	5.46	1160900	13582790.00
2000/07/18	5.44	5.61	5.43	5.55	1051400	12563193.00
2000/07/19	5.55	5.57	5.50	5.52	574100	6832836.00
2000/07/20	5.52	5.55	5.42	5.45	671000	7904537.50
2000/07/21	5.46	5.50	5.41	5.42	1016600	11904472.00
2000/07/24	5.42	5.42	5.37	5.38	1133400	13164401.00
2000/07/25	5.38	5.49	5.38	5.42	698400	8156515.00
2000/07/26	5.38	5.51	5.38	5.47	518600	6111275.00
2000/07/27	5.47	5.60	5.47	5.57	2260400	27066506.00
2000/07/28	5.57	5.59	5.50	5.56	880100	10502221.00
2000/07/31	5.56	5.62	5.47	5.58	1744100	20864244.00
2000/08/01	5.59	5.64	5.52	5.55	832500	9982826.00
2000/08/02	5.57	5.57	5.49	5.51	522400	6205641.50
2000/08/03	5.51	5.56	5.44	5.53	1208800	14339419.00
2000/08/04	5.52	5.57	5.46	5.51	1107100	13148870.00
2000/08/07	5.51	5.51	5.42	5.50	711000	8351508.50
2000/08/08	5.52	5.61	5.44	5.59	1353300	16184118.00
2000/08/09	5.59	5.81	5.55	5.81	6148200	75716040.00
2000/08/10	5.83	5.89	5.77	5.81	6085500	76257048.00
2000/08/11	5.81	5.83	5.62	5.70	2502900	30803930.00
2000/08/14	5.70	5.77	5.69	5.73	1519400	18707382.00
2000/08/15	5.74	5.82	5.72	5.80	2190800	27218058.00
2000/08/16	5.85	5.85	5.78	5.84	1849000	23116294.00
2000/08/17	5.84	5.86	5.81	5.85	2023400	25382642.00
2000/08/18	5.82	5.91	5.82	5.89	2299200	29048728.00
2000/08/21	6.04	6.04	5.91	6.02	10886500	140185152.00
2000/08/22	6.04	6.05	5.89	5.89	4679500	60004380.00
2000/08/23	5.81	5.91	5.51	5.77	4410300	54548992.00
2000/08/24	5.77	5.89	5.71	5.88	2694500	33738588.00
2000/08/25	5.94	6.16	5.91	6.16	8070400	104726720.00
2000/08/28	6.30	6.69	6.28	6.54	18667600	259554720.00
2000/08/29	6.53	6.54	6.40	6.49	6228700	86096760.00
2000/08/30	6.40	6.49	6.30	6.32	4210600	57514948.00
2000/08/31	6.28	6.30	6.05	6.05	5214900	68688712.00
2000/09/01	6.01	6.06	5.83	5.94	3085800	39600116.00
2000/09/04	5.91	6.05	5.82	6.05	2589100	33005510.00
2000/09/05	6.06	6.11	5.82	5.84	2551100	32518714.00
2000/09/06	5.84	5.95	5.67	5.68	2297400	28569458.00
2000/09/07	5.72	5.81	5.69	5.76	3119100	38530500.00
2000/09/08	5.82	5.89	5.74	5.83	4710500	58985184.00
2000/09/11	6.04	6.10	5.92	5.98	1967600	22723756.00
2000/09/12	5.97	6.05	5.83	6.01	1078300	12262666.00
2000/09/13	6.01	6.02	5.89	5.95	860500	9852060.00
2000/09/14	5.95	6.01	5.89	5.92	631100	7203470.00
2000/09/15	5.86	5.92	5.78	5.85	827900	9342884.00
2000/09/18	5.80	5.84	5.60	5.63	898400	9923098.00
2000/09/19	5.59	5.60	5.29	5.37	1171200	12361672.00
2000/09/20	5.37	5.48	5.21	5.35	920500	9611354.00
2000/09/21	5.36	5.46	5.29	5.34	970200	10237960.00
2000/09/22	5.35	5.35	5.06	5.08	1437100	14678628.00
2000/09/25	5.06	5.16	4.90	4.97	1654900	16501269.00
2000/09/26	4.97	5.19	4.95	5.12	592200	6002307.00
2000/09/27	5.18	5.32	5.13	5.29	658900	6835011.50
2000/09/28	5.30	5.34	5.06	5.11	781300	7964490.50
2000/09/29	5.09	5.23	5.04	5.20	429700	4384882.50
2000/10/09	5.20	5.20	5.04	5.16	387600	3908761.75
2000/10/10	5.27	5.38	5.18	5.30	471500	4911608.50
2000/10/11	5.34	5.35	5.23	5.23	553600	5759994.50
2000/10/12	5.22	5.22	5.06	5.10	736600	7438093.50
2000/10/13	5.10	5.28	5.06	5.15	545300	5564251.00
2000/10/16	5.07	5.13	5.03	5.08	635600	6402514.50
2000/10/17	5.06	5.21	5.03	5.12	483200	4889669.50
2000/10/18	5.11	5.16	5.02	5.09	982200	9902331.00
2000/10/19	5.09	5.10	5.02	5.04	910300	9118303.00
2000/10/20	5.03	5.27	5.02	5.25	1290000	13137774.00
2000/10/23	5.25	5.29	5.11	5.18	1183500	12121207.00
2000/10/24	5.16	5.21	5.13	5.15	763600	7790179.50
2000/10/25	5.16	5.23	5.13	5.20	1146500	11741775.00
2000/10/26	5.21	5.34	5.19	5.27	1238800	12842606.00
2000/10/27	5.29	5.32	5.21	5.23	714200	7375574.50
2000/10/30	5.22	5.25	5.09	5.15	1046600	10637394.00
2000/10/31	5.15	5.22	5.09	5.11	856200	8679717.00
2000/11/01	5.09	5.27	5.09	5.25	921500	9411256.00
2000/11/02	5.25	5.25	5.13	5.22	739100	7578250.00
2000/11/03	5.22	5.23	5.13	5.15	643800	6582418.00
2000/11/06	5.15	5.17	5.08	5.13	882500	8941504.00
2000/11/07	5.13	5.26	5.11	5.18	647900	6627371.00
2000/11/08	5.18	5.25	5.18	5.25	845400	8714969.00
2000/11/09	5.27	5.48	5.22	5.46	3293100	34695640.00
2000/11/10	5.48	5.60	5.41	5.51	3267500	35151308.00
2000/11/13	5.56	5.64	5.48	5.56	2125800	23014022.00
2000/11/14	5.57	5.63	5.48	5.60	1686800	18281596.00
2000/11/15	5.62	5.64	5.49	5.51	1463900	15846395.00
2000/11/17	5.59	5.66	5.48	5.51	1224300	13216293.00
2000/11/20	5.48	5.51	5.32	5.39	1956000	20588320.00
2000/11/21	5.39	5.64	5.38	5.56	1972900	21306344.00
2000/11/22	5.56	5.62	5.43	5.57	1131900	12201453.00
2000/11/23	5.57	5.83	5.55	5.74	2901500	32151138.00
2000/11/24	5.78	5.81	5.35	5.46	2271700	24735974.00
2000/11/27	5.41	5.51	5.35	5.43	1097200	11643570.00
2000/11/28	5.48	5.53	5.40	5.53	982200	10477084.00
2000/11/29	5.54	5.55	5.36	5.54	1134400	12089198.00
2000/11/30	5.54	5.80	5.44	5.76	4219500	46646524.00
2000/12/01	5.80	5.85	5.69	5.75	4046800	45158400.00
2000/12/04	5.76	5.81	5.68	5.73	1648100	18293836.00
2000/12/05	5.73	5.78	5.67	5.69	1125100	12439162.00
2000/12/06	5.69	5.73	5.48	5.54	1305900	14207411.00
2000/12/07	5.51	5.51	5.41	5.44	988900	10546398.00
2000/12/08	5.44	5.51	5.40	5.45	816700	8695728.00
2000/12/11	5.46	5.46	5.25	5.27	1106700	11568774.00
2000/12/12	5.27	5.36	5.25	5.36	543900	5681118.00
2000/12/13	5.36	5.37	5.29	5.31	434700	4537753.00
2000/12/14	5.32	5.34	5.29	5.31	452700	4721651.50
2000/12/15	5.32	5.34	5.25	5.27	453500	4709817.00
2000/12/18	5.27	5.29	5.16	5.18	826700	8473809.00
2000/12/19	5.21	5.34	5.21	5.27	630000	6513321.50
2000/12/20	5.27	5.38	5.22	5.36	726000	7520767.00
2000/12/21	5.36	5.40	5.29	5.33	523300	5494990.50
2000/12/22	5.36	5.38	5.22	5.23	696600	7213459.50
2000/12/25	5.29	5.29	5.17	5.18	899400	9233558.00
2000/12/26	5.22	5.35	5.19	5.30	664700	6879280.50
2000/12/27	5.29	5.32	5.21	5.22	637200	6571929.00
2000/12/28	5.19	5.26	5.18	5.22	524600	5404370.50
2000/12/29	5.23	5.25	5.21	5.24	668800	6899651.00
2001/01/02	5.29	5.41	5.24	5.41	637900	6687267.50
2001/01/03	5.41	5.44	5.35	5.44	1033200	10937008.00
2001/01/04	5.44	5.50	5.39	5.41	896000	9539521.00
2001/01/05	5.40	5.56	5.33	5.55	1179700	12520176.00
