000910 大亚圣象 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.99	4.10	3.91	4.09	319200	3298762.25
2000/01/05	4.09	4.19	3.99	4.08	654900	6867861.00
2000/01/06	4.08	4.26	3.99	4.24	937700	9841223.00
2000/01/07	4.26	4.51	4.26	4.49	2456600	27370718.00
2000/01/10	4.51	4.58	4.38	4.49	1635700	18337120.00
2000/01/11	4.49	4.49	4.16	4.26	1534800	16892546.00
2000/01/12	4.25	4.33	3.94	3.97	1837600	19015376.00
2000/01/13	3.97	4.07	3.94	3.99	489200	4989503.00
2000/01/14	4.04	4.05	3.91	3.94	389700	3946421.50
2000/01/17	3.90	3.98	3.86	3.96	376700	3785795.75
2000/01/18	3.94	4.34	3.88	4.31	1027500	10691282.00
2000/01/19	4.31	4.44	4.22	4.33	1495700	16367905.00
2000/01/20	4.40	4.59	4.29	4.57	1730900	19427878.00
2000/01/21	4.57	4.63	4.39	4.45	1237100	14019632.00
2000/01/24	4.49	4.51	4.31	4.44	1217900	13526510.00
2000/01/25	4.44	4.45	4.26	4.31	1005100	11024936.00
2000/01/26	4.31	4.40	4.24	4.33	549800	6007438.50
2000/01/27	4.32	4.39	4.16	4.20	1187800	12769208.00
2000/01/28	4.21	4.29	4.08	4.22	1613000	16941944.00
2000/02/14	4.36	4.70	4.35	4.70	1057500	12148185.00
2000/02/15	5.01	5.17	4.58	4.70	4057400	49947704.00
2000/02/16	4.70	5.24	4.67	5.24	5337700	66440004.00
2000/02/17	5.53	5.83	5.22	5.83	15928900	219871024.00
2000/02/18	6.48	6.48	5.49	5.87	10228200	148612976.00
2000/02/21	5.85	5.94	5.56	5.74	4926800	69369720.00
2000/02/22	5.72	5.85	5.42	5.62	4542500	63408840.00
2000/02/23	5.53	5.65	5.26	5.47	3230700	42921340.00
2000/02/24	5.35	5.72	5.31	5.70	3389500	46196536.00
2000/02/25	5.63	5.79	5.49	5.68	3073300	42811504.00
2000/02/28	5.63	6.04	5.58	5.94	7460400	106939064.00
2000/02/29	5.94	5.98	5.56	5.59	3206900	45240760.00
2000/03/01	5.58	5.72	5.27	5.62	3485300	46804812.00
2000/03/02	5.54	5.79	5.44	5.63	1372800	18835868.00
2000/03/03	5.60	5.85	5.54	5.65	4119500	57756752.00
2000/03/06	5.71	5.81	5.34	5.35	2041500	27933322.00
2000/03/07	5.26	5.44	5.15	5.37	2495100	32394186.00
2000/03/08	5.37	5.49	5.26	5.44	1329700	17697024.00
2000/03/09	5.49	5.53	5.29	5.32	1212600	15939055.00
2000/03/10	5.32	5.47	5.29	5.44	1150900	15165442.00
2000/03/13	5.42	5.63	5.31	5.61	1933800	26045912.00
2000/03/14	5.49	5.60	5.33	5.56	2328700	31411580.00
2000/03/15	5.56	5.84	5.51	5.66	2583900	36110492.00
2000/03/16	5.63	5.66	5.28	5.33	1532700	20521184.00
2000/03/17	5.26	5.48	5.26	5.44	1363300	18168430.00
2000/03/20	5.40	5.84	5.35	5.79	4292000	60095556.00
2000/03/21	5.81	6.17	5.79	6.15	11690100	171438544.00
2000/03/22	6.12	6.19	5.81	5.99	3808600	55475340.00
2000/03/23	5.99	6.13	5.88	5.99	2754700	40285804.00
2000/03/24	5.94	6.13	5.67	5.83	3874900	55583804.00
2000/03/27	5.90	5.98	5.81	5.89	1726100	24876958.00
2000/03/28	5.98	6.14	5.81	6.06	3047100	44532448.00
2000/03/29	6.09	6.35	5.99	6.29	8382100	126527912.00
2000/03/30	6.26	6.35	6.09	6.19	3893900	58796516.00
2000/03/31	6.17	6.44	5.99	6.09	3583900	54250084.00
2000/04/03	6.08	6.26	5.90	5.91	2197300	32229516.00
2000/04/04	5.90	5.97	5.78	5.82	1584800	22586496.00
2000/04/05	5.81	5.99	5.65	5.89	1870900	26542054.00
2000/04/06	5.99	5.99	5.77	5.84	1186700	16901336.00
2000/04/07	5.88	5.90	5.74	5.79	1332500	18868796.00
2000/04/10	5.79	5.99	5.79	5.88	1108200	15933349.00
2000/04/11	5.81	6.03	5.63	5.91	2446900	35052108.00
2000/04/12	5.94	5.94	5.66	5.76	1518700	21302864.00
2000/04/13	5.74	6.04	5.68	5.92	5256800	75633168.00
2000/04/14	5.99	6.31	5.79	6.10	14504400	211782128.00
2000/04/17	5.99	5.99	5.66	5.77	3727400	52877856.00
2000/04/18	5.81	6.19	5.79	6.08	8735400	129241488.00
2000/04/19	6.12	6.31	6.06	6.09	6445300	96725512.00
2000/04/20	6.09	6.26	5.94	6.02	3143600	46419620.00
2000/04/21	6.06	6.12	5.81	5.86	2373500	34252840.00
2000/04/24	5.87	5.97	5.79	5.83	1322400	18912664.00
2000/04/25	5.85	5.92	5.72	5.79	1216700	17187306.00
2000/04/26	5.79	5.88	5.73	5.75	987000	13920437.00
2000/04/27	5.76	5.84	5.63	5.65	1442400	20258596.00
2000/04/28	5.65	5.72	5.53	5.70	1659400	22765392.00
2000/05/08	5.74	5.83	5.54	5.55	1230300	16954024.00
2000/05/09	5.63	5.63	5.33	5.36	1627500	21625942.00
2000/05/10	5.36	5.42	5.13	5.14	1138700	14718985.00
2000/05/11	5.14	5.22	4.94	4.95	854800	10679507.00
2000/05/12	4.98	5.08	4.90	4.99	659700	8141429.50
2000/05/15	4.99	4.99	4.69	4.92	787600	9522749.00
2000/05/16	4.82	4.99	4.82	4.92	446100	5464269.00
2000/05/17	4.93	4.99	4.69	4.73	790400	9546564.00
2000/05/19	5.01	5.26	4.90	5.26	1667600	21285162.00
2000/05/22	5.49	5.49	5.29	5.37	1959400	25949050.00
2000/05/23	5.44	5.60	5.35	5.45	2066300	27729422.00
2000/05/24	5.45	5.49	5.35	5.39	1412200	18730846.00
2000/05/25	5.39	5.49	5.36	5.44	1093000	14562277.00
2000/05/26	5.49	5.49	5.37	5.38	1103300	14740656.00
2000/05/29	5.38	5.40	5.20	5.24	1711500	22192964.00
2000/05/30	5.28	5.31	5.06	5.08	1351600	17224260.00
2000/05/31	5.08	5.54	4.99	5.43	3071300	39672832.00
2000/06/01	5.43	5.59	5.36	5.48	1608200	21651898.00
2000/06/02	5.50	5.50	5.29	5.34	845300	11174336.00
2000/06/05	5.35	5.44	5.18	5.24	1217000	15917855.00
2000/06/06	5.25	5.38	5.22	5.30	894700	11701553.00
2000/06/07	5.38	5.56	5.33	5.47	1577000	21253230.00
2000/06/08	5.49	5.54	5.34	5.35	703800	9346977.00
2000/06/09	5.44	5.48	5.27	5.31	552300	7270191.00
2000/06/12	5.31	5.31	5.16	5.25	720700	9274940.00
2000/06/13	5.30	5.46	5.26	5.44	818600	10867085.00
2000/06/14	5.46	5.49	5.30	5.36	835500	11031724.00
2000/06/15	5.37	5.47	5.29	5.44	958600	12740098.00
2000/06/16	5.44	5.65	5.43	5.56	2737200	37364344.00
2000/06/19	5.58	5.80	5.58	5.76	3009800	42120980.00
2000/06/20	5.76	5.79	5.53	5.55	1225400	16873730.00
2000/06/21	5.54	5.69	5.51	5.62	860600	11824737.00
2000/06/22	5.71	5.71	5.56	5.58	764500	10515671.00
2000/06/23	5.60	5.60	5.49	5.54	1022600	13887553.00
2000/06/26	5.56	5.71	5.54	5.69	1112900	15397182.00
2000/06/27	5.72	5.72	5.58	5.59	871400	12022953.00
2000/06/28	5.60	5.66	5.53	5.57	839600	11472728.00
2000/06/29	5.57	5.60	5.40	5.44	884400	11890932.00
2000/06/30	5.47	5.47	5.35	5.37	947700	12575259.00
2000/07/03	5.34	5.42	5.24	5.26	862800	11301337.00
2000/07/04	5.22	5.31	5.19	5.27	574600	7447843.00
2000/07/05	5.27	5.32	5.21	5.23	604900	7871824.00
2000/07/06	5.24	5.25	5.19	5.25	545500	7031744.50
2000/07/07	5.27	5.36	5.26	5.36	666800	8718911.00
2000/07/10	5.36	5.45	5.30	5.40	741300	9781471.00
2000/07/11	5.40	5.44	5.17	5.35	613300	8098761.00
2000/07/12	5.36	5.40	5.29	5.30	1039500	13653891.00
2000/07/13	5.35	5.35	5.25	5.29	1153300	15020154.00
2000/07/14	5.29	5.44	5.22	5.38	720400	9483655.00
2000/07/17	5.35	5.39	5.22	5.26	958100	12470116.00
2000/07/18	5.31	5.32	5.22	5.31	598200	7762210.00
2000/07/19	5.30	5.41	5.26	5.38	653200	8616835.00
2000/07/20	5.38	5.40	5.24	5.34	530500	6951143.50
2000/07/21	5.29	5.35	5.26	5.30	485300	6330924.00
2000/07/24	5.26	5.29	5.15	5.17	906300	11654731.00
2000/07/25	5.15	5.24	5.13	5.19	524000	6702006.00
2000/07/26	5.19	5.31	5.17	5.26	444500	5741533.00
2000/07/27	5.44	5.56	5.31	5.46	1511000	20348282.00
2000/07/28	5.46	5.49	5.39	5.42	547100	7311485.50
2000/07/31	5.39	5.49	5.30	5.48	906100	12030532.00
2000/08/01	5.48	5.55	5.42	5.54	1067100	14480054.00
2000/08/02	5.51	5.61	5.49	5.55	851000	11595028.00
2000/08/03	5.51	5.60	5.48	5.49	1038600	14136384.00
2000/08/04	5.47	5.51	5.31	5.33	738600	9806487.00
2000/08/07	5.29	5.35	5.27	5.31	509800	6679648.00
2000/08/08	5.31	5.38	5.18	5.30	883700	11568186.00
2000/08/09	5.27	5.47	5.26	5.40	525100	6953712.00
2000/08/10	5.40	5.49	5.29	5.32	567300	7512516.50
2000/08/11	5.35	5.57	5.30	5.49	1120500	15028405.00
2000/08/14	5.52	5.67	5.51	5.60	1471000	20179808.00
2000/08/15	5.62	5.63	5.48	5.50	622000	8443678.00
2000/08/16	5.40	5.48	5.38	5.40	677100	9028186.00
2000/08/17	5.41	5.62	5.39	5.58	1807000	24700654.00
2000/08/18	5.61	5.72	5.54	5.65	2608400	36160656.00
2000/08/21	5.70	5.88	5.60	5.84	3623000	51424360.00
2000/08/22	5.85	5.94	5.63	5.64	2204900	31217142.00
2000/08/23	5.62	5.88	5.43	5.80	2961500	40973752.00
2000/08/24	5.81	6.12	5.78	6.01	6272500	91326104.00
2000/08/25	6.03	6.09	5.94	6.03	2349500	34442976.00
2000/08/28	6.08	6.26	6.01	6.02	3283500	48945956.00
2000/08/29	6.04	6.08	5.94	6.04	1817300	26587246.00
2000/08/30	6.04	6.08	5.88	5.89	1419100	20598444.00
2000/08/31	5.81	5.88	5.62	5.62	2317700	32518358.00
2000/09/01	5.56	5.75	5.54	5.64	1392900	19290748.00
2000/09/04	5.65	5.83	5.63	5.81	1124100	15792600.00
2000/09/05	5.85	5.87	5.58	5.62	859200	12074148.00
2000/09/06	5.58	5.69	5.44	5.47	671700	9203310.00
2000/09/07	5.47	5.76	5.47	5.58	779000	10727645.00
2000/09/08	5.69	5.71	5.47	5.59	593000	8099051.50
2000/09/11	5.63	5.64	5.51	5.61	416800	5696794.00
2000/09/12	5.63	5.76	5.57	5.74	531600	7386962.00
2000/09/13	5.74	5.81	5.67	5.69	925000	12987067.00
2000/09/14	5.72	5.76	5.65	5.67	370100	5157020.00
2000/09/15	5.66	5.69	5.51	5.56	567000	7747053.00
2000/09/18	5.56	5.58	5.35	5.38	607000	8150769.50
2000/09/19	5.31	5.37	5.23	5.26	579100	7549250.50
2000/09/20	5.26	5.38	5.20	5.29	376700	4895917.50
2000/09/21	5.29	5.31	5.21	5.22	372100	4835771.00
2000/09/22	5.17	5.24	5.13	5.15	311300	3989492.50
2000/09/25	5.15	5.21	5.06	5.13	313100	3990899.75
2000/09/26	5.13	5.19	5.06	5.17	393700	4993826.00
2000/09/27	5.17	5.28	5.17	5.26	362400	4686380.00
2000/09/28	5.21	5.26	5.08	5.12	370600	4727520.50
2000/09/29	5.12	5.58	5.11	5.52	1055300	14003357.00
2000/10/09	5.27	5.44	5.27	5.42	357800	4723518.00
2000/10/10	5.42	5.48	5.38	5.47	295900	3957844.00
2000/10/11	5.47	5.53	5.38	5.44	299300	4009797.00
2000/10/12	5.40	5.49	5.29	5.31	347900	4591425.00
2000/10/13	5.34	5.34	5.27	5.33	319400	4183016.25
2000/10/16	5.33	5.39	5.25	5.30	245300	3199470.50
2000/10/17	5.26	5.47	5.24	5.43	517100	6824935.50
2000/10/18	5.45	5.49	5.42	5.48	588400	7906304.00
2000/10/19	5.49	5.51	5.41	5.44	286100	3838221.75
2000/10/20	5.58	5.58	5.46	5.50	556900	7551972.00
2000/10/23	5.51	5.62	5.47	5.57	690000	9388183.00
2000/10/24	5.60	5.60	5.42	5.48	391800	5284519.50
2000/10/25	5.46	5.53	5.44	5.48	567700	7650871.00
2000/10/26	5.51	5.60	5.44	5.57	658400	8956737.00
2000/10/27	5.54	5.70	5.54	5.66	707000	9761736.00
2000/10/30	5.71	5.81	5.63	5.74	1176100	16529160.00
2000/10/31	5.76	5.81	5.59	5.62	802100	11162521.00
2000/11/01	5.62	5.76	5.56	5.72	590700	8245079.00
2000/11/02	5.72	5.74	5.65	5.65	437700	6094479.00
2000/11/03	5.69	5.76	5.63	5.64	333200	4650230.50
2000/11/06	5.64	5.69	5.63	5.66	425300	5893552.00
2000/11/07	5.63	5.76	5.63	5.71	510200	7132411.50
2000/11/08	5.72	5.84	5.69	5.78	867700	12255661.00
2000/11/09	5.81	5.83	5.69	5.77	758900	10667065.00
2000/11/10	5.77	5.85	5.72	5.79	1129700	15991767.00
2000/11/13	5.81	5.92	5.72	5.91	1383300	19661872.00
2000/11/14	5.94	6.16	5.94	6.00	2828600	41615288.00
2000/11/15	6.04	6.08	5.89	5.93	1403400	20453542.00
2000/11/16	5.94	6.08	5.89	6.04	1502100	21922552.00
2000/11/17	6.08	6.15	5.96	6.06	1941200	28641858.00
2000/11/20	6.06	6.13	5.97	6.11	934000	13735151.00
2000/11/21	6.16	6.37	5.95	6.26	4383700	66349952.00
2000/11/22	6.39	6.39	6.19	6.25	1918200	29224924.00
2000/11/23	6.26	6.30	6.12	6.16	1580500	23731488.00
2000/11/24	6.16	6.22	5.72	5.80	2233400	32570366.00
2000/11/27	5.76	5.89	5.74	5.80	1012400	14385758.00
2000/11/28	5.80	5.94	5.80	5.84	722500	10343616.00
2000/11/29	5.85	5.91	5.83	5.87	545300	7805738.50
2000/11/30	5.85	5.94	5.81	5.84	529400	7594673.00
2000/12/01	5.85	5.92	5.79	5.84	537700	7685345.50
2000/12/04	5.83	5.87	5.72	5.79	983800	13938296.00
2000/12/05	5.84	5.97	5.80	5.91	769400	11121906.00
2000/12/06	5.90	6.08	5.85	5.90	724300	10523054.00
2000/12/07	5.94	5.94	5.76	5.80	517300	7350846.00
2000/12/08	5.76	6.07	5.76	5.85	677200	9737092.00
2000/12/11	5.85	5.94	5.72	5.73	442000	6238465.00
2000/12/12	5.73	5.81	5.72	5.79	318600	4487837.00
2000/12/13	5.80	5.85	5.77	5.81	283200	4023259.25
2000/12/14	5.80	5.85	5.79	5.81	318800	4527646.50
2000/12/15	5.85	6.03	5.77	5.80	404400	5731217.50
2000/12/18	5.81	5.89	5.77	5.88	349700	4966876.00
2000/12/19	5.90	6.04	5.86	5.95	934500	13580930.00
2000/12/20	5.94	6.06	5.94	6.02	852300	12503084.00
