000919 金陵药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.69	3.96	3.68	3.93	2903500	47018008.00
2000/01/05	3.92	4.03	3.80	3.84	2406200	39401640.00
2000/01/06	3.81	4.37	3.77	4.27	3231000	53794532.00
2000/01/07	4.28	4.49	4.17	4.32	3280300	56676616.00
2000/01/10	4.37	4.76	4.33	4.70	3603200	64604492.00
2000/01/11	4.70	4.70	4.33	4.37	2086200	37096608.00
2000/01/12	4.33	4.46	4.12	4.13	1525700	26105040.00
2000/01/13	4.14	4.21	4.08	4.14	720500	12127009.00
2000/01/14	4.14	4.21	3.99	4.19	773900	12946908.00
2000/01/17	4.16	4.31	4.11	4.18	748000	12691006.00
2000/01/18	4.11	4.39	4.08	4.24	1016200	17413658.00
2000/01/19	4.25	4.70	4.25	4.62	2376300	42512276.00
2000/01/20	4.65	4.77	4.54	4.70	1099000	19955060.00
2000/01/21	4.73	4.95	4.58	4.72	2306800	42776984.00
2000/01/24	4.74	5.15	4.62	5.01	1696900	31750404.00
2000/01/25	5.03	5.10	4.71	4.74	955400	17761254.00
2000/01/26	4.75	4.80	4.64	4.69	778500	14171284.00
2000/01/27	4.73	5.44	4.66	5.27	4692500	90597872.00
2000/01/28	5.28	5.38	5.16	5.35	1772700	34764204.00
2000/02/14	5.69	6.17	5.52	6.16	3444300	72739512.00
2000/02/15	6.26	6.72	5.69	5.85	3408400	74773016.00
2000/02/16	5.71	5.97	5.51	5.85	5612000	116057560.00
2000/02/17	5.97	6.43	5.03	5.18	5554300	114091304.00
2000/02/18	4.99	5.52	4.62	5.47	3486600	66361316.00
2000/02/21	5.51	5.54	5.03	5.07	2192900	42268980.00
2000/02/22	5.03	5.25	4.72	4.79	1248000	23606904.00
2000/02/23	4.73	5.23	4.66	5.01	1633100	30895288.00
2000/02/24	5.10	5.23	4.95	5.11	1384100	26561968.00
2000/02/25	5.11	5.36	4.95	5.01	1283500	24745738.00
2000/02/28	4.41	5.44	4.41	5.34	1283600	25072918.00
2000/02/29	5.40	5.51	5.11	5.12	1143400	22227358.00
2000/03/01	5.12	5.35	4.97	5.23	1442100	27630454.00
2000/03/02	5.32	6.04	5.11	6.04	2850400	58414220.00
2000/03/03	6.07	6.41	5.86	6.18	7732600	169043008.00
2000/03/06	6.18	6.30	5.30	5.32	3156500	66257092.00
2000/03/07	5.23	5.80	5.15	5.77	1650800	33105860.00
2000/03/08	5.77	6.46	5.77	6.22	3835300	83923656.00
2000/03/09	6.18	6.18	5.81	5.89	1617000	34504636.00
2000/03/10	5.85	6.47	5.76	5.77	2092100	45245172.00
2000/03/13	5.65	6.02	5.65	5.96	640600	13445977.00
