000928 中钢国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.46	3.53	3.43	3.52	312800	2248248.00
2000/01/05	3.52	3.59	3.49	3.54	462800	3372113.50
2000/01/06	3.51	3.70	3.51	3.68	766100	5686246.50
2000/01/07	3.72	3.83	3.72	3.81	1840400	14180430.00
2000/01/10	3.84	3.84	3.70	3.81	1255600	9695920.00
2000/01/11	3.81	4.00	3.61	3.77	2304100	18139466.00
2000/01/12	3.76	3.83	3.62	3.62	848200	6396165.00
2000/01/13	3.61	3.65	3.60	3.63	383600	2848850.00
2000/01/14	3.62	3.66	3.48	3.49	488100	3539686.00
2000/01/17	3.48	3.56	3.45	3.54	461200	3308855.50
2000/01/18	3.55	3.60	3.50	3.56	337400	2454143.00
2000/01/19	3.56	3.65	3.56	3.61	404800	2994046.00
2000/01/20	3.68	3.70	3.62	3.66	553500	4155338.50
2000/01/21	3.67	3.72	3.60	3.61	926600	6907002.00
2000/01/24	3.56	3.61	3.46	3.55	1146000	8275629.50
2000/01/25	3.59	3.61	3.51	3.59	738400	5391956.50
2000/01/26	3.59	3.63	3.54	3.58	509800	3739014.00
2000/01/27	3.61	3.61	3.51	3.53	1060500	7691495.00
2000/01/28	3.53	3.62	3.47	3.61	1502400	10860769.00
2000/02/14	3.69	3.92	3.67	3.90	2213100	17177742.00
2000/02/15	3.92	3.97	3.72	3.74	2967800	23320236.00
2000/02/16	3.70	3.70	3.60	3.66	2187100	16311367.00
2000/02/17	3.67	3.82	3.56	3.69	2484800	18706084.00
2000/02/18	3.66	3.69	3.56	3.61	1271700	9374027.00
2000/02/21	3.61	3.87	3.56	3.80	2332900	17623060.00
2000/02/22	3.79	3.84	3.63	3.64	1562200	11872009.00
2000/02/23	3.64	3.66	3.57	3.61	891300	6580026.50
2000/02/24	3.59	3.66	3.59	3.63	776000	5741959.50
2000/02/25	3.62	3.63	3.56	3.59	1172500	8597121.00
2000/02/28	3.59	3.69	3.53	3.68	1615700	12006646.00
2000/02/29	3.72	3.74	3.62	3.69	1561600	11751542.00
2000/03/01	3.69	3.85	3.65	3.81	3578100	27599454.00
2000/03/02	3.81	3.82	3.72	3.81	1742500	13378305.00
2000/03/03	3.80	3.91	3.76	3.82	3053700	23944096.00
2000/03/06	3.87	3.89	3.70	3.72	2397600	18699846.00
2000/03/07	3.66	3.87	3.66	3.82	1677200	12838832.00
2000/03/08	3.86	4.09	3.86	4.04	8343700	67792848.00
2000/03/09	4.04	4.04	3.92	3.96	2929000	23684144.00
2000/03/10	3.97	4.00	3.79	3.82	2172100	17103460.00
2000/03/13	3.81	3.92	3.77	3.91	1393700	10933184.00
2000/03/14	3.82	3.87	3.72	3.87	1756000	13594184.00
2000/03/15	3.87	4.02	3.87	3.93	2112200	17030184.00
