000930 中粮生化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.25	3.36	3.21	3.35	720800	13885540.00
2000/01/05	3.37	3.52	3.31	3.33	1385900	27423786.00
2000/01/06	3.28	3.45	3.18	3.42	1731500	33207138.00
2000/01/07	3.45	3.56	3.41	3.47	3567600	71275072.00
2000/01/10	3.50	3.67	3.48	3.62	4411900	91478008.00
2000/01/11	3.58	3.64	3.40	3.41	2050800	40987320.00
2000/01/12	3.43	3.48	3.28	3.35	1409800	27704970.00
2000/01/13	3.33	3.35	3.24	3.27	594300	11311161.00
2000/01/14	3.28	3.30	3.04	3.05	1779400	32370706.00
2000/01/17	3.03	3.10	3.01	3.10	1767500	31543438.00
2000/01/18	3.12	3.12	3.04	3.05	951000	17032558.00
2000/01/19	3.07	3.12	3.05	3.11	682300	12288635.00
2000/01/20	3.12	3.22	3.08	3.21	1246100	22651856.00
2000/01/21	3.20	3.26	3.16	3.18	1863900	34796964.00
2000/01/24	3.18	3.43	2.99	3.41	6364300	119447248.00
2000/01/25	3.37	3.39	3.25	3.27	1712800	32754396.00
2000/01/26	3.27	3.27	3.14	3.18	874800	16202372.00
2000/01/27	3.20	3.35	3.18	3.23	1568900	29758720.00
2000/01/28	3.26	3.33	3.18	3.22	2511600	47179348.00
2000/02/14	3.33	3.56	3.29	3.55	5941100	118478552.00
2000/02/15	3.56	3.93	3.36	3.55	8186200	172701584.00
2000/02/16	3.52	3.66	3.41	3.45	5016700	101129632.00
2000/02/17	3.47	3.65	3.18	3.19	4331200	84107688.00
2000/02/18	3.16	3.33	3.15	3.29	1640700	30880514.00
2000/02/21	3.29	3.29	3.18	3.23	1647600	30764662.00
2000/02/22	3.23	3.54	3.21	3.23	2829300	55212168.00
2000/02/23	3.22	3.30	3.15	3.18	1665700	31111558.00
2000/02/24	3.18	3.38	3.16	3.29	1604300	30557566.00
2000/02/25	3.35	3.37	3.23	3.26	1439600	27534672.00
2000/02/28	3.28	3.47	3.26	3.41	3169300	62298208.00
2000/02/29	3.45	3.50	3.31	3.39	2169000	42519436.00
2000/03/01	3.47	3.47	3.14	3.31	1709800	32826812.00
2000/03/02	3.29	3.46	3.27	3.46	3086100	60283272.00
2000/03/03	3.47	3.70	3.43	3.62	8049600	166088640.00
2000/03/06	3.73	3.74	3.43	3.51	6208300	128618304.00
2000/03/07	3.47	3.56	3.43	3.56	3041700	61178672.00
2000/03/08	3.55	3.75	3.52	3.65	9170600	192809584.00
2000/03/09	3.67	3.68	3.58	3.61	2046800	42639900.00
2000/03/10	3.60	3.77	3.54	3.70	6764100	142345984.00
2000/03/13	3.66	3.91	3.58	3.86	8923400	194868096.00
2000/03/14	3.84	3.84	3.48	3.69	5553700	116505920.00
2000/03/15	3.69	3.80	3.52	3.54	5737000	120757928.00
2000/03/16	3.54	3.54	3.38	3.39	2241100	44596600.00
2000/03/17	3.39	3.52	3.39	3.51	1843200	36911252.00
2000/03/20	3.47	3.81	3.43	3.78	5684900	120130872.00
2000/03/21	3.77	3.80	3.62	3.63	3045700	64479776.00
2000/03/22	3.64	3.72	3.59	3.61	1573500	33027818.00
2000/03/23	3.61	3.73	3.59	3.72	4530300	95168384.00
