000949 新乡化纤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.68	1.75	1.66	1.73	778000	6784225.00
2000/01/05	1.74	1.76	1.70	1.71	1298900	11412709.00
2000/01/06	1.66	1.82	1.66	1.79	1853700	16479930.00
2000/01/07	1.81	1.88	1.80	1.87	3636400	33552524.00
2000/01/10	1.87	1.98	1.81	1.93	4205700	39425648.00
2000/01/11	1.93	1.93	1.78	1.80	2142800	19889064.00
2000/01/12	1.78	1.83	1.72	1.72	1445500	12821859.00
2000/01/13	1.73	1.74	1.69	1.70	884900	7680224.00
2000/01/14	1.71	1.74	1.67	1.69	1072000	9237209.00
2000/01/17	1.67	1.74	1.67	1.73	790400	6886755.50
2000/01/18	1.75	1.78	1.64	1.74	1829200	16035321.00
2000/01/19	1.73	1.83	1.73	1.83	1961200	17756134.00
2000/01/20	1.83	1.85	1.81	1.83	1192800	10940466.00
2000/01/21	1.84	1.88	1.78	1.81	2305300	21182294.00
2000/01/24	1.80	1.81	1.71	1.76	1478500	13106523.00
2000/01/25	1.76	1.82	1.74	1.77	998600	8959841.00
2000/01/26	1.78	1.78	1.74	1.75	688100	6107539.50
2000/01/27	1.75	1.76	1.72	1.73	1722700	15129792.00
2000/01/28	1.73	1.77	1.70	1.77	1764500	15397633.00
2000/02/14	1.79	1.93	1.79	1.93	2974800	27898906.00
2000/02/15	1.93	1.95	1.80	1.82	4126600	38674208.00
2000/02/16	1.81	1.81	1.74	1.80	2702100	24105884.00
2000/02/17	1.81	1.86	1.75	1.81	4902000	44362824.00
2000/02/18	1.78	1.83	1.74	1.78	1982200	17763064.00
2000/02/21	1.78	1.87	1.75	1.87	3320600	30599372.00
2000/02/22	1.90	1.93	1.77	1.78	2353800	21761866.00
2000/02/23	1.76	1.83	1.76	1.81	1770100	15884379.00
2000/02/24	1.82	1.88	1.78	1.84	1956500	18097366.00
2000/02/25	1.84	1.84	1.80	1.81	1145200	10446482.00
2000/02/28	1.81	1.87	1.77	1.82	2086500	19005838.00
2000/02/29	1.82	1.90	1.80	1.86	3291300	30644202.00
2000/03/01	1.89	1.93	1.86	1.88	2871300	27137956.00
2000/03/02	1.88	1.90	1.82	1.88	1608300	14988603.00
2000/03/03	1.87	2.01	1.85	1.97	6170000	59874616.00
2000/03/06	1.99	2.01	1.84	1.85	3304000	31879358.00
2000/03/07	1.83	1.89	1.82	1.87	1638700	15194398.00
2000/03/08	1.87	1.92	1.86	1.89	1568600	14831393.00
2000/03/09	1.90	1.97	1.90	1.93	2488000	23926520.00
2000/03/10	1.93	1.93	1.85	1.86	1393000	13050889.00
2000/03/13	1.86	1.95	1.85	1.93	1536200	14627111.00
2000/03/14	1.88	2.04	1.83	2.02	5909300	58026728.00
2000/03/15	2.02	2.13	1.98	1.99	7588600	77485664.00
2000/03/16	1.98	1.99	1.86	1.89	3313900	31725534.00
2000/03/17	1.88	1.98	1.88	1.96	2736500	26397468.00
2000/03/20	1.95	2.14	1.92	2.13	7956500	81817344.00
2000/03/21	2.14	2.37	2.12	2.26	10839200	118767840.00
2000/03/22	2.26	2.27	2.14	2.27	6047300	64930092.00
2000/03/23	2.29	2.39	2.26	2.28	7560900	85413456.00
2000/03/24	2.28	2.33	2.17	2.19	5702900	63061512.00
2000/03/27	2.17	2.38	2.17	2.37	4985200	55337932.00
2000/03/28	2.40	2.45	2.30	2.33	4258600	48618836.00
2000/03/29	2.33	2.36	2.23	2.31	3601400	39874404.00
2000/03/30	2.31	2.38	2.25	2.36	3699900	41856672.00
2000/03/31	2.36	2.37	2.26	2.28	2853100	31765448.00
2000/04/03	2.27	2.31	2.21	2.21	2940800	32199756.00
2000/04/04	2.19	2.19	2.11	2.12	2649700	27835646.00
2000/04/05	2.10	2.15	2.07	2.13	1872400	19484182.00
2000/04/06	2.13	2.24	2.13	2.23	2092400	22402504.00
2000/04/07	2.23	2.26	2.20	2.25	1672100	18097328.00
2000/04/10	2.24	2.31	2.21	2.28	1764000	19397548.00
2000/04/11	2.28	2.30	2.20	2.20	1499500	16338104.00
2000/04/12	2.19	2.28	2.19	2.24	1461400	15913398.00
2000/04/13	2.24	2.26	2.21	2.24	1403200	15294923.00
2000/04/14	2.24	2.36	2.23	2.33	4085300	45774332.00
2000/04/17	2.33	2.43	2.26	2.37	5653000	64449312.00
2000/04/19	2.41	2.45	2.32	2.33	1858200	21249742.00
2000/04/20	2.33	2.36	2.29	2.31	1814000	20298210.00
2000/04/21	2.31	2.33	2.26	2.28	1594500	17732524.00
2000/04/24	2.27	2.27	2.24	2.26	1706500	18683718.00
2000/04/25	2.26	2.32	2.25	2.31	1020300	11342461.00
2000/04/26	2.31	2.32	2.24	2.25	861900	9546383.00
2000/04/27	2.25	2.25	2.17	2.17	1506300	16187848.00
2000/04/28	2.18	2.21	2.14	2.21	1297100	13781979.00
2000/05/08	2.21	2.26	2.17	2.24	900900	9793154.00
2000/05/09	2.26	2.26	2.22	2.23	780800	8498213.00
2000/05/10	2.23	2.23	2.09	2.09	958400	10059620.00
2000/05/11	2.10	2.14	2.02	2.03	802600	8172298.00
2000/05/12	2.05	2.09	2.03	2.07	1030300	10464302.00
2000/05/15	2.08	2.09	2.03	2.03	598900	6062922.00
2000/05/16	2.03	2.07	2.03	2.07	471100	4781190.00
2000/05/17	2.07	2.08	2.04	2.05	409900	4158438.25
2000/05/18	2.05	2.12	2.03	2.12	674400	6932940.50
2000/05/19	2.13	2.14	2.09	2.14	908500	9468862.00
2000/05/22	2.15	2.26	2.15	2.23	2165300	23533028.00
2000/05/23	2.24	2.31	2.19	2.29	1889600	20680620.00
2000/05/24	2.29	2.32	2.27	2.30	2252000	25106998.00
2000/05/25	2.33	2.37	2.27	2.31	1802800	20182594.00
2000/05/26	2.31	2.33	2.25	2.26	2081600	23093054.00
2000/05/29	2.26	2.31	2.22	2.31	1756900	19421422.00
2000/05/30	2.39	2.39	2.26	2.27	2518700	28479412.00
2000/05/31	2.24	2.30	2.24	2.28	1335400	14781049.00
2000/06/01	2.29	2.31	2.24	2.27	1187300	13095227.00
2000/06/02	2.28	2.29	2.23	2.28	1463500	16082407.00
2000/06/05	2.29	2.37	2.29	2.30	2052200	23085232.00
2000/06/06	2.30	2.38	2.29	2.37	2533600	28697856.00
2000/06/07	2.37	2.41	2.33	2.39	2460800	28217616.00
2000/06/08	2.41	2.55	2.34	2.51	7981100	94732240.00
2000/06/09	2.51	2.62	2.43	2.43	6838900	83084224.00
2000/06/12	2.43	2.57	2.39	2.55	3649800	43872800.00
