000989 九 芝 堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/06/28	4.81	5.58	4.49	4.51	20153700	479803008.00
2000/06/29	4.49	5.27	4.35	4.86	8143000	196744256.00
2000/06/30	4.80	4.80	4.51	4.54	3108200	73031168.00
2000/07/03	4.48	4.62	4.35	4.37	1755000	40326148.00
2000/07/04	4.37	4.48	4.25	4.39	1205500	27388446.00
2000/07/05	4.35	4.39	4.27	4.29	754000	17121114.00
2000/07/06	4.25	4.27	4.07	4.11	1147900	25495542.00
2000/07/07	4.07	4.41	4.05	4.30	879600	19864182.00
2000/07/10	4.38	4.53	4.14	4.42	879600	20101994.00
2000/07/11	4.42	4.43	4.25	4.28	623600	14170474.00
2000/07/12	4.27	4.35	4.19	4.33	780000	17666416.00
2000/07/13	4.35	4.80	4.27	4.51	1950500	45570180.00
2000/07/14	4.62	4.76	4.54	4.66	1220600	28825290.00
2000/07/17	4.66	4.66	4.38	4.40	849900	19577942.00
2000/07/18	4.39	4.44	4.33	4.38	470500	10757705.00
2000/07/19	4.42	4.45	4.31	4.34	446300	10209825.00
2000/07/20	4.31	4.42	4.23	4.25	509800	11520551.00
2000/07/21	4.23	4.41	4.23	4.28	286500	6498827.50
2000/07/24	4.28	4.28	4.11	4.14	343700	7672776.00
2000/07/25	4.13	4.30	4.12	4.23	440400	9879090.00
2000/07/26	4.23	4.35	4.19	4.23	358800	8090870.00
2000/07/27	4.24	4.42	4.24	4.27	491200	11192922.00
2000/07/28	4.27	4.39	4.27	4.32	365200	8304716.00
2000/07/31	4.32	4.33	4.18	4.23	498600	11198211.00
2000/08/01	4.19	4.31	4.19	4.26	301300	6774486.50
2000/08/02	4.19	4.38	4.19	4.19	319100	7171108.50
2000/08/03	4.35	4.35	4.15	4.19	565400	12689966.00
2000/08/04	4.23	4.25	4.14	4.16	496600	11084836.00
2000/08/07	4.16	4.55	4.11	4.42	908700	20654818.00
2000/08/08	4.42	4.42	4.29	4.31	287400	6541382.00
2000/08/09	4.31	4.40	4.25	4.34	458900	10445234.00
2000/08/10	4.35	4.52	4.35	4.45	939100	21666758.00
2000/08/11	4.49	4.50	4.31	4.35	397900	9114147.00
2000/08/14	4.42	4.61	4.42	4.46	948500	22030752.00
2000/08/15	4.47	4.52	4.35	4.38	328100	7532829.00
2000/08/16	4.37	4.49	4.35	4.42	485400	11163147.00
2000/08/17	4.42	4.60	4.40	4.54	996900	23195480.00
2000/08/18	4.54	4.54	4.42	4.43	411900	9535586.00
2000/08/21	4.42	4.43	4.31	4.33	433800	9881747.00
2000/08/22	4.38	4.39	4.25	4.27	432100	9824268.00
2000/08/23	4.23	4.31	4.04	4.13	1027000	22897146.00
2000/08/24	4.15	4.42	4.15	4.31	433500	9847008.00
2000/08/25	4.31	4.42	4.29	4.42	406700	9291798.00
2000/08/28	4.33	4.57	4.33	4.54	995400	23060056.00
2000/08/29	4.58	5.07	4.42	4.90	4106400	98711520.00
2000/08/30	4.99	5.31	4.83	5.19	5783400	143027024.00
2000/08/31	5.23	5.24	4.77	4.79	2054900	50038612.00
2000/09/01	4.69	4.88	4.63	4.64	900900	21455886.00
2000/09/04	4.64	5.19	4.64	5.12	2574700	63021088.00
2000/09/05	5.15	5.15	4.74	4.79	872100	21289496.00
2000/09/06	4.77	4.92	4.67	4.69	779200	18595906.00
2000/09/07	4.73	5.39	4.70	5.19	4903300	121702608.00
2000/09/08	5.47	5.69	4.99	5.05	6709600	170193904.00
2000/09/11	5.00	5.16	4.95	5.08	1445800	35584788.00
2000/09/12	5.13	5.15	4.83	4.93	828600	20198236.00
2000/09/13	4.93	5.03	4.84	4.95	575500	13964026.00
2000/09/14	4.91	4.98	4.86	4.88	405300	9806370.00
2000/09/15	4.91	4.93	4.75	4.78	534600	12816588.00
2000/09/18	4.79	4.81	4.66	4.70	498100	11811070.00
2000/09/19	4.70	4.70	4.38	4.42	758700	17598702.00
2000/09/20	4.41	4.61	4.38	4.42	475700	10960061.00
2000/09/21	4.46	4.81	4.42	4.62	1387600	32851596.00
2000/09/22	4.62	5.00	4.62	4.65	2277500	55051488.00
2000/09/25	4.66	4.81	4.58	4.75	989100	23481934.00
2000/09/26	4.83	4.83	4.67	4.71	288000	6876174.50
2000/09/27	4.71	4.75	4.58	4.69	414600	9769140.00
2000/09/28	4.60	4.76	4.50	4.57	359100	8389298.00
2000/09/29	4.66	4.89	4.55	4.69	972500	23299242.00
2000/10/09	4.73	4.79	4.54	4.62	333700	7845022.50
2000/10/10	4.62	4.75	4.62	4.69	295500	6996609.00
2000/10/11	4.75	4.92	4.69	4.78	497400	11967335.00
2000/10/12	4.78	4.89	4.58	4.73	492700	11671951.00
2000/10/13	4.69	4.73	4.46	4.50	689600	16101557.00
2000/10/16	4.50	4.56	4.42	4.43	409500	9473590.00
2000/10/17	4.43	4.54	4.39	4.52	219300	5060299.50
2000/10/18	4.52	4.61	4.42	4.54	258900	5994281.50
2000/10/19	4.54	4.61	4.47	4.54	137800	3210485.50
2000/10/20	4.54	4.81	4.54	4.74	658900	15669924.00
2000/10/23	4.80	4.93	4.66	4.86	825500	19910212.00
2000/10/24	4.90	4.91	4.74	4.88	432400	10378754.00
2000/10/25	4.88	5.14	4.88	4.90	1439200	35324640.00
2000/10/26	4.90	4.98	4.79	4.81	526500	12704730.00
2000/10/27	4.95	5.19	4.95	5.02	1042000	25717166.00
2000/10/30	5.11	5.16	5.06	5.09	610300	15119917.00
2000/10/31	5.12	5.12	4.85	4.87	518100	12592717.00
2000/11/01	4.85	4.93	4.77	4.91	399100	9610372.00
2000/11/02	4.97	4.97	4.87	4.88	318200	7716646.00
2000/11/03	4.85	4.89	4.77	4.85	328000	7883547.00
2000/11/06	4.92	5.11	4.87	4.95	380000	9303038.00
2000/11/07	4.98	5.18	4.93	5.15	1144700	28298782.00
2000/11/08	5.20	5.38	5.16	5.29	1314600	33132898.00
2000/11/09	5.35	5.35	5.14	5.18	901100	22628152.00
2000/11/10	5.20	5.20	5.10	5.14	741400	18423120.00
2000/11/13	5.14	5.23	5.09	5.15	552200	13739141.00
2000/11/14	5.15	5.29	5.08	5.23	583800	14612777.00
2000/11/15	5.23	5.45	5.15	5.27	1106200	28011668.00
2000/11/16	5.25	5.47	5.25	5.37	858400	21890634.00
2000/11/17	5.37	5.42	5.23	5.24	547700	13845008.00
2000/11/20	5.24	5.24	5.12	5.14	462000	11509465.00
2000/11/21	5.12	5.22	5.12	5.12	460900	11477570.00
2000/11/22	5.17	5.34	5.10	5.27	565200	14127604.00
2000/11/23	5.27	5.37	5.18	5.20	531400	13401671.00
2000/11/24	5.20	5.40	5.00	5.03	652900	16340103.00
2000/11/27	4.89	5.00	4.86	4.89	532000	12928242.00
2000/11/28	4.89	5.16	4.89	5.00	269900	6638092.50
2000/11/29	5.12	5.16	4.95	5.02	255700	6280060.50
2000/11/30	5.02	5.03	4.81	4.91	247600	6011816.50
2000/12/01	4.89	5.07	4.89	4.93	268400	6532376.00
2000/12/04	4.95	5.00	4.85	5.00	297200	7230840.50
2000/12/05	5.07	5.07	4.92	4.97	279200	6794340.50
2000/12/06	4.97	5.07	4.89	4.90	340400	8278242.50
2000/12/07	4.90	4.93	4.83	4.85	277900	6709257.00
2000/12/08	4.85	5.05	4.85	4.99	151400	3672738.50
2000/12/11	4.99	5.00	4.83	4.85	212000	5122590.00
2000/12/12	4.85	5.10	4.85	5.05	254100	6220613.00
2000/12/13	5.06	5.16	4.99	5.08	279200	6910058.50
2000/12/14	5.11	5.12	4.89	4.94	167600	4120788.75
2000/12/15	4.94	5.24	4.91	5.19	504900	12489690.00
2000/12/18	5.24	5.47	5.23	5.35	1158100	29437106.00
2000/12/19	5.20	5.47	5.20	5.39	737900	18799044.00
2000/12/20	5.46	5.58	5.43	5.51	961700	24843160.00
2000/12/21	5.54	5.60	5.39	5.40	585600	15052425.00
2000/12/22	5.40	5.43	5.23	5.30	700000	17707744.00
2000/12/25	5.30	5.51	5.28	5.46	433300	11110500.00
2000/12/26	5.54	5.57	5.43	5.49	495800	12762579.00
2000/12/27	5.49	5.55	5.34	5.36	370800	9486745.00
2000/12/28	5.39	5.39	5.23	5.26	482100	12205641.00
2001/01/02	5.42	6.04	5.31	5.90	1885100	50356764.00
2001/01/03	5.97	6.18	5.80	5.93	1747500	47309700.00
2001/01/04	5.96	5.97	5.76	5.83	655500	17511254.00
2001/01/05	5.82	6.12	5.79	5.97	570900	15439003.00
2001/01/08	6.03	6.11	5.78	5.84	520400	13958505.00
2001/01/09	5.84	5.99	5.69	5.79	399700	10624751.00
2001/01/10	5.82	5.98	5.82	5.85	459500	12309944.00
2001/01/11	5.88	6.12	5.82	6.01	512500	13822878.00
2001/01/12	6.01	6.01	5.78	5.85	342400	9158069.00
2001/01/15	5.82	5.82	5.20	5.33	979600	25130088.00
2001/01/16	5.20	5.42	5.16	5.30	433500	10932285.00
2001/01/17	5.30	5.39	5.24	5.26	233200	5886601.50
2001/01/18	5.27	5.35	5.22	5.23	288600	7276516.00
2001/01/19	5.31	5.47	5.24	5.39	248700	6340704.50
2001/02/05	5.39	5.39	4.81	4.88	585500	14374643.00
2001/02/06	4.87	4.87	4.53	4.80	363700	8606948.00
2001/02/07	4.80	4.88	4.61	4.64	189800	4501500.00
2001/02/08	4.63	4.81	4.48	4.49	203700	4790149.50
2001/02/09	4.62	4.76	4.50	4.67	253100	5932570.00
2001/02/12	4.66	4.77	4.46	4.69	142000	3326485.50
2001/02/13	4.69	4.76	4.53	4.59	344700	8081551.00
2001/02/14	4.57	4.66	4.56	4.66	70600	1658692.50
2001/02/15	4.62	4.70	4.50	4.64	81200	1913749.50
2001/02/16	4.62	5.04	4.52	4.80	407500	9827176.00
2001/02/19	4.80	4.86	4.73	4.84	151700	3634937.00
2001/02/20	4.83	4.89	4.68	4.71	180600	4328451.50
2001/02/21	4.58	4.73	4.58	4.62	136100	3204511.50
2001/02/22	4.58	4.80	4.54	4.66	94600	2236463.25
2001/02/23	4.62	4.81	4.62	4.79	114000	2702268.00
2001/02/26	4.81	4.94	4.73	4.93	177000	4279026.50
2001/02/27	4.97	4.97	4.85	4.93	169600	4119887.75
2001/02/28	4.93	4.93	4.75	4.85	78800	1901909.13
2001/03/01	4.85	4.91	4.81	4.86	73400	1771669.63
2001/03/02	4.97	4.97	4.86	4.93	169600	4120941.25
2001/03/05	4.93	4.93	4.77	4.80	107700	2586415.00
2001/03/06	4.79	4.79	4.69	4.75	107900	2564035.00
2001/03/07	4.75	4.89	4.75	4.81	162900	3913465.50
2001/03/08	4.77	4.85	4.75	4.81	114700	2749444.75
2001/03/09	4.81	4.97	4.77	4.93	285300	6928125.50
2001/03/12	4.89	4.89	4.80	4.82	155800	3745556.25
2001/03/13	4.81	4.98	4.77	4.82	111200	2684428.25
2001/03/14	4.80	4.93	4.77	4.85	92100	2221587.50
2001/03/15	4.89	4.96	4.78	4.84	125200	3025718.50
2001/03/16	4.77	4.81	4.69	4.76	173400	4146196.00
2001/03/19	4.76	4.88	4.72	4.76	159300	3813295.50
2001/03/20	4.89	4.89	4.74	4.78	176700	4225306.00
2001/03/21	4.87	5.00	4.80	4.85	515100	12486623.00
2001/03/22	4.90	5.15	4.90	5.15	976900	24003612.00
2001/03/23	5.16	5.19	4.93	4.95	393900	9735142.00
2001/03/26	4.95	5.15	4.89	5.07	470100	11503273.00
2001/03/27	5.09	5.18	5.09	5.16	331100	8228240.50
2001/03/28	5.18	5.19	5.07	5.11	240000	5961589.00
2001/03/29	5.12	5.31	5.04	5.21	504900	12591333.00
2001/03/30	5.22	5.29	5.20	5.29	509700	12810704.00
2001/04/02	5.31	5.31	5.20	5.26	389800	9798207.00
2001/04/03	5.26	5.29	5.12	5.17	217000	5420705.50
2001/04/04	5.17	5.19	4.89	4.96	473000	11623514.00
2001/04/05	4.90	5.03	4.89	5.01	237500	5803767.00
2001/04/06	5.15	5.16	4.95	4.99	380600	9308002.00
2001/04/09	5.03	5.04	4.81	4.97	244500	5958004.00
2001/04/10	4.98	5.10	4.90	5.07	178700	4394299.00
2001/04/11	5.06	5.07	4.95	5.00	332900	8147960.00
2001/04/12	5.00	5.19	4.95	5.08	329500	8118994.50
2001/04/13	5.09	5.29	5.08	5.27	533200	13351769.00
2001/04/16	5.31	5.51	5.24	5.48	707600	17977074.00
2001/04/17	5.54	5.58	5.27	5.38	749100	19083910.00
2001/04/18	5.49	5.49	5.29	5.34	713100	18115818.00
2001/04/19	5.35	5.35	5.20	5.33	404100	10175432.00
2001/04/20	5.35	5.38	5.23	5.28	551500	13925981.00
2001/04/23	5.20	5.27	5.11	5.16	301900	7525492.50
