002012 凯恩股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/07/05	2.79	3.13	2.73	3.07	22283853	350263584.00
2004/07/06	3.11	3.23	3.00	3.18	7609632	126285040.00
2004/07/07	3.15	3.25	3.11	3.15	4886285	82459256.00
2004/07/08	3.11	3.24	3.08	3.18	2699649	45397120.00
2004/07/09	3.19	3.30	3.11	3.18	3173531	54056008.00
2004/07/12	3.19	3.20	3.00	3.05	2457079	40236052.00
2004/07/13	2.98	3.06	2.79	3.01	3216331	50077524.00
2004/07/14	2.96	3.06	2.89	3.06	1730601	27513662.00
2004/07/15	3.09	3.22	3.03	3.11	2464107	40957416.00
2004/07/16	3.10	3.46	3.08	3.45	7559848	134717152.00
2004/07/19	3.40	3.47	3.31	3.47	3211804	57708648.00
2004/07/20	3.45	3.50	3.31	3.31	3824772	68326464.00
2004/07/21	3.29	3.34	3.19	3.20	2480820	42865832.00
2004/07/22	3.28	3.33	3.13	3.14	3125220	53494588.00
2004/07/23	3.12	3.36	3.12	3.35	2239861	38244996.00
2004/07/26	3.33	3.34	3.19	3.24	1611003	27801980.00
2004/07/27	3.21	3.26	2.98	3.06	1984108	32614570.00
2004/07/28	3.03	3.15	2.96	3.12	1727146	28252416.00
2004/07/29	3.17	3.24	3.09	3.20	1706351	28704968.00
2004/07/30	3.21	3.21	3.06	3.09	1095030	18187444.00
2004/08/02	3.07	3.12	2.98	3.05	1009531	16450566.00
2004/08/03	3.04	3.17	3.02	3.10	787686	13044047.00
2004/08/04	3.10	3.19	3.01	3.18	1696496	28068826.00
2004/08/05	3.22	3.30	3.19	3.20	3886094	66963096.00
2004/08/06	3.21	3.33	3.14	3.27	2924006	50353820.00
2004/08/09	3.25	3.27	2.91	2.91	3502001	56749904.00
2004/08/10	2.91	3.02	2.89	3.01	1969157	31144410.00
2004/08/11	3.00	3.01	2.91	2.94	1051919	16580264.00
2004/08/12	2.91	2.98	2.88	2.96	817245	12850789.00
2004/08/13	2.90	3.00	2.90	2.94	606341	9576073.00
2004/08/16	2.92	2.92	2.61	2.61	2954977	42100144.00
2004/08/17	2.63	2.67	2.56	2.63	1060010	15028285.00
2004/08/18	2.58	2.62	2.40	2.47	1380016	18584128.00
2004/08/19	2.47	2.49	2.43	2.47	571241	7650062.00
2004/08/20	2.46	2.52	2.43	2.46	450340	6059833.00
2004/08/23	2.44	2.44	2.21	2.26	987447	12291632.00
2004/08/24	2.25	2.38	2.17	2.33	757079	9486072.00
2004/08/25	2.31	2.31	2.22	2.25	483075	5983796.50
2004/08/26	2.24	2.28	2.18	2.20	255409	3131281.50
2004/08/27	2.19	2.19	2.07	2.14	522413	6152875.50
2004/08/30	2.14	2.38	2.12	2.26	600334	7487987.50
2004/08/31	2.36	2.42	2.30	2.30	653280	8352773.00
2004/09/01	2.28	2.29	2.20	2.20	235550	2891949.50
2004/09/02	2.18	2.28	2.18	2.28	247513	3036754.00
2004/09/03	2.28	2.31	2.21	2.26	154906	1922496.63
2004/09/06	2.24	2.28	2.24	2.27	91600	1138451.00
2004/09/07	2.27	2.29	2.24	2.26	87663	1087781.13
2004/09/08	2.26	2.28	2.24	2.28	123014	1524955.25
2004/09/09	2.24	2.28	2.19	2.24	227834	2808250.75
2004/09/13	2.18	2.24	2.11	2.14	235150	2814318.50
2004/09/14	2.14	2.28	2.14	2.24	646054	8007748.00
2004/09/15	2.24	2.48	2.21	2.39	990307	12906562.00
2004/09/16	2.42	2.59	2.38	2.54	1461896	19842794.00
2004/09/17	2.53	2.65	2.49	2.64	895973	12388079.00
2004/09/20	2.65	2.75	2.59	2.71	1277586	18348746.00
2004/09/21	2.71	2.82	2.63	2.77	1532499	22568282.00
2004/09/22	2.78	3.08	2.73	2.98	2583175	40379396.00
2004/09/23	2.96	2.98	2.86	2.98	1562140	24390476.00
2004/09/24	2.99	3.14	2.88	2.88	1227892	19724958.00
2004/09/27	2.90	3.04	2.79	2.92	882829	13876996.00
2004/09/28	2.92	2.98	2.86	2.94	534545	8340532.00
2004/09/29	2.93	3.17	2.93	3.04	1495686	24234046.00
2004/09/30	3.06	3.13	3.01	3.09	1451726	23762092.00
2004/10/08	3.09	3.43	3.06	3.43	1723371	30274772.00
2004/10/11	3.51	3.60	3.37	3.59	2020472	37171872.00
2004/10/12	3.55	3.55	3.32	3.36	1842832	33050044.00
2004/10/13	3.35	3.40	3.22	3.26	739043	12848460.00
2004/10/14	3.31	3.31	2.90	2.90	1409938	22380886.00
2004/10/15	2.84	2.92	2.76	2.87	481600	7295936.00
2004/10/18	2.90	3.01	2.86	2.93	287318	4514020.50
2004/10/19	2.92	3.05	2.91	2.92	364478	5815006.00
2004/10/20	2.91	2.92	2.77	2.88	402708	6076110.00
2004/10/21	2.90	2.90	2.78	2.81	259050	3931534.75
2004/10/22	2.79	3.12	2.79	3.12	963414	15600306.00
2004/10/25	3.17	3.28	3.12	3.17	806491	13701193.00
2004/10/26	3.13	3.35	3.13	3.33	982109	17001496.00
2004/10/27	3.33	3.40	3.27	3.39	729277	12873692.00
2004/10/28	3.41	3.41	3.12	3.18	926895	16088367.00
2004/10/29	3.11	3.34	3.02	3.21	1117317	19158122.00
