002025 航天电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/07/26	1.09	1.26	0.85	1.01	16121025	228192352.00
2004/07/27	0.99	1.01	0.77	0.78	7429156	100533248.00
2004/07/28	0.74	0.83	0.66	0.80	5909958	75893432.00
2004/07/29	0.81	1.02	0.81	0.94	8277616	114440904.00
2004/07/30	0.94	1.04	0.91	0.94	5474331	77284288.00
2004/08/02	0.92	1.02	0.89	0.95	3235222	45759444.00
2004/08/03	0.93	1.07	0.93	1.01	3258841	46685744.00
2004/08/04	1.01	1.11	0.99	1.05	3994715	58318208.00
2004/08/05	1.07	1.10	1.01	1.03	2790001	40846040.00
2004/08/06	1.01	1.17	0.95	1.14	5044015	74055376.00
2004/08/09	1.11	1.14	1.02	1.05	2856506	42177588.00
2004/08/10	1.06	1.10	1.03	1.08	1710925	25078770.00
2004/08/11	1.09	1.10	0.98	0.98	2049628	29554940.00
2004/08/12	0.95	1.01	0.93	0.97	1554642	21919064.00
2004/08/13	1.00	1.09	0.98	1.00	1557932	22470228.00
2004/08/16	0.99	1.00	0.87	0.95	1906622	26262256.00
2004/08/17	0.93	1.02	0.89	0.95	1188228	16682563.00
2004/08/18	0.92	0.95	0.81	0.90	1557775	21188790.00
2004/08/19	0.91	0.94	0.87	0.91	1014032	13950591.00
2004/08/20	0.91	1.00	0.89	0.98	1305521	18292902.00
2004/08/23	0.93	0.96	0.87	0.91	787030	10831752.00
2004/08/24	0.92	1.04	0.89	1.02	2007350	28574636.00
2004/08/25	1.01	1.03	0.97	1.00	980821	13979796.00
2004/08/26	0.98	1.01	0.78	0.78	2677630	36231076.00
2004/08/27	0.82	0.89	0.80	0.83	1491950	19979754.00
2004/08/30	0.83	0.92	0.71	0.84	1456749	19436430.00
2004/08/31	0.92	0.95	0.88	0.89	1662875	22890154.00
2004/09/02	0.79	0.87	0.75	0.84	1265741	16638991.00
2004/09/03	0.83	0.85	0.76	0.76	1003374	13077354.00
2004/09/06	0.76	0.81	0.73	0.77	513173	6632032.50
2004/09/07	0.75	0.79	0.72	0.76	397970	5098135.50
2004/09/08	0.76	0.81	0.75	0.79	832376	10876916.00
2004/09/09	0.79	0.81	0.75	0.75	586266	7586273.50
2004/09/10	0.72	0.77	0.72	0.75	589104	7513627.00
2004/09/13	0.75	0.75	0.59	0.60	930091	11468636.00
2004/09/14	0.62	0.73	0.62	0.64	1282139	15733646.00
2004/09/15	0.67	0.84	0.66	0.80	3070140	39620992.00
2004/09/16	0.81	0.90	0.80	0.88	3098364	41626740.00
2004/09/17	0.88	1.03	0.82	1.00	2478931	33901708.00
2004/09/20	0.99	1.23	0.95	1.21	4380864	65770408.00
2004/09/21	1.17	1.34	1.08	1.24	3915098	61526740.00
2004/09/22	1.23	1.38	1.18	1.29	2742585	43743336.00
2004/09/23	1.29	1.34	1.19	1.26	2417570	37832800.00
2004/09/24	1.35	1.53	1.24	1.24	4654628	77363064.00
2004/09/27	1.32	1.42	1.24	1.26	2556523	41277668.00
2004/09/28	1.30	1.38	1.28	1.35	1644581	26780636.00
2004/09/29	1.39	1.49	1.36	1.42	3031634	50857604.00
2004/09/30	1.43	1.56	1.43	1.47	3679266	63194540.00
2004/10/08	1.46	1.63	1.38	1.60	2513954	43425932.00
2004/10/11	1.61	1.64	1.43	1.43	3281397	57369464.00
2004/10/12	1.43	1.43	1.26	1.34	2309265	37548856.00
2004/10/13	1.30	1.38	1.30	1.35	1159534	18792542.00
2004/10/14	1.35	1.35	1.07	1.07	2645529	39700072.00
2004/10/15	0.98	1.03	0.85	0.89	2412590	33425278.00
2004/10/18	0.96	1.10	0.94	1.03	2335490	33632888.00
2004/10/19	1.05	1.23	1.05	1.12	3009638	45604100.00
2004/10/20	1.09	1.17	1.04	1.17	1450774	21528324.00
2004/10/21	1.16	1.21	1.12	1.13	973514	14743286.00
2004/10/22	1.11	1.27	1.04	1.26	2591808	40113996.00
2004/10/25	1.32	1.32	1.20	1.22	1643714	25908230.00
2004/10/26	1.19	1.45	1.17	1.39	2580140	41346460.00
2004/10/27	1.41	1.47	1.36	1.44	2738781	45962040.00
2004/10/28	1.43	1.46	1.24	1.29	2217241	36399580.00
2004/10/29	1.14	1.42	1.14	1.27	1796944	28904492.00
2004/11/01	1.27	1.37	1.27	1.28	933648	15057498.00
2004/11/02	1.26	1.29	1.16	1.18	1152633	17823646.00
2004/11/03	1.21	1.31	1.17	1.31	1096003	17171922.00
2004/11/04	1.31	1.35	1.18	1.21	988134	15682518.00
2004/11/05	1.25	1.27	1.16	1.21	523768	8160951.50
2004/11/08	1.17	1.21	1.17	1.20	353826	5446709.50
2004/11/09	1.20	1.27	1.18	1.25	596441	9357333.00
2004/11/10	1.33	1.43	1.23	1.40	2140274	34991748.00
2004/11/11	1.42	1.49	1.34	1.34	1928219	32293200.00
2004/11/12	1.38	1.45	1.36	1.41	1594062	26620066.00
2004/11/15	1.45	1.48	1.42	1.47	1264030	21424726.00
2004/11/16	1.49	1.50	1.41	1.43	875727	14746144.00
2004/11/17	1.43	1.44	1.36	1.37	740785	12242986.00
