002047 宝鹰股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/05/31	2.76	2.90	2.56	2.60	19294426	175480336.00
2005/06/01	2.56	2.59	2.39	2.45	6897061	58346324.00
2005/06/02	2.40	2.45	2.36	2.40	3106628	25653720.00
2005/06/03	2.40	2.42	2.21	2.28	4369019	34794600.00
2005/06/06	2.27	2.40	2.24	2.38	3527669	28274076.00
2005/06/07	2.35	2.45	2.33	2.38	4994084	41032592.00
2005/06/08	2.35	2.64	2.35	2.61	7202838	61949540.00
2005/06/09	2.59	2.83	2.53	2.68	9769100	89176288.00
2005/06/10	2.76	2.85	2.68	2.74	7170827	66624568.00
2005/06/13	2.73	2.73	2.59	2.67	3393359	30610098.00
2005/06/14	2.66	2.73	2.53	2.54	3012849	26833390.00
2005/06/15	2.52	2.56	2.45	2.50	1846363	15739716.00
2005/06/16	2.48	2.60	2.40	2.59	3041484	26187564.00
2005/06/17	2.60	2.63	2.48	2.49	1969503	17044186.00
2005/06/20	2.47	2.70	2.43	2.70	5865598	52241740.00
2005/06/21	2.69	2.78	2.62	2.71	5889977	53816308.00
2005/06/22	2.68	2.82	2.62	2.76	6281330	58109908.00
2005/06/23	2.73	2.81	2.60	2.62	4503445	41184840.00
2005/06/24	2.59	2.67	2.59	2.65	1940348	17314202.00
2005/06/27	2.71	2.96	2.70	2.88	7825820	75009712.00
2005/06/28	2.83	2.88	2.74	2.79	4138697	39091176.00
2005/06/29	2.82	2.95	2.79	2.80	4936546	47413272.00
2005/06/30	2.76	2.80	2.68	2.69	2394409	22077216.00
2005/07/01	2.66	2.73	2.61	2.63	1886280	16959884.00
2005/07/04	2.61	2.69	2.58	2.68	1388434	12434222.00
2005/07/05	2.68	2.68	2.52	2.53	3820427	33527126.00
2005/07/06	2.53	2.59	2.43	2.45	2416525	20704512.00
2005/07/07	2.45	2.51	2.42	2.48	2248489	18951016.00
2005/07/08	2.48	2.48	2.34	2.36	2131050	17463922.00
2005/07/11	2.42	2.52	2.36	2.39	2088023	17500050.00
2005/07/12	2.38	2.58	2.36	2.56	2950358	25214512.00
2005/07/13	2.55	2.56	2.47	2.49	2533276	21708080.00
2005/07/14	2.48	2.54	2.47	2.49	1108547	9466689.00
2005/07/15	2.49	2.53	2.41	2.42	1129813	9460360.00
2005/07/18	2.41	2.44	2.38	2.42	869396	7191260.00
2005/07/19	2.42	2.47	2.41	2.45	747963	6249547.50
2005/07/20	2.43	2.49	2.42	2.47	790970	6656424.50
2005/07/21	2.47	2.48	2.39	2.43	867117	7204462.00
2005/07/22	2.39	2.46	2.22	2.37	3588538	28918284.00
2005/07/25	2.32	2.33	2.24	2.27	1588200	12534508.00
2005/07/26	2.27	2.34	2.26	2.32	1481749	11856655.00
2005/07/27	2.32	2.40	2.29	2.40	1714837	13867527.00
2005/07/28	2.41	2.44	2.38	2.39	2174179	17945410.00
2005/07/29	2.39	2.41	2.36	2.37	892723	7324462.00
2005/08/01	2.34	2.44	2.34	2.43	1469801	12174050.00
2005/08/02	2.44	2.45	2.41	2.44	1384334	11538720.00
2005/08/03	2.44	2.47	2.43	2.44	1815101	15230564.00
2005/08/04	2.42	2.49	2.40	2.42	1308862	10975120.00
2005/08/05	2.44	2.58	2.44	2.56	4246823	36544572.00
2005/08/08	2.67	2.69	2.58	2.59	5096129	45483640.00
2005/08/09	2.58	2.67	2.56	2.64	2564632	22890154.00
2005/08/10	2.66	2.67	2.58	2.65	1721338	15275036.00
2005/08/11	2.67	2.67	2.60	2.64	2064318	18422328.00
2005/08/12	2.66	2.75	2.60	2.65	3781953	34162088.00
2005/08/15	2.64	2.84	2.64	2.83	4447840	41489372.00
2005/08/16	2.84	2.89	2.73	2.76	4328932	40865820.00
2005/08/17	2.77	2.99	2.77	2.97	7302840	70807912.00
2005/08/18	2.93	3.03	2.74	2.76	5215418	51038796.00
2005/08/19	2.76	2.86	2.73	2.82	3272043	30855900.00
2005/08/22	2.81	2.82	2.66	2.78	1666099	15442256.00
2005/08/23	2.74	2.81	2.73	2.74	1441515	13438555.00
2005/08/24	2.75	2.82	2.74	2.76	1559560	14568260.00
2005/08/25	2.73	2.74	2.66	2.72	2585849	23526800.00
2005/08/26	2.70	2.72	2.61	2.64	2249797	20197940.00
2005/08/29	2.63	2.68	2.60	2.60	1436441	12800938.00
2005/08/30	2.61	2.67	2.60	2.62	994954	8877862.00
2005/08/31	2.64	2.73	2.60	2.73	5118508	46318232.00
2005/09/01	2.73	2.76	2.70	2.74	3374135	31067906.00
2005/09/02	2.74	2.88	2.74	2.84	4135007	39291372.00
2005/09/05	2.89	2.95	2.85	2.88	3481941	33661392.00
2005/09/07	2.76	2.90	2.74	2.90	4130465	39074544.00
2005/09/08	2.93	2.93	2.82	2.86	2735701	26273674.00
2005/09/09	2.86	2.92	2.81	2.86	3014460	29025954.00
2005/09/12	2.86	2.86	2.79	2.81	2087841	19727368.00
2005/09/13	2.81	2.84	2.74	2.83	2283510	21382036.00
2005/09/14	2.81	2.81	2.77	2.80	3398324	31881948.00
2005/09/15	2.80	2.82	2.77	2.81	1666141	15653514.00
2005/09/16	2.81	2.81	2.72	2.73	2839725	26382484.00
2005/09/29	2.59	2.65	2.55	2.60	2308868	20432796.00
2005/09/30	2.59	2.65	2.57	2.64	1277888	11342409.00
2005/10/10	2.63	2.65	2.57	2.58	645000	5689496.50
2005/10/11	2.56	2.62	2.56	2.62	524011	4606458.00
2005/10/12	2.62	2.65	2.58	2.63	751249	6664403.00
2005/10/13	2.63	2.68	2.61	2.65	874640	7851568.50
2005/10/14	2.64	2.67	2.63	2.64	1077718	9666787.00
2005/10/17	2.63	2.65	2.51	2.52	1658572	14404536.00
2005/11/30	2.49	2.74	2.43	2.71	14833137	89894952.00
2005/12/01	2.64	2.66	2.55	2.60	6242818	38170388.00
2005/12/02	2.58	2.61	2.53	2.53	2770253	16624910.00
2005/12/05	2.50	2.51	2.29	2.31	3434226	19560958.00
2005/12/06	2.28	2.34	2.26	2.29	2256935	12400489.00
2005/12/07	2.33	2.38	2.29	2.33	1478998	8219764.50
2005/12/08	2.33	2.35	2.24	2.26	1956224	10682235.00
2005/12/09	2.26	2.34	2.24	2.33	2276047	12461567.00
2005/12/12	2.34	2.38	2.31	2.38	2461186	13786082.00
2005/12/13	2.38	2.42	2.34	2.39	2298724	12990406.00
2005/12/14	2.39	2.40	2.34	2.39	1448486	8183008.50
2005/12/15	2.39	2.41	2.37	2.37	1651371	9366855.00
2005/12/16	2.36	2.40	2.34	2.39	1573295	8854134.00
2005/12/19	2.39	2.40	2.36	2.36	1013358	5710506.00
2005/12/20	2.36	2.37	2.31	2.33	1389819	7731268.50
2005/12/21	2.32	2.37	2.31	2.33	1210175	6740021.50
2005/12/22	2.33	2.35	2.28	2.33	1394050	7710061.50
2005/12/23	2.33	2.35	2.31	2.34	1350066	7494070.00
2005/12/26	2.34	2.40	2.34	2.38	2793907	15799540.00
2005/12/27	2.38	2.39	2.35	2.37	1122471	6322216.00
2005/12/28	2.36	2.38	2.34	2.38	1549423	8700931.00
2005/12/29	2.39	2.39	2.35	2.36	1643802	9236901.00
2005/12/30	2.36	2.37	2.28	2.29	2822222	15558611.00
2006/01/04	2.28	2.32	2.28	2.31	1389352	7643375.50
2006/01/05	2.32	2.34	2.30	2.34	1800530	9982052.00
2006/01/06	2.34	2.50	2.32	2.47	7618943	43812228.00
2006/01/09	2.56	2.61	2.50	2.58	11408800	68565744.00
2006/01/10	2.55	2.58	2.52	2.56	3354969	20070730.00
2006/01/11	2.56	2.58	2.47	2.48	3333743	19751194.00
2006/01/12	2.48	2.57	2.48	2.55	2976984	17807314.00
2006/01/13	2.57	2.58	2.49	2.51	2373451	14095583.00
2006/01/16	2.50	2.57	2.48	2.51	2516260	14996873.00
2006/01/17	2.51	2.57	2.48	2.54	2538196	15133882.00
2006/01/18	2.54	2.64	2.54	2.64	5144245	31144590.00
2006/01/19	2.64	2.64	2.57	2.60	2919776	17778840.00
2006/01/20	2.60	2.64	2.50	2.53	2273348	13648392.00
2006/01/23	2.53	2.54	2.45	2.49	2532272	14844947.00
2006/01/24	2.49	2.52	2.47	2.48	1782102	10469430.00
2006/01/25	2.46	2.49	2.33	2.35	3442222	19456610.00
2006/02/06	2.33	2.42	2.32	2.41	1451719	8244300.50
2006/02/07	2.40	2.41	2.35	2.38	2168190	12232335.00
2006/02/08	2.38	2.41	2.33	2.41	1957393	10979377.00
2006/02/09	2.41	2.46	2.38	2.44	2655604	15299952.00
2006/02/10	2.44	2.45	2.41	2.44	1601076	9228857.00
2006/02/13	2.45	2.45	2.37	2.40	1468080	8380095.00
2006/02/14	2.38	2.45	2.38	2.43	1498498	8605944.00
2006/02/15	2.45	2.45	2.39	2.40	2139622	12262271.00
2006/02/16	2.40	2.40	2.29	2.30	2323117	12944333.00
2006/02/17	2.29	2.31	2.26	2.27	1581327	8616409.00
2006/02/20	2.25	2.28	2.14	2.15	2949366	15543493.00
2006/02/21	2.14	2.21	2.14	2.21	1663500	8706177.00
2006/02/22	2.21	2.22	2.17	2.20	1580345	8340141.00
2006/02/23	2.20	2.20	2.15	2.18	1560699	8139967.00
2006/02/24	2.16	2.26	2.15	2.23	3314177	17519494.00
2006/02/27	2.23	2.23	2.17	2.20	1743292	9192060.00
2006/02/28	2.21	2.28	2.14	2.26	2746816	14564879.00
2006/03/01	2.28	2.37	2.28	2.34	6476975	35916884.00
2006/03/02	2.31	2.33	2.23	2.25	2342321	12808822.00
2006/03/03	2.23	2.26	2.17	2.21	1407652	7472919.00
2006/03/06	2.20	2.22	2.17	2.22	917172	4835376.00
2006/03/07	2.23	2.23	2.14	2.14	1213820	6321953.50
2006/03/08	2.14	2.14	2.06	2.08	1473627	7488640.50
2006/03/09	2.10	2.13	2.08	2.10	804754	4108373.25
2006/03/10	2.10	2.14	2.07	2.10	560946	2850941.00
2006/03/13	2.09	2.13	2.08	2.12	643711	3280245.75
2006/03/14	2.12	2.12	2.09	2.11	565468	2871999.00
2006/03/15	2.11	2.13	2.09	2.13	1176644	6016289.00
2006/03/16	2.13	2.13	2.10	2.10	881815	4493479.50
2006/03/17	2.13	2.13	2.08	2.10	699806	3560012.50
2006/03/20	2.10	2.11	2.06	2.11	1022232	5183402.00
2006/03/21	2.11	2.13	2.09	2.12	1267612	6477704.50
2006/03/22	2.12	2.19	2.12	2.16	1721433	8944794.00
2006/03/23	2.16	2.20	2.16	2.20	2052849	10784225.00
2006/03/24	2.20	2.21	2.12	2.12	1466300	7615138.50
2006/03/27	2.11	2.16	2.11	2.16	1161629	6001590.00
2006/03/28	2.15	2.17	2.14	2.15	910401	4725595.00
2006/03/29	2.15	2.16	2.12	2.13	1659131	8550382.00
2006/03/30	2.13	2.13	2.08	2.08	1820979	9246971.00
2006/03/31	2.08	2.10	2.08	2.09	1253694	6337893.50
2006/04/03	2.09	2.16	2.05	2.14	3208910	16295753.00
2006/04/04	2.16	2.16	2.10	2.14	1894721	9726771.00
2006/04/05	2.14	2.23	2.13	2.19	4121314	21703072.00
2006/04/06	2.20	2.20	2.14	2.14	2764312	14386833.00
2006/04/07	2.14	2.14	2.09	2.11	2361256	12055259.00
2006/04/10	2.11	2.20	2.11	2.19	2989629	15610437.00
2006/04/11	2.19	2.21	2.15	2.19	2809817	14751283.00
2006/04/12	2.20	2.29	2.19	2.28	6701885	36169176.00
2006/04/13	2.27	2.27	2.17	2.17	3134239	16670958.00
2006/04/14	2.17	2.25	2.15	2.23	2402527	12732112.00
2006/04/17	2.23	2.33	2.21	2.30	5358421	29253900.00
2006/04/18	2.30	2.30	2.21	2.23	3278976	17778934.00
2006/04/19	2.24	2.24	2.16	2.20	2491718	13121407.00
2006/04/20	2.20	2.21	2.10	2.12	3295270	16936730.00
2006/04/21	2.12	2.14	2.08	2.12	2395672	12201553.00
2006/04/24	2.13	2.13	1.87	1.87	5326041	25634248.00
2006/04/25	1.84	1.84	1.64	1.70	4175433	18028572.00
2006/04/26	1.70	1.78	1.68	1.74	2548352	11048051.00
2006/04/27	1.75	1.76	1.69	1.74	1630276	7027910.50
2006/04/28	1.70	1.80	1.69	1.75	2384463	10437718.00
2006/05/08	1.83	1.87	1.81	1.86	3344771	15251234.00
2006/05/09	1.88	1.96	1.86	1.94	3531445	16642510.00
2006/05/10	1.96	1.98	1.89	1.93	3773156	17947780.00
2006/05/11	1.93	2.03	1.92	1.94	4332683	21085992.00
2006/05/12	1.93	2.05	1.91	2.03	4119084	20052670.00
2006/05/15	2.06	2.15	2.02	2.15	5699301	28944044.00
2006/05/16	2.16	2.22	2.08	2.08	6110069	31658656.00
2006/05/17	2.08	2.15	2.06	2.13	3221552	16452789.00
2006/05/18	2.13	2.21	2.11	2.19	4207798	21886050.00
2006/05/19	2.20	2.45	2.20	2.45	10585268	59344688.00
2006/05/22	2.69	2.74	2.58	2.60	15164353	94203776.00
2006/05/23	2.55	2.55	2.38	2.38	7313488	42834404.00
2006/05/24	2.38	2.49	2.21	2.30	5423818	30190734.00
2006/05/25	2.29	2.40	2.26	2.39	3478669	19339330.00
2006/05/26	2.44	2.60	2.41	2.58	7217875	42938188.00
2006/05/29	2.68	2.79	2.63	2.64	11349840	71420600.00
2006/05/31	2.64	2.75	2.58	2.65	6268864	39027500.00
2006/06/01	2.68	2.79	2.68	2.75	7291807	46459560.00
2006/06/02	2.80	2.85	2.68	2.73	5204669	33308114.00
2006/06/05	2.79	2.96	2.70	2.93	6915208	45061740.00
2006/06/06	2.90	2.90	2.74	2.75	5002286	32603774.00
2006/06/07	2.74	2.76	2.44	2.44	5891997	35571220.00
2006/06/08	2.36	2.51	2.31	2.50	4037055	23133184.00
2006/06/09	2.50	2.56	2.46	2.51	4228244	25036762.00
2006/06/12	2.54	2.68	2.53	2.65	4601922	28202476.00
2006/06/13	2.67	2.71	2.55	2.65	3748928	23054156.00
2006/06/14	2.67	2.67	2.57	2.65	2344013	14368299.00
2006/06/15	2.65	2.70	2.58	2.61	2369106	13863285.00
2006/06/16	2.62	2.68	2.59	2.67	3219039	18949058.00
2006/06/19	2.67	2.69	2.62	2.63	3776506	22274080.00
2006/06/20	2.60	2.62	2.53	2.55	3164068	18128738.00
2006/06/21	2.57	2.58	2.53	2.55	2374787	13553530.00
2006/06/22	2.56	2.57	2.49	2.50	2100690	11824012.00
2006/06/23	2.48	2.54	2.48	2.53	1544174	8684796.00
2006/06/26	2.53	2.62	2.52	2.61	2337702	13470649.00
2006/06/27	2.61	2.62	2.55	2.57	1938012	11143656.00
2006/06/28	2.56	2.62	2.56	2.58	1789957	10339609.00
2006/06/29	2.60	2.67	2.59	2.67	3985477	23442834.00
2006/06/30	2.68	2.70	2.65	2.69	4193715	24971590.00
