002057 中钢天源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/08/02	2.15	3.03	2.15	2.76	20403878	188161184.00
2006/08/03	2.47	2.79	2.47	2.59	13972551	137657088.00
2006/08/04	2.53	2.56	2.31	2.34	9618937	88464176.00
2006/08/07	2.29	2.40	2.25	2.34	5476106	48846084.00
2006/08/08	2.35	2.46	2.32	2.42	6330684	58307504.00
2006/08/09	2.38	2.39	2.26	2.29	4406916	39233652.00
2006/08/10	2.29	2.36	2.27	2.36	2999286	26789618.00
2006/08/11	2.34	2.51	2.31	2.45	5799040	53589016.00
2006/08/14	2.42	2.58	2.40	2.51	7892324	75327952.00
2006/08/15	2.47	2.62	2.42	2.56	5367574	52014504.00
2006/08/16	2.52	2.57	2.51	2.55	3183090	30928562.00
2006/08/17	2.54	2.54	2.44	2.46	2456991	23401838.00
2006/08/18	2.45	2.61	2.44	2.54	4004881	38894588.00
2006/08/21	2.44	2.72	2.40	2.67	6248918	62277784.00
2006/08/22	2.65	2.75	2.62	2.64	4763827	48535744.00
2006/08/23	2.65	2.67	2.59	2.63	2700444	27058824.00
2006/08/24	2.64	2.89	2.62	2.86	6879309	72396632.00
2006/08/25	2.81	2.99	2.77	2.79	6490926	70346920.00
2006/08/28	2.82	2.91	2.77	2.85	3409188	36852216.00
2006/08/29	2.87	3.02	2.83	2.93	4367867	48574568.00
2006/08/30	2.93	3.03	2.90	2.95	3078908	34432100.00
2006/08/31	2.94	2.97	2.86	2.88	3477843	38435700.00
2006/09/01	2.89	2.91	2.77	2.82	3515018	37897896.00
2006/09/04	2.82	2.89	2.80	2.86	2166076	23459760.00
2006/09/05	2.85	2.86	2.72	2.74	2879528	30363898.00
2006/09/06	2.74	2.81	2.73	2.79	1333835	14060517.00
2006/09/07	2.77	2.83	2.75	2.82	1745258	18558844.00
2006/09/08	2.82	3.02	2.79	2.88	4778920	53078468.00
2006/09/11	2.92	2.94	2.78	2.86	2081125	22404246.00
2006/09/12	2.84	2.87	2.79	2.81	1483549	15867554.00
2006/09/13	2.79	2.89	2.79	2.82	1630904	17626334.00
2006/09/14	2.80	2.83	2.66	2.75	2486042	25842370.00
2006/09/15	2.76	2.76	2.72	2.74	965620	10073488.00
2006/09/18	2.74	2.77	2.72	2.76	933723	9761563.00
2006/09/19	2.75	2.76	2.68	2.69	1383362	14316806.00
2006/09/20	2.77	2.95	2.77	2.85	4998076	54280532.00
2006/09/21	2.80	2.88	2.77	2.87	2229873	23981076.00
2006/09/22	2.84	2.91	2.81	2.87	2052120	22348870.00
2006/09/25	2.84	2.87	2.75	2.76	1136563	12079453.00
2006/09/26	2.73	2.79	2.69	2.74	854289	8883788.00
2006/09/27	2.73	2.75	2.68	2.71	824757	8498316.00
2006/09/29	2.75	2.79	2.72	2.74	941876	9892699.00
2006/10/09	2.74	2.76	2.72	2.74	800706	8343319.50
2006/10/10	2.74	2.83	2.72	2.81	1178965	12441131.00
2006/10/11	2.81	2.86	2.75	2.84	1426412	15223077.00
2006/10/12	2.85	2.85	2.75	2.75	957516	10208817.00
2006/10/13	2.79	2.86	2.79	2.79	1226980	13185837.00
2006/10/16	2.77	2.86	2.73	2.86	1487061	15885579.00
2006/10/17	2.86	2.92	2.82	2.86	2120989	23222494.00
2006/10/18	2.84	2.92	2.83	2.84	1277663	13912936.00
2006/10/19	2.84	3.02	2.84	2.97	3516351	39274364.00
2006/10/20	2.97	3.14	2.93	3.05	3959189	45632772.00
2006/10/23	3.04	3.11	2.88	2.89	2827264	32025496.00
2006/10/24	2.90	3.04	2.87	3.02	2007707	22544682.00
2006/10/25	3.02	3.05	2.90	2.95	1722590	19403522.00
2006/10/26	2.95	2.96	2.83	2.86	1876380	20467328.00
2006/10/27	2.84	2.91	2.81	2.84	1048538	11352590.00
2006/10/30	2.78	2.81	2.54	2.54	3296764	32722420.00
