002060 粤 水 电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/08/10	1.64	1.85	1.63	1.79	54509847	376216544.00
2006/08/11	1.72	1.75	1.67	1.72	24506862	167781488.00
2006/08/14	1.73	1.80	1.71	1.77	21420979	149910656.00
2006/08/15	1.74	1.79	1.70	1.76	13011741	90724176.00
2006/08/16	1.76	1.85	1.73	1.83	16277164	115807096.00
2006/08/17	1.81	1.84	1.78	1.78	10971233	78579304.00
2006/08/18	1.77	1.80	1.74	1.76	7257802	51109076.00
2006/08/21	1.70	1.82	1.68	1.80	9701761	68188440.00
2006/08/22	1.78	1.81	1.77	1.78	7393654	52666740.00
2006/08/23	1.76	1.78	1.73	1.73	5983570	41910776.00
2006/08/24	1.73	1.80	1.73	1.79	9171481	65083700.00
2006/08/25	1.79	1.97	1.78	1.86	20751402	153671280.00
2006/08/28	1.87	1.91	1.83	1.88	9713448	72044488.00
2006/08/29	1.88	1.92	1.85	1.88	9380656	69953656.00
2006/08/30	1.88	1.93	1.86	1.92	7574032	57025220.00
2006/09/01	1.93	1.94	1.83	1.85	8319373	61688564.00
2006/09/04	1.84	1.88	1.84	1.87	4990047	36797364.00
2006/09/05	1.86	1.87	1.79	1.80	7578248	54732648.00
2006/09/06	1.80	1.83	1.79	1.82	3682156	26492362.00
2006/09/07	1.81	1.81	1.78	1.79	3465115	24693522.00
2006/09/08	1.78	1.85	1.77	1.81	5648098	40895240.00
2006/09/11	1.80	1.81	1.76	1.80	3514474	24964656.00
2006/09/12	1.79	1.84	1.79	1.83	4651343	33661308.00
2006/09/13	1.84	1.87	1.81	1.83	5978780	43870312.00
2006/09/14	1.82	1.84	1.78	1.82	3326753	23828150.00
2006/09/15	1.81	1.84	1.78	1.83	3888791	28232024.00
2006/09/18	1.83	1.91	1.83	1.89	6746863	50011228.00
2006/09/19	1.89	1.89	1.83	1.85	4358900	32132650.00
2006/09/20	1.85	1.89	1.83	1.87	4157731	30744686.00
2006/09/21	1.87	1.91	1.85	1.90	6693710	50006792.00
2006/09/22	1.88	1.90	1.83	1.83	3750843	27670718.00
2006/09/25	1.83	1.84	1.77	1.78	4268300	30496714.00
2006/09/26	1.78	1.80	1.77	1.79	1624001	11516794.00
2006/09/27	1.79	1.80	1.76	1.79	1688065	11973112.00
