002071 长城影视 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/10/12	5.29	6.52	5.29	6.43	31487694	280819648.00
2006/10/13	5.96	6.14	5.77	5.77	12575774	114882664.00
2006/10/16	5.52	5.60	5.34	5.50	11098707	94001736.00
2006/10/17	5.40	5.42	5.14	5.20	12103124	98588464.00
2006/10/18	5.16	5.27	5.12	5.23	4760398	38479192.00
2006/10/19	5.22	5.28	5.18	5.24	4695820	38059584.00
2006/10/20	5.23	5.27	5.00	5.03	5920179	46839012.00
2006/10/23	5.02	5.08	4.82	5.05	4067599	31238182.00
2006/10/24	5.01	5.06	4.97	5.04	2598892	20298260.00
2006/10/25	5.04	5.22	5.03	5.10	4626303	36783296.00
2006/10/26	5.08	5.08	4.94	4.95	2977250	23040634.00
2006/10/27	4.92	4.95	4.83	4.88	1815142	13743976.00
2006/10/30	4.88	5.02	4.84	4.94	1536254	11722346.00
2006/10/31	4.92	4.94	4.84	4.86	1402348	10617445.00
2006/11/01	4.87	4.94	4.85	4.94	1793174	13694490.00
2006/11/02	4.92	4.93	4.83	4.91	1885938	14259930.00
2006/11/03	4.90	4.94	4.88	4.90	1567689	11967457.00
2006/11/06	4.86	4.86	4.72	4.74	3112744	23134586.00
2006/11/07	4.73	4.82	4.60	4.80	3460673	25347536.00
2006/11/08	4.76	4.77	4.70	4.74	870634	6408517.00
2006/11/09	4.74	4.80	4.72	4.76	1513472	11227410.00
2006/11/10	4.76	4.76	4.60	4.62	1760550	12779379.00
2006/11/14	4.54	4.60	4.36	4.46	2395866	16655559.00
2006/11/15	4.42	4.50	4.39	4.49	1574421	10923572.00
2006/11/16	4.47	4.49	4.38	4.42	1425820	9858881.00
2006/11/17	4.44	4.48	4.39	4.46	1181716	8184854.50
2006/11/20	4.45	4.46	4.36	4.36	1547868	10587477.00
2006/11/21	4.36	4.82	4.36	4.64	6573070	47506164.00
2006/11/22	4.56	4.67	4.52	4.64	4168716	29755994.00
2006/11/23	4.64	4.70	4.56	4.67	2018260	14541764.00
2006/11/24	4.64	4.70	4.59	4.68	1533792	11121632.00
2006/11/27	4.66	4.78	4.65	4.71	1643909	12051199.00
2006/11/28	4.72	4.76	4.61	4.63	1480090	10731854.00
2006/11/29	4.62	4.63	4.53	4.62	1293200	9230707.00
2006/11/30	4.62	4.67	4.60	4.63	1614799	11632956.00
2006/12/01	4.64	4.65	4.56	4.59	1740789	12434267.00
2006/12/04	4.58	4.70	4.55	4.66	1981935	14317466.00
2006/12/05	4.66	4.66	4.58	4.60	1906541	13709527.00
2006/12/06	4.62	5.08	4.57	5.08	11912461	90773328.00
2006/12/07	5.08	5.34	4.94	5.02	9605449	77241240.00
2006/12/08	4.92	4.98	4.70	4.70	3438414	25737364.00
2006/12/11	4.64	4.82	4.64	4.82	1951406	14456676.00
2006/12/12	4.82	4.82	4.70	4.74	1745117	12879080.00
2006/12/13	4.74	4.88	4.70	4.82	1635529	12224241.00
2006/12/14	4.83	4.87	4.76	4.81	1458015	10880604.00
2006/12/15	4.80	4.82	4.76	4.80	1743285	12950943.00
2006/12/18	4.80	4.88	4.77	4.83	1820915	13644104.00
2006/12/19	4.83	4.85	4.70	4.78	1960472	14546450.00
2006/12/20	4.78	5.02	4.75	4.90	3140858	23855224.00
2006/12/21	4.86	4.99	4.78	4.81	2031392	15394372.00
2006/12/22	4.79	4.81	4.68	4.70	1731217	12748747.00
2006/12/25	4.72	4.75	4.66	4.68	1425608	10440045.00
2006/12/26	4.69	4.69	4.53	4.54	2031844	14534068.00
2006/12/27	4.54	4.63	4.50	4.56	1035431	7361835.50
2006/12/28	4.59	4.61	4.41	4.44	1572458	10989751.00
