002076 雪 莱 特 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/10/25	2.80	3.00	2.79	2.92	16586874	280600096.00
2006/10/26	2.81	2.81	2.66	2.77	7564312	121146408.00
2006/10/27	2.75	2.75	2.59	2.59	3718415	57640976.00
2006/10/30	2.56	2.69	2.54	2.69	3007837	46095188.00
2006/10/31	2.66	2.73	2.61	2.71	1781524	27902392.00
2006/11/01	2.69	2.73	2.66	2.69	1362480	21471842.00
2006/11/02	2.67	2.70	2.59	2.65	1098153	16937616.00
2006/11/03	2.64	2.79	2.63	2.79	3472194	55470020.00
2006/11/06	2.75	2.89	2.74	2.79	1986028	32590104.00
2006/11/07	2.76	2.80	2.70	2.76	1112882	17876920.00
2006/11/08	2.76	2.81	2.74	2.80	854471	13901794.00
2006/11/09	2.79	2.94	2.79	2.87	1759615	29573496.00
2006/11/10	2.87	2.90	2.74	2.78	1232046	20220572.00
2006/11/13	2.79	2.91	2.73	2.88	1756754	29029888.00
2006/11/14	2.89	2.99	2.85	2.94	2096046	35744864.00
2006/11/15	2.91	2.99	2.88	2.95	1157741	19823660.00
2006/11/16	2.96	2.96	2.86	2.90	1435375	24282602.00
2006/11/17	2.89	2.92	2.82	2.88	2792772	46789876.00
2006/11/20	2.88	2.89	2.75	2.78	1822032	29827044.00
2006/11/21	2.80	2.92	2.78	2.92	1769218	29524552.00
2006/11/22	2.93	3.07	2.83	3.03	2132867	36806356.00
2006/11/23	3.01	3.03	2.94	2.98	997771	17325438.00
2006/11/24	2.99	3.02	2.92	2.98	899245	15549717.00
2006/11/27	2.98	3.08	2.97	3.03	1022058	17942426.00
2006/11/28	3.03	3.05	2.97	2.98	796485	13873244.00
2006/11/29	2.94	3.01	2.93	2.96	682951	11808820.00
2006/11/30	2.97	3.03	2.94	3.00	722001	12554234.00
2006/12/01	3.00	3.01	2.92	2.98	1154821	19788844.00
2006/12/04	2.97	3.06	2.92	3.00	960022	16755657.00
2006/12/05	3.00	3.27	2.98	3.18	2835193	52077524.00
2006/12/06	3.18	3.19	3.03	3.13	1075829	19371276.00
2006/12/07	3.11	3.21	3.09	3.10	658950	11905763.00
2006/12/08	3.07	3.07	2.96	2.98	710150	12419974.00
2006/12/11	2.94	3.02	2.94	3.02	411010	7144060.50
2006/12/12	3.00	3.08	2.95	3.00	765550	13399640.00
2006/12/13	2.98	3.03	2.96	3.00	426600	7390635.50
2006/12/14	3.00	3.08	2.98	3.03	434867	7643504.00
2006/12/15	3.03	3.07	3.00	3.01	476207	8336750.00
2006/12/18	3.03	3.08	2.98	3.06	707627	12441625.00
2006/12/19	3.07	3.19	3.05	3.18	1032028	18700054.00
2006/12/20	3.15	3.20	3.09	3.15	571220	10365304.00
2006/12/21	3.18	3.25	3.12	3.16	888261	16407043.00
2006/12/22	3.15	3.18	3.03	3.16	757679	13733174.00
2006/12/25	3.11	3.36	3.11	3.27	741264	13859881.00
2006/12/26	3.27	3.38	3.17	3.24	660500	12651087.00
2006/12/27	3.20	3.29	3.10	3.20	332605	6171959.00
2006/12/28	3.20	3.21	3.11	3.16	454546	8286553.50
2006/12/29	3.16	3.34	3.16	3.25	666088	12517595.00
2007/01/04	3.25	3.29	3.13	3.25	971276	17921428.00
2007/01/08	3.33	3.43	3.29	3.41	862689	16795428.00
2007/01/09	3.41	3.66	3.38	3.53	754017	15220225.00
2007/01/10	3.52	3.62	3.49	3.58	961677	19677898.00
2007/01/11	3.54	3.63	3.49	3.49	593300	12113492.00
2007/01/12	3.45	3.49	3.29	3.32	622549	12269104.00
2007/01/15	3.33	3.53	3.33	3.49	1029240	20623148.00
2007/01/16	3.49	3.61	3.47	3.55	633679	12806753.00
2007/01/17	3.55	3.69	3.44	3.53	1361515	27697264.00
2007/01/18	3.48	3.70	3.48	3.68	572912	11783359.00
2007/01/19	3.66	4.07	3.63	4.07	857760	19577096.00
2007/01/22	4.23	4.49	4.22	4.44	1135738	27949532.00
2007/01/23	4.40	4.44	4.14	4.27	864335	20948078.00
2007/01/24	4.22	4.44	4.15	4.35	685172	16706536.00
2007/01/25	4.21	4.23	4.03	4.18	2235556	52882928.00
2007/01/26	4.16	4.16	3.86	4.13	831218	19005254.00
2007/01/29	4.14	4.27	4.00	4.27	1149392	27144450.00
2007/01/30	4.23	4.28	4.12	4.12	470095	11252703.00
2007/01/31	4.11	4.13	3.90	3.94	882577	20009930.00
2007/02/01	3.85	3.93	3.79	3.92	470500	10375128.00
2007/02/02	3.93	3.99	3.75	3.75	345483	7609592.00
2007/02/05	3.75	3.83	3.66	3.80	239094	5130717.00
2007/02/06	3.82	3.85	3.72	3.81	316485	6834083.50
2007/02/07	3.84	3.88	3.78	3.83	630294	13755685.00
2007/02/08	3.78	4.09	3.74	4.04	1155942	25949468.00
2007/02/09	3.98	4.07	3.97	3.97	563841	12921703.00
2007/02/12	4.01	4.07	3.98	4.03	375019	8612597.00
2007/02/13	4.03	4.06	3.94	3.95	370710	8483585.00
2007/02/14	3.99	4.04	3.94	3.99	565037	12847900.00
2007/02/15	4.03	4.14	3.96	4.14	872918	20129288.00
2007/02/16	4.12	4.19	4.03	4.11	661400	15475102.00
2007/02/26	4.07	4.27	4.05	4.25	581279	13840777.00
2007/02/27	4.27	4.28	3.80	3.80	927600	21323022.00
2007/02/28	3.59	3.88	3.58	3.80	578476	12364084.00
2007/03/01	3.80	3.80	3.53	3.54	554111	11504163.00
2007/03/02	3.57	3.65	3.53	3.59	1000557	20596436.00
2007/03/05	3.60	3.75	3.38	3.44	1391168	28060700.00
2007/03/06	3.44	3.56	3.42	3.52	836216	16831996.00
2007/03/07	3.50	3.76	3.48	3.76	1017137	21096752.00
