002117 东港股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/03/02	4.02	4.06	3.64	3.66	8729995	151403776.00
2007/03/05	3.53	3.59	3.31	3.41	3599523	58589696.00
2007/03/06	3.36	3.44	3.36	3.41	1095042	17673536.00
2007/03/07	3.42	3.63	3.42	3.58	1751518	28999230.00
2007/03/08	3.58	3.60	3.49	3.57	1039563	17178542.00
2007/03/09	3.57	3.60	3.49	3.54	959091	15853954.00
2007/03/12	3.54	3.66	3.50	3.62	1392522	23223392.00
2007/03/13	3.60	3.63	3.55	3.60	958709	15966421.00
2007/03/14	3.55	3.56	3.44	3.54	1107043	18162910.00
2007/03/15	3.52	3.58	3.50	3.57	1117858	18516824.00
2007/03/16	3.57	3.59	3.44	3.45	971823	15957286.00
2007/03/19	3.35	3.65	3.35	3.59	1730388	28802482.00
2007/03/20	3.59	3.65	3.54	3.63	1081069	18082090.00
2007/03/21	3.63	3.64	3.56	3.61	1036374	17304340.00
2007/03/22	3.64	3.77	3.61	3.65	1940476	32926012.00
2007/03/23	3.61	3.76	3.61	3.72	1196133	20206776.00
2007/03/26	3.74	3.87	3.72	3.82	1772782	30658038.00
2007/03/27	3.83	3.87	3.81	3.84	1803473	31412102.00
2007/03/28	3.84	3.86	3.60	3.76	1830075	31284060.00
2007/03/29	3.77	3.81	3.69	3.80	1329202	22769746.00
2007/03/30	3.83	4.15	3.81	3.98	2276522	40611724.00
2007/04/02	3.99	4.01	3.89	3.98	1269805	22507538.00
2007/04/03	4.01	4.04	3.95	4.01	769299	13713969.00
2007/04/04	4.01	4.04	3.95	3.96	947818	16830446.00
2007/04/05	3.94	4.02	3.87	4.01	1305530	23045682.00
2007/04/06	3.94	4.01	3.88	3.97	955811	16959108.00
2007/04/09	4.05	4.12	3.99	4.04	1580408	28451920.00
2007/04/10	4.08	4.10	3.95	4.06	1111370	19975032.00
2007/04/11	4.05	4.07	3.98	4.05	1101436	19742026.00
2007/04/12	4.05	4.19	4.05	4.14	1428519	26084482.00
2007/04/16	4.18	4.18	4.09	4.15	1401527	25592056.00
2007/04/17	4.15	4.17	3.95	4.05	1547140	27927234.00
2007/04/18	4.06	4.17	4.02	4.15	1551607	28149368.00
2007/04/19	4.15	4.15	3.84	3.88	1506039	26881884.00
2007/04/20	3.89	4.14	3.88	4.12	1275196	22977760.00
2007/04/23	4.12	4.33	4.12	4.32	1744300	32352370.00
2007/04/24	4.32	4.33	4.17	4.21	1595300	29547610.00
2007/04/25	4.20	4.20	4.03	4.11	989589	17970874.00
2007/04/26	4.18	4.22	4.10	4.19	817098	14957706.00
2007/04/27	4.21	4.22	4.09	4.09	842450	15352896.00
2007/04/30	4.11	4.22	4.10	4.14	1106028	20204474.00
2007/05/08	4.17	4.30	4.15	4.28	1890971	34965972.00
2007/05/09	4.28	4.28	4.05	4.17	1085663	19882682.00
2007/05/10	4.17	4.22	4.12	4.17	1259897	23058596.00
2007/05/11	4.16	4.16	4.05	4.12	810101	14688589.00
2007/05/14	4.05	4.11	4.01	4.10	1185159	21418486.00
2007/05/15	4.10	4.12	3.91	3.92	1450583	25953128.00
2007/05/16	3.92	4.02	3.89	4.02	914938	16218309.00
2007/05/17	4.05	4.15	3.98	4.12	1133100	20569418.00
2007/05/18	4.12	4.20	4.07	4.10	841638	15356582.00
2007/05/21	3.95	4.17	3.95	4.11	1174440	21282048.00
2007/05/22	4.11	4.24	4.08	4.23	1634755	29970922.00
2007/05/23	4.21	4.27	4.19	4.25	1441871	26738532.00
2007/05/24	4.26	4.35	4.09	4.19	1678968	31094364.00
2007/05/25	4.19	4.57	4.16	4.53	3014209	57664768.00
2007/05/28	4.54	4.81	4.54	4.64	2588797	51501160.00
