002177 御银股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/11/01	6.93	7.40	6.82	7.38	12346190	770751360.00
2007/11/02	7.40	7.86	7.10	7.10	6904511	452787584.00
2007/11/05	6.99	7.79	6.94	7.60	4186314	272192960.00
2007/11/06	7.41	8.04	7.41	7.79	2532094	172927952.00
2007/11/07	7.79	7.86	6.99	7.25	3299407	211402624.00
2007/11/08	7.37	7.77	7.29	7.52	1991045	131500704.00
2007/11/09	7.40	7.69	7.05	7.40	1470404	94618792.00
2007/11/12	7.27	7.61	7.16	7.35	853271	55352916.00
2007/11/13	7.30	7.40	6.60	6.60	1870778	114150288.00
2007/11/14	6.30	6.45	5.92	6.22	2329709	125599784.00
2007/11/15	6.22	6.55	6.14	6.22	1442075	81109568.00
2007/11/16	5.95	6.11	5.79	5.91	1112800	58147756.00
2007/11/19	5.98	6.13	5.83	6.06	580981	30864320.00
2007/11/20	6.06	6.22	5.91	6.19	743429	39809896.00
2007/11/21	6.16	6.34	6.00	6.34	824520	44659212.00
2007/11/22	6.20	6.57	6.12	6.22	1065622	59949332.00
2007/11/23	6.09	6.33	6.00	6.10	348865	18957956.00
2007/11/26	6.10	6.29	6.06	6.15	449686	24573536.00
2007/11/27	6.10	6.15	5.89	6.00	482990	25852346.00
2007/11/28	5.94	6.06	5.83	5.89	354989	18590856.00
2007/11/29	5.98	6.47	5.90	6.37	666002	36850932.00
2007/11/30	6.30	6.81	6.22	6.59	1100331	63296168.00
2007/12/03	6.47	6.62	6.46	6.48	484544	27896926.00
2007/12/04	6.47	6.69	6.45	6.64	217846	12646209.00
2007/12/05	6.66	7.16	6.55	6.89	635539	38839460.00
2007/12/06	6.88	7.02	6.80	6.89	309549	18804634.00
2007/12/07	6.88	6.99	6.77	6.91	319717	19269290.00
2007/12/10	6.79	7.55	6.79	7.42	1017799	64505792.00
2007/12/11	7.42	7.44	7.23	7.35	517911	33341622.00
2007/12/12	7.23	7.65	7.23	7.51	509323	33601500.00
2007/12/13	7.53	7.58	7.05	7.05	564177	36406552.00
2007/12/14	6.93	7.15	6.82	7.15	505034	30999730.00
2007/12/18	7.11	7.11	6.77	6.82	361766	21902142.00
2007/12/19	6.96	7.23	6.87	7.05	374678	23292992.00
2007/12/20	7.09	7.16	7.02	7.08	244711	15246633.00
2007/12/21	7.16	7.57	6.94	7.44	525018	33041732.00
2007/12/24	7.40	7.74	7.40	7.62	564173	37655488.00
2007/12/25	7.67	7.69	7.44	7.64	337432	22569818.00
2007/12/26	7.63	7.69	7.48	7.64	445570	29662400.00
2007/12/27	7.53	7.95	7.53	7.64	404703	27388466.00
2007/12/28	7.64	7.86	7.51	7.74	409395	27700742.00
2008/01/02	7.80	8.23	7.65	8.22	673653	47605552.00
2008/01/03	8.09	8.24	8.04	8.19	320264	22859018.00
2008/01/04	8.19	8.24	8.09	8.20	279758	20055088.00
2008/01/07	8.15	8.15	7.81	7.96	510896	35618660.00
2008/01/08	7.87	7.96	7.63	7.67	467770	31736422.00
2008/01/09	7.63	7.86	7.42	7.75	1027366	68190896.00
2008/01/10	7.72	7.75	7.54	7.57	732220	48799152.00
2008/01/11	7.53	7.65	7.48	7.60	297272	19705076.00
2008/01/14	7.65	7.86	7.58	7.67	819414	55513396.00
2008/01/15	7.74	7.96	7.64	7.81	735192	50403440.00
2008/01/16	7.79	7.96	7.63	7.94	539749	37094316.00
2008/01/17	7.87	8.34	7.63	8.32	1108315	78892936.00
2008/01/18	8.34	8.44	8.13	8.43	543830	39535672.00
2008/01/21	8.40	8.51	7.86	7.86	512303	36773716.00
2008/01/22	7.70	7.71	7.09	7.28	806938	51783612.00
2008/01/23	7.35	7.63	7.26	7.52	576772	37611396.00
2008/01/24	7.62	7.62	7.34	7.48	377359	24795312.00
2008/01/25	7.48	7.51	7.28	7.28	348500	22613132.00
2008/01/28	6.83	7.24	6.59	6.93	435002	26307570.00
2008/01/29	6.99	7.02	6.70	6.89	110163	6641778.50
2008/01/30	6.99	7.15	6.82	6.97	163319	10045988.00
2008/01/31	7.05	7.05	6.82	6.85	161065	9769228.00
2008/02/01	6.47	6.47	6.15	6.15	1787045	97312792.00
2008/02/04	6.23	6.64	6.12	6.59	1021743	57240708.00
2008/02/05	6.55	6.55	6.29	6.47	421330	23864692.00
2008/02/13	6.35	6.40	6.20	6.33	261593	14516240.00
2008/02/14	6.39	6.57	6.23	6.52	415438	23378068.00
2008/02/15	6.41	6.70	6.33	6.68	439190	25428356.00
2008/02/18	6.72	7.03	6.65	6.93	587431	35592076.00
2008/02/19	6.98	6.98	6.82	6.90	441006	26675744.00
2008/02/20	6.87	6.97	6.58	6.61	403440	23944840.00
2008/02/21	6.48	6.61	6.37	6.58	494724	28263032.00
2008/02/22	6.93	6.93	6.38	6.49	315372	18374948.00
2008/02/25	6.47	6.47	5.98	5.99	409755	22473466.00
2008/02/26	6.13	6.33	5.91	6.10	426389	22660390.00
2008/02/27	6.03	6.28	6.03	6.28	257292	14091594.00
2008/02/28	6.20	6.28	6.13	6.23	222254	12180587.00
2008/02/29	6.14	6.45	6.14	6.40	258655	14453625.00
2008/03/03	6.29	6.53	6.23	6.50	277256	15733513.00
2008/03/04	6.50	6.55	6.24	6.24	407999	22864850.00
2008/03/05	6.18	6.39	6.11	6.34	288719	15754412.00
2008/03/06	6.36	6.62	6.30	6.58	462958	26594188.00
2008/03/07	6.58	6.58	6.18	6.46	226547	12780941.00
2008/03/10	7.12	7.12	6.44	6.49	842374	49359360.00
2008/03/11	6.47	6.80	6.16	6.71	399214	23110120.00
2008/03/12	7.13	7.34	6.93	6.95	1772357	110508024.00
2008/03/13	6.82	7.24	6.67	7.04	1114980	69114432.00
2008/03/14	7.04	7.04	6.76	6.89	323662	19645574.00
2008/03/17	6.80	6.93	6.20	6.27	537771	30815228.00
2008/03/18	6.19	6.38	5.63	5.69	569578	29635386.00
2008/03/19	5.83	6.19	5.75	6.03	424606	22353938.00
2008/03/20	5.89	6.35	5.60	6.29	544691	28805896.00
2008/03/21	6.34	6.44	6.16	6.29	324871	18117034.00
2008/03/24	6.33	6.70	6.30	6.47	600433	34543968.00
2008/03/25	6.35	6.69	6.25	6.64	435863	25342564.00
2008/03/26	6.64	6.72	6.45	6.50	342712	19827852.00
2008/03/27	6.50	6.50	6.06	6.06	293495	16238727.00
2008/03/28	6.00	6.48	5.94	6.48	319742	17642512.00
2008/03/31	6.28	6.47	6.28	6.28	201809	11362778.00
2008/04/01	6.25	6.37	5.71	5.77	394749	20643652.00
2008/04/03	5.28	5.51	5.18	5.31	850943	39368732.00
2008/04/07	5.19	5.65	4.90	5.57	803986	38469168.00
2008/04/08	5.63	5.86	5.63	5.74	653966	33155722.00
2008/04/09	5.70	5.74	5.40	5.40	356802	17681268.00
2008/04/10	5.27	5.65	5.25	5.64	233808	11254785.00
2008/04/11	5.71	5.87	5.66	5.76	335255	17163376.00
2008/04/14	5.76	5.76	5.31	5.43	395129	19233666.00
2008/04/15	5.25	5.41	4.94	5.41	477901	10965280.00
2008/04/16	5.39	5.39	4.96	4.96	632135	14159797.00
2008/04/17	4.85	5.03	4.46	4.46	1307149	26350448.00
2008/04/18	4.32	4.32	4.01	4.04	1205598	21805930.00
2008/04/21	4.30	4.36	3.74	3.81	1747435	31216192.00
2008/04/22	3.66	4.09	3.58	4.08	1106828	18367692.00
2008/04/23	3.91	4.29	3.74	4.12	2908397	51194008.00
2008/04/24	4.44	4.54	4.29	4.53	3556139	69169776.00
2008/04/25	4.48	4.60	4.32	4.37	2832995	55362168.00
2008/04/28	4.32	4.32	4.09	4.14	1747391	32109058.00
2008/04/29	4.10	4.23	4.04	4.20	1189506	21701102.00
2008/04/30	4.19	4.41	4.16	4.33	1247071	23623726.00
2008/05/05	4.36	4.78	4.35	4.78	2070335	41715044.00
2008/05/06	4.81	5.17	4.69	4.96	3256676	71517640.00
2008/05/07	4.87	5.07	4.55	4.55	1864269	39262600.00
2008/05/08	4.48	4.72	4.42	4.72	1253672	25334098.00
2008/05/09	4.83	4.83	4.60	4.67	1070757	22071094.00
2008/05/12	4.55	4.69	4.46	4.61	951804	19015594.00
2008/05/14	4.53	4.78	4.53	4.71	1106712	22627578.00
2008/05/15	4.77	4.78	4.55	4.57	1011491	20698102.00
2008/05/16	4.55	4.62	4.27	4.37	1044410	20359110.00
2008/05/19	4.37	4.51	4.29	4.44	402856	7804595.00
2008/05/20	4.47	4.50	4.07	4.13	753221	14314936.00
2008/05/21	4.09	4.16	3.91	4.11	809289	14222756.00
2008/05/22	4.06	4.15	3.97	4.00	624851	11129945.00
2008/05/23	3.88	4.04	3.79	3.89	658692	11301268.00
2008/05/26	3.86	3.88	3.68	3.68	562485	9333233.00
2008/05/27	3.72	3.83	3.67	3.72	462856	7613994.00
2008/05/28	3.72	4.06	3.72	4.00	781934	13468161.00
2008/05/29	3.97	4.09	3.89	3.90	714021	12544414.00
2008/05/30	4.01	4.04	3.91	3.97	445834	7765036.50
2008/06/02	3.94	3.98	3.86	3.96	457833	7891864.00
2008/06/03	3.92	3.97	3.81	3.84	508493	8680041.00
2008/06/04	3.81	4.23	3.71	4.23	2074149	37356164.00
2008/06/05	4.23	4.45	3.93	4.34	2716535	50625336.00
2008/06/06	4.25	4.37	4.11	4.13	1064123	19796286.00
2008/06/10	3.90	4.04	3.70	3.70	851265	14287886.00
2008/06/11	3.69	3.69	3.43	3.50	868381	13513691.00
2008/06/12	3.41	3.52	3.34	3.43	741664	11223378.00
2008/06/13	3.43	3.51	3.35	3.35	504168	7606538.00
2008/06/16	3.21	3.45	3.18	3.26	461456	6647800.50
2008/06/17	3.27	3.46	3.21	3.42	1178761	17626364.00
2008/06/18	3.42	3.62	3.18	3.58	1524100	23169952.00
2008/06/19	3.51	3.51	3.22	3.22	871672	12903855.00
2008/06/20	3.20	3.46	3.00	3.20	907557	13021362.00
2008/06/23	3.16	3.17	2.98	2.99	525100	7148830.00
2008/06/24	2.97	3.08	2.88	3.02	726714	9700255.00
2008/06/25	3.05	3.22	2.96	3.18	737960	10255520.00
2008/06/26	3.20	3.31	3.16	3.25	849458	12239484.00
2008/06/27	3.16	3.16	2.94	2.98	655955	8856127.00
2008/06/30	2.94	3.04	2.89	2.96	299614	3910584.50
2008/07/01	2.95	3.02	2.89	2.92	312790	4097384.50
2008/07/02	2.92	3.03	2.90	2.99	552015	7339381.00
2008/07/03	2.95	3.17	2.95	3.12	613953	8429423.00
2008/07/04	3.14	3.16	3.04	3.07	364416	4987093.00
2008/07/07	3.08	3.25	3.08	3.25	725349	10252020.00
2008/07/08	3.26	3.42	3.25	3.39	912416	13425120.00
2008/07/09	3.39	3.50	3.39	3.48	1010936	15428195.00
2008/07/10	3.45	3.62	3.39	3.58	1588869	24867956.00
2008/07/11	3.53	3.58	3.39	3.42	782205	12016186.00
2008/07/14	3.43	3.51	3.39	3.46	307315	4685160.00
2008/07/15	3.46	3.51	3.21	3.28	474857	7066875.50
2008/07/16	3.28	3.28	3.02	3.14	364444	5099637.00
2008/07/17	3.14	3.27	3.14	3.19	437366	6201540.00
2008/07/18	3.23	3.32	3.09	3.28	317729	4519468.50
2008/07/21	3.22	3.40	3.21	3.38	373848	5535724.50
2008/07/22	3.38	3.45	3.35	3.39	372041	5590635.50
2008/07/23	3.39	3.51	3.36	3.41	527529	7976615.00
2008/07/24	3.47	3.48	3.42	3.46	556571	8485623.00
2008/07/25	3.46	3.52	3.40	3.47	473171	7256048.50
2008/07/28	3.49	3.58	3.48	3.51	488965	7608589.00
2008/07/29	3.49	3.49	3.41	3.41	409562	6220830.00
2008/07/31	3.41	3.42	3.28	3.28	490634	7203506.00
2008/08/01	3.28	3.35	3.20	3.32	211549	3067615.25
2008/08/04	3.30	3.37	3.30	3.32	131740	1948917.50
2008/08/05	3.32	3.35	3.20	3.23	205041	2966679.25
2008/08/06	3.24	3.32	3.23	3.28	222272	3229013.75
2008/08/07	3.32	3.37	3.23	3.29	123937	1806673.13
2008/08/08	3.25	3.31	3.01	3.04	322110	4525493.00
2008/08/11	3.02	3.02	2.74	2.81	420820	5353638.50
2008/08/12	2.86	2.88	2.77	2.81	328179	4121913.25
2008/08/13	2.78	2.88	2.66	2.86	184378	2272256.25
2008/08/14	2.86	2.87	2.79	2.82	145779	1837108.38
2008/08/15	2.81	2.89	2.81	2.84	90982	1156301.50
2008/08/18	2.82	2.89	2.70	2.70	170286	2087221.88
2008/08/19	2.71	2.81	2.71	2.77	171810	2110819.25
2008/08/20	2.81	3.00	2.74	2.97	399031	5221575.50
2008/08/21	2.92	2.97	2.84	2.88	231105	3000420.25
2008/08/22	2.88	2.92	2.84	2.88	159871	2042083.63
2008/08/25	2.91	2.93	2.85	2.88	82554	1059436.13
2008/08/26	2.88	2.88	2.70	2.72	111140	1372803.25
