002183 怡 亚 通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/11/13	3.35	3.76	3.35	3.39	19019958	1036256896.00
2007/11/14	3.51	3.78	3.37	3.62	9254373	510049824.00
2007/11/15	3.55	3.57	3.23	3.26	6302350	329820800.00
2007/11/16	3.13	3.47	3.11	3.42	2953919	151729568.00
2007/11/19	3.39	3.69	3.32	3.58	2314056	127120968.00
2007/11/20	3.60	3.94	3.51	3.80	3832092	221469072.00
2007/11/21	3.74	4.16	3.74	4.07	3068759	184704736.00
2007/11/22	3.95	4.13	3.88	3.93	2670879	161298608.00
2007/11/23	3.93	4.21	3.88	3.98	1997905	123196736.00
2007/11/26	4.02	4.09	3.86	3.88	1448733	86918648.00
2007/11/27	3.81	3.86	3.54	3.56	2390458	134777920.00
2007/11/28	3.58	3.75	3.52	3.71	1004176	56369028.00
2007/11/29	3.80	4.13	3.74	4.13	1875899	114035704.00
2007/11/30	4.20	4.49	4.19	4.24	1850394	120835216.00
2007/12/03	4.09	4.50	4.08	4.26	996121	64376360.00
2007/12/04	4.24	4.73	4.21	4.73	1484231	101594184.00
2007/12/05	4.76	5.16	4.69	4.84	1857729	135385536.00
2007/12/06	4.86	5.09	4.76	4.98	850677	62765492.00
2007/12/07	4.96	5.13	4.85	4.92	626860	46069812.00
2007/12/10	4.93	5.42	4.92	5.39	896037	68818720.00
2007/12/11	5.43	5.57	5.21	5.35	852123	67382480.00
2007/12/12	5.32	5.74	5.23	5.61	880614	72163832.00
2007/12/13	5.61	5.79	5.29	5.38	1172744	95055408.00
2007/12/17	5.50	5.70	5.09	5.13	1261121	99077816.00
2007/12/18	5.12	5.34	4.88	5.21	1175280	88976936.00
2007/12/19	5.21	5.50	5.12	5.41	808017	63413888.00
2007/12/20	5.35	5.46	5.24	5.39	473878	37484332.00
2007/12/21	5.46	5.46	5.17	5.26	741222	57592952.00
2007/12/24	5.23	5.84	5.21	5.84	1745287	146295536.00
2007/12/25	5.69	5.69	5.39	5.41	1809085	147006752.00
2007/12/26	5.42	5.57	5.27	5.47	828431	66245300.00
2007/12/27	5.37	5.55	5.35	5.38	673929	53940888.00
2007/12/28	5.39	5.40	5.20	5.28	789284	61559872.00
2008/01/02	5.39	5.58	5.34	5.46	908261	72957208.00
2008/01/03	5.43	6.02	5.32	5.79	1257415	105923976.00
2008/01/04	5.79	5.79	5.58	5.70	644442	53672956.00
2008/01/07	5.64	5.70	5.43	5.53	1009819	82018960.00
2008/01/08	5.53	5.65	5.32	5.40	780599	62354200.00
2008/01/09	5.35	5.50	5.35	5.45	612493	48946512.00
2008/01/10	5.45	5.53	5.29	5.32	1008616	79800672.00
2008/01/11	5.31	5.43	5.08	5.40	1038166	80406160.00
2008/01/14	5.28	5.49	5.24	5.45	548139	43604616.00
2008/01/15	5.43	5.54	5.35	5.42	650016	52194484.00
2008/01/16	5.40	5.77	5.35	5.58	1116129	91993200.00
2008/01/17	5.51	6.08	5.43	6.02	2428158	207499792.00
2008/01/18	6.02	6.46	5.95	6.18	1256936	113708888.00
2008/01/21	6.18	6.40	5.95	6.08	809248	72740928.00
2008/01/22	5.95	5.95	5.42	5.42	1146946	93746880.00
2008/01/23	5.30	5.61	4.98	5.46	1059652	83961776.00
2008/01/24	5.45	5.62	5.24	5.49	666615	53657308.00
2008/01/25	5.43	5.50	5.18	5.19	860103	67420456.00
2008/01/28	5.12	5.17	4.62	4.62	1181058	83633120.00
2008/01/29	4.54	4.76	4.46	4.66	530611	36706332.00
2008/01/30	4.67	4.80	4.50	4.68	429661	29908664.00
2008/01/31	4.63	4.65	4.39	4.43	567802	38504180.00
2008/02/01	4.38	4.43	3.98	4.43	1090527	69293096.00
2008/02/04	4.44	4.82	4.44	4.78	811866	56796684.00
2008/02/05	4.62	4.72	4.58	4.60	568068	39405492.00
2008/02/13	4.43	4.46	4.17	4.35	2763674	178977600.00
2008/02/14	4.38	4.55	4.32	4.49	1238298	82387680.00
2008/02/15	4.44	4.52	4.36	4.50	762717	50991808.00
2008/02/19	4.61	4.87	4.61	4.84	1746340	123727344.00
2008/02/20	4.85	5.10	4.84	4.91	1780694	132207528.00
2008/02/21	4.90	5.07	4.83	5.06	991805	73131080.00
2008/02/22	5.06	5.06	4.70	4.91	917595	66615976.00
2008/02/25	4.84	4.87	4.54	4.59	541851	38079936.00
2008/02/26	4.69	4.80	4.18	4.56	817137	54411736.00
2008/02/27	4.32	4.57	4.26	4.46	731473	48781608.00
2008/02/28	3.96	4.26	3.96	4.17	2191764	136365056.00
2008/02/29	4.11	4.33	4.03	4.32	880203	56188808.00
2008/03/03	4.24	4.36	4.14	4.23	941697	60229572.00
2008/03/04	4.23	4.44	4.20	4.35	780496	50915600.00
2008/03/05	4.32	4.37	4.24	4.37	597962	38610676.00
2008/03/06	4.43	4.46	4.29	4.37	445846	29095614.00
2008/03/07	4.37	4.37	4.14	4.34	618992	39635316.00
2008/03/10	4.32	4.32	4.10	4.21	311023	19603004.00
2008/03/11	4.20	4.23	3.94	4.00	542135	32954578.00
2008/03/12	4.03	4.04	3.66	3.76	709847	41326696.00
2008/03/13	3.66	3.72	3.52	3.53	380372	21107552.00
2008/03/14	3.52	3.56	3.44	3.52	264036	14240589.00
2008/03/17	3.57	3.57	3.28	3.28	751391	39006716.00
2008/03/18	3.23	3.28	2.90	2.93	528018	25255294.00
2008/03/19	3.04	3.12	2.93	2.95	464307	21977272.00
2008/03/20	2.93	3.17	2.63	3.06	534967	24450628.00
2008/03/21	3.04	3.11	2.93	3.09	531508	25478074.00
2008/03/24	3.09	3.14	2.83	2.84	329872	15636522.00
2008/03/25	2.78	2.84	2.69	2.80	272857	12079207.00
2008/03/26	2.81	2.92	2.70	2.75	548391	24682870.00
2008/03/27	2.72	2.72	2.47	2.47	746379	30857584.00
2008/03/28	2.46	2.70	2.46	2.65	487808	20193128.00
2008/03/31	2.60	2.61	2.45	2.61	346373	14182559.00
2008/04/01	2.60	2.60	2.30	2.31	352253	13842474.00
2008/04/02	2.34	2.50	2.15	2.36	538242	20873232.00
2008/04/03	2.38	2.48	2.26	2.46	475366	18595054.00
2008/04/07	2.43	2.68	2.35	2.65	839383	35135500.00
2008/04/08	2.63	2.78	2.56	2.77	659478	28310168.00
2008/04/09	2.69	2.76	2.47	2.51	314106	13365822.00
2008/04/10	2.43	2.53	2.37	2.52	336619	13416290.00
2008/04/11	2.50	2.61	2.50	2.54	196124	8083395.50
2008/04/14	2.46	2.52	2.31	2.32	230173	8953946.00
2008/04/15	2.32	2.43	2.23	2.43	316699	12084418.00
2008/04/16	2.42	2.45	2.21	2.23	474703	17802296.00
2008/04/17	2.23	2.28	2.09	2.11	301506	10882598.00
2008/04/18	2.06	2.25	2.02	2.25	560547	20153516.00
2008/04/22	2.32	2.53	2.20	2.53	1410728	55976608.00
2008/04/23	2.53	2.82	2.49	2.78	1518913	65850248.00
2008/04/24	3.06	3.10	2.89	3.06	2117042	100587608.00
2008/04/25	2.98	3.20	2.91	3.09	1541610	74598216.00
2008/04/28	2.98	3.20	2.92	3.09	804251	39004036.00
2008/04/29	3.04	3.19	3.04	3.14	720653	35451120.00
2008/04/30	3.13	3.46	3.13	3.43	949019	49626576.00
2008/05/05	3.50	3.72	3.44	3.66	1226421	68274456.00
2008/05/06	3.66	3.66	3.44	3.50	1117591	61176760.00
2008/05/07	3.51	3.78	3.49	3.50	1044492	58112348.00
2008/05/08	3.50	3.71	3.43	3.69	690298	37973592.00
2008/05/09	3.76	3.80	3.51	3.65	677494	37846504.00
2008/05/12	3.59	3.72	3.50	3.58	847676	47293032.00
2008/05/14	3.53	3.71	3.53	3.60	737302	40657436.00
2008/05/15	3.58	4.02	3.54	4.01	1316149	76016128.00
2008/05/16	3.87	4.23	3.87	4.05	1284466	79576192.00
2008/05/19	4.05	4.05	3.87	3.96	605809	36422404.00
2008/05/20	3.96	4.02	3.51	3.59	704894	40904780.00
2008/05/21	3.58	3.76	3.55	3.73	1001315	56492392.00
2008/05/22	3.68	3.68	3.46	3.51	1392007	37910208.00
2008/05/23	3.46	3.46	3.12	3.21	1740200	43939744.00
2008/05/26	3.10	3.16	2.94	2.95	1217064	28763548.00
2008/05/27	2.89	3.17	2.89	3.08	1063289	25369594.00
2008/05/28	3.08	3.29	3.07	3.22	1184523	29392636.00
2008/05/29	3.22	3.23	2.99	3.00	933998	22518666.00
2008/05/30	2.96	3.13	2.96	3.00	911391	21405526.00
2008/06/02	2.94	3.07	2.94	2.99	834613	19570450.00
2008/06/03	2.99	3.03	2.91	2.96	791415	18295984.00
2008/06/04	2.98	3.08	2.94	3.03	788628	18595030.00
2008/06/05	3.06	3.38	3.06	3.37	2259777	57190760.00
2008/06/06	3.35	3.60	3.20	3.52	2831161	74632664.00
2008/06/10	3.34	3.64	3.12	3.13	2960134	76369408.00
2008/06/11	3.09	3.22	2.79	3.16	1969230	45944044.00
2008/06/12	3.11	3.22	2.92	2.94	1278004	30409136.00
2008/06/13	2.91	3.05	2.83	2.83	1083209	25015386.00
2008/06/16	2.85	2.95	2.61	2.63	1082718	23220534.00
2008/06/17	2.61	2.70	2.43	2.56	1023654	20958692.00
2008/06/18	2.57	2.86	2.33	2.86	1747552	36929860.00
2008/06/19	2.79	2.92	2.53	2.54	1829728	39435340.00
2008/06/20	2.54	2.82	2.39	2.63	1251517	26580580.00
2008/06/23	2.52	2.72	2.52	2.65	620483	13024613.00
2008/06/24	2.63	2.94	2.63	2.81	1224938	27169006.00
2008/06/25	2.85	3.09	2.81	3.03	1664327	38572836.00
2008/06/26	3.01	3.10	2.94	3.03	1411322	33442174.00
2008/06/27	2.91	2.91	2.69	2.74	1301383	28778882.00
2008/06/30	2.69	2.89	2.67	2.86	805787	17924344.00
2008/07/01	2.88	3.04	2.86	2.94	954227	22099462.00
2008/07/02	2.95	3.05	2.91	2.97	616310	14320009.00
2008/07/03	2.91	3.29	2.87	3.26	2191901	53702152.00
2008/07/04	3.23	3.41	3.21	3.27	1658053	42152692.00
2008/07/07	3.28	3.49	3.23	3.42	1210822	31836022.00
2008/07/08	3.65	3.65	3.27	3.47	1612293	42752020.00
2008/07/09	3.43	3.52	3.40	3.50	1289232	34159932.00
2008/07/10	3.45	3.47	3.34	3.35	1234346	32176632.00
2008/07/11	3.31	3.38	3.17	3.25	985644	24678730.00
2008/07/14	3.23	3.36	3.18	3.34	733349	18676086.00
2008/07/15	3.38	3.50	3.33	3.37	1370378	35848408.00
2008/07/16	3.38	3.38	3.03	3.07	1151925	28256122.00
2008/07/17	3.15	3.23	3.01	3.04	860884	20873336.00
2008/07/18	3.13	3.17	2.92	3.14	760227	18130902.00
2008/07/21	3.09	3.32	3.06	3.28	891350	22356696.00
2008/07/22	3.28	3.33	3.21	3.24	593927	14934782.00
2008/07/23	3.31	3.31	3.10	3.11	733366	18140818.00
2008/07/24	3.11	3.25	3.07	3.23	813873	19940762.00
2008/07/25	3.16	3.26	3.13	3.19	482908	11952340.00
2008/07/28	3.24	3.38	3.23	3.34	1194142	30656526.00
2008/07/29	3.33	3.33	3.19	3.23	693313	17369100.00
2008/07/30	3.26	3.31	3.15	3.25	444230	11120765.00
2008/07/31	3.25	3.27	3.06	3.20	764832	18642770.00
2008/08/01	3.13	3.19	2.94	3.12	1112407	26469344.00
2008/08/04	3.07	3.08	2.95	2.97	793978	18588838.00
2008/08/05	2.96	3.03	2.91	2.91	480196	11059305.00
2008/08/06	2.96	2.98	2.82	2.85	368815	8378055.00
2008/08/07	2.84	2.89	2.62	2.72	643331	13907415.00
2008/08/08	2.70	2.77	2.60	2.63	710179	15081886.00
2008/08/11	2.57	2.64	2.32	2.32	865723	16857830.00
2008/08/12	2.27	2.37	2.27	2.37	420756	7961132.00
2008/08/13	2.36	2.45	2.24	2.40	351439	6645790.50
2008/08/14	2.39	2.46	2.33	2.40	249793	4848013.00
2008/08/15	2.40	2.44	2.32	2.38	229334	4442021.50
2008/08/18	2.36	2.42	2.11	2.20	365278	6695362.00
2008/08/19	2.20	2.24	2.08	2.13	251624	4465332.50
2008/08/20	2.08	2.39	2.06	2.39	677158	12664041.00
2008/08/21	2.30	2.46	2.21	2.34	562424	10710906.00
2008/08/22	2.33	2.41	2.28	2.36	303818	5791918.50
2008/08/25	2.36	2.42	2.30	2.33	212717	4060356.75
2008/08/26	2.30	2.30	2.08	2.20	374092	6754720.50
2008/08/27	2.17	2.27	2.09	2.11	332916	5919462.50
2008/08/28	2.12	2.18	1.98	1.99	547239	9377595.00
2008/08/29	2.03	2.12	1.92	2.04	941912	15736966.00
2008/09/01	2.04	2.04	1.89	1.90	509907	8278264.00
2008/09/02	1.90	1.93	1.80	1.80	613173	9555315.00
2008/09/03	1.77	1.82	1.65	1.70	684250	9982690.00
2008/09/04	1.72	1.90	1.68	1.87	728288	11035414.00
2008/09/05	1.78	1.94	1.77	1.94	772616	12279064.00
2008/09/08	1.92	1.92	1.80	1.80	360949	5652867.50
2008/09/09	1.83	1.87	1.65	1.68	782603	11664400.00
2008/09/10	1.63	1.73	1.62	1.65	678873	9869020.00
2008/09/11	1.64	1.66	1.50	1.57	874211	11894957.00
2008/09/16	1.50	1.55	1.45	1.51	767945	10070150.00
2008/09/17	1.49	1.52	1.42	1.44	783115	10131037.00
2008/09/18	1.38	1.46	1.31	1.42	1283645	15826474.00
2008/09/19	1.61	1.61	1.54	1.61	1502865	21030190.00
2008/09/22	1.69	1.81	1.59	1.66	1778114	26022258.00
2008/09/23	1.60	1.60	1.45	1.45	1129653	14960737.00
2008/09/24	1.41	1.47	1.29	1.47	973325	12028081.00
2008/09/25	1.44	1.59	1.42	1.56	1115333	15078848.00
2008/09/26	1.57	1.68	1.53	1.58	1431774	20016072.00
2008/10/06	1.52	1.52	1.43	1.43	656835	8576497.00
2008/10/07	1.34	1.62	1.31	1.62	1750634	24008538.00
2008/10/08	1.57	1.76	1.55	1.66	2329859	33826952.00
2008/10/09	1.68	1.79	1.61	1.73	1595003	23608536.00
2008/10/10	1.64	1.77	1.62	1.71	1218501	17709286.00
2008/10/13	1.70	1.70	1.49	1.60	1713052	23562182.00
2008/10/14	1.63	1.71	1.54	1.54	962580	13684222.00
2008/10/15	1.52	1.53	1.38	1.44	872783	11235258.00
2008/10/16	1.34	1.38	1.24	1.24	1559887	18408964.00
2008/10/17	1.23	1.29	1.17	1.23	959962	11023443.00
2008/10/20	1.23	1.29	1.14	1.26	854490	9672089.00
2008/10/21	1.27	1.39	1.26	1.34	1044517	12725702.00
2008/10/22	1.31	1.38	1.27	1.38	782692	9576911.00
2008/10/23	1.31	1.41	1.31	1.40	649361	8065047.50
2008/10/24	1.37	1.41	1.36	1.38	531006	6638656.00
2008/10/27	1.22	1.35	1.22	1.27	426400	5090818.00
2008/10/28	1.29	1.44	1.29	1.41	810158	10172185.00
2008/10/29	1.40	1.49	1.39	1.42	775513	10006669.00
2008/10/31	1.44	1.61	1.38	1.61	1914554	26142592.00
2008/11/03	1.62	1.79	1.56	1.75	2277964	33074706.00
2008/11/04	1.71	1.75	1.68	1.71	1743126	25540100.00
2008/11/05	1.69	1.82	1.69	1.78	1639150	24693168.00
2008/11/06	1.72	1.79	1.68	1.72	952540	14121194.00
2008/11/07	1.71	1.74	1.62	1.72	1138140	16549521.00
2008/11/10	1.72	1.93	1.72	1.90	1990423	31266754.00
2008/11/11	1.87	2.02	1.81	1.81	1587540	25680984.00
