002189 利达光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/03	11.77	12.38	10.65	10.82	28615106	324056192.00
2007/12/04	10.40	11.93	10.40	11.93	20008269	234520032.00
2007/12/05	11.57	12.70	11.48	12.37	22130550	271741920.00
2007/12/06	12.07	12.27	11.79	12.02	8631521	105577968.00
2007/12/07	12.03	12.24	11.79	11.97	6407651	78267200.00
2007/12/10	11.77	13.19	11.59	12.78	13985436	178621760.00
2007/12/11	12.57	13.63	12.56	13.15	11764152	156550816.00
2007/12/12	12.97	13.39	12.84	13.00	5197624	69313344.00
2007/12/13	13.13	13.99	12.97	13.26	8144805	112223488.00
2007/12/14	13.07	13.44	12.57	13.13	5415849	71818904.00
2007/12/17	13.32	13.75	13.16	13.37	4077202	55634396.00
2007/12/18	13.27	13.37	12.67	12.81	3450454	45359240.00
2007/12/19	12.90	13.66	12.90	13.22	4387868	59354632.00
2007/12/20	13.17	13.95	13.08	13.74	5760117	79031112.00
2007/12/21	13.62	14.42	13.55	14.19	6700835	96011424.00
2007/12/24	14.19	14.92	14.01	14.18	6286941	92217816.00
2007/12/25	14.17	14.76	13.97	14.75	4109765	60283264.00
2007/12/26	14.87	15.32	14.78	14.92	3712180	56507580.00
2007/12/27	14.98	15.32	14.62	14.84	4618022	69914840.00
2007/12/28	14.77	14.84	14.29	14.47	3471513	51180584.00
2008/01/02	14.48	14.87	14.37	14.81	3134484	46625520.00
2008/01/03	14.77	15.11	14.47	14.95	3571916	53688800.00
2008/01/04	14.87	14.87	14.53	14.67	2817409	41862532.00
2008/01/07	14.47	14.56	14.02	14.38	5141427	74500824.00
2008/01/08	14.13	14.55	14.13	14.26	2884973	41851348.00
2008/01/09	14.17	14.67	14.17	14.66	2223359	32728306.00
2008/01/10	14.68	14.75	14.25	14.33	2562468	37606044.00
2008/01/11	14.32	14.72	14.18	14.55	2628859	38832980.00
2008/01/14	14.57	15.04	14.56	14.92	2807269	42372520.00
2008/01/15	14.93	15.64	14.77	15.31	4579798	70815312.00
2008/01/16	15.27	15.74	14.97	14.97	2796371	43177404.00
2008/01/17	14.77	15.25	13.77	14.60	2939595	43899016.00
2008/01/18	14.59	15.36	14.38	15.19	3276863	49722992.00
2008/01/21	15.11	15.72	14.65	14.77	4367711	67855312.00
2008/01/22	13.77	14.27	13.27	13.27	2489669	34526872.00
2008/01/23	12.79	13.73	11.92	13.42	4376123	57378576.00
2008/01/24	13.07	13.76	12.78	13.32	3036413	40959380.00
2008/01/25	13.35	13.37	12.80	12.87	2239938	29856904.00
2008/01/28	12.77	12.77	11.56	11.56	2647898	31992260.00
2008/01/29	11.67	12.02	11.38	11.84	1225244	14711037.00
2008/01/30	11.94	12.26	11.58	11.97	1282893	15651528.00
2008/01/31	11.85	12.04	11.47	11.49	665117	8013936.00
2008/02/01	11.57	11.76	10.36	10.75	1576468	17491544.00
2008/02/04	11.26	11.85	11.00	11.85	1769126	20903392.00
2008/02/05	11.85	12.42	11.58	12.16	1699355	20934964.00
2008/02/13	12.06	12.27	11.62	12.03	910266	11144367.00
2008/02/14	11.97	12.32	11.95	12.26	764280	9467476.00
2008/02/15	12.25	12.25	11.85	12.02	594349	7258598.50
2008/02/18	12.12	12.44	12.12	12.29	1024033	12866580.00
2008/02/19	12.30	12.73	12.26	12.66	1293488	16572302.00
2008/02/20	12.67	12.95	12.58	12.62	1562342	20289084.00
2008/02/21	12.57	12.92	12.27	12.80	1360127	17520020.00
2008/02/22	12.80	12.96	12.37	12.47	1307771	16890018.00
2008/02/25	12.48	12.75	11.88	11.96	979980	12204651.00
2008/02/26	12.13	12.65	11.88	12.21	834428	10314944.00
2008/02/27	12.21	12.58	12.17	12.57	852992	10839732.00
2008/02/28	12.64	12.65	12.17	12.27	999965	12600892.00
2008/02/29	12.25	13.51	12.25	13.42	4806290	64733976.00
2008/03/03	12.88	13.97	12.73	13.92	9776117	133170544.00
2008/03/04	13.72	13.92	13.39	13.39	4208205	58212044.00
2008/03/05	13.27	13.57	12.89	13.41	2425568	32716228.00
2008/03/06	13.54	13.55	13.03	13.23	2335782	31521972.00
2008/03/07	13.17	13.17	12.68	12.82	1798358	23572872.00
2008/03/10	12.75	12.75	12.06	12.07	1862381	23344266.00
2008/03/11	12.04	12.45	11.87	12.34	1050182	13015902.00
2008/03/12	12.56	12.66	11.89	11.98	1388975	17280284.00
2008/03/13	11.99	12.02	11.38	11.60	1322230	15703079.00
2008/03/14	11.52	11.85	11.47	11.60	729158	8694166.00
2008/03/17	11.57	11.70	10.58	10.90	1064549	12154657.00
2008/03/18	10.68	11.11	9.85	10.13	1305754	13967166.00
2008/03/19	10.47	10.91	10.15	10.65	1269417	13706448.00
2008/03/20	10.57	11.22	9.98	11.07	1273907	13905658.00
2008/03/21	11.05	11.33	10.79	11.03	888899	10045550.00
2008/03/24	11.27	11.27	10.80	10.80	862540	9666993.00
2008/03/26	10.77	11.35	10.77	10.93	943805	10615863.00
2008/03/27	10.77	10.77	10.05	10.12	1111554	11804795.00
2008/03/28	10.07	10.40	9.59	10.37	1224626	12570578.00
2008/03/31	10.04	10.09	9.67	9.71	899678	9120526.00
2008/04/01	9.40	9.87	8.72	8.72	1348619	12487373.00
2008/04/02	8.77	8.97	7.89	8.01	1349215	11656227.00
2008/04/03	7.97	8.47	7.83	8.24	828869	6985836.00
2008/04/07	8.17	8.89	7.97	8.85	1273170	11209272.00
2008/04/08	8.82	9.03	8.67	8.93	1101999	10045835.00
2008/04/09	8.85	8.93	8.27	8.29	1200166	10634476.00
2008/04/10	8.24	8.52	8.07	8.48	909270	7735648.50
2008/04/11	8.60	9.00	8.48	8.86	1221534	11022331.00
2008/04/14	8.65	8.65	8.03	8.13	988713	8470897.00
2008/04/15	8.13	8.67	7.77	8.50	921161	7725116.00
2008/04/16	8.42	8.57	8.17	8.29	671802	5776141.50
2008/04/17	8.29	8.55	7.80	7.97	715887	5974495.50
2008/04/18	7.99	8.08	7.49	7.50	853026	6785933.00
2008/04/22	7.20	7.20	6.73	7.08	1474488	10557288.00
2008/04/23	6.95	7.47	6.83	7.35	1132734	8507519.00
2008/04/24	8.09	8.11	7.80	8.11	2787297	22993988.00
2008/04/25	8.07	8.72	7.95	8.45	2961923	25459264.00
2008/04/28	8.34	8.96	8.13	8.93	3699565	32834486.00
2008/04/29	9.00	9.76	8.99	9.21	6517388	62088612.00
2008/04/30	8.95	9.36	8.82	9.22	3354221	31184822.00
2008/05/05	9.22	9.47	8.87	9.37	2380760	22427556.00
2008/05/06	9.25	9.32	8.97	9.02	1822884	17021814.00
2008/05/07	8.95	9.16	8.52	8.52	1726802	15614087.00
2008/05/08	8.53	8.85	8.40	8.84	1223188	10923084.00
2008/05/09	8.95	9.05	8.52	8.65	1105318	9909573.00
2008/05/12	8.42	8.97	8.34	8.89	1286270	11380159.00
2008/05/13	8.55	8.87	8.43	8.77	1478721	13165387.00
2008/05/14	8.57	9.18	8.57	9.10	1959346	18076876.00
2008/05/15	9.17	9.44	8.98	9.27	2526361	23819706.00
2008/05/16	9.24	9.46	8.73	9.03	1919361	17901938.00
2008/05/19	9.01	9.42	8.93	9.42	2039248	19157188.00
2008/05/20	9.42	9.52	8.62	8.72	2631024	24358598.00
2008/05/21	8.57	9.05	8.37	8.95	1586064	13996100.00
2008/05/22	8.96	9.22	8.80	9.02	4016773	36902304.00
2008/05/23	9.01	9.01	8.28	8.62	2167913	19104282.00
2008/05/26	8.53	8.53	7.95	7.97	1317524	11035392.00
2008/05/27	7.96	8.15	7.94	8.08	470893	3871649.50
