002197 证通电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/18	9.02	9.41	7.40	7.64	11809693	417491264.00
2007/12/19	7.61	7.84	6.95	7.06	6544036	192584928.00
2007/12/20	7.09	7.43	7.03	7.22	4192921	124652680.00
2007/12/21	7.08	7.51	7.08	7.43	2933597	88397032.00
2007/12/24	7.65	8.15	7.64	7.81	3633298	117234568.00
2007/12/25	7.82	8.00	7.53	7.89	2001645	63384116.00
2007/12/26	7.84	8.05	7.84	7.95	1565110	50687468.00
2007/12/27	8.08	8.43	7.98	8.04	2345182	78014400.00
2007/12/28	8.03	8.17	7.77	7.82	1310389	42136460.00
2008/01/02	7.85	8.02	7.61	7.90	1230193	39305564.00
2008/01/03	7.82	8.09	7.72	7.97	1501633	48512712.00
2008/01/04	8.09	8.23	7.92	7.98	1206530	39678588.00
2008/01/07	7.98	8.00	7.67	7.77	1656467	52405256.00
2008/01/08	7.77	7.87	7.64	7.67	1130586	35572148.00
2008/01/09	7.65	7.88	7.65	7.87	993898	31574420.00
2008/01/10	7.92	7.92	7.63	7.67	1140951	36036524.00
2008/01/11	7.66	7.72	7.51	7.59	949772	29396120.00
2008/01/14	7.58	7.83	7.53	7.74	792731	24943814.00
2008/01/15	7.72	8.08	7.72	8.06	2055744	66643960.00
2008/01/16	8.07	8.11	7.85	7.95	1414387	45995456.00
2008/01/17	7.98	8.38	7.85	8.35	2383310	78884800.00
2008/01/18	8.37	8.86	8.17	8.67	3253402	112886096.00
2008/01/21	8.67	8.75	8.01	8.02	1733408	59611500.00
2008/01/22	8.00	8.00	7.17	7.17	1498191	45506820.00
2008/01/23	7.06	7.53	6.88	7.35	1193038	35486588.00
2008/01/24	7.30	7.53	7.11	7.40	918161	27616872.00
2008/01/25	7.40	7.45	7.19	7.28	578044	17286494.00
2008/01/28	7.20	7.32	6.75	6.80	1293062	36458376.00
2008/01/29	6.80	7.04	6.79	6.83	347385	9803342.00
2008/01/30	6.89	7.09	6.80	6.93	267914	7608695.50
2008/01/31	6.84	6.93	6.80	6.80	271618	7637550.00
2008/02/01	6.80	6.80	6.07	6.07	716739	18351310.00
2008/02/04	6.18	6.61	6.18	6.57	426993	11288486.00
2008/02/05	6.57	6.61	6.31	6.48	297475	7928153.50
2008/02/13	6.54	6.59	6.36	6.54	189301	5101447.00
2008/02/14	6.52	6.67	6.52	6.64	178415	4859427.50
2008/02/15	6.59	6.66	6.45	6.50	265904	7153531.00
2008/02/18	6.57	6.80	6.55	6.78	339139	9376985.00
2008/02/19	6.78	7.03	6.73	6.93	327580	9302193.00
2008/02/20	6.95	7.01	6.73	6.74	347980	9784881.00
2008/02/21	6.67	6.75	6.55	6.68	234813	6430132.50
2008/02/22	6.62	6.72	6.27	6.36	297450	7892728.00
2008/02/25	6.42	6.51	6.10	6.10	321200	8376703.50
2008/02/26	6.23	6.76	6.23	6.76	2132449	59235520.00
2008/02/27	6.86	7.27	6.80	7.12	3119713	90867816.00
2008/02/28	7.17	7.19	6.86	7.09	1066938	30746284.00
2008/02/29	7.07	7.23	6.94	7.14	818732	23764328.00
2008/03/03	7.06	7.29	6.96	7.17	914301	26746054.00
2008/03/04	7.17	7.18	6.88	6.90	795559	22980976.00
2008/03/05	6.93	6.98	6.49	6.63	810590	22279522.00
2008/03/06	6.63	6.80	6.54	6.63	570803	15707620.00
2008/03/07	6.54	6.62	6.41	6.45	523380	13979582.00
2008/03/10	6.32	6.51	6.26	6.36	490163	12847701.00
2008/03/11	6.40	6.56	6.23	6.52	251573	6631474.50
2008/03/12	6.61	6.71	6.28	6.29	367265	9783147.00
2008/03/13	6.24	6.36	6.11	6.26	308415	7946611.50
2008/03/14	6.22	6.44	6.13	6.34	312047	8146397.50
2008/03/17	6.19	6.27	5.66	5.66	625278	15069672.00
2008/03/18	5.04	5.39	5.04	5.04	2524898	54940012.00
2008/03/19	5.10	5.37	4.94	5.32	1741898	37903400.00
2008/03/20	4.98	5.48	4.85	5.35	1775249	38595040.00
2008/03/21	5.34	5.47	5.19	5.35	986580	22068874.00
2008/03/24	5.41	5.44	5.11	5.11	924233	20387748.00
2008/03/25	5.11	5.24	4.89	5.14	730488	15511155.00
2008/03/26	5.16	5.47	5.14	5.42	1457912	32765188.00
2008/03/27	5.36	5.66	5.24	5.55	1961304	45206408.00
2008/03/28	5.45	5.68	5.15	5.62	1477667	33964844.00
2008/03/31	5.45	5.57	5.22	5.28	898024	20249430.00
2008/04/01	5.25	5.39	4.70	4.70	1321896	26919970.00
2008/04/02	4.66	4.80	4.19	4.22	1154666	21753638.00
2008/04/03	4.17	4.40	4.07	4.28	795865	14371503.00
2008/04/07	4.23	4.61	4.17	4.58	725010	13806382.00
2008/04/08	4.57	4.85	4.50	4.77	721298	14340721.00
2008/04/09	4.51	4.65	4.26	4.28	1570748	30095294.00
2008/04/10	4.20	4.43	4.17	4.41	437286	7999611.00
2008/04/11	4.36	4.59	4.36	4.49	539540	10320796.00
2008/04/14	4.38	4.38	4.10	4.10	598563	10806447.00
2008/04/15	4.10	4.27	3.98	4.25	474285	8377306.00
2008/04/16	4.24	4.31	4.13	4.14	267042	4802860.00
2008/04/17	4.12	4.20	3.83	3.85	570754	9777493.00
2008/04/18	3.86	3.90	3.68	3.70	495279	8048819.00
2008/04/21	4.01	4.04	3.58	3.68	872009	14521105.00
2008/04/22	3.65	3.65	3.37	3.57	658933	10102822.00
2008/04/23	3.55	3.78	3.42	3.73	704871	11120050.00
2008/04/24	4.07	4.15	3.94	4.15	1572147	27564920.00
2008/04/25	4.07	4.27	3.99	4.14	1519688	27066104.00
2008/04/28	4.05	4.11	3.84	3.93	987762	16864870.00
2008/04/30	4.03	4.22	3.96	4.19	989746	17499124.00
2008/05/05	4.26	4.50	4.26	4.49	1745440	32822634.00
2008/05/06	4.46	4.51	4.37	4.43	1359232	25654932.00
2008/05/07	4.37	4.45	4.20	4.20	996800	18481020.00
2008/05/08	4.17	4.39	4.13	4.39	587100	10691062.00
2008/05/09	4.41	4.59	4.25	4.40	1067151	20127964.00
2008/05/12	4.33	4.58	4.33	4.49	844893	16106714.00
2008/05/13	4.36	4.63	4.33	4.61	1209212	23052280.00
2008/05/14	4.56	4.74	4.51	4.71	863854	17134706.00
2008/05/15	4.75	4.79	4.59	4.60	766781	15186851.00
2008/05/16	4.62	4.66	4.34	4.44	663149	12716834.00
2008/05/19	4.54	4.58	4.39	4.51	395349	7563585.50
2008/05/20	4.57	4.65	4.09	4.14	526880	9811140.00
2008/05/21	4.08	4.45	4.08	4.39	747049	13294990.00
2008/05/22	4.40	4.54	4.27	4.36	690720	12998803.00
2008/05/23	4.37	4.60	4.36	4.56	1031691	19511206.00
2008/05/26	4.50	4.57	4.18	4.22	444275	8116630.50
2008/05/27	4.17	4.32	4.17	4.27	318740	5730942.00
2008/05/28	4.30	4.40	4.23	4.39	382083	6983803.00
2008/05/29	4.39	4.57	4.37	4.39	623050	11702352.00
2008/05/30	4.38	4.56	4.38	4.51	411811	7759781.00
2008/06/02	4.52	4.72	4.52	4.65	760572	14782535.00
2008/06/03	4.64	4.73	4.49	4.50	672492	12881649.00
2008/06/04	4.43	4.60	4.37	4.56	460787	8717964.00
2008/06/05	4.57	5.06	4.50	5.06	2911800	59411108.00
2008/06/06	5.01	5.37	5.01	5.07	4087919	87852776.00
2008/06/10	4.81	4.99	4.52	4.52	1930793	37855320.00
2008/06/11	4.39	4.40	4.03	4.04	1967921	34655700.00
2008/06/12	3.97	4.10	3.78	3.93	1114547	18558608.00
2008/06/13	3.94	4.03	3.85	3.89	843690	14146366.00
2008/06/16	3.89	3.97	3.60	3.82	709305	11539502.00
2008/06/17	3.82	4.12	3.79	3.90	1197047	20297202.00
2008/06/18	3.91	4.16	3.66	4.07	1196365	20226160.00
2008/06/19	4.00	4.04	3.62	3.64	1164196	18860238.00
2008/06/20	3.71	3.97	3.64	3.82	783186	12770162.00
2008/06/23	3.78	3.81	3.64	3.67	442050	7021881.50
2008/06/24	3.66	3.81	3.66	3.75	423749	6780653.50
2008/06/25	3.77	4.17	3.76	4.17	1259364	21918956.00
2008/06/26	4.12	4.39	4.11	4.32	1049121	18785232.00
2008/06/27	4.32	4.49	4.13	4.22	1424531	25999272.00
2008/06/30	4.13	4.45	4.08	4.45	806706	14464933.00
2008/07/01	4.42	4.70	4.31	4.33	1256412	23636762.00
2008/07/02	4.32	4.51	4.32	4.39	645785	12048789.00
2008/07/03	4.26	4.73	4.26	4.68	995389	19129280.00
2008/07/04	4.63	4.88	4.52	4.65	990866	19465294.00
2008/07/07	4.65	4.82	4.65	4.79	1144618	22692420.00
2008/07/08	4.79	4.86	4.71	4.85	747862	14978432.00
2008/07/09	4.88	4.94	4.75	4.82	781091	15693537.00
2008/07/10	4.79	5.01	4.67	4.76	795545	16086903.00
2008/07/11	4.74	4.81	4.62	4.76	579186	11475824.00
2008/07/14	4.75	4.90	4.75	4.82	499354	10081623.00
2008/07/15	4.84	5.02	4.75	4.79	903568	18416964.00
2008/07/16	4.74	4.85	4.42	4.52	987828	18810196.00
2008/07/17	4.54	4.65	4.43	4.43	544133	10302073.00
2008/07/18	4.49	4.61	4.31	4.57	470018	8823962.00
2008/07/21	4.53	4.80	4.49	4.80	402347	7900745.50
2008/07/22	4.80	4.95	4.75	4.88	476011	9634141.00
2008/07/23	4.94	4.99	4.81	4.91	678629	13885276.00
2008/07/24	4.89	4.98	4.84	4.95	448861	9242501.00
2008/07/25	4.94	4.94	4.81	4.84	555771	11282828.00
2008/07/28	4.84	4.97	4.82	4.88	489583	9986014.00
2008/07/29	4.86	4.88	4.76	4.81	575255	11573376.00
2008/07/30	4.92	5.25	4.86	5.06	1263365	26827208.00
2008/07/31	5.07	5.24	4.99	5.02	1087972	23191718.00
2008/08/01	4.98	5.11	4.79	5.02	1279837	26148788.00
2008/08/04	4.95	5.14	4.87	4.97	495476	10396047.00
2008/08/05	4.97	5.05	4.84	4.86	378501	7776443.00
2008/08/06	4.88	4.92	4.66	4.78	438882	8736726.00
2008/08/07	4.68	4.82	4.68	4.76	237709	4701625.50
2008/08/08	4.79	4.84	4.25	4.26	386259	7412520.50
2008/08/11	4.29	4.32	4.02	4.05	666024	11682519.00
2008/08/12	4.00	4.16	4.00	4.16	198019	3442925.75
2008/08/13	4.10	4.35	4.08	4.32	227341	4034768.00
2008/08/14	4.26	4.39	4.22	4.29	153181	2768434.25
2008/08/15	4.42	4.42	4.23	4.30	110244	2020854.13
2008/08/18	4.30	4.33	4.03	4.05	310707	5440128.50
2008/08/19	4.06	4.18	3.99	4.15	98250	1706142.00
2008/08/20	4.15	4.55	4.11	4.51	294001	5441646.50
2008/08/21	4.44	4.59	4.33	4.38	223959	4165427.50
2008/08/22	4.22	4.24	4.00	4.01	586287	10049025.00
2008/08/25	4.00	4.00	3.82	3.90	235594	3923231.75
2008/08/26	3.85	3.92	3.75	3.79	223934	3655270.75
2008/08/27	3.85	3.93	3.74	3.83	120910	1977074.13
2008/08/28	3.87	3.88	3.80	3.86	150310	2460166.25
2008/08/29	3.83	4.03	3.83	3.96	138768	2331518.25
2008/09/01	3.96	3.96	3.80	3.84	45501	747537.25
2008/09/02	3.75	3.89	3.75	3.82	30323	495847.97
2008/09/03	3.86	3.86	3.61	3.70	121691	1944886.13
2008/09/04	3.66	3.76	3.64	3.74	84174	1331962.25
2008/09/05	3.63	3.69	3.49	3.51	253791	3875621.00
2008/09/09	3.33	3.48	3.23	3.30	177191	2536036.25
2008/09/10	3.26	3.35	3.23	3.29	85802	1225419.38
2008/09/11	3.28	3.28	3.07	3.07	124901	1710416.88
2008/09/12	3.01	3.12	2.99	3.04	64959	867141.94
