002198 嘉应制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/18	3.97	4.57	3.94	4.27	11483655	247040560.00
2007/12/19	4.08	4.15	3.83	3.92	7074590	144347264.00
2007/12/20	3.77	3.92	3.74	3.85	3994605	79292928.00
2007/12/21	3.81	4.07	3.79	4.00	3564500	72934512.00
2007/12/24	4.06	4.18	4.01	4.05	3913145	82712568.00
2007/12/25	4.00	4.15	3.94	4.12	2691155	56487312.00
2007/12/26	4.13	4.34	4.13	4.34	3264878	71439888.00
2007/12/27	4.37	4.74	4.37	4.49	4037776	94555736.00
2007/12/28	4.49	4.63	4.37	4.52	2218259	51432204.00
2008/01/02	4.51	4.63	4.39	4.53	1839844	42802088.00
2008/01/03	4.47	4.66	4.47	4.62	2233492	52685588.00
2008/01/04	4.62	4.66	4.43	4.50	1716038	39734136.00
2008/01/07	4.42	4.49	4.36	4.42	1614685	36643384.00
2008/01/08	4.42	4.46	4.27	4.29	1878839	41860052.00
2008/01/09	4.29	4.41	4.27	4.40	974180	21932754.00
2008/01/10	4.40	4.45	4.27	4.30	1544576	34457104.00
2008/01/11	4.30	4.39	4.27	4.33	934425	20844064.00
2008/01/14	4.37	4.47	4.34	4.46	1451200	33090310.00
2008/01/15	4.49	4.54	4.40	4.47	1243302	28619870.00
2008/01/16	4.50	4.61	4.41	4.55	1842806	42697236.00
2008/01/17	4.57	4.59	4.11	4.45	1541050	35343464.00
2008/01/18	4.43	4.67	4.39	4.66	2493805	58559536.00
2008/01/21	4.66	4.70	4.21	4.29	1445417	33539104.00
2008/01/22	4.23	4.24	3.85	3.85	1514809	31269182.00
2008/01/23	3.85	4.05	3.70	4.02	1015877	20666748.00
2008/01/24	4.03	4.17	3.90	4.03	948100	19857116.00
2008/01/25	4.01	4.06	3.91	3.95	638274	13209294.00
2008/01/28	3.87	3.93	3.54	3.54	938205	17729994.00
2008/01/29	3.56	3.63	3.46	3.56	512695	9457391.00
2008/01/30	3.63	3.86	3.57	3.71	888178	17206202.00
2008/01/31	3.66	3.79	3.58	3.60	320953	6123801.00
2008/02/01	3.63	3.66	3.22	3.36	783499	13725556.00
2008/02/04	3.43	3.66	3.41	3.65	579243	10708588.00
2008/02/05	3.59	3.70	3.49	3.61	706964	13119148.00
2008/02/13	3.57	3.62	3.47	3.55	294709	5431689.00
2008/02/14	3.57	3.76	3.57	3.76	745076	14214253.00
2008/02/15	3.78	3.78	3.65	3.72	509066	9752472.00
2008/02/18	3.72	3.84	3.72	3.79	671723	13241582.00
2008/02/19	3.85	3.96	3.80	3.88	624313	12586034.00
2008/02/20	3.83	3.94	3.81	3.84	543787	10843765.00
2008/02/21	3.85	3.87	3.67	3.86	499648	9901421.00
2008/02/22	3.86	3.86	3.67	3.69	506367	9781060.00
2008/02/25	3.71	3.71	3.48	3.48	397100	7354429.50
2008/02/26	3.57	3.63	3.51	3.60	418871	7743165.00
2008/02/27	3.62	3.74	3.57	3.69	394165	7514210.00
2008/02/28	3.72	4.07	3.67	4.07	2078786	42692252.00
2008/02/29	4.17	4.44	4.11	4.29	3876075	85503664.00
2008/03/03	4.26	4.36	4.08	4.26	1928473	42114920.00
2008/03/04	4.22	4.26	4.12	4.15	1273148	27505806.00
2008/03/05	4.09	4.19	3.95	4.09	1163015	24257494.00
2008/03/06	4.08	4.19	3.98	4.08	845337	17850612.00
2008/03/07	4.06	4.16	3.95	4.03	575927	12037579.00
2008/03/10	3.99	4.03	3.80	3.91	590145	11863176.00
2008/03/11	3.83	3.92	3.79	3.92	349276	6964437.00
2008/03/12	3.99	3.99	3.80	3.81	412548	8322080.00
2008/03/13	3.73	3.75	3.52	3.56	683467	12806625.00
2008/03/14	3.55	3.63	3.53	3.61	257423	4787955.50
2008/03/17	3.58	3.58	3.24	3.24	698909	12201843.00
2008/03/18	3.06	3.06	2.90	2.90	2537152	39039656.00
2008/03/19	2.94	3.06	2.81	2.97	1646315	25449592.00
2008/03/20	2.95	3.13	2.71	3.01	1484772	22642224.00
2008/03/21	3.00	3.23	2.93	3.15	1964592	32032880.00
2008/03/24	3.20	3.20	3.02	3.02	973220	15715266.00
2008/03/25	2.97	3.12	2.91	3.07	926935	14625609.00
2008/03/26	3.07	3.17	3.07	3.12	1047703	17079458.00
2008/03/27	3.07	3.11	2.89	2.91	763388	11974354.00
2008/03/28	2.87	3.03	2.79	3.01	692697	10524328.00
2008/03/31	2.87	2.97	2.85	2.90	467863	7100802.00
2008/04/01	2.87	2.94	2.59	2.60	719954	10147868.00
2008/04/02	2.60	2.67	2.35	2.40	778203	10221740.00
2008/04/03	2.31	2.50	2.31	2.48	545247	6940807.00
2008/04/07	2.44	2.64	2.37	2.62	585572	7905989.50
2008/04/08	2.61	2.76	2.59	2.68	714527	10034291.00
2008/04/09	2.68	2.68	2.50	2.50	643321	8831242.00
2008/04/10	2.45	2.56	2.41	2.56	381761	5044392.00
2008/04/11	2.58	2.76	2.56	2.66	711427	10007631.00
2008/04/14	2.59	2.66	2.47	2.47	451222	6018095.00
2008/04/15	2.43	2.62	2.43	2.62	366753	4890238.50
2008/04/16	2.57	2.60	2.47	2.50	380436	5071344.00
2008/04/17	2.50	2.59	2.37	2.43	395482	5106215.50
2008/04/18	2.39	2.44	2.23	2.25	525239	6428337.00
2008/04/21	2.47	2.48	2.25	2.28	644957	8070478.00
2008/04/22	2.26	2.27	2.07	2.22	499134	5796673.00
2008/04/23	2.21	2.33	2.15	2.30	502632	6025714.50
2008/04/24	2.53	2.54	2.44	2.54	1804361	23987722.00
2008/04/25	2.54	2.72	2.49	2.63	1427362	19692110.00
2008/04/28	2.59	2.63	2.54	2.57	591515	8010137.50
2008/04/29	2.57	2.62	2.57	2.61	492103	6701351.00
2008/04/30	2.59	2.69	2.59	2.68	699332	9747549.00
2008/05/05	2.69	2.78	2.65	2.76	748730	10651363.00
2008/05/06	2.71	2.74	2.63	2.66	700898	9888978.00
2008/05/07	2.64	2.68	2.54	2.54	597302	8206939.00
2008/05/08	2.53	2.62	2.47	2.62	552857	7389963.50
2008/05/09	2.65	2.71	2.60	2.66	750591	10487380.00
2008/05/12	2.63	2.91	2.59	2.87	1343698	19671626.00
2008/05/13	2.80	3.17	2.77	3.17	3938731	62666376.00
2008/05/14	3.23	3.43	3.02	3.14	3632956	61139256.00
2008/05/15	3.13	3.14	2.98	2.98	1484504	23562570.00
2008/05/16	2.98	3.07	2.87	2.92	881108	13622131.00
2008/05/19	2.92	3.02	2.87	2.95	754085	11688416.00
2008/05/20	2.97	2.97	2.70	2.73	935680	13830840.00
2008/05/21	2.69	2.77	2.54	2.74	1185269	16352319.00
2008/05/22	2.69	2.71	2.62	2.62	732655	10235283.00
2008/05/23	2.59	2.66	2.54	2.62	490172	6669117.00
2008/05/26	2.61	2.69	2.58	2.58	588677	8140001.50
2008/05/28	2.63	2.69	2.58	2.66	477434	6603690.50
2008/05/29	2.66	2.69	2.53	2.53	501094	6835954.50
2008/05/30	2.54	2.60	2.44	2.51	399839	5262450.00
2008/06/02	2.50	2.57	2.47	2.55	360344	4784051.50
