002204 大连重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/01/16	3.87	4.11	3.60	3.65	30979984	1001726528.00
2008/01/17	3.75	4.03	3.73	4.03	19747174	667329856.00
2008/01/18	4.03	4.19	3.95	4.12	14345270	497312672.00
2008/01/21	4.08	4.13	3.92	3.92	6835160	234051600.00
2008/01/22	3.87	3.92	3.51	3.51	7687644	237026224.00
2008/01/23	3.45	3.60	3.15	3.49	8303247	241646000.00
2008/01/24	3.48	3.68	3.30	3.58	5618316	167966160.00
2008/01/25	3.51	3.71	3.42	3.64	5115053	155362400.00
2008/01/28	3.51	3.60	3.26	3.26	3583555	104013208.00
2008/01/29	3.20	3.43	3.14	3.37	2568257	72720320.00
2008/01/30	3.40	3.44	3.16	3.26	2294743	65571768.00
2008/01/31	3.23	3.30	3.15	3.15	1958327	54125552.00
2008/02/01	3.12	3.12	2.82	2.91	3652615	91803272.00
2008/02/04	3.00	3.17	2.95	3.17	2073271	54932524.00
2008/02/05	3.10	3.16	3.02	3.09	1782439	47466164.00
2008/02/13	3.02	3.15	2.90	3.09	1572727	41145816.00
2008/02/14	3.08	3.26	3.08	3.16	1566890	42678276.00
2008/02/15	3.14	3.25	3.03	3.21	1812287	49099628.00
2008/02/18	3.21	3.31	3.18	3.30	2038431	57313684.00
2008/02/19	3.32	3.35	3.23	3.27	1832041	51654160.00
2008/02/20	3.26	3.34	3.18	3.20	2056039	57513912.00
2008/02/21	3.21	3.32	3.16	3.29	1601440	44921696.00
2008/02/22	3.26	3.38	3.21	3.32	2233166	63229464.00
2008/02/25	3.33	3.33	3.09	3.10	1750454	48045884.00
2008/02/26	3.14	3.18	2.89	3.01	1628808	42048356.00
2008/02/27	3.04	3.09	2.97	3.06	989531	26014260.00
2008/02/28	3.07	3.12	2.99	3.04	1278078	33683192.00
2008/02/29	3.02	3.10	3.02	3.08	998234	26337918.00
2008/03/03	3.08	3.24	3.03	3.21	1598749	43744292.00
2008/03/04	3.21	3.24	3.10	3.14	1308672	35427552.00
2008/03/06	3.08	3.13	2.98	3.02	1774401	46358596.00
2008/03/07	3.02	3.04	2.90	2.97	974638	24893232.00
2008/03/10	2.89	2.99	2.83	2.84	1093721	27135402.00
2008/03/11	2.83	2.83	2.66	2.80	1669527	39688512.00
2008/03/12	2.86	2.86	2.66	2.67	1197006	28267830.00
2008/03/13	2.65	2.67	2.49	2.53	1442903	32064620.00
2008/03/14	2.53	2.59	2.50	2.56	577189	12804207.00
2008/03/17	2.51	2.57	2.29	2.30	852231	17921696.00
2008/03/18	2.28	2.34	2.09	2.14	1550783	30401112.00
2008/03/19	2.16	2.34	2.16	2.27	1036957	20515722.00
2008/03/20	2.25	2.43	2.13	2.41	1499130	30176698.00
2008/03/21	2.39	2.47	2.35	2.41	911411	19213634.00
2008/03/24	2.45	2.47	2.19	2.19	1332707	27002910.00
2008/03/25	2.16	2.28	2.10	2.23	982796	18741744.00
2008/03/26	2.24	2.35	2.21	2.33	1154505	23220030.00
2008/03/27	2.25	2.30	2.21	2.23	631427	12484100.00
