002206 海 利 得 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/01/23	3.21	3.48	2.99	3.21	18350216	602041088.00
2008/01/24	3.14	3.14	2.77	2.80	8687133	263967184.00
2008/01/25	2.65	2.87	2.55	2.81	6073507	176191104.00
2008/01/28	2.63	2.72	2.41	2.41	4107679	113919088.00
2008/01/29	2.30	2.47	2.12	2.17	3186302	81556880.00
2008/01/30	2.22	2.31	2.16	2.27	2723908	70127536.00
2008/01/31	2.20	2.55	2.20	2.44	3683091	98524376.00
2008/02/01	2.43	2.43	2.16	2.26	3152320	82882880.00
2008/02/04	2.32	2.60	2.32	2.56	2446987	67803424.00
2008/02/05	2.52	2.84	2.49	2.71	2756346	80281104.00
2008/02/13	2.67	2.89	2.56	2.83	2860606	85913104.00
2008/02/15	2.85	3.06	2.85	2.97	3439087	107200104.00
2008/02/18	2.97	3.08	2.90	2.97	2725212	84902496.00
2008/02/19	2.93	3.04	2.92	2.97	1517753	47404464.00
2008/02/20	2.97	3.13	2.95	2.99	1713449	54392040.00
2008/02/21	2.99	2.99	2.85	2.88	1504589	46201448.00
2008/02/22	2.87	2.93	2.66	2.69	1250933	36936616.00
2008/02/25	2.93	3.07	2.69	2.91	1930022	59458388.00
2008/02/26	3.00	3.00	2.64	2.73	1456221	43356036.00
2008/02/27	2.73	2.86	2.69	2.82	790350	23507212.00
2008/02/28	2.81	2.88	2.72	2.84	825746	24641910.00
2008/02/29	2.81	3.25	2.76	3.25	2892275	93403152.00
2008/03/03	3.25	3.45	3.19	3.34	2498181	84464136.00
2008/03/04	3.30	3.55	3.15	3.18	2422039	82361848.00
2008/03/05	3.19	3.28	3.03	3.23	1526777	49399568.00
2008/03/06	3.19	3.35	3.11	3.21	1047063	34570712.00
2008/03/07	3.15	3.37	3.15	3.15	969788	32328000.00
2008/03/10	3.07	3.08	2.88	2.93	1044721	32307374.00
2008/03/11	2.88	2.95	2.81	2.92	460672	14050171.00
2008/03/12	2.95	3.05	2.65	2.67	725355	21724712.00
2008/03/13	2.64	2.64	2.35	2.45	890590	24622496.00
2008/03/14	2.41	2.61	2.37	2.55	379680	10537178.00
2008/03/17	2.52	2.59	2.37	2.39	560591	15245431.00
2008/03/18	2.39	2.50	2.03	2.09	937892	23568884.00
2008/03/19	2.20	2.28	2.09	2.19	690876	17516310.00
2008/03/20	2.12	2.39	2.01	2.33	582420	14739154.00
2008/03/21	2.28	2.39	2.23	2.34	568826	14949345.00
2008/03/24	2.33	2.44	2.17	2.21	455121	12091504.00
2008/03/25	2.20	2.34	2.08	2.30	314319	7989227.00
2008/03/26	2.41	2.45	2.28	2.40	497065	13342262.00
2008/03/27	2.33	2.40	2.17	2.20	388792	10068084.00
2008/03/28	2.15	2.31	2.07	2.29	467600	11783953.00
2008/03/31	2.21	2.21	2.05	2.06	369169	9144018.00
2008/04/01	2.08	2.13	1.74	1.74	702960	15959883.00
2008/04/02	1.75	1.76	1.45	1.45	849355	17399346.00
2008/04/03	1.40	1.55	1.35	1.53	374942	7495911.50
2008/04/07	1.41	1.69	1.39	1.65	580906	12070329.00
2008/04/08	1.62	1.84	1.60	1.71	677098	14791170.00
2008/04/09	1.65	1.73	1.44	1.47	571290	12013973.00
2008/04/10	1.46	1.59	1.41	1.55	332859	6691488.00
2008/04/11	1.59	1.73	1.55	1.73	487438	10379494.00
2008/04/14	1.64	1.68	1.47	1.52	419866	8677274.00
2008/04/15	1.46	1.48	1.28	1.48	562668	10893476.00
2008/04/16	1.47	1.49	1.36	1.40	218674	4284826.00
2008/04/17	1.36	1.44	1.19	1.21	463586	8618434.00
