002208 合肥城建 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/01/28	9.48	10.43	8.10	8.47	14778950	428919008.00
2008/01/29	8.14	8.40	7.54	7.64	5881638	153585152.00
2008/01/30	7.76	7.86	7.24	7.50	3825816	96758552.00
2008/01/31	7.55	8.06	7.36	7.76	3788372	97903768.00
2008/02/01	7.60	7.70	6.90	6.90	3270333	77664360.00
2008/02/04	7.18	7.56	7.01	7.50	2420153	59312732.00
2008/02/05	7.98	8.33	7.67	8.33	4863571	130250992.00
2008/02/13	8.10	8.26	7.80	8.01	2216293	59210476.00
2008/02/14	8.13	8.34	7.94	8.03	1763808	47745932.00
2008/02/15	7.90	7.97	7.47	7.80	1726769	44491836.00
2008/02/18	7.91	8.19	7.82	7.94	1886426	50439584.00
2008/02/19	7.98	8.20	7.97	8.18	1554448	41884844.00
2008/02/20	8.20	8.30	7.86	7.90	1848012	49342944.00
2008/02/21	7.94	8.17	7.86	8.04	1130794	30268960.00
2008/02/22	7.97	8.29	7.94	8.25	2052075	55420068.00
2008/02/25	8.43	8.46	7.86	7.86	2500406	68218232.00
2008/02/26	8.04	8.13	7.19	7.55	2017193	51673200.00
2008/02/27	7.64	7.78	7.52	7.77	974023	24998262.00
2008/02/28	7.77	7.80	7.49	7.59	871590	22246676.00
2008/02/29	7.54	7.76	7.54	7.73	682028	17511766.00
2008/03/03	7.77	8.04	7.67	8.00	1181455	31036806.00
2008/03/04	8.00	8.00	7.58	7.59	1635764	42352720.00
2008/03/05	7.58	7.69	7.30	7.47	1045904	26056764.00
2008/03/06	7.47	7.64	7.30	7.37	916376	22826150.00
2008/03/07	7.34	7.53	7.30	7.43	740763	18347774.00
2008/03/10	7.21	7.31	7.03	7.04	851424	20425572.00
2008/03/11	7.06	7.26	6.99	7.21	564010	13514969.00
2008/03/12	7.29	7.40	6.97	6.98	600781	14422875.00
2008/03/13	6.97	6.97	6.64	6.68	883615	20220830.00
2008/03/14	6.69	6.74	6.47	6.59	576416	12898001.00
2008/03/17	6.60	6.63	6.20	6.20	811475	17712428.00
2008/03/18	6.20	6.38	5.80	5.86	929525	19243952.00
2008/03/19	6.00	6.29	5.93	6.11	727478	15186331.00
2008/03/20	5.80	6.37	5.67	6.27	996865	20694118.00
2008/03/21	6.23	6.40	6.11	6.35	720466	15427989.00
2008/03/24	6.43	6.47	5.97	5.97	736290	15729608.00
2008/03/25	5.86	6.30	5.84	6.18	663179	13770968.00
2008/03/26	6.24	6.46	6.15	6.23	712873	15271346.00
2008/03/27	6.16	6.27	5.84	6.00	596109	12365970.00
2008/03/28	6.13	6.37	5.84	6.36	922308	19647858.00
2008/03/31	6.15	6.58	6.12	6.40	947667	20579922.00
2008/04/01	6.37	6.45	5.68	5.68	875653	17873484.00
2008/04/02	5.82	5.90	5.24	5.29	608845	11692436.00
2008/04/03	5.29	5.53	5.20	5.42	466111	8714705.00
2008/04/07	5.42	5.84	5.34	5.80	732622	14253790.00
2008/04/08	6.14	6.47	5.97	6.47	2261778	49279976.00
2008/04/09	6.46	6.47	5.98	6.00	1227128	26283118.00
2008/04/10	5.95	6.20	5.90	6.16	634801	13150069.00
2008/04/11	6.17	6.47	6.14	6.34	810285	17516778.00
2008/04/14	6.04	6.21	5.64	5.72	827727	16818754.00
2008/04/15	5.66	5.90	5.47	5.84	523419	10224182.00
2008/04/16	5.80	5.84	5.51	5.60	381418	7472970.00
2008/04/17	5.90	6.25	5.84	5.84	1582218	32944348.00
2008/04/18	5.70	5.90	5.54	5.72	660686	13003163.00
2008/04/21	6.14	6.24	5.60	5.75	1104792	22705628.00
2008/04/22	5.64	5.86	5.33	5.80	741047	14257476.00
2008/04/23	5.67	6.27	5.60	6.23	1249741	26085666.00
2008/04/24	6.80	6.94	6.60	6.90	2661366	61248884.00
2008/04/25	6.80	7.17	6.70	6.87	2326098	54440180.00
2008/04/29	6.59	6.80	6.44	6.61	3667062	81964600.00
2008/04/30	6.63	6.94	6.60	6.92	2089966	47933856.00
2008/05/05	6.99	7.13	6.74	7.10	2434651	57009664.00
2008/05/06	7.00	7.10	6.81	6.90	1741315	40712424.00
2008/05/07	6.83	7.13	6.57	6.58	2007934	46541852.00
2008/05/08	6.45	6.77	6.45	6.75	1220774	27372848.00
2008/05/09	6.85	7.00	6.57	6.69	1487057	34064788.00
2008/05/12	6.64	6.84	6.47	6.79	1035525	23423650.00
2008/05/13	6.60	6.79	6.49	6.70	1184919	26769660.00
2008/05/14	6.75	7.32	6.64	7.25	2723755	64935428.00
2008/05/15	7.19	7.43	7.00	7.02	1900166	46116356.00
2008/05/16	7.06	7.12	6.70	6.85	1473896	34298240.00
2008/05/19	6.80	6.90	6.70	6.84	637719	14689248.00
2008/05/20	6.84	6.95	6.27	6.38	1139527	25607558.00
2008/05/21	6.32	6.50	6.08	6.46	1198264	25752790.00
2008/05/22	6.30	6.44	6.25	6.31	769096	16598721.00
2008/05/23	6.47	6.94	6.47	6.67	1954814	44427820.00
2008/05/26	6.60	6.60	6.20	6.24	1106313	23911232.00
2008/05/27	6.24	6.46	6.20	6.42	508842	10981869.00
2008/05/28	6.43	6.65	6.38	6.63	818750	18093468.00
2008/05/29	6.67	6.67	6.23	6.24	1007317	22003542.00
2008/05/30	6.17	6.31	5.97	6.01	1059233	14524295.00
2008/06/02	5.73	6.03	5.73	5.96	677855	9133757.00
2008/06/03	5.96	6.03	5.82	5.96	478485	6440477.00
2008/06/04	5.88	6.07	5.75	6.01	766232	10316974.00
2008/06/05	5.93	6.10	5.81	6.09	981584	13386171.00
2008/06/06	6.10	6.42	6.05	6.21	1514522	21563874.00
2008/06/10	5.87	5.95	5.51	5.51	1093895	14249371.00
2008/06/11	5.35	5.57	5.12	5.15	1100048	13413891.00
2008/06/12	5.13	5.27	4.82	4.92	922706	10717536.00
2008/06/13	4.97	5.07	4.78	4.79	489228	5600825.00
2008/06/16	4.92	5.10	4.62	5.09	1523656	17648540.00
2008/06/17	5.17	5.36	4.77	4.82	1715692	20423078.00
2008/06/18	4.72	5.07	4.57	5.03	1678873	19275770.00
2008/06/19	5.02	5.02	4.44	4.44	1088995	12010622.00
2008/06/20	4.39	4.69	4.08	4.42	1155327	12142383.00
2008/06/23	4.30	4.47	4.17	4.22	679634	6959408.00
2008/06/24	4.21	4.41	4.15	4.35	589590	6032986.50
2008/06/25	4.37	4.62	4.27	4.62	888593	9502606.00
2008/06/26	4.66	4.84	4.47	4.73	1012511	11102386.00
2008/06/27	4.57	4.57	4.17	4.18	1274651	13075502.00
2008/06/30	4.13	4.27	4.04	4.21	612247	6088977.50
2008/07/01	4.22	4.23	4.08	4.09	423574	4205513.00
2008/07/02	4.12	4.22	4.08	4.14	436595	4354696.50
2008/07/03	4.12	4.41	4.05	4.34	858798	8757396.00
2008/07/04	4.34	4.47	4.26	4.32	1003935	10440523.00
2008/07/07	4.30	4.68	4.30	4.67	1607089	17263012.00
2008/07/08	4.60	4.77	4.52	4.76	1508739	16566766.00
2008/07/09	4.78	5.17	4.77	5.10	2675742	31204746.00
2008/07/10	5.00	5.27	4.88	4.96	2003432	23375568.00
2008/07/11	4.85	4.99	4.70	4.82	1137051	12770435.00
2008/07/14	4.76	4.92	4.68	4.91	757385	8576129.00
2008/07/15	4.92	5.01	4.58	4.60	1224404	13658677.00
2008/07/16	4.67	4.67	4.18	4.28	1032603	10808197.00
2008/07/17	4.45	4.47	4.26	4.31	740461	7697069.00
2008/07/18	4.42	4.55	4.24	4.52	678401	7090036.00
2008/07/21	4.53	4.80	4.44	4.78	908909	10013027.00
2008/07/22	4.77	4.82	4.68	4.71	816068	9111449.00
2008/07/23	4.77	4.95	4.70	4.70	699509	7851768.00
2008/07/24	4.78	4.97	4.75	4.92	1413708	16164404.00
2008/07/25	4.87	4.95	4.78	4.92	934503	10611781.00
2008/07/28	4.92	5.21	4.92	5.10	2427578	28789798.00
2008/07/29	5.00	5.00	4.82	4.84	1145757	13070691.00
2008/07/30	4.92	4.99	4.80	4.87	579082	6599002.50
2008/07/31	4.87	4.87	4.67	4.67	547465	6090859.00
2008/08/01	4.62	4.81	4.58	4.78	553658	6118496.50
2008/08/04	4.68	4.77	4.61	4.62	373406	4111085.00
2008/08/05	4.59	4.70	4.47	4.48	396966	4277918.50
2008/08/06	4.52	4.60	4.30	4.46	343922	3649980.50
2008/08/07	4.56	4.57	4.38	4.50	283812	3003845.00
2008/08/08	4.52	4.52	4.17	4.18	622148	6396774.00
2008/08/11	4.14	4.17	3.68	3.68	882659	8303354.50
2008/08/12	3.57	3.71	3.49	3.60	521315	4612779.50
2008/08/13	3.53	3.72	3.48	3.63	386814	3404064.50
2008/08/14	3.59	3.69	3.59	3.65	378073	3379161.75
2008/08/15	3.67	3.71	3.59	3.63	293200	2634140.50
