002227 奥 特 迅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/05/06	12.12	15.72	12.12	13.18	18625820	516901856.00
2008/05/07	12.08	12.50	11.82	11.82	8013018	199194432.00
2008/05/08	10.92	11.22	10.59	10.96	6855420	154980576.00
2008/05/09	11.00	11.09	10.05	10.28	4590165	101867040.00
2008/05/12	10.09	10.59	9.88	10.26	2697979	57594860.00
2008/05/13	9.83	10.21	9.77	10.01	2579340	54052180.00
2008/05/14	10.08	10.30	10.02	10.17	2065995	43898176.00
2008/05/15	10.30	10.77	10.21	10.36	2988405	65717476.00
2008/05/16	10.32	10.42	9.81	10.07	1970525	41423840.00
2008/05/19	9.93	10.05	9.72	9.87	1129351	23281886.00
2008/05/20	9.77	9.95	9.03	9.09	1778711	35449960.00
2008/05/21	8.93	9.12	8.53	9.02	1882404	34845744.00
2008/05/22	8.87	8.90	8.70	8.75	1366601	25316730.00
2008/05/23	8.72	8.82	8.37	8.72	1371952	24951578.00
2008/05/26	8.72	8.89	8.52	8.52	966656	17726162.00
2008/05/27	8.52	8.81	8.43	8.72	694658	12682621.00
2008/05/28	8.71	8.99	8.57	8.96	1025897	19051176.00
2008/05/29	8.87	9.35	8.73	8.90	1974404	37758380.00
2008/05/30	8.87	9.26	8.82	9.26	1605061	30693628.00
2008/06/02	9.18	9.25	8.93	9.10	1166702	22314992.00
2008/06/03	9.12	9.20	8.76	8.92	1110332	20855636.00
2008/06/04	8.88	8.88	8.52	8.60	727762	13275051.00
2008/06/05	8.56	8.71	8.50	8.65	472298	8597725.00
2008/06/06	8.65	8.76	8.55	8.61	586640	10724335.00
2008/06/10	8.27	8.27	7.70	7.70	1132749	18977570.00
2008/06/11	7.42	7.66	7.24	7.29	932807	14654936.00
2008/06/13	7.38	7.43	7.04	7.10	1030346	15956497.00
2008/06/16	7.12	7.41	6.96	7.32	1210426	18661182.00
2008/06/17	7.37	7.67	7.27	7.35	2016202	32108856.00
2008/06/18	7.32	7.67	7.05	7.62	1592802	25320178.00
2008/06/19	7.53	7.53	6.81	6.81	1743698	26223722.00
2008/06/20	6.81	7.23	6.38	6.87	1694393	24731906.00
2008/06/23	6.67	6.73	6.39	6.42	1130567	15902295.00
2008/06/24	6.47	6.71	6.35	6.65	1025801	14400256.00
2008/06/25	6.60	7.03	6.56	6.98	1496506	21928572.00
2008/06/26	6.92	7.11	6.82	7.05	1474463	21941994.00
2008/06/27	6.77	6.82	6.42	6.51	1068831	15238428.00
2008/06/30	6.50	6.66	6.36	6.55	748876	10467722.00
2008/07/01	6.60	6.95	6.60	6.70	1135723	16435023.00
2008/07/02	6.74	6.92	6.62	6.76	803156	11619210.00
2008/07/03	6.65	7.18	6.56	7.10	1836554	27457906.00
2008/07/04	7.03	7.13	6.94	7.05	1322796	19799084.00
2008/07/07	7.12	7.45	7.07	7.42	1182059	18413742.00
2008/07/08	7.42	7.56	7.32	7.46	1266091	20071914.00
2008/07/09	7.46	7.69	7.43	7.65	1200362	19318810.00
2008/07/10	7.60	7.68	7.46	7.46	949900	15307778.00
2008/07/11	7.38	7.57	7.31	7.45	659997	10363447.00
2008/07/14	7.46	7.79	7.37	7.69	927947	15146822.00
2008/07/15	7.72	7.77	7.37	7.39	1086913	17520058.00
2008/07/16	7.34	7.48	7.04	7.21	781695	12069306.00
2008/07/17	7.56	7.98	7.43	7.98	3845858	64621116.00
2008/07/18	8.10	8.20	7.77	7.97	3222033	54609232.00
2008/07/21	7.72	8.18	7.72	8.16	1890072	32056456.00
2008/07/22	7.97	8.46	7.92	8.13	1546120	26655692.00
2008/07/23	8.18	8.35	7.89	7.91	1166801	19878704.00
2008/07/24	7.94	8.11	7.91	8.01	771354	13094284.00
2008/07/25	8.00	8.06	7.88	7.88	786548	13225038.00
2008/07/28	7.85	7.96	7.75	7.81	761100	12688702.00
2008/07/29	7.77	7.99	7.69	7.77	471200	7864619.00
2008/07/30	7.85	7.96	7.77	7.82	624887	10452153.00
2008/07/31	7.87	7.94	7.37	7.37	812300	13027973.00
2008/08/01	7.31	7.42	7.10	7.31	641077	9909553.00
2008/08/04	7.13	7.30	7.10	7.15	457781	7004228.50
2008/08/05	7.25	7.25	6.97	7.17	505241	7678783.50
2008/08/06	7.12	7.12	6.47	6.57	3112138	45481996.00
2008/08/07	6.67	6.92	6.58	6.81	1754817	25536054.00
2008/08/08	6.86	6.88	6.52	6.52	1253808	18010318.00
2008/08/11	6.47	6.52	5.88	5.92	1173200	15572906.00
2008/08/12	5.92	6.20	5.89	6.09	729773	9481814.00
2008/08/13	5.97	6.15	5.78	6.11	534874	6900401.50
2008/08/14	6.06	6.21	5.99	6.07	382170	5035172.00
2008/08/15	6.07	6.12	5.98	6.05	429689	5626336.50
2008/08/18	6.02	6.07	5.52	5.59	627669	7790928.00
2008/08/19	5.54	5.75	5.43	5.72	422965	5177575.50
2008/08/20	5.56	6.26	5.42	6.17	1072106	13614106.00
2008/08/21	5.99	6.07	5.77	5.79	570141	7282805.50
2008/08/22	5.77	5.81	5.46	5.53	296667	3607834.50
2008/08/25	5.54	5.68	5.50	5.53	275279	3341155.00
2008/08/26	5.52	5.62	5.32	5.47	532665	6357945.50
2008/08/27	5.33	5.53	5.18	5.38	449164	5213820.50
2008/08/28	5.38	5.44	5.30	5.37	188181	2196488.50
2008/08/29	5.40	5.55	5.28	5.49	417588	4938479.50
2008/09/01	5.33	5.70	5.33	5.50	652261	7815804.50
2008/09/02	5.43	5.58	5.34	5.43	451624	5382687.00
2008/09/03	5.48	5.57	5.22	5.47	505700	5974430.50
2008/09/04	5.50	5.55	5.38	5.48	144180	1711147.50
2008/09/05	5.37	5.37	5.07	5.17	374959	4278549.00
2008/09/08	5.17	5.18	5.02	5.02	705300	7878036.00
2008/09/09	5.06	5.07	4.93	4.95	143600	1571772.00
2008/09/10	4.94	5.06	4.80	4.83	627304	6742102.00
2008/09/11	4.82	4.90	4.60	4.63	225118	2338185.50
2008/09/12	4.62	4.71	4.62	4.63	141500	1455857.00
2008/09/16	4.67	4.67	4.43	4.45	309825	3087129.50
2008/09/17	4.45	4.50	4.38	4.40	242410	2382142.25
2008/09/18	4.37	4.40	3.97	4.26	677155	6297593.50
2008/09/19	4.63	4.73	4.58	4.73	1004734	10412292.00
2008/09/22	4.94	5.25	4.52	4.74	2305774	24328356.00
2008/09/23	4.53	4.65	4.23	4.24	816333	7977339.00
2008/09/24	4.17	4.17	4.01	4.12	804190	7309668.50
2008/09/25	4.12	4.37	4.08	4.35	1485145	13956337.00
2008/09/26	4.32	4.35	4.13	4.21	873907	8235523.00
2008/10/06	4.04	4.06	3.91	3.93	547708	4879803.50
2008/10/07	3.82	3.88	3.73	3.82	539590	4616804.00
2008/10/08	3.75	3.83	3.72	3.75	430035	3660625.25
2008/10/09	3.80	3.86	3.72	3.79	504556	4306519.00
2008/10/10	3.70	3.70	3.43	3.43	421700	3385150.50
2008/10/13	3.37	3.53	3.28	3.53	468415	3637036.25
2008/10/14	3.63	3.67	3.43	3.44	378210	3055344.25
2008/10/15	3.27	3.40	3.27	3.35	314129	2389213.50
2008/10/16	3.22	3.22	3.06	3.07	336976	2448145.25
2008/10/17	3.14	3.18	3.08	3.14	272400	1965429.50
2008/10/20	3.16	3.37	3.13	3.33	453597	3375676.25
2008/10/21	3.33	3.39	3.24	3.30	641806	4883662.00
2008/10/22	3.25	3.38	3.22	3.28	543230	4117701.75
2008/10/23	3.21	3.32	3.14	3.31	268306	1982724.13
2008/10/24	3.27	3.36	3.27	3.34	330279	2511888.75
2008/10/27	3.27	3.27	3.00	3.03	433600	3139899.00
2008/10/28	3.00	3.17	3.00	3.14	427987	3068016.75
2008/10/29	3.22	3.31	3.14	3.16	710749	5262533.00
2008/10/30	3.26	3.52	3.19	3.52	2291149	18043064.00
2008/10/31	3.60	3.60	3.34	3.40	2071270	16272086.00
2008/11/03	3.33	3.51	3.29	3.48	1085329	8515861.00
2008/11/04	3.42	3.84	3.41	3.81	2631491	21791628.00
2008/11/05	3.77	4.20	3.70	4.10	3416343	30169272.00
2008/11/06	3.93	4.07	3.84	3.91	1747595	15472504.00
2008/11/07	3.82	4.01	3.79	3.91	1536213	13469069.00
2008/11/10	4.00	4.30	3.90	4.20	2258452	20873810.00
2008/11/11	4.16	4.20	4.06	4.11	1609621	14786586.00
2008/11/12	4.12	4.26	3.91	4.07	2493240	22522214.00
2008/11/13	4.15	4.52	4.15	4.52	5166444	50548476.00
2008/11/14	4.54	5.02	4.54	4.92	4470652	46936340.00
2008/11/17	5.03	5.46	4.97	5.46	4645981	53744156.00
2008/11/18	5.37	5.87	5.12	5.42	6682373	79993400.00
2008/11/19	5.38	6.01	5.18	6.00	4446277	53219468.00
2008/11/20	5.74	5.92	5.35	5.35	3716284	45148824.00
2008/11/21	5.02	5.44	4.95	5.18	2616104	29615894.00
2008/11/24	5.16	5.67	4.81	5.21	3325235	38166136.00
2008/11/25	5.26	5.35	4.68	4.90	2077595	22660090.00
2008/11/26	4.85	5.02	4.77	4.87	1192662	12874899.00
2008/11/27	5.28	5.35	4.89	4.89	2534277	28526118.00
2008/11/28	4.77	5.11	4.71	4.99	1540460	16719058.00
2008/12/01	4.99	5.47	4.99	5.41	2377678	27407416.00
2008/12/02	5.27	5.75	5.22	5.65	3024788	36561712.00
2008/12/03	5.67	5.96	5.62	5.67	2651099	33033712.00
2008/12/04	5.71	5.91	5.50	5.55	2904470	36153196.00
2008/12/05	5.42	5.81	5.40	5.77	1939939	23589132.00
2008/12/08	5.83	6.10	5.73	5.97	2890585	37047108.00
2008/12/09	5.97	6.27	5.77	5.97	2579983	33546436.00
2008/12/10	5.97	6.44	5.91	6.43	2528228	33942084.00
2008/12/11	6.49	6.52	6.02	6.03	2102149	28189618.00
2008/12/12	5.97	5.97	5.38	5.66	2548998	31073876.00
2008/12/15	5.67	5.77	5.31	5.63	1495984	17997402.00
2008/12/16	5.48	5.81	5.25	5.70	2523499	30161122.00
2008/12/17	5.62	6.01	5.60	5.62	3623435	45392196.00
2008/12/18	5.57	5.91	5.42	5.80	2969539	36546240.00
2008/12/19	5.81	6.37	5.81	6.15	3841277	51086832.00
2008/12/22	6.16	6.70	6.12	6.50	4733746	65116340.00
2008/12/23	6.51	6.51	5.80	5.80	3354319	44079104.00
2008/12/24	5.75	5.81	5.53	5.65	2220134	27266902.00
2008/12/25	5.73	5.95	5.63	5.78	1915191	24059132.00
2008/12/26	5.85	6.05	5.75	5.93	1911591	24527810.00
2008/12/29	5.90	6.00	5.43	5.77	1653300	20389648.00
2008/12/30	5.74	6.26	5.74	6.12	3045100	39916748.00
2008/12/31	6.17	6.42	6.10	6.13	2704700	36355336.00
2009/01/05	6.37	6.57	6.17	6.54	2616000	36028004.00
2009/01/06	6.56	7.00	6.56	6.83	4778700	69855792.00
2009/01/07	6.86	7.07	6.84	6.92	3092500	45872016.00
2009/01/08	6.70	6.90	6.58	6.79	1876000	27158286.00
2009/01/09	6.79	7.26	6.79	7.11	2921400	44341768.00
2009/01/12	7.22	7.45	7.07	7.08	2715600	42173020.00
2009/01/13	6.83	7.21	6.60	6.81	3072100	45336376.00
2009/01/14	6.96	7.46	6.81	7.37	2790700	42814744.00
2009/01/15	7.46	7.65	7.21	7.22	2274400	35870800.00
2009/01/19	7.27	7.27	6.80	6.99	2320300	34334432.00
2009/01/20	6.87	7.02	6.85	7.00	919200	13655970.00
2009/01/21	6.83	7.15	6.83	6.85	1431000	21322878.00
2009/01/22	6.87	7.02	6.86	7.01	1990800	29503746.00
2009/01/23	6.98	7.16	6.88	6.93	1583400	23832060.00
2009/02/02	6.96	7.11	6.78	7.04	1170800	17504992.00
2009/02/03	7.11	7.57	7.05	7.51	2701400	42662580.00
2009/02/04	7.53	7.93	7.48	7.73	3096100	50733508.00
2009/02/05	7.71	7.71	7.29	7.47	2999300	47551392.00
2009/02/06	7.50	7.65	7.42	7.63	3600000	57518400.00
2009/02/09	7.67	7.86	7.48	7.71	2643300	42968512.00
2009/02/10	7.67	7.67	7.46	7.63	2501700	40165024.00
2009/02/11	7.52	7.93	7.46	7.74	3198300	52608180.00
2009/02/12	7.70	7.81	7.30	7.59	2659800	42411048.00
2009/02/13	7.56	7.74	7.48	7.67	3718800	60141468.00
2009/02/16	7.76	8.01	7.67	7.97	4277400	71288584.00
2009/02/17	8.37	8.37	7.66	7.66	3674000	61898984.00
2009/02/18	7.52	7.73	7.27	7.27	2232700	35638288.00
2009/02/19	7.31	7.50	7.21	7.32	2071900	32463676.00
2009/02/20	7.32	7.70	7.32	7.62	2326600	37453892.00
2009/02/23	7.61	7.97	7.53	7.92	2386800	39581144.00
2009/02/24	7.83	8.17	7.37	7.52	3811500	63125916.00
2009/02/25	7.63	8.27	7.43	8.20	4218600	70329552.00
2009/02/26	8.15	8.46	7.33	7.33	4120900	69606448.00
2009/02/27	7.16	7.19	6.55	6.56	3093200	45077396.00
2009/03/02	6.56	6.86	6.52	6.76	1746400	25228580.00
2009/03/03	6.52	7.09	6.42	7.02	2420500	35122256.00
2009/03/04	7.02	7.49	6.98	7.43	2668200	41449412.00
2009/03/05	7.47	7.86	7.43	7.65	2673900	43391164.00
2009/03/06	7.47	7.64	7.37	7.47	1369100	21830334.00
2009/03/09	7.48	7.70	7.20	7.21	1473900	23273116.00
2009/03/10	7.04	7.40	7.00	7.38	821900	12578601.00
2009/03/11	7.53	7.70	7.38	7.44	1630100	26312878.00
2009/03/12	7.42	7.60	7.21	7.60	1374700	21817960.00
2009/03/13	7.66	7.79	7.54	7.57	1676700	27262714.00
2009/03/16	7.54	7.87	7.50	7.83	1761100	28941498.00
2009/03/17	7.79	8.20	7.79	7.97	2441400	41613264.00
2009/03/18	8.02	8.11	7.84	7.96	2315400	39062172.00
2009/03/19	7.96	8.07	7.88	8.04	1364300	23129326.00
2009/03/20	7.71	8.03	7.71	7.78	2101600	34872668.00
2009/03/23	7.77	7.92	7.65	7.88	2309400	38044380.00
2009/03/24	7.92	8.02	7.82	7.93	1727600	29015694.00
2009/03/25	7.93	8.26	7.92	7.92	2024900	34801684.00
2009/03/26	7.96	8.12	7.72	8.02	1487000	25082122.00
2009/03/27	8.02	8.42	8.02	8.22	2534000	44441104.00
2009/03/30	8.36	9.09	8.36	9.09	2107700	39542648.00
2009/03/31	9.09	9.82	8.92	9.67	5598200	110678352.00
2009/04/01	9.61	9.77	9.43	9.50	2870900	57542520.00
2009/04/02	9.39	10.41	9.39	9.79	3178900	66322472.00
2009/04/03	9.76	10.50	9.63	10.11	3140700	66152400.00
2009/04/07	10.16	10.49	10.00	10.27	2159800	46200292.00
2009/04/08	10.28	10.76	10.12	10.17	3016400	66133504.00
2009/04/09	10.16	10.61	9.68	10.57	3252200	68770960.00
2009/04/10	10.60	11.52	10.58	11.36	3246000	75547192.00
2009/04/13	11.42	12.26	11.42	12.05	2924800	72547984.00
2009/04/14	11.92	12.64	11.70	12.53	2677100	68207064.00
2009/04/15	12.27	13.30	12.22	12.85	2515000	66951316.00
2009/04/16	12.87	13.00	11.87	12.23	3203500	82501456.00
2009/04/17	12.37	13.00	12.08	12.37	2729300	71006712.00
2009/04/20	11.09	11.89	11.09	11.52	9911000	233470416.00
2009/04/21	11.02	11.22	10.68	10.87	4941000	112789696.00
2009/04/22	10.80	11.02	10.19	10.28	3448400	76695784.00
2009/04/23	10.05	10.52	9.93	10.41	2719900	58506048.00
2009/04/24	10.46	10.56	10.01	10.02	2452300	53074756.00
2009/04/27	9.92	9.96	9.21	9.34	2960800	59022992.00
2009/04/28	9.46	10.22	9.42	10.19	4268800	88381000.00
2009/04/29	10.20	10.39	9.91	10.27	2911400	61947696.00
2009/04/30	10.47	10.63	10.27	10.40	2560900	55927304.00
2009/05/04	10.40	10.67	10.26	10.64	2242900	49398560.00
2009/05/05	10.63	11.27	10.57	11.06	3282700	75722936.00
2009/05/06	11.07	11.46	10.90	11.43	3298500	77385928.00
2009/05/07	11.60	11.71	10.86	11.04	2756200	64464064.00
2009/05/08	11.02	11.02	10.40	10.45	2649600	58571944.00
2009/05/11	10.45	10.45	9.92	9.95	1953000	41339056.00
2009/05/12	9.85	10.27	9.77	10.27	1218800	25884950.00
2009/05/13	10.29	10.37	10.02	10.19	1054500	22461394.00
2009/05/14	10.09	10.20	10.01	10.20	1179800	24922518.00
2009/05/15	10.26	10.52	10.22	10.38	1238000	26890280.00
2009/05/18	10.40	10.40	9.89	10.27	1412600	30024632.00
2009/05/19	10.39	10.45	10.14	10.22	1276000	27341544.00
2009/05/20	10.22	10.72	10.22	10.59	2321400	51143812.00
2009/05/21	10.59	10.62	10.13	10.22	1297800	28125370.00
2009/05/25	9.65	10.52	9.65	10.47	1564305	33373168.00
2009/05/26	10.52	11.42	10.47	10.87	3264844	75224968.00
2009/05/27	10.86	11.10	10.61	10.87	1999885	45315144.00
2009/06/01	10.93	11.27	10.93	11.03	2937218	68225600.00
2009/06/02	11.04	11.22	10.80	10.83	1989445	45679604.00
2009/06/03	10.83	10.92	10.63	10.75	2086087	46726512.00
2009/06/04	10.76	11.10	10.62	11.02	1699216	38566588.00
2009/06/05	11.02	11.02	10.55	10.62	1423947	32008412.00
2009/06/08	10.63	10.70	10.15	10.21	1587805	33859484.00
2009/06/09	10.21	10.29	9.62	10.08	1884199	38904212.00
2009/06/10	10.07	10.29	9.78	10.26	1183752	24675192.00
2009/06/11	10.10	10.32	9.96	10.06	861463	18126050.00
2009/06/12	9.91	10.02	9.72	9.83	1249733	25485482.00
2009/06/15	9.82	9.86	9.67	9.82	657767	13343266.00
2009/06/16	9.77	10.06	9.72	9.91	667557	13739821.00
2009/06/17	9.94	9.99	9.78	9.95	699203	14351278.00
2009/06/18	9.92	10.20	9.92	10.00	940906	19616516.00
2009/06/19	10.01	10.06	9.82	9.89	974613	20010896.00
2009/06/22	10.02	10.26	9.87	9.93	1483616	30981548.00
2009/06/23	9.74	10.08	9.74	9.93	1028387	21277986.00
2009/06/24	9.94	10.12	9.93	10.09	935395	19466606.00
2009/06/25	10.01	10.71	10.00	10.57	2578438	55351676.00
2009/06/26	10.57	10.81	10.32	10.67	2485162	54613076.00
2009/06/29	10.75	10.75	10.39	10.45	1523396	33040834.00
2009/06/30	10.42	10.51	9.85	9.87	2113596	44035468.00
