002245 澳洋顺昌 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/06/05	1.45	1.67	1.45	1.49	9775393	224769808.00
2008/06/06	1.37	1.41	1.32	1.32	4376648	90866656.00
2008/06/10	1.22	1.25	1.17	1.17	2536222	47415940.00
2008/06/11	1.15	1.21	1.13	1.19	1508294	27613130.00
2008/06/12	1.18	1.18	1.09	1.16	1397701	25110610.00
2008/06/13	1.14	1.17	1.09	1.09	961897	16952972.00
2008/06/16	1.10	1.23	1.10	1.22	3342142	62043864.00
2008/06/17	1.17	1.21	1.11	1.14	1873009	34059468.00
2008/06/18	1.13	1.23	1.06	1.22	2223823	40155448.00
2008/06/19	1.19	1.24	1.08	1.08	1977085	36001476.00
2008/06/20	1.09	1.14	0.97	1.05	1707113	28686504.00
2008/06/23	1.05	1.07	0.99	1.00	839866	13696583.00
2008/06/24	0.97	1.04	0.97	1.01	669935	10847757.00
2008/06/25	1.00	1.09	1.00	1.06	811392	13571689.00
2008/06/26	1.06	1.10	1.05	1.07	873500	14879112.00
2008/06/27	1.01	1.03	0.96	0.98	943419	15062841.00
2008/06/30	0.97	1.00	0.95	1.00	601399	9512310.00
2008/07/01	1.00	1.01	0.97	0.99	429943	6876473.00
2008/07/02	1.00	1.02	0.98	1.00	325607	5244682.50
2008/07/03	0.99	1.06	0.97	1.03	874105	14347669.00
2008/07/07	1.03	1.09	1.03	1.08	918730	15625312.00
2008/07/08	1.09	1.11	1.05	1.09	944156	16209134.00
2008/07/09	1.09	1.12	1.09	1.11	1162720	20243634.00
2008/07/10	1.08	1.11	1.08	1.08	781444	13503505.00
2008/07/11	1.07	1.08	1.03	1.04	626529	10453373.00
2008/07/14	1.04	1.11	1.04	1.11	680160	11653572.00
2008/07/15	1.14	1.22	1.13	1.18	2599859	47960696.00
2008/07/16	1.15	1.22	1.11	1.21	2338558	43408692.00
2008/07/17	1.22	1.25	1.15	1.16	1596412	29707592.00
2008/07/18	1.16	1.17	1.08	1.15	1425077	25344652.00
2008/07/21	1.14	1.20	1.12	1.19	913128	16768966.00
2008/07/22	1.18	1.19	1.16	1.18	687630	12614170.00
2008/07/23	1.18	1.20	1.15	1.15	614812	11297128.00
2008/07/24	1.17	1.20	1.16	1.18	643723	11861283.00
2008/07/25	1.17	1.25	1.16	1.23	1383182	26299784.00
2008/07/28	1.23	1.24	1.20	1.21	812651	15419486.00
2008/07/29	1.21	1.25	1.20	1.22	895565	17056276.00
2008/07/30	1.23	1.30	1.22	1.28	1402583	27479064.00
2008/07/31	1.27	1.28	1.20	1.21	815625	15585056.00
2008/08/01	1.20	1.24	1.16	1.22	1037577	19283440.00
2008/08/04	1.21	1.24	1.18	1.20	431210	8117689.00
2008/08/05	1.19	1.21	1.16	1.16	402699	7458425.50
2008/08/06	1.17	1.18	1.11	1.13	574733	10298696.00
2008/08/07	1.13	1.16	1.09	1.13	593440	10438834.00
2008/08/08	1.12	1.14	1.04	1.04	661750	11338595.00
2008/08/11	1.03	1.06	0.94	0.95	783347	12402706.00
2008/08/13	0.95	0.99	0.90	0.98	499037	7576116.00
2008/08/14	0.97	0.98	0.92	0.98	324997	5052536.50
2008/08/15	0.97	0.99	0.95	0.97	244490	3828973.00
2008/08/18	0.96	0.97	0.90	0.91	297498	4477963.00
2008/08/19	0.91	0.95	0.91	0.94	327480	4971020.50
2008/08/20	0.91	1.04	0.91	1.03	615679	9862665.00
2008/08/21	1.01	1.02	0.97	0.98	376475	6003080.50
2008/08/22	0.98	1.03	0.96	1.02	458165	7342072.00
2008/08/25	1.01	1.02	0.97	0.99	431697	6894123.00
2008/08/26	0.97	0.98	0.91	0.91	418498	6338652.50
2008/08/27	0.90	0.93	0.87	0.90	226330	3335020.75
2008/08/28	0.90	0.92	0.88	0.89	168191	2472759.25
2008/08/29	0.90	0.93	0.89	0.93	260199	3887054.00
2008/09/01	0.92	0.92	0.86	0.88	205715	2991299.25
2008/09/02	0.88	0.89	0.87	0.88	146640	2124982.00
