002252 上海莱士 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/06/23	0.77	0.82	0.62	0.68	27523378	581187264.00
2008/06/24	0.69	0.77	0.69	0.77	13166508	288149056.00
2008/06/25	0.81	0.87	0.79	0.83	12179489	290711296.00
2008/06/26	0.80	0.94	0.80	0.89	9859499	245336352.00
2008/06/27	0.83	0.89	0.82	0.87	8605776	211256080.00
2008/06/30	0.86	0.91	0.81	0.87	7974485	197514576.00
2008/07/01	0.85	0.92	0.82	0.89	6512307	162438768.00
2008/07/02	0.88	0.95	0.88	0.95	6454340	167461520.00
2008/07/03	0.93	1.00	0.91	0.95	6574346	177263712.00
2008/07/04	0.93	0.97	0.91	0.96	4602241	121699848.00
2008/07/07	0.95	1.02	0.94	0.97	4790957	131451232.00
2008/07/08	0.96	0.98	0.91	0.93	5809125	153760784.00
2008/07/09	0.93	0.98	0.93	0.97	5121411	137672368.00
2008/07/10	0.98	1.02	0.92	0.92	5759780	156800912.00
2008/07/11	0.92	0.93	0.88	0.91	3098073	79486816.00
2008/07/14	0.89	0.94	0.89	0.94	2727978	70839072.00
2008/07/15	0.94	0.94	0.88	0.89	2626116	67393040.00
2008/07/16	0.86	0.90	0.85	0.87	2451926	61760320.00
2008/07/17	0.89	0.92	0.88	0.89	2203269	56490688.00
2008/07/18	0.90	0.93	0.86	0.92	2580902	66213740.00
2008/07/21	0.91	1.03	0.90	1.01	5311643	145307808.00
2008/07/22	1.00	1.03	0.99	0.99	3067917	85961792.00
2008/07/23	1.00	1.06	0.99	1.01	4198164	119674472.00
2008/07/24	1.02	1.05	1.00	1.05	2791133	79705056.00
2008/07/25	1.03	1.08	1.02	1.03	2433267	70402360.00
2008/07/28	1.03	1.05	1.00	1.01	2554230	72502016.00
2008/07/29	1.00	1.05	0.99	1.04	1994615	56602192.00
2008/07/30	1.06	1.12	1.05	1.09	3939026	117099096.00
2008/07/31	1.09	1.11	1.05	1.05	2865866	84934376.00
2008/08/01	1.04	1.11	1.03	1.10	2979417	87526464.00
2008/08/04	1.09	1.12	1.05	1.06	2000715	59754048.00
2008/08/05	1.05	1.07	0.99	1.01	2495819	70808160.00
2008/08/06	1.02	1.04	0.97	0.99	2340440	65461668.00
2008/08/07	0.99	1.06	0.99	1.06	2213373	62390516.00
2008/08/08	1.05	1.08	0.98	0.98	2651322	75487656.00
2008/08/11	0.97	0.99	0.88	0.89	2775319	71816384.00
2008/08/12	0.88	0.92	0.88	0.90	1664130	42697748.00
2008/08/13	0.89	0.93	0.84	0.92	2499412	62830900.00
2008/08/14	0.91	0.94	0.90	0.92	1410884	36647520.00
2008/08/15	0.92	0.94	0.90	0.91	1144500	29762454.00
2008/08/19	0.84	0.89	0.83	0.89	1672699	41529988.00
2008/08/20	0.87	0.99	0.86	0.97	2245599	59765636.00
2008/08/21	0.95	0.97	0.91	0.91	1847886	48870044.00
2008/08/22	0.91	0.94	0.90	0.92	1089365	28444554.00
2008/08/25	0.92	0.92	0.87	0.87	888128	22694904.00
2008/08/26	0.86	0.87	0.77	0.78	2296698	54519760.00
2008/08/27	0.76	0.79	0.69	0.74	2494031	55056860.00
2008/08/28	0.73	0.75	0.71	0.74	1248178	27492806.00
2008/08/29	0.75	0.79	0.75	0.79	1557962	35541892.00
2008/09/01	0.78	0.79	0.76	0.77	1259620	28709264.00
2008/09/02	0.76	0.78	0.75	0.76	546983	12396673.00
2008/09/03	0.76	0.76	0.67	0.67	1611916	33894788.00
2008/09/04	0.67	0.72	0.67	0.69	727716	15298212.00
2008/09/05	0.65	0.69	0.64	0.65	1122156	22966386.00
2008/09/08	0.65	0.67	0.63	0.65	1282647	25829338.00
2008/09/09	0.65	0.70	0.65	0.68	1289397	26817678.00
2008/09/10	0.68	0.71	0.67	0.68	872435	18380688.00
2008/09/11	0.69	0.70	0.66	0.68	721307	15024431.00
2008/09/12	0.67	0.69	0.66	0.67	584016	12125253.00
2008/09/16	0.68	0.72	0.64	0.69	1343404	28105526.00
2008/09/17	0.69	0.74	0.68	0.72	1372459	29751030.00
2008/09/18	0.69	0.74	0.64	0.72	1520297	31974910.00
2008/09/19	0.82	0.82	0.78	0.82	1638996	38718408.00
2008/09/22	0.86	0.91	0.78	0.81	3422472	83417760.00
