002253 川大智胜 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/06/23	4.87	5.13	4.00	4.06	8715840	168615328.00
2008/06/24	3.67	4.06	3.57	3.96	4223267	73170232.00
2008/06/25	3.84	4.48	3.80	4.30	3259827	61142732.00
2008/06/26	4.23	4.80	4.16	4.52	3134405	62035300.00
2008/06/27	4.23	4.41	4.15	4.34	1939569	36730948.00
2008/06/30	4.31	4.90	4.25	4.90	2549403	51710584.00
2008/07/01	4.90	5.12	4.61	4.75	2172874	45760264.00
2008/07/02	4.80	5.04	4.74	4.84	1495463	31463104.00
2008/07/03	4.76	5.41	4.72	5.31	2128002	46499136.00
2008/07/04	5.24	5.36	5.03	5.22	1461004	32226378.00
2008/07/07	5.22	5.44	5.12	5.30	1954116	43763412.00
2008/07/08	5.26	5.35	4.92	5.13	1768187	38542480.00
2008/07/09	5.05	5.33	4.97	5.28	1444697	31660972.00
2008/07/10	5.16	5.52	5.10	5.13	1286752	28981626.00
2008/07/11	5.10	5.23	4.97	5.07	695597	15163233.00
2008/07/14	5.02	5.22	4.93	5.10	761614	16542368.00
2008/07/15	5.04	5.12	4.47	4.50	2364755	48406744.00
2008/07/16	4.43	4.66	4.25	4.37	1114878	21888930.00
2008/07/17	4.46	4.52	4.25	4.32	724212	14043798.00
2008/07/18	4.29	4.45	4.17	4.41	646066	12342473.00
2008/07/21	4.37	4.67	4.29	4.62	983618	19528840.00
2008/07/22	4.54	4.72	4.49	4.64	705357	14111687.00
2008/07/23	4.64	5.00	4.60	4.78	1274496	26692830.00
2008/07/24	4.79	5.00	4.79	4.84	856087	18075274.00
2008/07/25	4.80	4.91	4.72	4.81	651237	13624588.00
2008/07/28	4.78	4.90	4.74	4.78	498362	10402062.00
2008/07/29	4.70	4.74	4.52	4.55	734362	14707839.00
2008/07/30	4.58	4.83	4.58	4.80	914373	18827210.00
2008/07/31	4.75	4.78	4.54	4.54	652421	13145783.00
2008/08/01	4.44	4.70	4.32	4.68	650527	12923383.00
2008/08/04	4.65	4.69	4.43	4.68	411907	8258353.50
2008/08/05	4.59	4.69	4.44	4.44	359597	7191201.00
2008/08/06	4.48	4.64	4.38	4.43	375390	7421857.50
2008/08/07	4.49	4.63	4.43	4.62	581431	11587015.00
2008/08/08	4.61	4.61	4.07	4.12	662412	12708608.00
2008/08/11	4.09	4.15	3.65	3.70	581512	10128002.00
2008/08/12	3.61	3.86	3.61	3.77	290513	4986595.50
2008/08/13	3.68	3.80	3.45	3.76	526451	8694104.00
2008/08/14	3.65	3.77	3.59	3.71	244967	4136791.00
2008/08/15	3.71	3.77	3.65	3.72	277781	4722799.00
2008/08/18	3.71	3.76	3.31	3.31	304123	4921038.00
2008/08/19	3.31	3.48	3.24	3.40	166789	2643518.50
2008/08/20	3.33	3.76	3.29	3.70	704624	11859176.00
2008/08/21	3.65	3.73	3.46	3.50	405608	6723366.00
2008/08/22	3.53	3.54	3.34	3.38	244298	3890275.75
2008/08/25	3.42	3.48	3.38	3.38	172338	2764420.25
2008/08/26	3.40	3.42	2.99	3.14	273300	4215652.00
2008/08/27	3.23	3.24	3.00	3.18	239666	3570688.50
2008/08/28	3.19	3.31	3.04	3.30	420317	6432565.00
2008/09/01	3.25	3.36	3.09	3.13	346700	5305542.50
2008/09/02	3.13	3.22	3.08	3.17	110449	1660856.13
2008/09/03	3.17	3.20	3.01	3.13	251078	3726634.75
2008/09/04	3.09	3.19	3.03	3.16	199783	2999585.25
2008/09/05	2.96	3.02	2.87	2.89	317599	4542995.00
2008/09/08	2.89	2.93	2.64	2.69	424380	5855329.50
2008/09/09	2.73	2.74	2.64	2.70	149379	2019089.88
2008/09/10	2.61	2.80	2.61	2.67	314372	4258244.00
2008/09/11	2.68	2.70	2.47	2.50	333089	4339408.00
2008/09/12	2.45	2.54	2.45	2.49	186720	2397454.00
2008/09/16	2.52	2.57	2.34	2.45	265689	3363584.50
2008/09/17	2.46	2.51	2.40	2.48	192015	2429853.50
2008/09/18	2.41	2.63	2.30	2.57	622853	7837746.50
2008/09/19	2.76	2.95	2.76	2.95	805825	11452888.00
2008/09/22	3.09	3.33	3.02	3.08	1215008	18324264.00
2008/09/23	2.81	2.90	2.65	2.65	2005100	27308224.00
2008/09/24	2.52	2.58	2.41	2.58	918285	11709373.00
2008/09/25	2.55	2.73	2.53	2.68	865043	11540093.00
2008/09/26	2.72	2.73	2.54	2.61	457483	6021590.50
2008/10/06	2.50	2.52	2.41	2.48	434488	5508339.50
2008/10/07	2.35	2.48	2.35	2.44	670369	8401024.00
2008/10/08	2.38	2.43	2.32	2.37	404315	4994820.50
2008/10/09	2.42	2.47	2.35	2.38	345648	4325927.00
2008/10/10	2.33	2.33	2.20	2.21	730466	8775260.00
2008/10/13	2.19	2.36	2.12	2.35	485468	5783117.50
2008/10/14	2.43	2.48	2.23	2.23	357708	4432357.00
2008/10/15	2.25	2.34	2.15	2.31	376785	4475445.00
2008/10/16	2.23	2.34	2.16	2.26	599426	7210449.50
2008/10/17	2.23	2.31	2.16	2.28	353059	4209854.00
2008/10/20	2.26	2.44	2.24	2.41	428728	5302646.50
2008/10/21	2.41	2.48	2.32	2.41	486733	6084209.50
2008/10/22	2.38	2.48	2.34	2.44	481846	6056378.50
2008/10/23	2.21	2.21	2.07	2.16	1250431	14369539.00
2008/10/24	2.15	2.19	2.08	2.14	492321	5664833.00
2008/10/27	2.06	2.06	1.87	1.88	423117	4612899.50
2008/10/28	1.77	1.96	1.77	1.92	403495	4289931.50
2008/10/29	1.96	1.97	1.63	1.68	668417	6931741.00
2008/10/30	1.71	1.76	1.63	1.69	405379	4074006.00
2008/10/31	1.68	1.73	1.65	1.67	173835	1735218.75
2008/11/03	1.59	1.66	1.56	1.59	336024	3274646.00
2008/11/04	1.55	1.55	1.44	1.53	366461	3430559.50
2008/11/05	1.55	1.70	1.51	1.65	394226	3853388.25
2008/11/06	1.59	1.62	1.56	1.60	213736	2066695.75
2008/11/07	1.56	1.70	1.51	1.67	277873	2744027.50
2008/11/10	1.73	1.89	1.73	1.87	407360	4276639.00
2008/11/11	1.85	1.90	1.80	1.86	432069	4578212.50
2008/11/12	1.78	2.00	1.78	2.00	473056	5156131.50
2008/11/13	1.92	2.29	1.92	2.21	1220457	14165324.00
2008/11/14	2.21	2.42	2.21	2.34	1084283	13225957.00
2008/11/17	2.34	2.54	2.34	2.52	690189	8736779.00
2008/11/18	2.51	2.55	2.21	2.23	798740	9842022.00
2008/11/19	2.21	2.58	2.19	2.58	537087	6748947.50
2008/11/20	2.55	2.95	2.48	2.74	851798	11783698.00
2008/11/21	2.69	2.96	2.52	2.85	1132754	15278705.00
2008/11/24	2.85	2.92	2.62	2.66	431906	5889601.50
2008/11/25	2.70	2.78	2.63	2.73	485794	6595996.50
2008/11/26	2.73	2.81	2.70	2.73	367733	5007934.00
2008/11/27	2.93	3.12	2.84	3.02	1894119	28158912.00
2008/11/28	2.93	3.11	2.80	2.86	775118	10997784.00
2008/12/01	2.84	3.03	2.80	3.02	422002	6106305.00
2008/12/02	2.99	3.40	2.96	3.26	1057381	16402827.00
2008/12/03	3.24	3.42	3.19	3.31	732374	11421757.00
2008/12/04	3.39	3.42	3.18	3.18	1404407	21836704.00
2008/12/05	3.13	3.28	3.13	3.22	492268	7501001.00
2008/12/08	3.23	3.46	3.23	3.31	904367	14161155.00
2008/12/09	3.34	3.35	3.10	3.21	771237	11673521.00
2008/12/10	3.13	3.54	3.13	3.46	778046	12292219.00
2008/12/11	3.38	3.47	3.24	3.24	531834	8385178.50
2008/12/12	3.22	3.22	2.95	2.99	592291	8695592.00
2008/12/15	3.07	3.16	3.02	3.13	573339	8577564.00
2008/12/16	3.09	3.20	2.93	3.17	355104	5280399.00
2008/12/17	3.20	3.42	3.18	3.33	787428	12329601.00
2008/12/18	3.35	3.79	3.35	3.79	2537044	43285484.00
2008/12/19	3.94	4.29	3.93	4.29	1866535	34491132.00
2008/12/22	4.55	4.84	4.55	4.84	2690561	55126492.00
2008/12/23	4.85	5.39	4.67	4.93	3104634	66924808.00
2008/12/24	4.67	5.35	4.49	5.26	2327696	49740176.00
2008/12/25	5.12	5.91	5.12	5.91	3120151	74759984.00
2008/12/29	5.70	6.62	5.34	6.62	2739200	68655176.00
2008/12/30	6.31	6.95	6.22	6.34	3417300	90835792.00
2008/12/31	6.29	6.46	5.74	5.74	3138600	78333360.00
2009/01/05	5.91	6.26	5.75	6.11	2469500	62127256.00
2009/01/06	5.97	6.25	5.92	6.15	2137000	53975208.00
2009/01/07	6.08	6.80	6.08	6.69	2385600	64158552.00
2009/01/08	6.60	7.36	6.51	7.18	2540600	72654264.00
2009/01/09	7.27	7.41	7.01	7.16	2236600	64649032.00
2009/01/12	7.18	7.76	7.06	7.61	2068800	61492256.00
2009/01/13	7.56	7.75	6.73	6.86	2388700	69388664.00
2009/01/14	6.65	7.18	6.65	7.08	2168500	61130836.00
2009/01/15	6.91	7.01	6.71	6.89	1866300	51793532.00
2009/01/16	6.92	7.32	6.85	6.94	1639600	47022796.00
2009/01/19	6.97	7.04	6.49	6.92	1681400	46211728.00
2009/01/20	6.83	7.02	6.76	6.81	795100	22147024.00
2009/01/21	6.81	6.89	6.53	6.72	1276100	34767356.00
2009/01/22	6.71	7.47	6.69	7.31	2603200	74385040.00
2009/01/23	7.18	7.26	6.47	6.80	1847200	51401464.00
2009/02/02	6.84	6.85	6.61	6.69	1376400	37619336.00
2009/02/03	6.69	6.77	6.46	6.75	2351200	63550628.00
2009/02/04	6.75	6.82	6.69	6.79	1456400	39985788.00
2009/02/05	6.78	7.36	6.77	7.02	2647500	75871304.00
2009/02/06	7.02	7.18	6.90	7.12	2262300	64638672.00
2009/02/09	7.15	7.15	6.91	7.11	2150900	61292476.00
2009/02/10	7.07	7.76	6.93	7.62	2803000	82359976.00
2009/02/11	7.47	8.34	7.36	7.91	3061200	96991536.00
2009/02/12	7.96	8.07	7.56	7.68	1475700	45633880.00
2009/02/13	7.76	7.76	7.42	7.68	1657800	50408412.00
2009/02/16	7.55	7.72	7.46	7.60	1418500	43025228.00
2009/02/17	7.68	8.34	7.68	7.92	2581000	82182368.00
2009/02/18	7.62	7.76	7.01	7.01	1763300	52037244.00
2009/02/19	7.13	7.30	6.99	7.04	1363800	39234224.00
2009/02/20	6.98	7.27	6.83	7.22	1465700	41813960.00
2009/02/23	7.18	7.65	7.13	7.45	1352900	40526224.00
2009/02/24	7.50	7.50	6.86	7.04	1485600	42868404.00
2009/02/25	6.92	7.47	6.92	7.20	1071100	31197662.00
2009/02/26	7.18	7.18	6.36	6.36	1877000	50806744.00
2009/02/27	6.06	6.08	5.60	5.60	1499300	35730392.00
2009/03/02	5.22	5.87	5.01	5.69	1731900	39944344.00
2009/03/03	5.29	5.74	5.26	5.48	1157500	26862136.00
2009/03/04	5.42	5.90	5.42	5.89	1590900	38366432.00
2009/03/05	5.97	6.01	5.69	5.91	1541800	37738796.00
2009/03/06	5.74	5.89	5.69	5.74	1037400	25054042.00
2009/03/09	5.72	5.84	5.29	5.35	908300	21270486.00
2009/03/10	5.29	5.60	5.28	5.56	718100	16701803.00
2009/03/11	5.62	5.88	5.59	5.67	1019600	24430804.00
2009/03/12	5.63	5.72	5.36	5.59	612100	14320664.00
2009/03/13	5.60	6.02	5.55	5.91	1431700	34713048.00
2009/03/16	5.86	5.94	5.74	5.91	762600	18602424.00
2009/03/17	5.91	6.26	5.85	6.15	1242400	31259758.00
2009/03/18	6.14	6.60	6.11	6.29	1466000	38019952.00
2009/03/19	6.36	6.50	6.20	6.32	1023400	26586678.00
2009/03/23	6.31	7.07	6.29	7.07	2028600	57057804.00
2009/03/24	7.34	7.58	7.08	7.12	2423900	71119552.00
2009/03/25	7.12	7.54	6.86	6.86	1623000	47032144.00
2009/03/26	6.77	7.05	6.65	7.04	1075100	29958498.00
2009/03/27	7.11	7.52	7.05	7.30	1366900	40152320.00
2009/03/30	7.30	7.45	7.15	7.15	754100	22014702.00
2009/03/31	7.08	7.39	6.89	7.30	892700	25906246.00
2009/04/01	7.46	8.15	7.46	8.15	2187100	68375248.00
2009/04/02	8.05	9.07	8.03	9.07	4270100	121086512.00
2009/04/03	9.17	9.42	8.29	8.49	4021300	114895816.00
2009/04/07	8.31	8.66	8.16	8.64	2950300	79743960.00
2009/04/08	8.54	8.72	8.08	8.10	2391000	64726172.00
2009/04/09	8.06	8.37	7.76	8.26	2016000	52805804.00
2009/04/10	8.22	8.55	8.01	8.36	2340400	63234496.00
2009/04/13	8.61	8.84	8.49	8.71	3085300	86827968.00
2009/04/14	8.69	9.69	8.59	9.69	4212900	127345144.00
2009/04/15	10.04	10.77	10.04	10.77	5036700	167312784.00
2009/04/16	11.21	11.21	9.70	9.98	4747000	155016192.00
2009/04/17	9.71	9.71	9.13	9.25	2866200	86292144.00
2009/04/20	9.14	9.77	9.11	9.43	1656800	50570320.00
2009/04/21	9.18	9.35	8.66	9.01	2056600	59698148.00
2009/04/22	9.11	9.18	8.24	8.45	1391700	39448440.00
2009/04/24	8.95	9.41	8.93	9.41	1224800	36628648.00
2009/04/27	9.17	9.28	8.46	8.66	1714500	48509668.00
