002287 奇正藏药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/08/28	18.87	23.22	18.37	21.08	28339633	664229952.00
2009/08/31	19.72	20.17	18.66	18.66	2869368	64015200.00
2009/09/01	16.48	17.77	16.48	16.57	17146237	340773920.00
2009/09/02	15.75	17.07	15.36	16.25	9752449	189019712.00
2009/09/03	15.66	17.05	15.45	16.77	8919727	173684448.00
2009/09/04	16.46	17.41	16.17	16.83	8643249	172166544.00
2009/09/07	16.93	18.77	16.87	18.12	12067157	256015968.00
2009/09/08	17.75	18.52	17.53	18.02	6534180	138659888.00
2009/09/09	18.06	20.14	17.37	20.14	10525907	230823872.00
2009/09/10	19.78	22.47	19.37	22.02	15881158	391788256.00
2009/09/11	21.47	23.07	21.39	22.48	12594854	319719872.00
2009/09/14	22.07	24.99	21.67	23.87	11174964	294936128.00
2009/09/15	23.47	24.34	22.47	22.83	10363641	276833152.00
2009/09/16	22.50	23.80	22.48	23.02	6991610	183022352.00
2009/09/17	22.75	23.52	22.20	22.87	5759970	149280560.00
2009/09/18	22.98	24.37	22.68	23.08	7721834	205900992.00
2009/09/21	22.38	22.85	20.91	22.37	6230541	156489296.00
2009/09/22	22.07	22.35	20.97	21.05	4837635	119434024.00
2009/09/23	20.87	21.86	20.80	21.15	4024383	98411624.00
2009/09/24	21.03	21.30	19.37	20.07	3581452	84462704.00
2009/09/25	20.17	20.83	19.90	20.26	2345705	55242172.00
2009/09/28	20.47	21.29	19.67	19.90	2887486	68815712.00
2009/09/29	19.77	20.18	17.87	18.77	2897361	63600464.00
2009/09/30	19.20	19.37	18.62	18.80	2192844	48371364.00
2009/10/09	19.07	20.30	18.81	20.15	3099756	71237824.00
2009/10/12	20.27	20.38	19.68	19.89	2118822	49118648.00
2009/10/13	19.68	21.77	19.68	21.52	4003680	95067088.00
2009/10/14	21.07	22.25	21.07	21.49	4722591	117527480.00
2009/10/15	21.37	21.92	21.19	21.32	2533617	62355892.00
2009/10/16	21.57	22.16	21.33	21.79	2875829	71492624.00
2009/10/19	21.62	22.54	21.57	22.08	3888833	98838016.00
2009/10/20	22.07	23.35	21.61	22.88	5734377	146145152.00
2009/10/21	22.83	23.05	21.98	22.02	3900549	99761992.00
2009/10/22	21.74	22.87	21.52	22.58	5023923	128079928.00
2009/10/23	22.60	23.15	22.06	22.59	4684145	121046752.00
2009/10/26	22.64	23.97	22.29	23.42	5815307	153451344.00
2009/10/27	22.89	23.08	21.82	21.82	3907007	99784904.00
2009/10/28	21.66	22.61	21.37	22.49	2608881	65460736.00
2009/10/29	22.07	22.82	21.69	21.97	2802442	71347192.00
2009/10/30	22.07	22.84	21.77	21.98	3633503	92278400.00
2009/11/02	21.35	22.76	20.87	22.38	4245185	107334720.00
2009/11/03	22.42	22.57	21.97	22.17	3216040	81437368.00
2009/11/04	22.14	22.37	21.99	22.35	2862600	72593648.00
2009/11/05	22.36	23.23	22.28	22.84	4413267	114737696.00
2009/11/06	23.00	23.09	22.40	22.44	2813071	72403096.00
2009/11/09	22.47	22.59	21.88	22.59	2776531	70168768.00
2009/11/10	22.65	23.05	22.28	22.46	3785593	97873304.00
2009/11/11	22.27	22.37	21.87	21.94	2415933	60785768.00
2009/11/12	21.93	22.19	21.75	21.80	2047851	51376280.00
2009/11/13	21.77	22.25	21.65	22.15	1845636	46225296.00
2009/11/16	22.16	22.76	22.15	22.53	2727070	69844920.00
2009/11/17	22.53	24.87	22.38	24.13	8426292	224508912.00
2009/11/18	24.06	25.32	23.39	24.57	7378367	202205856.00
2009/11/19	24.57	24.81	24.08	24.23	4309727	118710680.00
2009/11/20	24.27	24.77	24.00	24.37	3296606	90798832.00
2009/11/23	24.18	24.37	23.80	24.27	3670365	99649776.00
2009/11/24	24.27	25.27	22.87	23.17	6804154	187749776.00
2009/11/25	23.18	23.82	22.39	23.52	4014316	105890624.00
2009/11/26	23.37	23.62	21.45	21.68	4551628	117163520.00
2009/11/27	21.47	22.27	20.78	21.03	2872440	70399896.00
2009/11/30	20.97	21.66	20.57	21.62	6102673	148209600.00
2009/12/01	21.51	22.17	21.38	22.14	4511050	112091536.00
2009/12/02	22.26	22.56	21.95	22.35	4076177	103381912.00
