002308 威创股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/11/27	8.27	8.55	7.78	7.83	29802412	1044571648.00
2009/11/30	7.86	8.55	7.86	8.45	18475384	658053696.00
2009/12/01	8.22	8.32	8.01	8.29	10989685	389212896.00
2009/12/02	8.21	8.47	8.19	8.21	10605849	382414848.00
2009/12/03	8.17	8.93	8.09	8.68	11553138	424950976.00
2009/12/04	8.53	8.98	8.06	8.30	11876226	439283872.00
2009/12/07	8.22	8.55	8.08	8.34	5070416	183645104.00
2009/12/08	8.36	8.37	8.09	8.14	4520956	160724352.00
2009/12/09	8.04	8.24	7.91	7.96	4211811	147340592.00
2009/12/10	8.04	8.21	8.04	8.16	3166215	111835664.00
2009/12/11	8.14	8.19	7.90	7.95	3740713	130628472.00
2009/12/14	7.94	8.01	7.71	7.84	2758785	94334736.00
2009/12/15	7.79	7.90	7.74	7.81	2016269	68705704.00
2009/12/16	7.81	7.86	7.38	7.41	4625055	153372000.00
2009/12/17	7.37	7.45	7.02	7.17	3721076	117446408.00
2009/12/18	7.08	7.11	6.91	7.04	2840106	88023736.00
2009/12/21	7.04	7.25	7.01	7.18	2112360	66599956.00
2009/12/22	7.19	7.21	6.71	6.78	2441097	74838920.00
2009/12/23	6.76	7.14	6.71	6.99	2611510	79836440.00
2009/12/24	6.94	7.19	6.94	7.14	2436246	76437728.00
2009/12/25	7.17	7.17	6.96	7.03	1782672	55523088.00
2009/12/28	6.99	7.17	6.96	7.14	1761998	55292512.00
2009/12/29	7.16	7.49	7.12	7.41	3453027	111531552.00
2009/12/30	7.34	7.42	7.20	7.26	1917619	61295740.00
2009/12/31	7.29	7.32	7.15	7.23	1553637	49376068.00
2010/01/04	7.27	7.32	7.16	7.23	1690414	54071740.00
2010/01/05	7.22	7.39	7.17	7.34	2345957	75405272.00
2010/01/06	7.34	7.34	7.21	7.21	2267147	72472824.00
2010/01/07	7.21	7.21	6.93	6.95	2567655	79663976.00
2010/01/08	6.97	7.08	6.89	7.05	1537258	47591500.00
2010/01/11	7.05	7.18	6.91	7.15	2251623	70277216.00
2010/01/12	7.20	7.73	7.20	7.60	5600588	184921808.00
2010/01/13	7.48	7.94	7.42	7.76	5637983	190160752.00
2010/01/14	7.84	7.98	7.73	7.78	4430737	151349648.00
2010/01/15	7.76	8.13	7.72	8.02	4513443	157052672.00
2010/01/18	8.09	8.28	7.91	8.27	5315986	188493392.00
2010/01/19	8.22	8.41	8.17	8.37	5434489	195712464.00
2010/01/20	8.34	8.35	7.86	8.25	6331718	223869968.00
2010/01/21	8.17	8.21	7.89	7.89	2652751	92926632.00
2010/01/22	7.79	7.79	7.48	7.54	2614970	86862640.00
2010/01/25	7.50	7.84	7.42	7.70	2007300	67070956.00
2010/01/26	7.65	7.91	7.50	7.60	2590200	87437112.00
2010/01/27	7.53	7.77	7.50	7.70	1531134	51157160.00
2010/01/28	7.70	8.07	7.61	7.96	2762652	95787944.00
2010/01/29	7.91	8.45	7.81	8.04	4313332	154139232.00
2010/02/01	8.08	8.35	7.89	8.26	3161451	112001080.00
2010/02/02	8.26	8.29	7.73	7.86	3489412	122406544.00
2010/02/03	7.88	7.98	7.55	7.78	2016475	68459416.00
2010/02/04	7.79	7.97	7.66	7.70	1742656	59272512.00
2010/02/05	7.42	7.50	6.92	7.06	3169963	100480616.00
2010/02/08	6.96	7.23	6.74	7.07	1761377	54511708.00
2010/02/09	6.99	7.15	6.96	7.02	647130	20084644.00
2010/02/10	7.09	7.19	7.05	7.12	742678	23311842.00
2010/02/11	7.06	7.17	7.03	7.12	732664	22935716.00
2010/02/12	7.18	7.21	7.04	7.19	950170	29872764.00
2010/02/22	7.14	7.24	7.12	7.15	620194	19586308.00
2010/02/23	7.13	7.21	6.81	7.07	1778805	54578036.00
2010/02/24	7.01	7.36	6.89	7.34	2052303	65330276.00
2010/02/25	7.38	7.80	7.27	7.77	4036699	134629360.00
2010/02/26	7.73	7.84	7.63	7.72	2311240	78197008.00
2010/03/01	7.56	8.20	7.55	7.99	10135869	350346336.00
2010/03/02	7.99	8.26	7.90	8.07	4897962	172653200.00
2010/03/03	8.05	8.17	8.01	8.04	3155879	110827864.00
2010/03/04	8.04	8.11	7.79	7.91	4065349	140353328.00
2010/03/05	7.91	8.02	7.63	7.78	2957473	100725560.00
2010/03/08	7.74	8.07	7.74	7.91	2306385	79365760.00
2010/03/09	7.84	8.01	7.71	7.91	1946668	67038872.00
2010/03/10	7.93	8.04	7.67	7.71	1404248	47841708.00
2010/03/11	7.71	7.72	7.53	7.68	1309716	43784876.00
2010/03/12	7.69	7.98	7.66	7.70	2148564	73487608.00
2010/03/15	7.73	7.78	7.30	7.37	1715259	56240992.00
