002330 得利斯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/06	10.33	11.82	10.33	11.82	41776247	931202624.00
2010/01/07	11.37	12.51	11.36	12.08	33551815	809869376.00
2010/01/08	11.62	11.80	10.86	10.86	19492797	438847296.00
2010/01/11	10.58	11.18	10.09	10.86	12720426	275515488.00
2010/01/12	10.59	11.12	10.49	10.93	10266467	227310384.00
2010/01/13	10.66	11.08	10.58	10.63	7413111	162738752.00
2010/01/14	10.77	11.08	10.64	10.97	6926810	153357152.00
2010/01/15	10.94	11.08	10.76	10.85	6168518	136536016.00
2010/01/18	10.78	10.78	10.52	10.65	5951007	128576832.00
2010/01/19	10.68	10.73	10.48	10.72	4507074	97210976.00
2010/01/20	10.72	10.73	9.93	9.93	6357156	132808024.00
2010/01/21	9.98	10.17	9.91	10.08	3724657	75893688.00
2010/01/22	9.97	9.97	9.17	9.39	4675760	90831208.00
2010/01/25	9.35	9.47	9.14	9.17	2141459	40541500.00
2010/01/26	9.22	9.33	8.73	8.78	2748100	49987200.00
2010/01/27	8.81	8.97	8.59	8.70	2156566	38477428.00
2010/01/28	8.70	8.79	8.59	8.75	1773146	31434390.00
2010/01/29	8.71	8.86	8.64	8.79	2376824	42528244.00
2010/02/01	8.72	8.78	8.18	8.18	3007708	51430232.00
2010/02/02	8.24	8.41	8.04	8.07	2397944	40377512.00
2010/02/03	8.04	8.28	7.66	8.27	3293907	53579288.00
2010/02/04	8.13	8.39	7.99	8.18	2822300	47203696.00
2010/02/05	7.97	8.01	7.77	7.83	2585273	41618724.00
2010/02/08	7.83	8.37	7.83	8.28	3985792	66727944.00
2010/02/09	8.23	8.31	8.09	8.26	2267194	37979400.00
2010/02/10	8.28	8.43	8.24	8.39	1898228	32304318.00
2010/02/11	8.43	8.43	8.23	8.26	1419543	24015690.00
2010/02/12	8.30	8.32	8.21	8.28	1315331	22187122.00
2010/02/22	8.28	8.43	8.22	8.23	1468568	24946612.00
2010/02/23	8.26	8.33	7.95	8.33	2116933	35203140.00
2010/02/24	8.27	8.52	8.16	8.51	3525223	60736204.00
2010/02/25	8.52	9.18	8.52	9.08	6653537	121759904.00
2010/03/01	8.90	9.34	8.89	9.09	4655239	86527432.00
2010/03/02	9.09	9.21	8.87	8.97	3544652	65169276.00
2010/03/03	8.93	9.34	8.88	9.28	3793051	70817032.00
2010/03/04	9.23	9.37	8.68	8.78	3153670	58047864.00
2010/03/05	8.78	8.93	8.60	8.76	1585614	28282028.00
2010/03/08	8.81	9.16	8.78	8.97	2305010	42341480.00
2010/03/09	8.96	9.08	8.92	9.08	1812345	33206052.00
2010/03/10	9.03	9.11	8.77	8.80	1555281	28285382.00
2010/03/11	8.78	8.87	8.59	8.64	1471501	26048018.00
2010/03/12	8.67	8.85	8.62	8.67	1249437	22248700.00
2010/03/15	8.73	8.78	8.43	8.45	1522559	26494074.00
2010/03/16	8.44	8.52	8.27	8.35	1136893	19461276.00
2010/03/17	8.37	8.66	8.37	8.63	1538687	26807566.00
2010/03/18	8.62	8.77	8.58	8.72	1309114	23137878.00
2010/03/19	8.73	8.86	8.69	8.79	1583070	28370332.00
2010/03/22	8.78	8.79	8.61	8.77	1405752	24932040.00
2010/03/23	8.77	8.95	8.73	8.91	2257774	40723860.00
2010/03/24	8.91	9.35	8.86	9.32	6014273	112758376.00
2010/03/25	9.33	10.13	9.33	9.68	9451323	187555856.00
2010/03/26	9.63	9.86	9.53	9.68	3250490	63891256.00
2010/03/29	9.69	9.93	9.47	9.88	4023968	79808968.00
2010/03/30	9.88	10.12	9.73	9.78	4448280	89631592.00
2010/03/31	9.76	10.33	9.50	10.23	7063905	143967616.00
2010/04/01	10.03	10.49	9.97	10.35	8020501	168077632.00
2010/04/02	10.34	10.35	10.01	10.21	5075374	104732336.00
2010/04/06	10.03	10.33	9.89	10.08	8708461	178777360.00
2010/04/07	10.08	10.11	9.93	10.08	4760033	96721480.00
2010/04/08	10.08	10.09	9.78	9.80	3916218	79379864.00
2010/04/09	9.78	10.33	9.56	10.27	7998172	160188000.00
2010/04/12	10.28	10.68	10.18	10.55	7969286	169930176.00
2010/04/13	10.50	10.63	9.79	10.30	6571049	136626224.00
2010/04/14	10.07	10.53	9.97	10.45	5398877	112396144.00
2010/04/15	10.45	10.83	10.31	10.57	6418409	138403968.00
2010/04/16	10.58	10.75	10.48	10.63	3581970	77312728.00
