002334 英威腾 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/13	5.41	5.86	5.25	5.76	10509474	694645696.00
2010/01/14	5.68	6.36	5.68	5.96	5801786	415282912.00
2010/01/15	5.88	6.15	5.76	6.04	3610282	255677152.00
2010/01/18	6.05	6.22	5.90	6.00	2193118	157886064.00
2010/01/19	6.16	6.65	6.16	6.65	3658402	277200928.00
2010/01/20	6.62	6.92	6.35	6.67	4503196	354891712.00
2010/01/21	6.59	6.64	6.17	6.20	2700885	203724112.00
2010/01/22	6.00	6.09	5.64	5.67	2549474	177475616.00
2010/01/25	5.56	5.86	5.56	5.65	1261103	86492296.00
2010/01/26	5.71	5.87	5.57	5.73	1469500	100209320.00
2010/01/27	5.86	6.01	5.74	5.76	1744916	122590240.00
2010/01/28	5.68	5.70	5.36	5.45	1641885	107752504.00
2010/01/29	5.41	6.03	5.41	5.77	2081177	143503184.00
2010/02/01	5.68	5.90	5.60	5.83	1160728	80067320.00
2010/02/02	5.83	5.95	5.73	5.77	1141003	79526832.00
2010/02/03	5.75	5.82	5.36	5.60	1281555	84807904.00
2010/02/04	5.63	5.72	5.44	5.45	1120991	74525720.00
2010/02/05	5.36	5.38	5.03	5.09	1638883	101949040.00
2010/02/08	5.11	5.24	5.04	5.15	826468	51364940.00
2010/02/09	5.12	5.17	4.92	4.99	976775	59478164.00
2010/02/10	5.04	5.27	4.99	5.25	886276	55000488.00
2010/02/11	5.19	5.28	5.16	5.24	565005	35552812.00
2010/02/12	5.30	5.45	5.23	5.42	687846	44256944.00
2010/02/22	5.42	5.56	5.34	5.35	719007	47056536.00
2010/02/23	5.33	5.45	5.14	5.41	671333	42923472.00
2010/02/24	5.32	5.89	5.32	5.84	1431056	97462840.00
2010/02/25	5.83	6.12	5.82	5.89	1527182	108549360.00
2010/02/26	5.89	5.95	5.86	5.91	806652	56816296.00
2010/03/01	5.91	6.14	5.82	6.00	908997	64683512.00
2010/03/02	5.99	6.13	5.90	6.08	841498	60313232.00
2010/03/03	6.11	6.35	6.00	6.02	1027768	75490440.00
2010/03/04	5.96	6.01	5.82	5.86	1189438	83677840.00
2010/03/05	5.87	5.97	5.66	5.83	1012205	69900400.00
2010/03/08	5.83	5.94	5.79	5.84	903285	63201436.00
2010/03/09	5.59	5.71	5.55	5.70	1734277	117177504.00
2010/03/10	5.73	5.73	5.51	5.55	773835	51883212.00
2010/03/11	5.54	5.62	5.37	5.60	984573	64775344.00
2010/03/12	5.61	5.82	5.56	5.65	1150951	78671920.00
2010/03/15	5.59	5.70	5.53	5.65	556197	37368024.00
2010/03/16	5.63	5.77	5.55	5.61	560071	38073216.00
2010/03/17	5.65	5.82	5.56	5.77	684470	46521432.00
2010/03/18	5.82	5.82	5.70	5.79	616941	42439992.00
2010/03/19	5.79	5.80	5.69	5.75	455085	31207786.00
2010/03/22	5.77	5.77	5.70	5.71	558881	38248396.00
2010/03/23	5.72	5.74	5.63	5.67	789315	53536464.00
2010/03/24	5.66	5.93	5.65	5.91	1355991	94614888.00
2010/03/25	5.91	6.02	5.84	5.96	1050692	74404896.00
2010/03/26	5.86	5.93	5.79	5.86	685707	47988284.00
2010/03/30	5.92	6.25	5.87	6.10	1321590	95864336.00
2010/03/31	6.06	6.39	6.06	6.37	1552695	115710472.00
2010/04/01	6.32	6.51	6.23	6.24	1362747	102944816.00
2010/04/02	6.19	6.22	6.04	6.06	1045903	76201744.00
2010/04/06	6.07	6.19	6.06	6.18	803272	58550032.00
2010/04/07	6.22	6.36	6.15	6.32	1083414	80546792.00
2010/04/08	6.33	6.62	6.23	6.48	1878081	144828560.00
2010/04/09	6.41	6.61	6.35	6.55	1025878	78736232.00
2010/04/12	6.55	6.89	6.47	6.78	1281233	101400448.00
2010/04/13	6.78	6.78	6.04	6.09	3027547	228416848.00
2010/04/14	6.13	6.25	6.05	6.15	987442	72293400.00
2010/04/15	6.18	6.19	5.74	5.88	1555643	109758384.00
2010/04/16	5.82	5.98	5.82	5.89	712381	49750536.00
2010/04/19	5.99	6.42	5.99	6.14	2226033	163743168.00
2010/04/20	6.12	6.37	5.93	6.34	1412245	102801152.00
2010/04/21	6.32	6.89	6.25	6.80	1913323	149614112.00
2010/04/22	6.68	7.14	6.68	6.97	1846579	150903568.00
2010/04/23	6.88	7.18	6.70	6.85	1569388	127454328.00
2010/04/26	6.78	7.28	6.68	7.12	2173022	180484176.00
2010/04/27	7.01	7.05	6.51	6.74	2351209	184218304.00
2010/04/28	6.58	6.88	6.49	6.82	1010955	79091736.00
2010/04/29	6.81	6.87	6.56	6.61	985784	78294232.00
2010/04/30	6.51	6.51	6.15	6.41	985474	73031168.00
2010/05/04	6.26	6.54	6.21	6.47	498459	37842112.00
2010/05/05	6.42	6.89	6.38	6.81	744899	58189156.00
2010/05/06	6.76	7.24	6.76	6.96	1145599	93842280.00
2010/05/07	6.72	7.46	6.70	7.20	1357569	114063480.00
2010/05/10	7.13	7.18	6.47	6.60	1257610	100137352.00
2010/05/11	6.72	7.16	6.65	6.81	1298715	105198368.00
2010/05/12	6.63	6.88	6.19	6.56	1155047	88183952.00
2010/05/13	6.54	6.81	6.33	6.74	754366	58201360.00
2010/05/14	6.68	7.14	6.57	7.12	1452937	118418624.00
2010/05/17	7.02	7.32	6.90	7.01	1254607	104185736.00
2010/05/18	6.96	7.05	6.65	6.99	1281450	103245272.00
2010/05/19	6.92	7.55	6.84	7.36	1939084	164430000.00
2010/05/20	7.26	7.53	6.98	7.01	1326068	112479664.00
2010/05/21	6.68	7.75	6.65	7.75	2180305	185814640.00
2010/05/24	7.70	8.16	7.65	7.94	2295228	210609616.00
2010/05/25	7.79	8.33	7.79	8.19	1670510	156740864.00
2010/05/26	8.17	8.24	7.88	7.94	953092	88865464.00
2010/05/27	7.95	8.49	7.79	8.36	1534188	146426816.00
2010/05/28	8.43	8.46	8.11	8.27	993153	95207048.00
2010/05/31	8.20	8.29	7.82	7.84	1285493	119947528.00
2010/06/01	7.79	7.98	7.47	7.84	1540281	138054752.00
2010/06/02	7.76	8.16	7.59	8.13	1007744	92471040.00
2010/06/03	8.15	8.20	7.65	7.65	1103528	101757864.00
2010/06/04	7.49	7.81	7.47	7.77	823968	73213376.00
2010/06/07	7.65	7.98	7.56	7.83	926718	84149296.00
2010/06/08	7.83	8.13	7.72	7.89	1000521	92277216.00
2010/06/09	7.84	7.98	7.81	7.92	863295	78907600.00
2010/06/10	7.98	8.47	7.93	8.34	1304593	124565800.00
2010/06/11	8.34	8.42	8.11	8.33	775757	74405216.00
2010/06/17	8.38	8.61	7.84	7.84	1152925	109097408.00
2010/06/18	7.85	8.00	7.30	7.45	985462	87443296.00
2010/06/21	7.45	8.03	7.40	7.87	851711	76061496.00
2010/06/22	7.87	7.91	7.70	7.73	552427	49926660.00
2010/06/23	7.72	7.95	7.61	7.79	629916	56959636.00
2010/06/24	7.78	8.05	7.74	7.97	655049	60226248.00
2010/06/25	7.98	7.98	7.47	7.56	852828	75964680.00
2010/06/28	7.54	7.60	6.92	7.04	1283195	107444536.00
2010/06/29	7.04	7.10	6.69	6.74	1083361	86729032.00
2010/06/30	6.66	6.86	6.56	6.83	672208	52768216.00
2010/07/01	6.78	6.85	6.38	6.39	810025	62591884.00
2010/07/02	6.44	6.48	5.96	6.22	860781	62969308.00
2010/07/05	6.14	6.40	5.98	6.36	547715	40249364.00
2010/07/06	6.23	6.66	6.23	6.58	633664	48744492.00
2010/07/07	6.55	6.64	6.49	6.57	717008	54996244.00
2010/07/08	6.61	6.78	6.46	6.65	717475	55902508.00
2010/07/09	6.64	6.86	6.49	6.78	620281	48851592.00
2010/07/12	6.74	6.83	6.58	6.60	561887	44154144.00
2010/07/13	6.56	6.56	6.33	6.44	606134	45763080.00
2010/07/14	6.44	6.55	6.43	6.46	432469	32973010.00
2010/07/15	6.46	6.55	6.25	6.41	370721	28060268.00
2010/07/16	6.36	6.40	6.12	6.23	522464	38287708.00
2010/07/19	6.16	6.42	6.13	6.38	530170	39231560.00
2010/07/20	6.38	6.62	6.38	6.60	574685	44067072.00
2010/07/21	6.66	6.83	6.58	6.83	786525	62102752.00
2010/07/22	6.83	6.87	6.67	6.84	577816	46004968.00
2010/07/23	6.83	6.83	6.58	6.69	622806	48899788.00
2010/07/26	6.68	6.86	6.67	6.83	460740	36623264.00
2010/07/27	6.79	6.82	6.68	6.68	450939	35533252.00
2010/07/28	6.59	6.83	6.55	6.82	677878	53190044.00
2010/07/29	6.84	6.88	6.69	6.75	687526	54500984.00
2010/07/30	6.74	7.01	6.71	6.98	976524	78749832.00
2010/08/02	6.95	7.05	6.92	7.01	555926	45452312.00
2010/08/03	6.98	7.01	6.83	6.83	559338	45211308.00
2010/08/04	6.84	6.88	6.70	6.83	395655	31395974.00
2010/08/05	6.82	6.91	6.78	6.79	427898	34275624.00
2010/08/06	6.78	7.06	6.75	7.01	567269	46183604.00
2010/08/09	6.99	7.17	6.98	7.13	525619	43534732.00
2010/08/10	7.11	7.16	6.88	6.88	630568	51681584.00
2010/08/11	6.81	6.93	6.81	6.90	507778	40848648.00
2010/08/12	6.81	7.10	6.80	7.03	644062	52428268.00
2010/08/13	7.66	7.78	7.42	7.78	2989345	267428576.00
2010/08/16	7.78	7.93	7.68	7.85	1861905	169526960.00
2010/08/17	7.76	8.34	7.73	8.03	1564265	145738512.00
2010/08/18	8.03	8.09	7.88	8.01	1310254	121412832.00
2010/08/19	8.20	8.65	8.05	8.54	2222874	214432704.00
2010/08/20	8.39	8.87	8.39	8.40	1733852	172146864.00
2010/08/23	8.44	8.59	8.16	8.27	1208233	116752352.00
2010/08/24	8.31	8.46	8.08	8.32	1175978	112187360.00
2010/08/25	8.23	8.29	7.97	7.98	1040521	97820936.00
2010/08/26	7.96	8.28	7.96	8.10	1047459	98738328.00
2010/08/27	8.09	8.96	8.02	8.96	1962747	196800176.00
2010/08/30	9.25	9.37	8.85	9.11	1802001	188725152.00
2010/08/31	9.02	9.95	8.97	9.47	1613611	176615120.00
2010/09/01	9.47	9.65	9.07	9.36	1265665	135935520.00
2010/09/02	9.53	10.01	9.36	9.96	1482866	165760240.00
2010/09/03	9.99	9.99	8.98	9.23	2433452	263948208.00
2010/09/07	8.66	9.09	8.55	8.82	1624571	164736928.00
2010/09/08	8.75	9.07	8.67	8.98	907190	93418032.00
2010/09/09	9.18	9.19	8.77	8.82	1265523	129868296.00
2010/09/10	8.82	8.91	8.27	8.56	1613675	158645920.00
2010/09/13	8.50	9.11	8.50	8.97	1267753	129691440.00
2010/09/14	9.01	9.07	8.80	8.99	875215	90133248.00
2010/09/15	9.04	9.19	8.48	8.65	1264107	129086584.00
2010/09/16	8.73	9.53	8.19	8.30	3889532	206778976.00
2010/09/17	8.38	8.38	7.72	7.95	2191343	106651584.00
2010/09/20	7.99	8.79	7.89	8.79	3097201	157779888.00
2010/09/21	8.92	8.99	8.58	8.68	2057896	109401144.00
2010/09/27	8.75	8.75	8.20	8.55	1719782	88051752.00
2010/09/28	8.51	8.81	8.40	8.65	1703934	89449072.00
2010/09/29	8.58	8.81	8.40	8.42	1465884	76588352.00
2010/09/30	8.42	9.13	8.37	8.92	1993819	106914560.00
2010/10/08	8.92	9.27	8.82	9.00	2052057	112346040.00
2010/10/11	9.00	9.09	8.66	8.87	2207243	118440544.00
2010/10/12	8.85	8.85	8.54	8.72	1787440	93619896.00
2010/10/13	8.84	9.08	8.66	8.84	1313580	70304080.00
2010/10/14	8.75	8.88	8.26	8.42	1857837	96083544.00
2010/10/15	8.40	8.54	7.95	8.11	2421775	121211200.00
2010/10/18	8.12	8.12	7.71	7.84	1441776	68606480.00
2010/10/19	7.84	8.40	7.76	8.25	2208275	108908112.00
2010/10/20	8.14	8.42	8.00	8.26	2088166	103912504.00
2010/10/21	8.31	8.39	8.11	8.28	1702666	85648320.00
2010/10/22	8.28	8.92	8.28	8.81	2295350	120128208.00
2010/10/25	8.92	9.72	8.88	9.48	3377553	190267600.00
2010/10/26	9.43	10.24	9.43	9.84	3766254	225596672.00
2010/10/27	9.82	10.01	9.54	9.92	2275664	134866224.00
2010/10/28	9.86	10.28	9.62	10.00	1745814	105635928.00
2010/10/29	9.96	10.11	9.84	10.06	1445322	86864176.00
2010/11/01	10.07	10.80	10.07	10.62	2219489	141021200.00
2010/11/02	10.36	10.71	9.85	9.91	2364052	147246048.00
2010/11/03	9.77	10.28	9.44	9.79	1869358	110273224.00
2010/11/04	9.78	10.05	9.65	9.98	1147392	68508576.00
2010/11/05	10.14	11.02	10.14	11.02	3168824	205772992.00
2010/11/08	11.02	11.90	11.02	11.74	3057723	210609792.00
2010/11/09	11.74	11.87	11.22	11.65	1868034	128942000.00
2010/11/10	11.62	11.65	11.27	11.39	1607401	109477320.00
2010/11/11	11.30	11.61	11.19	11.23	1376399	93840064.00
2010/11/12	11.17	11.37	10.21	10.47	1969128	128878928.00
2010/11/15	10.43	11.35	10.38	11.32	1677516	109556800.00
2010/11/16	11.30	11.61	10.75	11.06	1763450	118874328.00
2010/11/17	10.80	11.03	10.48	10.49	915787	58719432.00
2010/11/18	10.57	11.00	10.48	10.80	827442	53573936.00
2010/11/19	10.88	11.34	10.83	11.33	1318269	87573664.00
2010/11/22	11.31	12.01	11.18	11.85	2043522	143525344.00
2010/11/23	11.79	11.96	11.35	11.80	1091102	76227368.00
2010/11/24	11.76	12.05	11.48	12.03	932803	66052952.00
2010/11/25	12.04	12.53	11.66	11.70	1456676	104153832.00
2010/11/26	11.70	11.87	11.41	11.68	647977	45012192.00
2010/11/29	11.56	12.05	11.50	12.04	769535	54564288.00
2010/11/30	12.04	12.12	11.35	11.70	803453	56101404.00
2010/12/01	11.53	11.80	11.40	11.58	407908	28125446.00
2010/12/02	11.70	11.92	11.59	11.61	461839	32494840.00
2010/12/03	11.53	11.70	10.83	10.93	1139562	75788488.00
2010/12/06	11.04	11.04	10.40	10.44	854633	54326036.00
2010/12/07	10.44	10.83	10.40	10.72	430447	27634990.00
2010/12/08	10.82	10.89	10.62	10.78	362200	23396214.00
2010/12/09	10.81	11.01	10.68	10.71	450695	29301562.00
2010/12/10	10.71	11.06	10.54	11.02	681834	44589448.00
2010/12/13	11.08	11.66	11.08	11.47	570462	39159424.00
2010/12/14	11.47	11.86	11.36	11.79	773575	54179660.00
2010/12/15	11.80	11.87	11.53	11.55	498921	34741924.00
2010/12/16	11.55	11.65	11.37	11.51	378866	26102002.00
2010/12/17	11.58	11.60	11.41	11.49	241491	16633533.00
2010/12/20	11.66	11.69	11.01	11.40	629055	42829964.00
2010/12/21	11.50	11.50	11.11	11.32	431766	29182438.00
2010/12/22	11.39	11.47	11.27	11.46	315055	21419918.00
2010/12/23	11.44	11.44	11.27	11.28	271924	18457964.00
2010/12/24	11.23	11.23	10.74	10.76	712651	46343124.00
2010/12/27	10.78	10.87	10.31	10.48	423812	27008436.00
2010/12/28	10.41	10.45	9.80	9.96	760646	46104632.00
2010/12/29	10.05	10.43	9.81	10.30	547852	33532644.00
2010/12/30	10.31	10.66	10.24	10.62	322796	20304664.00
2010/12/31	10.61	10.82	10.57	10.79	228895	14757135.00
2011/01/04	11.01	11.01	10.66	10.72	261832	16909706.00
2011/01/05	10.65	10.74	10.21	10.55	890494	55633476.00
2011/01/06	10.48	11.28	10.43	11.01	1466392	96639552.00
2011/01/07	11.01	11.05	10.74	11.04	598046	39216368.00
2011/01/10	10.83	11.01	10.44	10.48	560373	36022172.00
2011/01/11	10.33	10.55	9.91	9.96	888387	53597128.00
