002342 巨力索具 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/26	10.74	10.95	10.48	10.52	22162000	582010432.00
2010/01/27	10.50	10.73	10.12	10.32	9789709	253813840.00
2010/01/28	10.30	10.30	9.86	9.94	6906675	170890768.00
2010/01/29	9.90	10.06	9.75	9.82	4681264	114362008.00
2010/02/01	9.73	9.75	9.40	9.44	4047169	95238312.00
2010/02/02	9.50	9.58	9.38	9.42	2597617	60946736.00
2010/02/03	9.44	9.44	8.82	9.29	3584567	81202760.00
2010/02/04	9.22	9.72	9.16	9.44	3723155	87802464.00
2010/02/05	9.28	9.28	9.01	9.15	2515693	56801944.00
2010/02/08	9.07	9.26	8.99	9.19	1298043	29468556.00
2010/02/09	9.15	9.22	8.95	9.01	1667813	37478072.00
2010/02/10	9.05	9.22	9.00	9.20	1585733	35814204.00
2010/02/11	9.15	9.47	9.15	9.35	1932587	44864292.00
2010/02/12	9.45	9.45	9.24	9.38	1781939	41240288.00
2010/02/22	9.35	9.39	9.24	9.24	1105481	25453866.00
2010/02/23	9.20	9.25	8.91	9.15	1445817	32433600.00
2010/02/24	9.07	9.60	9.04	9.50	2300750	53428160.00
2010/02/25	9.54	9.68	9.46	9.62	2568540	60993996.00
2010/02/26	9.61	9.69	9.45	9.49	2003669	47422012.00
2010/03/01	9.49	9.78	9.47	9.67	2092509	50018524.00
2010/03/02	9.69	9.73	9.55	9.63	1680998	40061552.00
2010/03/03	9.60	9.72	9.60	9.71	2143535	51271412.00
2010/03/04	9.72	9.87	9.45	9.49	2544570	61059204.00
2010/03/05	9.49	9.62	9.41	9.50	1041302	24583408.00
2010/03/08	9.57	9.73	9.54	9.67	1280047	30624376.00
2010/03/09	9.68	9.72	9.57	9.63	1498694	35858500.00
2010/03/10	9.62	9.62	9.45	9.49	1181697	27882824.00
2010/03/11	9.51	9.56	9.32	9.45	984348	22987410.00
2010/03/12	9.47	9.67	9.45	9.54	1546278	36700056.00
2010/03/16	9.54	9.59	9.34	9.45	1012990	23667644.00
2010/03/17	9.48	9.72	9.46	9.68	2212919	52891452.00
2010/03/18	9.76	9.76	9.61	9.68	1253074	30034680.00
2010/03/19	9.72	9.75	9.65	9.70	1130830	27119088.00
2010/03/22	9.74	9.98	9.71	9.89	2712008	66082272.00
2010/03/23	9.89	9.95	9.77	9.80	1481672	35996600.00
2010/03/24	9.81	10.30	9.81	10.22	5416501	135677600.00
2010/03/25	10.20	10.25	9.98	10.02	3581971	73390456.00
2010/03/26	10.02	10.11	9.82	10.07	2407408	48906836.00
2010/03/29	10.09	10.26	9.92	10.08	2750771	56474508.00
2010/03/30	10.07	10.42	9.98	10.41	4780495	99746600.00
2010/03/31	10.46	10.65	10.35	10.62	4597813	98326240.00
2010/04/01	10.66	10.98	10.57	10.70	5496420	120524112.00
2010/04/02	10.60	10.80	10.48	10.56	3945310	85107144.00
2010/04/06	10.63	11.60	10.62	11.45	8785426	200234224.00
2010/04/07	11.32	11.65	11.23	11.48	5304945	123524408.00
2010/04/08	11.42	11.53	11.25	11.32	3535426	81738528.00
2010/04/09	11.32	11.60	11.22	11.27	3641297	83838072.00
2010/04/12	11.32	11.37	10.99	11.19	4607917	104288960.00
2010/04/13	11.19	11.22	10.31	10.51	5050388	109756904.00
2010/04/14	10.47	10.67	10.36	10.52	2016847	43150844.00
2010/04/15	10.52	10.58	10.05	10.19	2433413	51048656.00
2010/04/16	10.13	10.51	10.13	10.43	1493642	31497196.00
2010/04/19	10.43	10.56	10.10	10.11	1702257	35712928.00
2010/04/20	10.10	10.37	9.97	10.36	1532995	31728448.00
2010/04/21	10.45	10.62	10.23	10.58	2143920	45552548.00
2010/04/22	10.51	10.60	10.08	10.42	2434066	51247304.00
2010/04/23	10.32	10.45	10.15	10.18	1827102	38053948.00
2010/04/26	10.10	10.10	9.66	9.75	6883188	137232416.00
2010/04/27	9.67	9.67	8.82	9.35	3436875	65542264.00
2010/04/28	9.17	9.46	9.08	9.23	1948072	36807632.00
2010/04/29	9.45	9.54	9.12	9.14	1985528	37935200.00
2010/04/30	9.07	9.14	8.71	8.90	3057182	55139136.00
2010/05/04	8.72	8.89	8.64	8.67	1706265	30423632.00
2010/05/05	8.56	8.97	8.56	8.91	1454754	26186662.00
2010/05/06	8.92	9.22	8.77	8.80	2417070	44353412.00
2010/05/07	8.67	8.92	8.53	8.63	1832714	32604396.00
2010/05/10	8.65	8.85	8.34	8.57	1436874	25063638.00
2010/05/11	8.75	8.85	8.47	8.59	1394947	24658914.00
2010/05/12	8.57	9.02	8.54	8.85	2736179	48892000.00
2010/05/13	8.87	9.09	8.57	9.02	2778890	50191048.00
2010/05/14	9.02	9.11	8.85	9.08	2682412	49105916.00
2010/05/17	8.97	8.98	8.47	8.50	1933531	34400624.00
2010/05/18	8.49	8.62	8.07	8.45	1878834	31852226.00
2010/05/19	8.32	8.48	8.07	8.28	1776410	30130248.00
2010/05/20	8.13	8.39	8.10	8.20	2286263	38400968.00
2010/05/21	8.05	8.24	7.87	8.24	2171022	35835744.00
2010/05/24	8.25	8.71	8.25	8.61	3592667	62926844.00
2010/05/25	8.60	8.70	8.42	8.46	1859113	32483678.00
2010/05/26	8.38	8.60	8.38	8.47	928922	16115029.00
2010/05/27	8.46	8.67	8.33	8.63	1701602	29745224.00
2010/05/28	8.72	8.96	8.65	8.86	3019131	54395320.00
2010/05/31	8.82	8.95	8.67	8.69	2037906	36781772.00
2010/06/01	8.61	8.72	8.22	8.32	1705923	29427384.00
2010/06/02	8.23	8.38	8.16	8.38	1132617	19176834.00
2010/06/03	8.43	8.49	8.23	8.23	1385274	23737726.00
2010/06/04	8.17	8.32	8.09	8.30	792210	13337740.00
2010/06/07	8.08	8.40	8.01	8.34	1380257	23219332.00
2010/06/08	8.32	8.49	8.23	8.47	1623225	27863954.00
2010/06/09	8.58	8.67	8.47	8.65	2704650	47316004.00
2010/06/10	8.66	8.80	8.58	8.61	1791658	31825844.00
2010/06/11	8.61	8.81	8.58	8.72	2046945	36284032.00
2010/06/17	8.78	8.87	8.51	8.55	1368713	24277054.00
2010/06/18	8.53	8.55	8.08	8.13	1307198	22119706.00
2010/06/21	8.05	8.40	8.05	8.38	1549737	26081596.00
2010/06/22	8.32	8.42	8.30	8.35	1103138	18832748.00
2010/06/23	8.31	8.36	8.07	8.20	1127740	18955230.00
2010/06/24	8.16	8.32	8.16	8.23	718020	12085275.00
2010/06/25	8.23	8.23	7.98	8.07	1424917	23530884.00
2010/06/28	8.08	8.10	7.90	7.91	1044438	17077642.00
2010/06/29	7.93	8.00	7.47	7.49	1791024	28005666.00
2010/06/30	7.33	7.40	7.07	7.26	1448257	21367380.00
2010/07/01	7.25	7.31	7.05	7.06	1038724	15233168.00
2010/07/02	7.08	7.10	6.68	7.09	1214419	17238724.00
2010/07/05	7.00	7.06	6.85	7.00	663931	9479145.00
2010/07/06	7.04	7.17	6.97	7.17	1378056	20087458.00
2010/07/07	7.19	7.21	7.05	7.17	892094	13033835.00
2010/07/08	7.22	7.27	7.07	7.12	757702	11126505.00
2010/07/09	7.15	7.37	7.04	7.35	1868345	27773680.00
2010/07/12	7.35	7.52	7.33	7.46	1510785	23037480.00
2010/07/13	7.32	7.36	7.17	7.25	1156739	17235498.00
2010/07/14	7.26	7.41	7.22	7.22	1239060	18540094.00
2010/07/15	7.20	7.27	7.07	7.09	1186925	17439890.00
2010/07/16	7.08	7.21	7.00	7.17	770709	11216834.00
2010/07/19	7.05	7.33	7.01	7.31	1021710	15149459.00
2010/07/20	7.32	7.57	7.29	7.53	1900365	28996530.00
2010/07/21	7.59	7.72	7.53	7.55	2684055	41891064.00
2010/07/22	7.55	7.63	7.48	7.61	1570418	24345134.00
2010/07/23	7.61	7.65	7.50	7.57	1337516	20690734.00
2010/07/26	7.56	7.72	7.52	7.69	1608061	25077254.00
2010/07/27	7.67	7.91	7.59	7.80	2126278	33675908.00
2010/07/28	7.80	7.91	7.69	7.90	2255036	36122728.00
2010/07/29	7.87	7.95	7.78	7.88	2734864	43904580.00
2010/07/30	7.84	7.89	7.75	7.83	1637445	26170106.00
2010/08/02	7.82	7.95	7.80	7.93	1905943	30824820.00
2010/08/03	7.96	7.99	7.75	7.75	2197819	35336160.00
2010/08/04	7.70	7.77	7.62	7.76	1676793	26350198.00
2010/08/05	7.76	8.07	7.76	7.94	3112373	50537688.00
2010/08/06	8.00	8.15	7.88	8.13	3035123	49823064.00
2010/08/09	8.20	8.38	8.17	8.33	3317881	56243848.00
2010/08/10	8.36	8.45	8.03	8.03	3155614	53207608.00
2010/08/11	7.97	8.19	7.97	8.06	1639403	26987806.00
2010/08/12	7.96	8.06	7.83	7.85	1950965	31630198.00
2010/08/13	7.85	8.10	7.83	8.10	1580119	25783900.00
2010/08/16	8.41	8.93	8.41	8.82	7967991	141071216.00
2010/08/17	8.82	8.90	8.68	8.76	4201511	74977496.00
2010/08/18	8.72	8.72	8.54	8.67	2871743	50641068.00
2010/08/19	8.61	8.90	8.61	8.82	3029967	54387056.00
2010/08/20	8.71	8.80	8.49	8.50	2506302	44040128.00
2010/08/23	8.59	8.68	8.50	8.56	1474297	25787834.00
2010/08/24	8.57	8.67	8.45	8.62	1355085	23686488.00
2010/08/25	8.57	8.97	8.51	8.62	2804906	50135204.00
2010/08/26	8.57	8.71	8.50	8.66	1698210	29770876.00
2010/08/27	8.66	8.71	8.55	8.69	1250310	22062470.00
2010/08/30	8.79	8.90	8.71	8.79	2779894	49843756.00
2010/08/31	8.72	8.76	8.55	8.70	2013116	35657632.00
2010/09/01	8.71	8.86	8.37	8.46	2778826	48915472.00
2010/09/02	8.56	8.62	8.38	8.58	2172446	37761652.00
2010/09/03	8.58	8.86	8.58	8.82	3431403	61460936.00
2010/09/06	8.90	9.01	8.64	8.83	2930684	52789240.00
2010/09/07	8.99	8.99	8.77	8.91	2413015	43643220.00
2010/09/08	8.93	9.33	8.78	9.33	5997468	112236088.00
2010/09/09	9.41	9.49	9.12	9.20	5020875	94980592.00
2010/09/10	9.26	9.31	8.87	9.18	3327954	61970288.00
2010/09/13	9.27	9.37	9.15	9.37	2617851	49283912.00
2010/09/14	9.37	9.46	9.23	9.29	1343913	25537798.00
2010/09/15	9.28	9.36	8.95	8.96	1907829	35387104.00
2010/09/16	8.89	9.10	8.62	8.69	2116271	37770324.00
2010/09/17	8.96	8.96	8.69	8.70	1037621	18544086.00
2010/09/20	8.90	8.96	8.47	8.51	1607548	28466302.00
2010/09/21	8.48	8.55	8.25	8.29	1399316	23829888.00
2010/09/27	8.35	8.49	8.30	8.43	1118082	19156214.00
2010/09/28	8.43	8.51	8.26	8.30	776967	13308854.00
2010/09/29	8.32	8.40	8.16	8.22	731063	12357781.00
2010/09/30	8.16	8.32	8.14	8.30	775511	13091838.00
2010/10/08	8.36	8.55	8.35	8.52	895615	15536174.00
2010/10/11	8.52	8.71	8.44	8.62	1262089	22190922.00
2010/10/12	8.61	8.67	8.49	8.56	1432175	25041712.00
2010/10/13	8.52	8.64	8.33	8.41	1655237	28505346.00
2010/10/14	8.45	8.48	7.98	8.02	2709778	45618072.00
2010/10/15	8.00	8.57	8.00	8.57	2374401	40234432.00
2010/10/18	8.67	8.95	8.60	8.77	6304491	113603824.00
2010/10/19	8.67	8.93	8.48	8.86	2586217	46141944.00
2010/10/20	8.71	8.80	8.52	8.64	2770862	49067096.00
2010/10/21	8.62	8.76	8.58	8.74	1466161	25907418.00
2010/10/22	8.72	8.82	8.63	8.66	1426743	25283542.00
2010/10/25	8.68	8.76	8.53	8.73	2790820	49427696.00
2010/10/26	8.76	8.81	8.60	8.67	1911555	33829436.00
2010/10/27	8.60	8.87	8.60	8.79	2757753	49343960.00
2010/10/28	8.80	9.05	8.71	9.05	4320854	78385688.00
2010/10/29	9.09	9.09	8.82	8.91	2727074	49687880.00
2010/11/01	8.91	9.05	8.83	9.02	3087086	56206816.00
2010/11/02	9.01	9.01	8.81	8.81	2987437	54176532.00
2010/11/03	8.72	8.78	8.60	8.60	1803959	31999762.00
2010/11/04	8.67	8.73	8.60	8.73	1338462	23672376.00
2010/11/05	8.77	8.80	8.69	8.73	1895410	33763836.00
2010/11/08	8.71	9.36	8.71	9.26	6926880	129070976.00
2010/11/09	9.33	9.67	9.12	9.57	8471280	163226944.00
2010/11/10	9.75	10.55	9.75	10.23	10435721	216811632.00
2010/11/11	10.06	10.28	9.74	9.75	5377256	109362072.00
2010/11/12	9.78	10.00	9.09	9.11	5512899	107112088.00
2010/11/15	9.27	9.47	9.16	9.47	3054105	58099748.00
2010/11/16	9.52	9.81	9.17	9.26	5444790	105349888.00
2010/11/17	9.12	9.30	8.74	8.80	2794670	51333572.00
2010/11/18	8.89	9.02	8.72	8.95	1624549	29470622.00
2010/11/19	9.07	9.30	8.91	9.25	2356148	43686236.00
2010/11/22	9.24	9.57	9.16	9.47	2902120	55653420.00
2010/11/23	9.30	9.57	9.23	9.37	2377826	45409972.00
2010/11/24	9.32	9.61	9.30	9.61	2355055	45557388.00
2010/11/25	9.67	9.75	9.42	9.45	3071431	59536412.00
2010/11/26	9.38	9.55	9.22	9.32	1772160	33908408.00
2010/11/29	9.32	9.45	9.25	9.41	1503042	28661478.00
2010/11/30	9.32	9.42	8.85	9.01	1787293	33161136.00
2010/12/01	9.01	9.15	8.91	9.02	1053089	19345000.00
2010/12/03	9.15	9.16	8.82	8.95	1817106	33150796.00
2010/12/06	8.97	9.05	8.75	8.78	930813	16822218.00
2010/12/07	8.77	8.95	8.62	8.93	967052	17304006.00
2010/12/08	8.96	9.01	8.88	8.88	862059	15681130.00
2010/12/09	8.81	8.83	8.61	8.61	1443138	25604126.00
2010/12/10	8.58	8.68	8.50	8.66	1356571	23740264.00
2010/12/13	8.69	8.95	8.67	8.95	1559075	28118388.00
2010/12/14	9.36	9.86	9.36	9.86	11547511	230544592.00
2010/12/15	9.77	9.94	9.58	9.63	5615903	111418784.00
2010/12/16	9.63	9.85	9.59	9.66	2643402	52238856.00
2010/12/17	9.66	9.74	9.49	9.59	2447273	47626672.00
2010/12/20	9.55	9.71	9.22	9.40	2475444	47561168.00
2010/12/21	9.42	9.65	9.32	9.60	2160063	42007908.00
2010/12/22	9.59	9.68	9.41	9.49	1291548	25133770.00
2010/12/23	9.49	9.97	9.42	9.82	5411068	107379952.00
2010/12/24	9.78	9.78	9.25	9.27	4122343	79681696.00
2010/12/27	9.00	9.46	8.66	8.71	2750443	50946012.00
2010/12/28	8.80	9.02	8.73	8.83	2772546	50428396.00
2010/12/29	8.83	8.96	8.82	8.95	841209	15271963.00
2010/12/30	8.97	8.97	8.78	8.92	1220274	22094308.00
2010/12/31	8.97	9.01	8.84	8.96	1551781	28247556.00
2011/01/04	9.02	9.17	8.93	9.17	1870764	34623548.00
2011/01/05	9.12	9.55	9.07	9.43	3094264	59255512.00
2011/01/06	9.35	9.46	9.22	9.28	1747241	33086614.00
2011/01/07	9.26	9.35	9.07	9.07	1500146	28174124.00
2011/01/10	9.08	9.11	8.83	8.93	1419252	25936744.00
2011/01/11	8.93	9.46	8.82	9.31	3005374	56849608.00
2011/01/12	9.39	9.42	9.08	9.22	1371995	25973732.00
2011/01/13	9.25	9.25	8.93	9.07	1306776	24216652.00
2011/01/14	9.05	9.32	8.98	9.04	1870814	34946868.00
2011/01/17	8.97	8.98	8.40	8.40	2040755	36116632.00
2011/01/18	8.33	8.51	8.32	8.39	769164	13215304.00
2011/01/19	8.41	8.60	8.41	8.58	858671	14930066.00
2011/01/20	8.60	8.60	8.17	8.21	1189825	20405302.00
2011/01/21	8.21	8.37	8.12	8.21	786051	13262402.00
2011/01/24	8.21	8.35	8.12	8.26	604069	10183192.00
