002361 神剑股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/03	2.86	3.45	2.86	3.27	13675979	361566176.00
2010/03/04	3.08	3.62	3.06	3.49	10624488	296955136.00
2010/03/05	3.31	3.42	3.23	3.26	6168679	177428176.00
2010/03/08	3.23	3.24	3.09	3.11	3837607	104682800.00
2010/03/09	3.10	3.18	3.04	3.15	2813689	76540464.00
2010/03/10	3.12	3.23	3.07	3.18	3691043	101208272.00
2010/03/11	3.14	3.47	3.04	3.30	5194930	146455472.00
2010/03/12	3.24	3.42	3.23	3.28	5116760	147703312.00
2010/03/15	3.28	3.49	3.25	3.48	4534388	133421904.00
2010/03/16	3.49	3.68	3.39	3.68	6101521	184955600.00
2010/03/17	3.62	3.65	3.54	3.58	5177778	159525184.00
2010/03/18	3.54	3.57	3.44	3.44	4020506	121295448.00
2010/03/19	3.43	3.51	3.42	3.47	2724739	81197376.00
2010/03/22	3.44	3.45	3.38	3.42	2416726	71065544.00
2010/03/23	3.42	3.45	3.31	3.34	2047073	59607308.00
2010/03/24	3.31	3.49	3.31	3.44	2727670	80542720.00
2010/03/25	3.43	3.59	3.41	3.52	4354089	131764856.00
2010/03/26	3.52	3.52	3.31	3.37	2248638	65670548.00
2010/03/29	3.37	3.39	3.26	3.33	1879708	53937664.00
2010/03/30	3.34	3.48	3.31	3.48	2390968	70482248.00
2010/03/31	3.47	3.56	3.45	3.48	3153255	95377040.00
2010/04/01	3.49	3.76	3.46	3.67	4672086	146163584.00
2010/04/02	3.61	3.63	3.52	3.56	2520754	77391712.00
2010/04/06	3.56	3.94	3.55	3.85	4258872	136584992.00
2010/04/07	3.84	3.92	3.76	3.90	3412674	112810408.00
2010/04/08	3.89	3.90	3.68	3.68	2899594	94157856.00
2010/04/09	3.67	3.73	3.64	3.71	2131232	67297536.00
2010/04/12	3.70	3.84	3.68	3.82	2136542	68989760.00
2010/04/13	3.80	3.81	3.41	3.46	3400931	104186664.00
2010/04/14	3.42	3.52	3.36	3.44	1439259	42806980.00
2010/04/15	3.46	3.47	3.23	3.27	2017099	57895556.00
