002372 伟星新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/18	2.90	3.25	2.90	3.24	40130379	956147200.00
2010/03/19	3.06	3.44	3.02	3.32	28586085	711690752.00
2010/03/22	3.64	3.84	3.49	3.67	24056817	643054784.00
2010/03/23	3.58	3.70	3.55	3.61	13247597	353816256.00
2010/03/24	3.67	3.99	3.64	3.78	17039367	467970432.00
2010/03/25	3.71	3.97	3.63	3.83	13877840	379419840.00
2010/03/26	3.68	3.73	3.48	3.60	9169962	244304704.00
2010/03/29	3.60	3.74	3.49	3.65	6952933	185363504.00
2010/03/30	3.63	3.83	3.58	3.80	8980574	244465520.00
2010/03/31	3.76	3.94	3.73	3.87	9232543	256217808.00
2010/04/01	3.83	4.30	3.79	3.97	14048373	403809824.00
2010/04/02	3.89	4.14	3.84	4.05	9427834	268673024.00
2010/04/06	4.07	4.30	4.04	4.28	9131802	268760224.00
2010/04/07	4.27	4.37	4.16	4.28	9350780	278577024.00
2010/04/08	4.25	4.25	3.91	3.92	11807497	340331008.00
2010/04/09	3.91	4.00	3.81	3.99	5874732	165208608.00
2010/04/12	3.97	3.97	3.82	3.88	6762879	189175952.00
2010/04/13	3.85	3.94	3.30	3.50	9754889	258709936.00
2010/04/14	3.43	3.56	3.37	3.48	3614162	94045304.00
2010/04/15	3.48	3.55	3.24	3.30	4703731	120138864.00
2010/04/16	3.30	3.44	3.27	3.36	2639775	67264256.00
2010/04/19	3.31	3.48	3.29	3.39	5023827	128902016.00
2010/04/20	3.35	3.41	3.16	3.34	3029013	75523512.00
2010/04/21	3.33	3.60	3.30	3.54	4704424	122012744.00
2010/04/22	3.51	3.60	3.45	3.50	3680585	96362688.00
2010/04/23	3.46	3.53	3.35	3.38	2771429	71517984.00
2010/04/26	3.35	3.41	3.27	3.28	2296643	57837000.00
2010/04/27	3.25	3.25	2.86	2.94	3535664	84122080.00
2010/04/28	2.86	2.93	2.73	2.84	2686892	61507976.00
