002380 科远股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/31	22.68	25.85	22.25	25.10	11479393	829677632.00
2010/04/01	24.18	26.71	24.02	25.26	8265174	647192128.00
2010/04/02	24.41	25.18	24.29	24.45	4078030	312110976.00
2010/04/06	24.45	24.78	22.68	24.72	2632613	196843936.00
2010/04/07	24.44	27.27	24.35	26.75	4336762	349999264.00
2010/04/08	26.52	26.85	25.01	25.25	3516871	282685824.00
2010/04/09	25.02	26.34	24.92	25.85	2983370	238365792.00
2010/04/12	25.78	26.35	25.58	26.18	1990846	160510640.00
2010/04/13	26.28	26.28	23.48	25.18	2859855	217942384.00
2010/04/14	24.85	24.85	22.92	23.52	1542952	112811000.00
2010/04/15	23.18	23.43	21.18	21.74	1686064	116024616.00
2010/04/16	21.68	21.84	20.42	21.38	913475	60126696.00
2010/04/19	20.85	21.98	20.64	20.85	859839	57105384.00
2010/04/20	20.87	21.34	19.95	20.78	745355	47531832.00
2010/04/21	20.25	21.30	20.25	21.22	929462	61030400.00
2010/04/22	21.35	21.91	21.05	21.58	1036288	69432472.00
2010/04/23	21.45	21.79	20.45	20.71	838639	54868328.00
2010/04/26	20.72	20.85	19.97	20.09	639963	40435712.00
2010/04/27	20.09	20.09	18.00	18.17	1808202	103349552.00
2010/04/28	18.03	18.43	17.54	18.23	732010	41411752.00
2010/04/29	18.35	18.50	17.39	17.48	526356	29735266.00
2010/04/30	17.18	17.52	16.52	17.48	748926	40041620.00
2010/05/04	17.04	17.72	16.77	17.69	503138	27687496.00
2010/05/05	17.35	18.85	17.35	18.72	772320	43997692.00
2010/05/06	18.40	18.72	17.38	17.73	712269	40543200.00
2010/05/07	17.18	17.85	16.85	17.32	474759	25958484.00
2010/05/10	17.37	17.56	15.92	16.32	451738	23570680.00
2010/05/11	16.55	17.01	15.02	15.15	587508	29810576.00
2010/05/12	15.03	15.45	14.60	15.42	545874	26063392.00
2010/05/13	15.38	15.66	14.78	15.62	428668	20674864.00
2010/05/14	15.52	15.68	15.28	15.48	433885	21158478.00
2010/05/17	15.19	15.34	14.38	14.39	490615	23014970.00
2010/05/18	14.35	15.15	14.22	14.98	649949	30358832.00
2010/05/19	14.92	15.52	14.72	15.35	765098	36612532.00
2010/05/20	15.04	15.41	14.64	14.67	447673	21258746.00
2010/05/24	15.30	16.22	15.19	16.22	1266084	63263592.00
2010/05/25	15.79	16.28	15.75	15.88	853203	42932968.00
2010/05/26	15.92	16.43	15.81	15.91	598592	30380178.00
2010/05/27	15.94	16.40	15.44	16.31	713255	35977852.00
2010/05/28	16.50	16.66	15.95	16.07	638891	32666108.00
2010/05/31	16.07	16.12	15.20	15.23	374444	18591368.00
2010/06/01	15.04	15.30	14.41	14.62	461173	21639066.00
2010/06/02	14.62	14.98	14.48	14.98	393010	18345138.00
2010/06/03	14.99	16.13	14.81	15.38	737523	36177824.00
2010/06/04	15.22	15.85	15.22	15.85	476793	23558754.00
2010/06/07	15.42	16.38	15.22	16.18	773497	39064580.00
2010/06/08	16.19	16.42	15.80	16.02	598246	30334216.00
2010/06/09	16.15	16.68	16.09	16.53	753790	38998268.00
2010/06/10	16.49	16.81	16.37	16.64	532518	27843596.00
2010/06/11	16.63	16.78	16.19	16.34	611243	31646834.00
2010/06/17	16.38	16.72	15.85	15.95	546351	28262324.00
2010/06/18	15.85	16.02	14.52	14.79	433986	20971622.00
2010/06/21	14.82	15.55	14.38	15.51	351676	16725561.00
2010/06/22	15.45	15.80	15.35	15.66	363768	17888804.00
2010/06/23	15.45	16.12	15.35	15.70	428767	21294080.00
2010/06/24	15.74	16.02	15.45	15.94	299702	14979144.00
2010/06/25	15.72	16.76	15.72	16.62	996997	51175556.00
2010/06/28	16.60	16.75	15.79	15.81	759384	38960224.00
2010/06/29	15.53	15.85	14.51	14.52	742881	34951936.00
2010/06/30	14.35	14.81	14.20	14.56	457624	21011388.00
2010/07/01	14.18	14.18	13.07	13.68	3243235	140376832.00
2010/07/02	13.41	13.81	12.76	13.68	1714009	72725728.00
2010/07/05	13.14	13.58	13.12	13.33	741490	31571334.00
2010/07/06	13.32	13.85	13.20	13.78	741050	32219910.00
2010/07/07	13.85	14.60	13.74	14.52	1693940	76912368.00
2010/07/08	14.62	14.62	14.04	14.25	1045195	47326004.00
2010/07/09	14.27	14.82	14.27	14.66	1014757	47043272.00
2010/07/12	14.62	14.75	14.47	14.64	881862	40781508.00
2010/07/13	14.60	14.60	13.85	13.97	896924	40256356.00
2010/07/14	13.97	14.27	13.84	13.94	654868	29171466.00
2010/07/15	13.94	14.35	13.86	13.86	587273	26269394.00
2010/07/16	13.85	13.85	13.19	13.63	554544	23706968.00
2010/07/19	13.25	13.92	13.25	13.88	440776	19239908.00
2010/07/20	13.85	14.33	13.71	14.31	634236	28517748.00
2010/07/21	14.41	14.87	14.27	14.52	1050386	48701120.00
2010/07/22	14.45	14.86	14.42	14.79	746175	34818264.00
2010/07/23	14.80	14.85	14.42	14.85	1087612	50267216.00
2010/07/26	14.82	14.95	14.62	14.86	961986	45103540.00
2010/07/27	14.87	15.12	14.68	14.85	894830	42307212.00
2010/07/28	14.71	15.02	14.45	15.02	840813	39575876.00
2010/07/29	15.03	15.15	14.88	15.07	849876	40404532.00
2010/07/30	15.07	15.21	14.94	15.14	804788	38400140.00
2010/08/02	15.13	15.68	14.91	15.61	1535993	74056424.00
2010/08/03	15.60	16.02	15.38	15.51	1363428	67244656.00
2010/08/04	15.51	16.36	15.37	16.32	1829429	91748000.00
2010/08/05	16.27	16.68	16.13	16.27	1611934	83548856.00
2010/08/06	16.22	16.52	15.98	16.48	775799	39793844.00
2010/08/09	16.67	16.67	16.36	16.61	915580	47492596.00
2010/08/10	16.55	17.05	15.85	15.85	1103458	57258956.00
2010/08/11	15.68	16.04	15.47	15.68	1223375	60557680.00
2010/08/12	15.61	16.02	15.47	15.72	903543	44951812.00
2010/08/13	15.63	16.34	15.63	16.24	789342	39860920.00
2010/08/16	16.23	16.67	16.11	16.52	836835	43241512.00
2010/08/17	16.64	16.65	16.36	16.44	715494	37141876.00
2010/08/19	16.68	16.68	15.82	16.01	1458258	73977992.00
2010/08/20	15.85	16.13	15.57	15.57	778576	38862940.00
2010/08/23	15.54	15.75	15.00	15.03	2175616	104719448.00
2010/08/24	15.05	15.25	14.68	15.24	942284	44883392.00
2010/08/25	15.10	15.23	14.52	14.64	1097754	51650028.00
2010/08/26	14.67	15.35	14.66	15.28	1201629	57425500.00
2010/08/27	15.15	15.52	15.14	15.42	1002594	48724996.00
2010/08/30	15.44	15.80	15.44	15.72	975937	48217520.00
2010/08/31	15.57	16.34	15.56	16.15	1300422	65624312.00
2010/09/01	16.15	16.42	15.54	15.86	1154735	57853944.00
2010/09/02	16.02	16.34	15.79	16.23	1224017	62379568.00
2010/09/03	16.35	17.75	16.18	16.88	3096563	165396576.00
2010/09/06	17.23	17.52	16.65	16.99	2164842	116597448.00
2010/09/07	17.02	17.25	16.52	16.89	1477002	77963784.00
2010/09/08	16.85	17.48	16.62	17.39	1409597	75960536.00
2010/09/09	17.24	17.48	16.52	16.58	1487004	78347472.00
2010/09/10	16.52	16.68	16.19	16.51	947752	48479468.00
2010/09/13	16.51	16.84	16.48	16.72	743634	38711828.00
2010/09/14	16.88	17.05	16.58	16.60	900425	47015776.00
2010/09/15	16.62	16.77	15.77	15.84	958844	48638700.00
2010/09/16	15.82	15.94	15.27	15.45	803979	38961340.00
2010/09/17	15.69	15.69	15.37	15.46	400914	19446890.00
2010/09/20	15.22	15.61	15.22	15.25	365864	17583830.00
2010/09/21	15.27	15.43	15.01	15.02	389010	18520204.00
2010/09/27	15.06	15.45	15.06	15.38	309651	14789907.00
2010/09/28	15.40	15.67	15.15	15.28	368079	17731200.00
2010/09/29	15.35	15.37	14.68	14.72	540990	25316720.00
2010/09/30	14.71	15.08	14.55	14.98	434278	20172928.00
2010/10/08	15.14	15.50	14.95	15.36	517096	24699990.00
2010/10/11	15.38	15.68	15.28	15.44	599485	28958596.00
2010/10/12	15.44	15.63	15.31	15.40	549878	26511910.00
2010/10/13	15.40	15.42	14.94	15.08	897311	42429496.00
2010/10/14	15.13	15.21	14.59	14.70	870670	40566276.00
2010/10/15	14.68	14.88	14.32	14.35	818003	37360500.00
2010/10/18	14.32	14.68	13.72	14.63	782029	34529876.00
2010/10/19	14.55	15.35	14.35	15.29	959669	45375860.00
2010/10/20	15.03	15.44	15.02	15.17	751105	35743596.00
2010/10/21	15.17	15.43	15.08	15.35	618951	29622546.00
2010/10/22	15.40	15.61	15.31	15.52	681869	32978352.00
2010/10/25	15.57	15.94	15.49	15.89	886747	43782832.00
2010/10/26	15.68	15.69	15.15	15.24	1524028	72964880.00
2010/10/27	15.09	15.31	14.85	14.88	937579	44328444.00
2010/10/28	14.81	15.01	14.78	14.91	531792	24860372.00
2010/10/29	14.90	15.31	14.90	15.26	690071	32696922.00
2010/11/01	15.78	15.78	15.25	15.48	996736	48408588.00
2010/11/02	15.48	15.78	15.31	15.44	1107804	54003016.00
2010/11/03	15.35	15.35	14.96	14.97	762776	36091920.00
2010/11/04	14.95	15.12	14.88	15.05	929815	43630484.00
2010/11/05	15.02	15.56	15.02	15.50	1052971	50377064.00
2010/11/08	15.38	16.05	15.37	16.05	1874814	92509456.00
2010/11/09	16.05	16.27	15.82	16.12	1310391	65553184.00
2010/11/10	16.10	16.61	16.10	16.35	1459264	74668360.00
2010/11/11	16.32	16.72	16.02	16.07	1660156	85036280.00
2010/11/12	16.01	16.12	15.18	15.18	1395404	68262192.00
2010/11/15	15.20	16.77	15.16	16.77	2345097	118721136.00
2010/11/16	16.91	18.38	16.91	17.47	5022055	274895680.00
2010/11/17	17.35	18.58	17.20	17.75	3177900	176666512.00
2010/11/18	17.97	18.28	17.24	18.12	2240415	123708232.00
2010/11/19	18.12	19.01	17.92	18.85	2956440	171089568.00
2010/11/22	18.75	19.35	18.36	18.57	2608144	152615136.00
2010/11/23	18.35	18.94	17.75	18.94	1999141	113426664.00
2010/11/24	18.56	19.10	18.54	18.75	1857815	108050984.00
2010/11/25	18.75	19.08	18.02	18.12	1821014	103674344.00
2010/11/26	18.12	18.44	17.92	18.17	953910	54025712.00
2010/11/29	18.17	18.83	18.13	18.51	1452876	83821584.00
2010/11/30	18.51	18.61	16.92	17.47	2056000	112375912.00
2010/12/01	17.35	17.50	17.02	17.28	701694	37833276.00
2010/12/02	17.58	17.92	17.39	17.62	1000501	55038696.00
2010/12/03	17.64	17.68	17.05	17.38	625586	33724628.00
2010/12/06	17.52	17.52	16.78	16.90	607563	32114744.00
2010/12/07	16.85	17.34	16.77	17.33	540101	28762332.00
2010/12/08	17.38	17.50	17.02	17.21	470484	25212490.00
2010/12/09	17.04	17.48	17.02	17.21	514177	27709154.00
2010/12/10	17.05	17.51	16.90	17.43	490183	26438094.00
2010/12/13	17.48	18.09	17.47	17.99	762570	42482564.00
2010/12/14	18.00	18.00	17.73	17.94	651526	36158196.00
2010/12/15	18.03	18.34	17.76	17.79	673016	37861292.00
2010/12/16	17.70	18.14	17.70	17.83	553982	30874576.00
2010/12/17	17.83	18.07	17.76	18.05	406696	22582616.00
2010/12/20	18.06	18.25	17.09	17.44	828058	45148064.00
2010/12/21	17.48	17.62	17.20	17.46	489951	26468748.00
2010/12/22	17.48	17.62	17.20	17.27	343578	18527476.00
2010/12/23	17.10	17.29	16.62	16.66	547902	28856130.00
2010/12/24	16.59	16.65	15.35	15.58	1537978	76340912.00
2010/12/27	15.54	15.89	15.02	15.08	753887	36574144.00
2010/12/28	15.05	15.28	14.98	15.12	414570	19615770.00
2010/12/29	15.12	15.61	15.12	15.61	350112	16777436.00
2010/12/30	15.52	15.69	15.42	15.58	278460	13566653.00
2010/12/31	15.58	15.95	15.49	15.76	282745	13929774.00
2011/01/04	15.80	15.95	15.71	15.86	400117	19814220.00
2011/01/05	15.86	15.86	15.72	15.77	339061	16688380.00
2011/01/06	15.85	16.52	15.85	16.15	762081	38689096.00
2011/01/07	16.03	16.16	15.62	15.68	483538	23948092.00
2011/01/10	15.45	15.66	15.35	15.35	358174	17358546.00
2011/01/11	15.33	15.33	14.92	15.04	297510	14020718.00
2011/01/12	15.02	15.31	14.98	15.27	208566	9891851.00
2011/01/13	15.32	15.68	15.31	15.62	269029	13035969.00
2011/01/14	15.62	15.63	15.08	15.08	299446	14263790.00
2011/01/17	15.03	15.03	14.36	14.38	327930	15046389.00
2011/01/18	14.38	14.52	14.36	14.50	146899	6660086.00
2011/01/19	14.52	14.83	14.52	14.76	174988	8062747.00
2011/01/20	14.71	14.80	14.28	14.35	255170	11628408.00
2011/01/21	14.28	14.62	14.28	14.49	193840	8780392.00
2011/01/24	14.54	14.74	14.38	14.38	199871	9110250.00
2011/01/25	14.38	14.47	13.91	14.02	233215	10263792.00
2011/01/26	14.02	14.28	13.93	14.25	104057	4634406.50
2011/01/27	14.25	14.50	14.12	14.47	199304	8996380.00
2011/01/28	14.36	14.64	14.36	14.57	123474	5619915.50
2011/01/31	14.54	14.62	14.35	14.58	187033	8532730.00
2011/02/01	14.68	14.78	14.54	14.72	351174	16101480.00
2011/02/09	14.55	14.77	14.35	14.45	193669	8838791.00
2011/02/10	14.37	14.98	14.37	14.95	278943	12858411.00
2011/02/11	14.83	15.08	14.83	15.03	296779	13929122.00
2011/02/14	15.21	15.22	14.96	15.19	693129	32701766.00
2011/02/15	15.18	15.26	14.99	15.03	466388	22046812.00
2011/02/16	15.03	15.28	14.95	15.28	368720	17463702.00
2011/02/17	15.19	15.45	15.16	15.24	392360	18711452.00
2011/02/18	15.19	15.22	14.97	14.99	397452	18708986.00
2011/02/21	14.99	15.35	14.79	15.28	322140	15217291.00
2011/02/22	15.28	15.28	14.81	14.81	428057	20086552.00
2011/02/23	14.81	15.04	14.79	15.00	228257	10654870.00
2011/02/24	15.00	15.08	14.88	15.01	393268	18426288.00
2011/02/25	14.84	14.84	14.42	14.60	1105368	50411980.00
2011/02/28	14.56	14.91	14.42	14.76	563154	25755352.00
2011/03/01	14.85	14.90	14.72	14.77	584975	27110522.00
2011/03/02	14.69	14.69	14.51	14.58	520389	23751902.00
2011/03/03	14.57	14.70	14.37	14.37	507386	23098350.00
2011/03/04	14.44	14.59	14.38	14.59	246210	11183643.00
2011/03/07	14.65	14.84	14.60	14.80	539065	24942380.00
2011/03/08	14.79	14.85	14.68	14.83	299141	13823214.00
2011/03/09	14.85	14.90	14.68	14.77	321549	14857320.00
2011/03/10	14.76	14.94	14.65	14.83	458579	21293504.00
2011/03/11	14.69	15.24	14.69	15.00	835542	39374408.00
2011/03/14	15.00	15.34	15.00	15.27	672632	32037418.00
2011/03/15	15.27	15.34	14.82	15.28	780986	36959152.00
2011/03/16	15.28	15.51	15.28	15.43	667670	32234552.00
2011/03/17	15.50	15.50	15.00	15.10	571566	27197902.00
2011/03/18	15.25	15.64	15.10	15.64	815599	39240220.00
2011/03/21	15.02	15.02	14.52	14.55	1356335	62437392.00
2011/03/22	14.42	14.52	14.25	14.50	767465	34512172.00
2011/03/23	14.34	14.51	14.27	14.38	406617	18405788.00
2011/03/24	14.43	14.54	14.41	14.44	368048	16688006.00
2011/03/25	14.45	14.55	14.37	14.47	350885	15892900.00
2011/03/28	14.47	14.52	14.08	14.10	741203	33122836.00
2011/03/29	14.12	14.18	13.75	13.77	608704	26597216.00
2011/03/30	13.78	13.88	13.52	13.63	281336	12068597.00
2011/03/31	13.64	13.75	13.62	13.74	239413	10298983.00
2011/04/01	13.72	13.95	13.68	13.91	138071	6010366.50
2011/04/06	13.91	13.91	13.54	13.84	298649	12869976.00
2011/04/07	13.74	13.87	13.73	13.86	188326	8174094.00
2011/04/08	13.86	14.18	13.79	14.13	296016	13074946.00
2011/04/11	14.13	14.23	13.78	13.80	257259	11255508.00
2011/04/12	13.81	13.83	13.70	13.71	191541	8275315.50
2011/04/13	13.72	13.91	13.62	13.90	186677	8057049.00
2011/04/14	13.90	14.06	13.81	13.97	196824	8620435.00
2011/04/15	13.86	14.00	13.72	13.84	192077	8337589.50
2011/04/19	13.77	13.77	13.01	13.12	451083	18917476.00
2011/04/20	13.12	13.20	12.95	12.99	430017	17643308.00
2011/04/21	13.08	13.31	12.99	13.16	238883	9880202.00
2011/04/22	13.21	13.23	12.98	13.01	231521	9507628.00
2011/04/25	13.01	13.01	12.62	12.62	385599	15478140.00
2011/04/26	12.58	12.66	12.16	12.35	307513	12000831.00
2011/04/27	12.35	12.45	11.96	12.04	247038	9539953.00
2011/04/28	12.05	12.14	11.69	11.72	278983	10504519.00
2011/04/29	11.72	12.00	11.52	12.00	220781	8218776.00
2011/05/03	12.01	12.10	11.78	12.09	218427	8243762.00
2011/05/04	12.07	12.07	11.35	11.62	211900	7920571.50
2011/05/05	11.42	11.62	11.42	11.56	238382	8688226.00
2011/05/06	11.53	11.57	11.39	11.51	179006	6515934.00
2011/05/09	11.59	11.83	11.45	11.65	193880	7182885.50
2011/05/10	11.59	11.92	11.59	11.83	183433	6834984.00
2011/05/11	11.84	12.04	11.71	11.94	209690	7904275.50
2011/05/12	11.93	11.93	11.68	11.69	160517	5967026.50
2011/05/13	11.67	11.95	11.56	11.90	169292	6286311.50
2011/05/16	11.88	11.90	11.73	11.82	127967	4773154.00
2011/05/17	11.81	11.86	11.66	11.79	91971	3419844.50
2011/05/18	11.80	11.85	11.78	11.81	89491	3347301.50
2011/05/19	11.85	11.85	11.68	11.73	103688	3861403.00
2011/05/20	11.73	11.78	11.58	11.60	127409	4707177.00
2011/05/23	11.60	11.60	11.28	11.29	190366	6825456.50
2011/05/24	11.23	11.43	11.10	11.40	155072	5499401.50
2011/05/25	11.18	11.43	11.17	11.40	113995	4077703.00
2011/05/26	11.40	11.59	11.36	11.56	156436	5673948.00
2011/05/27	11.45	11.55	11.10	11.42	151706	5385771.00
2011/05/30	11.27	12.59	11.17	12.37	225986	8412762.00
2011/05/31	12.02	12.23	11.67	12.13	620786	23218306.00
2011/06/01	12.13	12.16	11.94	12.08	290387	10994252.00
2011/06/02	12.00	12.00	11.44	11.83	283570	10381913.00
2011/06/03	11.73	11.95	11.64	11.92	197641	7355294.00
2011/06/07	12.04	12.04	11.68	11.74	146778	5443989.50
2011/06/08	11.67	11.81	11.64	11.72	107658	3965057.50
2011/06/09	11.60	11.75	11.34	11.37	157949	5726315.50
2011/06/10	11.37	11.56	11.19	11.33	80630	2870374.50
2011/06/13	11.30	11.53	11.18	11.48	63174	2266450.75
2011/06/14	11.57	11.68	11.44	11.58	82829	3017339.25
2011/06/15	11.58	11.68	11.50	11.53	87201	3176577.50
2011/06/16	11.50	11.60	11.10	11.20	111351	3953311.50
2011/06/17	11.30	11.32	11.12	11.13	77279	2724517.00
2011/06/20	11.10	11.10	10.62	10.62	212299	7258996.50
2011/06/21	10.57	10.73	10.57	10.70	110789	3730718.25
2011/06/22	10.70	10.83	10.65	10.70	44710	1509526.63
2011/06/23	10.77	11.03	10.59	10.97	151919	5241145.50
2011/06/24	11.00	11.30	10.93	11.25	246242	8630594.00
2011/06/27	11.25	11.42	11.12	11.31	201668	7189771.50
2011/06/28	11.29	11.33	11.22	11.29	142600	5065694.00
2011/06/29	11.20	11.44	11.20	11.26	200098	7150294.00
2011/06/30	11.27	11.45	11.22	11.37	162539	5818154.00
