002404 嘉欣丝绸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/11	4.79	5.05	4.54	4.56	14100869	316101952.00
2010/05/12	4.21	4.21	4.00	4.00	5792941	113107272.00
2010/05/13	3.98	4.11	3.79	4.10	4444378	85260512.00
2010/05/14	3.98	4.30	3.90	4.18	4221322	83983232.00
2010/05/17	4.04	4.19	3.91	3.92	2943132	57872012.00
2010/05/18	3.90	3.97	3.64	3.86	2923803	54136280.00
2010/05/19	3.77	4.02	3.76	3.86	2615972	49864836.00
2010/05/20	3.77	3.86	3.66	3.68	2276461	41923144.00
2010/05/21	3.56	3.80	3.53	3.79	2121643	38501492.00
2010/05/24	3.81	4.10	3.77	4.07	3690986	71502096.00
2010/05/25	3.98	4.01	3.87	3.91	2288377	43881316.00
2010/05/26	3.91	4.01	3.89	3.96	1331507	25597062.00
2010/05/27	3.95	4.06	3.90	4.04	1881482	36551312.00
2010/05/28	4.08	4.30	4.08	4.09	3393307	68248480.00
2010/05/31	4.14	4.14	3.87	3.87	1898199	37110216.00
2010/06/01	3.85	3.85	3.66	3.73	1508327	27798070.00
2010/06/02	3.66	3.80	3.66	3.80	897112	16459761.00
2010/06/03	3.80	3.88	3.77	3.78	1081649	20289480.00
2010/06/04	3.73	3.84	3.69	3.82	802748	14834592.00
2010/06/07	3.67	3.86	3.67	3.83	969856	18069970.00
2010/06/08	3.92	3.97	3.83	3.92	1409558	26824428.00
2010/06/09	3.92	4.01	3.88	3.99	1631555	31392196.00
2010/06/10	3.95	4.03	3.92	3.98	1436293	27826748.00
2010/06/11	4.00	4.12	3.98	4.05	2046840	40158164.00
2010/06/17	4.10	4.10	3.90	3.90	1360769	26356490.00
2010/06/18	3.88	3.89	3.66	3.69	1117774	20668530.00
2010/06/21	3.66	3.84	3.66	3.82	674487	12487798.00
2010/06/22	3.79	3.88	3.79	3.84	571566	10749473.00
2010/06/23	3.84	3.88	3.74	3.85	620618	11597275.00
2010/06/24	3.79	3.88	3.79	3.84	431287	8102303.00
2010/06/25	3.79	3.89	3.74	3.89	757906	14230859.00
2010/06/28	3.89	3.99	3.87	3.92	1249865	23952876.00
2010/06/29	3.92	3.94	3.62	3.62	1360031	24943226.00
2010/06/30	3.55	3.64	3.54	3.62	601654	10706862.00
2010/07/01	3.64	3.68	3.59	3.63	529959	9530142.00
2010/07/02	3.63	3.63	3.34	3.50	914349	15914358.00
2010/07/05	3.45	3.51	3.41	3.48	413184	7149854.50
2010/07/06	3.44	3.57	3.44	3.57	551524	9718849.00
2010/07/07	3.55	3.59	3.52	3.59	429172	7580640.50
2010/07/08	3.59	3.63	3.54	3.56	399355	7090880.00
2010/07/09	3.57	3.68	3.54	3.66	715240	12859038.00
2010/07/12	3.71	3.72	3.66	3.68	612871	11162084.00
2010/07/13	3.66	3.66	3.56	3.63	532723	9520304.00
2010/07/14	3.62	3.68	3.60	3.63	461390	8314527.00
2010/07/15	3.59	3.65	3.55	3.62	496700	8887482.00
2010/07/16	3.78	3.78	3.58	3.64	581106	10499242.00
2010/07/19	3.56	3.70	3.56	3.68	500069	9033626.00
2010/07/20	3.66	3.78	3.66	3.77	1082421	19868924.00
2010/07/21	3.78	3.92	3.74	3.85	1912248	35997856.00
2010/07/22	3.82	3.86	3.74	3.85	1239027	23148192.00
2010/07/23	3.83	3.85	3.77	3.83	770279	14374633.00
2010/07/26	3.82	3.85	3.75	3.84	978743	18252630.00
2010/07/27	3.82	3.84	3.78	3.79	676349	12617115.00
2010/07/28	3.79	3.88	3.77	3.88	1279117	24096758.00
2010/07/29	3.88	3.97	3.87	3.90	1334460	25420102.00
2010/07/30	3.94	3.97	3.90	3.91	1102126	21096650.00
2010/08/02	3.96	3.99	3.92	3.98	1133749	21860614.00
2010/08/03	4.00	4.01	3.87	3.89	1354180	25952644.00
2010/08/04	3.89	3.92	3.82	3.90	706238	13362225.00
2010/08/05	3.90	3.98	3.89	3.94	1120835	21552590.00
2010/08/06	3.96	4.05	3.91	4.05	1538915	29856826.00
2010/08/09	4.07	4.47	4.07	4.38	4340537	89006616.00
2010/08/10	4.34	4.38	4.11	4.12	2631161	53428648.00
2010/08/11	4.03	4.11	4.01	4.07	3737441	73371976.00
2010/08/12	4.02	4.08	3.92	3.93	1940346	37742656.00
2010/08/13	3.96	4.05	3.95	4.03	1645452	31966516.00
2010/08/17	4.14	4.30	4.12	4.18	4332104	87537536.00
2010/08/18	4.15	4.24	4.12	4.20	2304380	46401676.00
2010/08/19	4.24	4.34	4.21	4.28	3262199	67065664.00
2010/08/20	4.24	4.28	4.15	4.19	2170159	43804168.00
2010/08/23	4.18	4.25	4.09	4.11	1728855	34632740.00
2010/08/24	4.12	4.19	4.09	4.15	1188157	23788382.00
2010/08/25	4.12	4.20	4.07	4.08	1216710	24250840.00
2010/08/26	4.14	4.14	4.05	4.12	812526	16088785.00
2010/08/27	4.12	4.19	4.10	4.15	1540705	30413708.00
2010/08/30	4.17	4.24	4.14	4.23	2281395	45625432.00
2010/08/31	4.22	4.24	4.16	4.22	1764007	35215256.00
2010/09/01	4.23	4.29	4.14	4.16	2209861	44423936.00
2010/09/02	4.21	4.30	4.17	4.24	2485685	50051040.00
2010/09/03	4.26	4.33	4.22	4.28	2450306	49770928.00
2010/09/06	4.30	4.33	4.15	4.17	2095123	41978532.00
2010/09/07	4.17	4.25	4.16	4.22	1077693	21514072.00
2010/09/08	4.25	4.25	4.19	4.20	1095669	21924644.00
2010/09/09	4.20	4.25	4.14	4.14	1705851	34084140.00
2010/09/10	4.15	4.18	4.05	4.11	1389376	27252974.00
2010/09/13	4.10	4.16	4.09	4.16	1061316	20994954.00
2010/09/14	4.17	4.22	4.14	4.17	1051021	20916378.00
2010/09/15	4.17	4.27	4.07	4.09	1027689	20407936.00
2010/09/16	4.09	4.13	3.88	3.92	1372489	26202712.00
2010/09/17	3.92	3.94	3.85	3.86	765061	14367946.00
2010/09/20	3.87	3.89	3.80	3.83	625789	11616097.00
2010/09/21	3.91	3.91	3.82	3.85	353386	6580046.50
2010/09/27	3.85	3.91	3.82	3.90	636644	11888891.00
2010/09/28	3.93	3.93	3.79	3.81	623153	11621419.00
2010/09/29	3.81	3.82	3.68	3.69	968853	17613230.00
2010/09/30	3.70	3.77	3.67	3.74	510026	9267642.00
2010/10/08	3.77	3.86	3.75	3.85	747071	13839627.00
2010/10/11	3.85	3.91	3.83	3.87	1025971	19190020.00
2010/10/12	3.87	3.93	3.84	3.88	708439	13300427.00
2010/10/13	3.87	3.90	3.84	3.88	851442	15903351.00
2010/10/14	3.87	3.90	3.75	3.79	1240239	22977120.00
