002405 四维图新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/18	9.68	11.69	9.68	10.74	32953039	937773504.00
2010/05/19	11.10	11.82	10.56	11.27	21756457	652349888.00
2010/05/20	10.81	10.99	10.33	10.62	14223668	406531872.00
2010/05/21	10.62	11.72	10.60	11.72	13541060	409284544.00
2010/05/24	12.33	12.93	12.14	12.93	12578002	420888672.00
2010/05/25	12.84	13.87	12.57	13.46	17949569	627325632.00
2010/05/26	13.02	13.34	12.65	12.83	9333999	323803104.00
2010/05/27	12.83	14.07	12.83	13.57	11278658	404632352.00
2010/05/28	13.53	14.22	12.97	13.85	11516666	413053824.00
2010/05/31	13.65	14.38	13.46	13.53	8268146	305839360.00
2010/06/01	13.40	13.52	12.58	13.02	7909207	273993824.00
2010/06/02	12.92	13.96	12.65	13.78	9617959	342047264.00
2010/06/03	13.65	13.87	13.26	13.34	7820707	281653728.00
2010/06/04	13.11	13.20	12.72	13.07	6401419	221063904.00
2010/06/07	12.68	13.66	12.65	13.41	7122441	250059248.00
2010/06/08	13.41	13.86	13.24	13.73	6611704	239012080.00
2010/06/09	13.81	14.34	13.47	13.59	7881373	291551168.00
2010/06/10	13.59	14.88	13.53	14.58	8914034	336158240.00
2010/06/11	14.42	14.97	14.30	14.57	7606158	295811424.00
2010/06/17	14.61	15.14	13.77	13.86	7028057	269069536.00
2010/06/18	13.65	14.03	13.02	13.24	5162514	185313712.00
2010/06/21	13.17	14.05	13.17	13.92	4794092	174724176.00
2010/06/22	13.86	14.11	13.67	13.73	3264081	120086016.00
2010/06/23	13.49	14.44	13.44	14.26	5066106	188580000.00
2010/06/24	14.11	14.57	13.92	14.07	3434031	129744608.00
2010/06/25	13.91	14.29	13.54	13.70	3216707	118195400.00
2010/06/28	13.57	13.89	12.76	13.03	5458272	192158592.00
2010/06/29	12.93	13.12	12.07	12.38	5402374	179000848.00
2010/06/30	12.29	12.57	12.19	12.45	2919022	96676792.00
2010/07/01	12.45	12.54	11.80	11.98	3312030	106749024.00
2010/07/02	11.84	12.33	11.41	12.23	3660901	115800752.00
2010/07/05	12.02	12.59	11.91	12.43	3146609	103676488.00
2010/07/06	12.34	12.80	12.29	12.53	2950244	98740048.00
2010/07/07	12.49	12.55	12.23	12.45	2414970	79717088.00
2010/07/08	12.55	12.61	12.12	12.20	2298382	75311888.00
2010/07/09	12.18	12.75	12.04	12.56	3652602	121112000.00
2010/07/12	12.49	12.63	12.38	12.57	2566995	85540272.00
2010/07/13	12.40	12.48	11.99	12.38	1844228	60296712.00
2010/07/14	12.41	12.80	12.24	12.38	3151994	105009216.00
2010/07/15	12.42	12.68	12.26	12.33	2549329	84665608.00
2010/07/16	12.14	12.48	11.95	12.14	2091385	67810216.00
2010/07/19	12.02	12.38	12.01	12.30	1564162	50913524.00
2010/07/20	12.30	12.97	12.26	12.83	5184217	173697200.00
2010/07/21	12.63	12.91	12.61	12.65	3155809	107013616.00
2010/07/22	12.65	12.95	12.57	12.92	2811375	95861168.00
2010/07/23	12.95	12.99	12.67	12.80	2395270	81703000.00
2010/07/26	12.76	12.87	12.65	12.84	1724943	58656764.00
2010/07/27	12.82	12.82	12.64	12.68	1906911	64484620.00
2010/07/28	12.61	12.86	12.46	12.82	2791201	94606184.00
2010/07/29	12.83	13.53	12.77	13.36	5157302	182286304.00
2010/07/30	13.26	13.38	13.01	13.18	2446782	85717608.00
2010/08/02	13.19	13.68	13.15	13.63	3611548	129744496.00
2010/08/03	13.65	13.69	13.26	13.26	2374165	84935328.00
2010/08/04	13.26	13.32	12.94	13.29	2039062	71212856.00
2010/08/05	13.41	13.63	13.14	13.18	2290026	81490984.00
2010/08/06	13.15	13.36	12.88	13.33	2275125	79571608.00
2010/08/09	13.34	13.65	13.29	13.59	2774485	99421288.00
2010/08/10	13.54	13.57	12.95	12.95	2408183	84856248.00
2010/08/11	12.91	13.10	12.76	12.97	1642560	56380344.00
2010/08/12	12.82	13.03	12.66	12.66	1692502	57702088.00
2010/08/13	12.67	12.88	12.65	12.82	1014988	34554288.00
2010/08/17	13.03	13.61	13.03	13.53	6155807	220054304.00
2010/08/18	13.36	14.32	13.27	13.98	10309387	377567712.00
2010/08/19	13.92	14.02	13.63	13.74	4181485	153628720.00
2010/08/20	13.76	14.17	13.57	13.75	3925185	144649280.00
2010/08/23	13.73	14.54	13.42	14.34	5054864	189513200.00
2010/08/24	14.27	14.81	14.03	14.52	4343042	167543536.00
