002422 科伦药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/06/03	12.95	14.58	12.75	13.99	36645732	3162385152.00
2010/06/04	14.39	14.47	13.59	14.16	17004360	1534418304.00
2010/06/07	13.73	15.05	13.63	14.77	10624434	983549568.00
2010/06/08	14.72	14.77	14.28	14.53	5146536	478346880.00
2010/06/09	14.53	14.94	14.43	14.60	4354044	407298432.00
2010/06/10	14.55	15.58	14.50	15.37	5545282	536959296.00
2010/06/11	15.39	15.71	15.24	15.34	3574903	351297824.00
2010/06/17	15.40	15.47	13.89	13.89	7100638	657859840.00
2010/06/18	13.72	13.89	13.07	13.57	4506257	391769312.00
2010/06/21	13.40	14.38	13.28	14.20	2838922	253781680.00
2010/06/22	14.08	14.75	14.06	14.27	2103292	194448608.00
2010/06/23	14.16	14.60	14.15	14.54	2103731	193906768.00
2010/06/24	14.52	15.19	14.39	15.12	2977375	283181344.00
2010/06/25	15.04	15.44	14.89	15.12	3042463	294161152.00
2010/06/28	15.05	15.80	14.94	15.27	3107904	305213312.00
2010/06/30	14.52	14.95	13.97	14.69	3428919	317453504.00
2010/07/01	14.52	14.72	13.89	13.89	2181362	198223920.00
2010/07/02	13.73	13.93	12.92	13.54	2380400	205769584.00
2010/07/05	13.35	14.03	13.22	13.92	1426779	125901016.00
2010/07/06	13.87	14.48	13.83	14.23	1468319	133608120.00
2010/07/07	14.45	14.45	13.72	14.17	1188222	106712936.00
2010/07/08	14.39	15.15	14.18	15.02	1995879	186959616.00
2010/07/09	14.94	15.37	14.86	15.18	2076460	200560912.00
2010/07/12	15.18	15.53	14.96	15.22	1464609	141924336.00
2010/07/13	14.97	15.18	14.62	14.85	1379826	130597200.00
2010/07/14	14.86	15.50	14.75	14.92	1243158	120005336.00
2010/07/15	14.97	15.18	14.09	14.10	1546137	143870352.00
2010/07/16	13.97	14.38	13.89	14.29	970861	88053304.00
2010/07/19	14.22	14.99	14.09	14.95	1546460	144984624.00
2010/07/20	14.97	16.42	14.94	15.88	5186493	518632128.00
2010/07/21	15.89	16.38	15.73	15.88	3678018	373837952.00
2010/07/22	16.02	16.79	15.89	16.67	3028602	315681632.00
2010/07/23	16.68	16.69	16.10	16.52	2780106	288819360.00
2010/07/26	16.52	16.69	16.22	16.54	1794267	187152704.00
2010/07/27	16.50	17.05	16.47	16.85	1761249	187162976.00
2010/07/28	16.60	17.07	16.23	16.80	2210548	234670704.00
2010/07/29	16.80	16.80	16.30	16.69	1977647	207018576.00
2010/07/30	16.70	17.13	16.55	17.09	2171620	233651520.00
2010/08/02	17.25	17.47	17.06	17.08	1639181	178685376.00
2010/08/03	17.04	17.47	16.98	17.00	1695466	184292768.00
2010/08/04	17.04	17.14	16.45	16.91	2143108	226234448.00
2010/08/05	16.87	17.29	16.69	16.85	1489234	160488544.00
2010/08/06	16.78	17.14	16.57	17.10	1344398	143997936.00
2010/08/09	17.22	17.97	17.12	17.96	2135794	238425088.00
2010/08/10	17.96	17.97	16.30	16.35	3207742	346790400.00
2010/08/11	16.37	16.93	16.37	16.89	1887122	199821472.00
2010/08/12	16.61	16.95	16.49	16.52	1723436	182248720.00
2010/08/13	16.62	16.95	16.45	16.89	1084332	115137624.00
2010/08/16	16.82	17.29	16.72	16.97	1217258	131814784.00
2010/08/17	17.02	17.29	16.74	17.25	1424477	152675424.00
2010/08/18	17.19	17.47	16.95	17.37	1442336	157554800.00
2010/08/19	17.27	18.25	17.19	17.60	2510795	283243200.00
2010/08/20	17.39	17.56	16.81	17.08	1541867	166956096.00
2010/08/23	17.09	17.19	16.57	16.75	1299731	138451456.00
2010/08/24	16.84	17.52	16.66	17.34	1829531	198868800.00
2010/08/25	17.24	17.66	16.89	16.91	1320908	144340048.00
2010/08/26	17.05	17.80	16.97	17.80	2045282	226061488.00
2010/08/27	17.89	18.68	17.79	18.41	2042132	234000016.00
2010/08/30	18.52	18.97	18.35	18.53	2393214	281493696.00
2010/08/31	18.40	18.74	18.19	18.33	1498123	174001680.00
2010/09/01	18.37	18.55	17.67	17.79	2728088	309937920.00
2010/09/02	17.89	19.04	17.72	18.82	2035446	237139824.00
2010/09/03	18.44	19.24	18.25	18.64	4738923	561441600.00
2010/09/06	18.78	18.95	18.05	18.30	2766298	321252128.00
2010/09/07	18.37	18.89	18.23	18.70	1382050	162842784.00
2010/09/08	18.62	18.85	18.48	18.71	1135402	133516264.00
2010/09/09	18.74	19.36	18.49	18.55	1513264	179979376.00
2010/09/10	18.50	18.72	18.01	18.44	2604749	301748960.00
2010/09/13	18.55	18.78	18.22	18.78	1418821	165629600.00
2010/09/14	18.80	18.84	18.32	18.43	1023607	119396680.00
2010/09/15	18.45	18.55	17.54	17.57	1721704	197067568.00
2010/09/16	17.72	18.04	17.05	17.42	2074228	231209008.00
2010/09/17	17.44	17.63	17.06	17.47	923975	101876528.00
2010/09/20	17.48	17.99	17.39	17.67	1153686	129179040.00
2010/09/21	17.73	18.47	17.64	18.39	1509644	172606592.00
2010/09/27	18.55	19.45	18.49	19.43	2062589	248679712.00
2010/09/28	19.22	19.69	19.13	19.39	1109671	135058480.00
2010/09/29	19.39	19.55	19.02	19.42	1298399	156920656.00
2010/09/30	19.35	19.55	19.31	19.51	951691	116329904.00
2010/10/08	19.67	19.87	19.41	19.68	1578498	194571440.00
2010/10/11	19.62	19.62	18.50	18.78	3103446	369571584.00
2010/10/12	18.60	19.12	18.39	18.39	1797175	211841664.00
2010/10/13	18.42	18.54	17.72	17.94	2684349	304707040.00
2010/10/14	17.95	18.15	17.70	17.72	2075442	234695968.00
2010/10/15	17.80	18.14	17.55	17.69	1589829	178681616.00
2010/10/18	17.47	17.97	16.72	17.95	2449224	268776320.00
2010/10/19	17.83	18.38	17.72	18.36	1472440	168805904.00
2010/10/20	18.10	18.54	17.85	18.22	2107858	241196016.00
2010/10/21	18.21	18.28	17.84	18.04	970138	110427800.00
2010/10/22	18.00	18.92	17.92	18.88	1752111	204947904.00
2010/10/25	19.05	19.39	18.55	18.98	1657817	198145680.00
2010/10/26	19.10	19.22	18.26	18.42	2347081	273917344.00
2010/10/27	18.55	18.89	18.25	18.34	1507112	175582528.00
2010/10/28	18.38	18.53	18.06	18.42	1381936	159623264.00
2010/10/29	18.42	18.80	18.09	18.69	1583118	184952976.00
2010/11/01	18.61	19.82	18.42	19.40	3139908	382134400.00
2010/11/02	19.50	19.50	18.90	18.94	1703903	205941104.00
2010/11/03	18.88	19.53	18.66	19.07	1429856	172310704.00
2010/11/04	19.07	21.07	18.97	21.07	3875649	496248096.00
2010/11/05	21.05	21.78	20.83	21.46	2946683	392928960.00
2010/11/08	21.32	22.14	21.22	21.70	2004925	271889152.00
2010/11/09	21.55	22.10	21.24	22.05	1502967	204015952.00
2010/11/10	22.10	24.05	22.09	22.89	3166317	459817248.00
2010/11/11	23.15	23.52	22.62	22.72	1890862	272368480.00
2010/11/12	22.42	24.09	22.41	23.06	3740688	540551040.00
2010/11/15	23.00	25.05	23.00	24.98	2869891	432515712.00
2010/11/16	24.90	25.47	23.39	23.60	3139011	476697504.00
2010/11/17	23.25	23.95	22.07	22.19	2760019	397145920.00
2010/11/18	22.32	22.81	21.80	22.64	1829760	256172368.00
2010/11/19	22.74	24.92	22.37	24.92	3098843	458647040.00
2010/11/22	24.72	25.39	23.92	24.39	2757707	424616288.00
2010/11/23	24.05	25.67	23.91	25.35	3142014	490626368.00
2010/11/24	25.20	26.03	24.96	26.02	1741770	276797440.00
2010/11/25	25.97	26.35	24.89	25.12	2304541	364037984.00
2010/11/26	24.94	25.31	24.60	25.22	1442706	224223696.00
2010/11/29	25.25	26.80	24.98	26.69	2435322	396077312.00
2010/11/30	26.55	26.69	24.64	26.07	3354060	535940640.00
2010/12/01	25.60	26.10	25.30	25.44	1561641	248820272.00
2010/12/02	25.76	25.76	24.99	25.05	1513314	237515200.00
2010/12/03	24.92	25.05	24.26	24.58	1369336	209616192.00
2010/12/06	24.58	24.88	23.48	24.29	2092994	314804896.00
2010/12/07	24.08	25.24	24.08	24.86	1545514	239156848.00
2010/12/08	24.72	25.20	24.37	24.40	1319734	203221792.00
2010/12/09	24.23	24.30	23.59	23.61	1357674	202280960.00
2010/12/10	23.50	24.98	23.45	24.55	1416392	215069648.00
2010/12/13	24.80	26.06	24.80	25.67	1756925	280333280.00
2010/12/14	25.68	25.99	25.47	25.72	973022	155896384.00
2010/12/15	25.72	25.86	25.24	25.45	1044075	165748960.00
2010/12/16	25.39	26.64	25.39	26.05	1337474	218047824.00
2010/12/17	26.05	26.46	25.83	26.21	972330	158176608.00
2010/12/20	26.02	26.20	24.53	25.00	2553288	399533888.00
2010/12/21	25.02	25.34	24.64	25.14	1290180	200434320.00
2010/12/22	25.12	25.22	24.00	24.35	1665526	254097376.00
2010/12/23	24.22	24.70	24.07	24.35	634334	96566672.00
2010/12/24	24.19	24.19	22.97	23.42	1615917	236192112.00
