002444 巨星科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/07/13	6.00	6.25	5.88	5.99	12785577	352997920.00
2010/07/14	5.89	6.19	5.89	6.05	7140560	198291392.00
2010/07/15	5.98	6.02	5.65	5.66	5853324	156027808.00
2010/07/16	5.63	5.70	5.38	5.50	3351109	85706936.00
2010/07/19	5.42	5.58	5.37	5.55	2041983	52133080.00
2010/07/20	5.52	5.66	5.52	5.65	3018531	78185752.00
2010/07/21	5.65	5.69	5.60	5.64	2579494	67271144.00
2010/07/22	5.63	5.66	5.58	5.63	1849266	48075256.00
2010/07/23	5.65	5.67	5.56	5.61	1923092	49873248.00
2010/07/26	5.80	5.91	5.79	5.87	5128121	137873984.00
2010/07/27	5.82	5.89	5.79	5.80	2418708	64869844.00
2010/07/28	5.78	5.87	5.74	5.85	2834166	75992408.00
2010/07/29	5.87	5.99	5.83	5.89	2987285	81008776.00
2010/07/30	5.92	6.02	5.90	6.00	3889001	106232560.00
2010/08/02	6.03	6.43	6.03	6.37	9301344	267400864.00
2010/08/03	6.31	6.60	6.30	6.45	13118259	385442624.00
2010/08/04	6.50	6.68	6.48	6.62	10186576	303289984.00
2010/08/05	6.64	6.74	6.55	6.69	8536202	257245392.00
2010/08/06	6.69	6.82	6.59	6.70	7021610	212649360.00
2010/08/09	6.70	6.95	6.64	6.76	7691700	236003248.00
2010/08/10	6.73	7.12	6.72	7.03	10326159	322684544.00
2010/08/11	6.98	7.09	6.89	6.97	5903148	185452400.00
2010/08/12	6.95	7.14	6.89	6.95	5619222	177129808.00
2010/08/13	6.99	7.25	6.94	7.24	7608516	242890160.00
2010/08/16	7.28	7.62	7.21	7.45	6255004	208002192.00
2010/08/17	7.45	7.51	7.28	7.44	5435833	179402736.00
2010/08/18	7.45	7.66	7.40	7.53	4011698	134750960.00
2010/08/19	7.57	7.57	7.13	7.19	8244726	268890368.00
2010/08/20	7.14	7.37	7.14	7.20	5617888	182869680.00
2010/08/23	7.21	7.30	7.00	7.01	4551419	146453600.00
2010/08/24	7.00	7.32	6.92	7.23	4475601	143832976.00
2010/08/25	7.20	7.26	7.00	7.02	3469878	110639448.00
2010/08/26	7.03	7.50	7.03	7.42	5519826	181245344.00
2010/08/27	7.37	7.52	7.26	7.45	3736442	123804032.00
2010/08/30	7.52	7.69	7.40	7.60	5261594	177974896.00
2010/08/31	7.53	7.68	7.41	7.56	4319545	144918624.00
2010/09/01	7.55	7.60	6.90	7.00	7052564	227514720.00
2010/09/02	7.06	7.21	6.88	7.09	4381582	139160288.00
2010/09/03	7.03	7.27	6.98	7.19	4405257	141526432.00
2010/09/06	7.20	7.20	6.93	6.96	3535088	112117416.00
2010/09/07	6.91	7.09	6.91	7.08	2550864	80483976.00
2010/09/08	7.08	7.45	7.01	7.39	4249059	139610672.00
2010/09/09	7.39	7.46	7.08	7.21	3417406	111140520.00
2010/09/10	7.18	7.32	7.05	7.21	2091357	67380376.00
2010/09/13	7.25	7.52	7.21	7.27	4927795	162553248.00
2010/09/14	7.25	7.45	7.25	7.31	2681935	87913152.00
2010/09/15	7.31	7.35	7.00	7.01	2858441	91830280.00
2010/09/16	6.93	7.06	6.58	6.71	2710680	83163136.00
2010/09/17	6.74	6.86	6.63	6.72	1617266	49423616.00
2010/09/20	6.73	6.85	6.68	6.81	1431537	43869644.00
2010/09/21	6.85	7.13	6.85	7.04	2228764	70119376.00
2010/09/27	7.04	7.18	7.00	7.02	1593029	50659448.00
2010/09/28	7.03	7.09	6.72	6.80	2397699	74301600.00
2010/09/29	6.80	6.92	6.55	6.61	2269681	68596648.00
2010/09/30	6.58	6.75	6.49	6.72	1134620	33958708.00
2010/10/08	6.72	6.95	6.64	6.83	1576068	48342280.00
2010/10/11	6.83	6.88	6.58	6.66	2581686	78063944.00
2010/10/12	6.66	6.83	6.66	6.75	1831376	55905164.00
2010/10/13	6.75	6.75	6.33	6.40	7884413	230324080.00
2010/10/14	6.46	6.50	6.32	6.35	3795261	110434664.00
2010/10/15	6.34	6.44	6.12	6.16	3617766	103255520.00
2010/10/18	6.13	6.37	5.88	6.34	3070351	86651136.00
2010/10/19	6.27	6.45	6.27	6.43	2604480	75787088.00
2010/10/20	6.30	6.49	6.28	6.38	2776143	80782424.00
2010/10/21	6.38	6.62	6.38	6.53	4481601	132332056.00
2010/10/22	6.52	6.66	6.44	6.64	3145704	93684072.00
2010/10/25	6.88	7.19	6.87	7.11	5560420	175251920.00
2010/10/26	7.13	7.21	6.96	7.12	3896463	124091112.00
2010/10/27	7.13	7.43	7.10	7.13	3954408	129208736.00
2010/10/28	7.10	7.47	7.10	7.41	4338725	142279472.00
2010/10/29	7.45	8.10	7.35	7.91	6864038	235541952.00
2010/11/01	7.93	8.05	7.76	7.96	4791986	168304784.00
2010/11/02	7.95	8.36	7.65	7.67	5106852	180553648.00
2010/11/03	7.63	7.73	7.42	7.55	3965401	133625064.00
2010/11/04	7.54	7.70	7.48	7.66	2978937	100899168.00
2010/11/05	7.73	7.76	7.55	7.75	2740493	93481928.00
2010/11/08	7.76	8.00	7.68	7.99	3818288	134095656.00
2010/11/09	7.99	8.36	7.99	8.13	3852134	138934944.00
2010/11/10	8.12	8.23	7.98	8.15	2962523	106426632.00
2010/11/11	8.12	8.15	7.81	7.82	3066288	109547816.00
2010/11/12	7.77	7.81	7.20	7.31	5007387	167289632.00
2010/11/15	7.39	7.82	7.33	7.82	3750959	126258944.00
2010/11/16	7.82	8.07	7.49	7.62	4166377	144532416.00
2010/11/17	7.52	7.77	7.24	7.37	3262380	110270304.00
2010/11/18	7.43	7.65	7.33	7.64	2560312	85920272.00
2010/11/19	7.64	8.50	7.58	8.50	8943397	320109056.00
2010/11/22	8.52	8.87	8.40	8.61	6421288	244919888.00
2010/11/23	8.61	8.87	8.47	8.84	4923364	188873088.00
2010/11/24	8.77	8.93	8.63	8.83	3795976	146355840.00
2010/11/25	8.83	9.25	8.62	8.65	5232910	204954672.00
2010/11/26	8.58	9.20	8.50	9.13	4762027	186669968.00
2010/11/29	9.15	9.32	9.01	9.15	4266032	171234224.00
2010/11/30	9.03	9.24	8.58	8.73	4687306	181572864.00
2010/12/01	8.75	9.18	8.75	9.03	4263594	169208944.00
2010/12/02	9.12	9.16	8.88	8.95	2415344	95373744.00
2010/12/03	8.96	8.96	8.35	8.62	4043944	153131456.00
2010/12/06	8.55	8.69	8.27	8.43	2172155	80753576.00
2010/12/07	8.45	8.89	8.33	8.88	2722116	104122088.00
2010/12/08	8.80	9.00	8.73	8.75	1853698	72099640.00
2010/12/09	8.69	8.77	8.48	8.51	2318550	88102856.00
2010/12/10	8.50	8.87	8.43	8.87	2534162	96526920.00
2010/12/13	8.88	9.19	8.88	9.18	3470958	138297152.00
2010/12/14	9.21	9.31	9.05	9.24	2770803	111250720.00
2010/12/15	9.18	9.36	9.03	9.07	2937158	117976048.00
2010/12/16	9.00	9.27	9.00	9.15	1996910	80348504.00
2010/12/17	9.12	9.74	9.12	9.62	3653136	151641920.00
