002446 盛路通信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/07/13	4.19	4.35	4.03	4.18	16626369	348800544.00
2010/07/14	4.17	4.60	4.09	4.44	13536234	295486784.00
2010/07/15	4.27	4.29	3.99	4.02	8097881	168165440.00
2010/07/16	3.87	4.00	3.72	3.87	5066481	97248816.00
2010/07/19	3.77	3.91	3.71	3.87	3661029	70114080.00
2010/07/20	3.84	3.99	3.83	3.97	4383362	86137544.00
2010/07/21	3.94	4.02	3.90	3.95	3590956	71282816.00
2010/07/22	3.92	4.02	3.91	4.00	3078800	61410756.00
2010/07/23	3.99	4.00	3.91	3.96	2816938	55781724.00
2010/07/26	3.97	4.09	3.95	4.05	3159654	63717092.00
2010/07/27	4.01	4.04	3.96	3.97	2102054	42139668.00
2010/07/28	3.96	4.08	3.93	4.07	3211631	64744336.00
2010/07/29	4.07	4.15	4.05	4.11	3606461	74047512.00
2010/07/30	4.08	4.09	3.99	4.06	2594186	52563940.00
2010/08/02	4.04	4.19	4.04	4.12	3041739	62863704.00
2010/08/03	4.14	4.21	4.10	4.11	3297709	68650200.00
2010/08/04	4.08	4.23	4.08	4.22	3099296	64601900.00
2010/08/05	4.21	4.23	4.13	4.17	2422415	50719332.00
2010/08/06	4.19	4.23	4.15	4.23	2452225	51610684.00
2010/08/09	4.23	4.29	4.19	4.26	2706307	57569884.00
2010/08/10	4.26	4.26	4.04	4.04	2720025	56642544.00
2010/08/11	4.04	4.17	4.03	4.12	1886995	38824712.00
2010/08/12	4.07	4.14	4.02	4.03	1587557	32432004.00
2010/08/13	4.03	4.10	4.00	4.09	1281695	26077982.00
2010/08/16	4.10	4.18	4.06	4.17	1951092	40438532.00
2010/08/17	4.17	4.23	4.12	4.20	1923957	40231184.00
2010/08/18	4.20	4.23	4.15	4.22	1939201	40687588.00
2010/08/19	4.20	4.22	4.13	4.17	2087077	43706276.00
2010/08/20	4.15	4.18	4.04	4.04	1882241	38849844.00
2010/08/23	4.00	4.09	4.00	4.06	1158790	23574446.00
2010/08/24	4.06	4.12	4.01	4.10	1338980	27353654.00
2010/08/25	4.07	4.10	3.95	3.95	1510387	30388084.00
2010/08/26	3.97	4.02	3.95	3.99	905481	18059014.00
2010/08/27	3.97	4.09	3.97	4.07	961745	19386670.00
2010/08/30	4.08	4.21	4.07	4.21	2246566	46741132.00
2010/08/31	4.17	4.28	4.15	4.24	2527914	53432048.00
2010/09/01	4.24	4.42	4.24	4.34	4986586	107800080.00
2010/09/02	4.31	4.78	4.31	4.78	5459141	127249256.00
2010/09/03	4.97	5.27	4.97	5.09	8836770	224330720.00
2010/09/06	5.05	5.09	4.77	4.78	5043738	123119632.00
2010/09/07	4.76	4.90	4.71	4.81	2076775	49890400.00
2010/09/08	4.81	4.81	4.65	4.75	2372444	55870364.00
2010/09/09	4.77	4.88	4.65	4.68	2536283	60128088.00
2010/09/10	4.64	4.76	4.60	4.71	2091682	48854208.00
2010/09/14	4.77	4.80	4.66	4.74	1810559	42735888.00
2010/09/15	4.77	4.94	4.67	4.71	2916202	70404056.00
2010/09/16	4.64	4.70	4.45	4.50	2138331	48383548.00
2010/09/17	4.50	4.64	4.46	4.52	1324965	30132292.00
2010/09/20	4.56	4.56	4.36	4.36	972656	21540052.00
2010/09/21	4.37	4.43	4.36	4.39	605692	13303503.00
2010/09/27	4.40	4.56	4.39	4.53	778664	17470888.00
2010/09/28	4.53	4.60	4.40	4.45	842398	19001422.00
2010/09/29	4.45	4.50	4.32	4.34	933121	20574792.00
2010/09/30	4.39	4.50	4.31	4.45	614932	13489621.00
2010/10/08	4.50	4.54	4.44	4.51	1019343	22935920.00
2010/10/11	4.51	4.59	4.48	4.55	1760791	39955240.00
2010/10/12	4.55	4.56	4.42	4.45	1249644	28054534.00
2010/10/13	4.42	4.70	4.20	4.68	6861419	150962064.00
2010/10/14	4.69	4.69	4.45	4.45	3970609	91000800.00
2010/10/15	4.34	4.56	4.28	4.36	2157317	47714272.00
2010/10/18	4.37	4.39	4.22	4.32	1772306	37935292.00
2010/10/19	4.32	4.65	4.32	4.57	2133278	48020392.00
2010/10/20	4.47	4.64	4.45	4.50	1454309	33055292.00
2010/10/21	4.53	4.57	4.45	4.53	1068009	24107816.00
2010/10/22	4.48	4.54	4.46	4.46	1479323	33187748.00
2010/10/25	4.47	4.63	4.47	4.57	2029858	46297708.00
2010/10/26	4.57	4.62	4.52	4.54	1636306	37247260.00
2010/10/27	4.56	4.77	4.52	4.69	3169153	73907856.00
