002452 长高集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/07/20	5.21	5.62	5.19	5.47	16292328	485490944.00
2010/07/21	5.37	5.44	5.19	5.26	8569805	250245504.00
2010/07/22	5.20	5.28	5.07	5.21	5710279	163400512.00
2010/07/23	5.18	5.31	5.14	5.25	4158320	120061688.00
2010/07/26	5.26	5.36	5.24	5.32	3844097	112462712.00
2010/07/27	5.29	5.31	5.18	5.18	2855620	82263952.00
2010/07/28	5.15	5.29	5.15	5.28	3250396	94099072.00
2010/07/29	5.30	5.41	5.26	5.36	4433328	130258648.00
2010/07/30	5.36	5.40	5.29	5.35	2595409	76387992.00
2010/08/02	5.31	5.56	5.31	5.52	3986533	119903536.00
2010/08/03	5.52	5.52	5.37	5.37	3249608	97461944.00
2010/08/04	5.37	5.39	5.18	5.34	2724970	79421624.00
2010/08/05	5.34	5.38	5.25	5.27	2033763	59646120.00
2010/08/06	5.29	5.36	5.26	5.34	1814294	53204808.00
2010/08/09	5.36	5.47	5.32	5.46	2431412	72652520.00
2010/08/10	5.47	5.49	5.21	5.24	2726037	80283872.00
2010/08/11	5.22	5.30	5.20	5.27	1549170	44835840.00
2010/08/12	5.22	5.26	5.16	5.17	1486399	42711080.00
2010/08/13	5.29	5.56	5.29	5.47	5353564	161172768.00
2010/08/16	5.50	5.75	5.45	5.66	5301047	163258368.00
2010/08/17	5.62	5.70	5.57	5.64	2906436	89753488.00
2010/08/18	5.64	5.65	5.52	5.59	2317302	71222328.00
2010/08/19	5.60	5.69	5.54	5.55	2168842	66856064.00
2010/08/20	5.50	5.56	5.41	5.44	2243852	67522680.00
2010/08/23	5.41	5.54	5.41	5.47	1590191	47938056.00
2010/08/24	5.47	5.51	5.41	5.48	1105558	33272040.00
2010/08/25	5.45	5.50	5.30	5.30	1544150	45732468.00
2010/08/26	5.33	5.38	5.27	5.36	999742	29353234.00
2010/08/27	5.30	5.39	5.30	5.39	804486	23761262.00
2010/08/30	5.41	5.51	5.36	5.48	1339234	40208376.00
2010/08/31	5.47	5.57	5.40	5.53	1952412	59020148.00
2010/09/01	5.53	5.58	5.25	5.32	1908905	57144564.00
2010/09/02	5.39	5.88	5.32	5.88	3770755	117832112.00
2010/09/03	5.91	5.91	5.66	5.76	3711805	118102528.00
2010/09/06	5.80	5.81	5.49	5.58	2399043	74101496.00
2010/09/07	5.57	5.61	5.51	5.59	1315139	40276868.00
2010/09/08	5.54	5.68	5.54	5.65	1573232	48644236.00
2010/09/09	5.65	5.67	5.43	5.46	1868631	56844624.00
2010/09/10	5.41	5.54	5.41	5.54	1129609	34143356.00
2010/09/13	5.54	5.61	5.52	5.58	1031481	31629988.00
2010/09/14	5.59	5.69	5.51	5.54	1243870	38345732.00
2010/09/15	5.52	5.57	5.45	5.47	1073252	32540518.00
2010/09/16	5.47	5.51	5.26	5.35	1160828	34306100.00
2010/09/17	5.35	5.39	5.31	5.36	640571	18886912.00
2010/09/20	5.37	5.41	5.19	5.19	835376	24265142.00
2010/09/21	5.18	5.24	5.14	5.21	429699	12325920.00
2010/09/27	5.21	5.27	5.19	5.26	496609	14360027.00
2010/09/28	5.26	5.26	5.01	5.04	1495694	42183256.00
2010/09/29	5.04	5.06	4.87	4.90	905418	24831130.00
2010/09/30	4.88	5.00	4.87	4.99	601103	16507574.00
2010/10/08	5.05	5.16	5.00	5.12	1535805	42984604.00
2010/10/11	5.09	5.11	5.04	5.10	1121846	31486350.00
2010/10/12	5.11	5.14	5.05	5.06	855864	24052224.00
2010/10/13	5.07	5.09	4.97	5.09	866740	24127766.00
2010/10/14	5.10	5.12	4.99	4.99	860348	23911670.00
2010/10/15	4.92	5.08	4.92	4.98	797436	22033498.00
2010/10/18	4.98	4.98	4.79	4.88	1071383	28806028.00
2010/10/19	4.85	5.06	4.85	5.04	791630	21896068.00
2010/10/20	4.97	5.15	4.95	4.99	3072727	85487568.00
2010/10/21	4.99	5.05	4.96	5.05	1289456	35718792.00
2010/10/22	5.06	5.10	4.99	5.09	1532024	42908972.00
2010/10/25	5.10	5.16	5.06	5.13	2158764	60966260.00
2010/10/26	5.20	5.20	5.05	5.09	1324954	37295820.00
2010/10/27	4.98	5.00	4.87	4.95	3097457	84548088.00
2010/10/28	4.94	4.99	4.90	4.96	1784837	48758144.00
2010/10/29	4.96	5.19	4.95	5.19	2841289	79797504.00
2010/11/01	5.19	5.25	5.12	5.20	2560525	73501424.00
2010/11/02	5.17	5.25	5.14	5.22	2057781	59033248.00
2010/11/03	5.21	5.44	5.20	5.27	3511625	103296344.00
2010/11/04	5.24	5.35	5.16	5.34	1931745	55921412.00
2010/11/05	5.34	5.39	5.28	5.35	1422103	41732676.00
2010/11/08	5.33	5.49	5.32	5.46	2176232	64857776.00
2010/11/09	5.45	5.45	5.30	5.35	1519315	44850648.00
2010/11/10	5.37	5.45	5.32	5.41	1422157	42266792.00
2010/11/11	5.41	5.57	5.35	5.36	2089386	62945328.00
2010/11/12	5.36	5.44	5.04	5.04	1996777	57584848.00
2010/11/15	5.13	5.26	5.07	5.26	1214233	34632132.00
2010/11/16	5.22	5.32	4.99	5.04	1457560	41694972.00
2010/11/17	5.00	5.11	4.95	4.97	679797	18940482.00
2010/11/18	5.01	5.08	4.97	5.04	816546	22654580.00
2010/11/19	5.06	5.18	5.04	5.17	1593439	45062816.00
2010/11/22	5.12	5.29	5.11	5.21	1523728	43973036.00
2010/11/23	5.21	5.33	5.14	5.32	1962982	57001504.00
2010/11/24	5.27	5.43	5.27	5.40	2362997	69872232.00
2010/11/25	5.41	5.43	5.31	5.39	1697237	50203376.00
2010/11/26	5.34	5.44	5.29	5.34	970314	28710934.00
2010/11/29	5.35	5.54	5.28	5.53	1668537	50058940.00
2010/11/30	5.51	5.54	5.17	5.29	1912233	56375452.00
2010/12/01	5.27	5.35	5.26	5.31	814067	23867100.00
2010/12/02	5.35	5.39	5.30	5.32	834522	24550338.00
2010/12/03	5.31	5.40	5.20	5.28	1091529	31950056.00
2010/12/06	5.28	5.29	5.08	5.09	855678	24306562.00
2010/12/07	5.09	5.14	5.05	5.14	775174	21883066.00
2010/12/08	5.14	5.19	5.09	5.10	878107	24881658.00
2010/12/09	5.07	5.11	5.01	5.01	634952	17706036.00
2010/12/10	4.99	5.11	4.99	5.11	683388	19111452.00
2010/12/13	5.12	5.24	5.12	5.23	1148879	32885270.00
2010/12/14	5.23	5.32	5.10	5.28	1107880	32135716.00
2010/12/15	5.28	5.32	5.18	5.24	825865	24058658.00
2010/12/16	5.25	5.36	5.23	5.33	1005514	29425326.00
2010/12/17	5.33	5.37	5.29	5.36	1080727	31830560.00
2010/12/20	5.39	5.39	5.14	5.28	1295922	37697916.00
2010/12/21	5.25	5.37	5.24	5.36	1003666	29432622.00
2010/12/22	5.34	5.42	5.33	5.34	1051696	31137400.00
2010/12/23	5.36	5.50	5.35	5.37	2100961	62747324.00
2010/12/24	5.37	5.37	5.16	5.21	1102455	31809626.00
2010/12/27	5.21	5.29	5.11	5.19	1131688	32559332.00
2010/12/28	5.12	5.25	5.07	5.13	608240	17430440.00
2010/12/29	5.14	5.23	5.12	5.23	473238	13581382.00
2010/12/30	5.27	5.37	5.22	5.34	960366	28103514.00
2010/12/31	5.34	5.44	5.33	5.40	940863	27905536.00
2011/01/04	5.41	5.47	5.36	5.42	1111847	33202320.00
2011/01/05	5.40	5.58	5.26	5.50	1734521	52244464.00
2011/01/06	5.58	5.60	5.40	5.43	1417619	42712488.00
2011/01/07	5.43	5.43	5.30	5.31	880355	25979392.00
2011/01/10	5.33	5.37	5.17	5.21	992244	28782504.00
2011/01/11	5.20	5.27	5.14	5.27	789578	22663090.00
2011/01/12	5.28	5.35	5.17	5.26	890030	25814220.00
2011/01/13	5.27	5.28	5.19	5.23	619826	17875788.00
2011/01/14	5.23	5.23	5.07	5.10	847266	23967318.00
2011/01/17	5.10	5.10	4.82	4.85	1041203	28520428.00
2011/01/18	4.85	4.93	4.81	4.91	365561	9891296.00
2011/01/19	4.95	5.06	4.89	5.06	602236	16672004.00
2011/01/20	5.06	5.06	4.71	4.79	816938	22169812.00
2011/01/21	4.77	4.87	4.72	4.81	403378	10734307.00
2011/01/24	4.79	4.87	4.66	4.67	400725	10576378.00
2011/01/25	4.67	4.72	4.64	4.72	352002	9146124.00
2011/01/26	4.72	4.79	4.68	4.74	392578	10324229.00
2011/01/27	4.74	4.86	4.67	4.85	616511	16359412.00
2011/01/28	4.79	4.89	4.79	4.85	366483	9811872.00
2011/01/31	4.87	4.88	4.80	4.85	335064	8992757.00
2011/02/01	4.83	4.88	4.81	4.81	273291	7342018.50
2011/02/09	4.79	4.81	4.74	4.76	390470	10327713.00
2011/02/10	4.73	4.91	4.73	4.89	840195	22539280.00
2011/02/11	4.87	4.91	4.85	4.90	506601	13721883.00
2011/02/14	4.89	5.03	4.89	4.98	734931	20226572.00
2011/02/15	4.98	5.04	4.96	5.01	853088	23650728.00
2011/02/16	5.01	5.08	4.99	5.05	480798	13420121.00
2011/02/17	5.05	5.08	4.98	5.01	618384	17184364.00
2011/02/18	4.99	5.03	4.98	5.00	598918	16588149.00
2011/02/21	4.90	5.16	4.90	5.07	1043899	29208224.00
2011/02/22	5.10	5.11	4.93	4.94	1215918	33680132.00
2011/02/23	4.93	5.08	4.91	5.06	735087	20255812.00
2011/02/24	5.08	5.16	5.06	5.10	923514	26113494.00
2011/02/25	5.06	5.11	5.00	5.02	851940	23727590.00
2011/02/28	5.00	5.18	4.97	5.18	1016809	28722816.00
2011/03/01	5.16	5.17	5.06	5.12	866536	24485476.00
2011/03/02	5.09	5.14	5.05	5.13	556302	15647057.00
2011/03/03	5.13	5.14	5.02	5.08	843221	23679392.00
