002461 珠江啤酒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/08/18	6.67	8.02	6.65	7.88	50998626	741779328.00
2010/08/19	7.47	8.69	7.45	8.69	41231184	680990016.00
2010/08/20	8.37	9.49	8.37	9.03	33876809	617273408.00
2010/08/23	8.92	9.08	8.59	8.77	19177104	343709120.00
2010/08/24	8.71	8.71	8.38	8.52	14124759	244676992.00
2010/08/25	8.29	9.11	8.28	8.86	20217663	363275808.00
2010/08/26	8.78	8.93	8.52	8.62	10290906	181556416.00
2010/08/27	8.59	8.83	8.35	8.68	8014334	141008912.00
2010/08/30	8.74	9.56	8.70	9.56	24885377	474257216.00
2010/08/31	9.49	10.49	9.36	9.99	25899630	519084480.00
2010/09/01	9.79	10.94	9.72	10.76	22027393	458827104.00
2010/09/02	10.75	11.85	10.55	11.85	17600940	410652032.00
2010/09/03	12.24	13.05	12.24	13.05	21794873	564679552.00
2010/09/06	13.09	13.78	12.09	12.60	23883670	625815296.00
2010/09/07	12.32	13.54	11.99	13.04	18309817	478050848.00
2010/09/08	12.59	13.02	12.49	12.69	12212801	313387072.00
2010/09/09	12.69	13.27	12.47	12.79	11581498	302319104.00
2010/09/10	12.59	12.78	11.90	12.44	11878996	296391168.00
2010/09/13	12.35	13.09	12.21	12.95	12853844	329755104.00
2010/09/14	12.99	14.26	12.80	14.26	20512619	576227968.00
2010/09/15	14.84	15.32	13.62	13.79	22664124	673284224.00
2010/09/16	13.98	14.24	12.69	13.40	14078932	376961568.00
2010/09/17	13.40	13.99	12.84	13.64	12408971	339780352.00
2010/09/20	13.29	14.09	13.19	13.49	9540478	264678544.00
2010/09/27	13.27	13.42	12.84	12.99	10594328	279835392.00
2010/09/28	12.99	13.37	12.85	13.07	8461853	223841312.00
2010/09/29	12.89	13.03	11.89	12.10	10856258	272230144.00
2010/09/30	11.94	11.97	11.40	11.77	9775310	230681040.00
2010/10/08	11.77	12.16	11.77	11.97	7485512	181671088.00
2010/10/11	11.94	13.18	11.54	13.18	15889081	397028928.00
2010/10/12	13.09	13.83	12.91	12.98	14754891	397309184.00
2010/10/13	12.60	12.92	12.12	12.48	9819192	247688528.00
2010/10/14	12.48	12.48	11.79	11.81	7918078	193082080.00
2010/10/15	11.62	12.34	11.62	11.92	5681032	138687008.00
2010/10/18	11.73	12.36	11.16	12.16	8163635	191357088.00
2010/10/19	11.94	12.63	11.69	12.27	7364062	182407952.00
2010/10/20	11.78	12.35	11.64	12.02	6056939	148342112.00
2010/10/21	11.87	12.24	11.87	12.06	4807447	117564488.00
2010/10/22	12.09	12.60	11.95	12.34	7992054	199367056.00
2010/10/25	12.34	12.49	12.09	12.31	6737102	167361200.00
2010/10/26	12.34	12.34	11.96	12.12	5908193	144794752.00
2010/10/27	12.07	13.20	11.87	12.48	12035947	307777344.00
2010/10/28	12.29	12.59	12.07	12.17	5576642	137849120.00
2010/10/29	12.04	12.39	12.04	12.29	5000956	124204424.00
2010/11/01	12.25	12.89	12.18	12.75	9863336	253232272.00
2010/11/02	12.77	14.04	12.54	14.04	20322250	548481664.00
2010/11/03	13.84	15.01	13.34	13.44	22770887	659631296.00
2010/11/04	13.19	13.33	12.84	13.22	10843102	286880512.00
2010/11/05	13.25	13.85	13.01	13.48	9217650	252491680.00
2010/11/08	13.59	13.62	13.07	13.19	7469385	199796880.00
2010/11/09	13.19	13.59	13.11	13.24	5864822	157641184.00
2010/11/10	13.22	13.59	12.84	13.38	9253161	249600752.00
2010/11/11	13.24	13.59	13.17	13.24	7617090	205783696.00
2010/11/12	12.94	13.18	11.90	11.90	8215495	207087104.00
2010/11/15	11.90	12.33	11.64	12.29	5481318	132847296.00
