002480 新筑股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/21	9.76	11.68	9.75	11.08	23036130	1017931840.00
2010/09/27	10.91	12.03	10.16	11.59	10192228	467159104.00
2010/09/28	11.34	12.26	11.09	11.91	6641760	315230720.00
2010/09/29	11.79	12.36	11.49	12.04	6221829	300856128.00
2010/09/30	11.89	13.27	11.79	13.27	3873805	199971136.00
2010/10/08	13.89	14.24	13.36	13.90	4473255	250615136.00
2010/10/11	13.66	14.53	13.45	14.26	4307703	243030848.00
2010/10/12	14.03	14.50	13.54	14.22	3060990	174959440.00
2010/10/13	13.94	14.51	13.54	13.71	4527869	254990496.00
2010/10/14	13.61	14.16	13.24	13.54	2900449	161077184.00
2010/10/15	13.35	13.56	13.17	13.35	2310212	124826016.00
2010/10/18	13.33	14.70	13.29	14.66	3719636	214772928.00
2010/10/19	14.46	14.84	14.04	14.48	2051261	120993064.00
2010/10/20	14.28	14.87	14.04	14.58	2004390	118238512.00
2010/10/21	14.58	15.29	14.54	14.75	1708303	103588200.00
2010/10/22	14.79	15.12	14.44	14.84	1531461	91987600.00
2010/10/26	15.29	15.46	14.19	14.27	2654722	157451168.00
2010/10/27	13.97	14.18	13.74	13.87	1522898	86231456.00
2010/10/28	13.88	14.73	13.88	14.60	1689722	99207312.00
2010/10/29	14.69	15.46	14.69	15.36	2019445	125044160.00
2010/11/01	15.46	16.00	15.37	15.45	2080366	132411016.00
2010/11/02	15.29	17.01	15.28	16.54	2872663	188059984.00
2010/11/03	16.49	16.75	16.18	16.35	1494390	98851544.00
2010/11/04	16.52	16.71	16.30	16.51	1285810	86019840.00
2010/11/05	16.54	17.00	16.31	16.84	1467217	98808928.00
2010/11/08	16.84	17.27	16.51	17.19	1339204	92281032.00
2010/11/09	17.01	17.50	16.86	17.13	890849	61720412.00
2010/11/10	17.13	17.34	16.90	17.23	837159	58119672.00
2010/11/11	17.23	17.50	17.04	17.04	1078384	75649592.00
2010/11/12	17.03	17.03	15.57	15.73	2042093	135156752.00
2010/11/15	16.16	16.66	15.79	16.46	1196600	78651680.00
2010/11/16	16.71	17.70	16.71	16.86	3526208	244577024.00
2010/11/17	16.96	17.14	16.01	16.29	2134988	141214240.00
2010/11/18	16.41	16.74	16.17	16.66	978751	65651744.00
2010/11/19	16.67	17.42	16.43	17.16	1062848	73151296.00
2010/11/22	17.03	17.41	16.79	17.27	1312213	91144144.00
2010/11/23	17.24	17.24	16.67	16.92	988248	67565216.00
2010/11/24	16.79	18.06	16.79	18.06	1880766	134268528.00
