002489 浙江永强 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/10/21	3.69	3.86	3.61	3.71	31751294	1272464768.00
2010/10/22	3.75	4.15	3.64	4.06	22915129	961201280.00
2010/10/25	3.97	4.02	3.86	3.90	16445044	693030016.00
2010/10/26	3.86	3.95	3.70	3.78	11580052	474742688.00
2010/10/27	3.67	3.80	3.64	3.79	8855857	354802944.00
2010/10/28	3.73	3.74	3.67	3.69	5535984	221653328.00
2010/10/29	3.68	3.74	3.65	3.70	5187405	207703936.00
2010/11/01	3.70	3.83	3.68	3.77	6589861	267828304.00
2010/11/02	3.75	3.81	3.66	3.67	6885604	277046848.00
2010/11/03	3.66	3.67	3.55	3.55	4804029	187542048.00
2010/11/04	3.55	3.62	3.55	3.59	2974456	116003592.00
2010/11/05	3.62	3.72	3.59	3.67	4468137	177454832.00
2010/11/08	3.65	3.71	3.65	3.70	3635493	144971024.00
2010/11/09	3.71	3.78	3.67	3.77	4997813	201623488.00
2010/11/10	3.76	3.77	3.71	3.74	4311561	174124880.00
2010/11/11	3.73	3.77	3.67	3.68	5176545	209034544.00
2010/11/12	3.66	3.67	3.48	3.48	5484392	212425360.00
2010/11/15	3.45	3.55	3.45	3.55	2681797	102572400.00
2010/11/16	3.56	3.61	3.46	3.49	2590378	99668328.00
2010/11/17	3.46	3.53	3.45	3.46	1634534	62287020.00
2010/11/18	3.48	3.54	3.46	3.53	1620075	61883404.00
2010/11/19	3.55	3.56	3.50	3.55	2029700	78144584.00
2010/11/22	3.51	3.61	3.51	3.57	2600477	101097376.00
2010/11/23	3.54	3.58	3.51	3.54	1775612	68382536.00
2010/11/24	3.54	3.62	3.54	3.61	2264331	88479312.00
2010/11/25	3.61	3.62	3.57	3.60	2152873	84027728.00
2010/11/26	3.60	3.60	3.55	3.58	1648250	64103392.00
2010/11/29	3.57	3.62	3.57	3.59	1836601	71809272.00
2010/11/30	3.59	3.61	3.45	3.50	2671604	102222616.00
2010/12/01	3.49	3.55	3.49	3.52	1175833	45135192.00
2010/12/03	3.53	3.69	3.53	3.66	4475036	175834784.00
2010/12/06	3.66	3.67	3.50	3.54	2550561	99423080.00
2010/12/07	3.50	3.60	3.50	3.57	1364294	52793272.00
2010/12/08	3.57	3.57	3.51	3.52	1130881	43635968.00
2010/12/09	3.51	3.54	3.48	3.48	1306348	49997028.00
2010/12/10	3.48	3.53	3.48	3.53	766118	29296066.00
2010/12/13	3.54	3.62	3.54	3.60	2117052	82573192.00
2010/12/14	3.60	3.77	3.58	3.74	6526309	261821424.00
2010/12/15	3.72	3.73	3.64	3.66	3017713	120195392.00
2010/12/16	3.65	3.72	3.64	3.67	2056679	82025072.00
2010/12/17	3.68	3.74	3.65	3.72	1748114	70063136.00
2010/12/20	3.72	3.74	3.54	3.60	2678852	105734320.00
2010/12/21	3.63	3.72	3.61	3.69	2054512	81921760.00
2010/12/22	3.70	3.76	3.68	3.69	2757082	111022016.00
2010/12/23	3.66	3.78	3.66	3.70	2979836	120189288.00
2010/12/24	3.66	3.68	3.51	3.54	2422949	93953904.00
2010/12/27	3.56	3.58	3.43	3.45	2172742	83090016.00
2010/12/28	3.44	3.46	3.31	3.46	1721262	64250248.00
2010/12/29	3.44	3.48	3.43	3.47	706936	26765314.00
2010/12/30	3.46	3.46	3.36	3.40	1119081	41916500.00
2010/12/31	3.42	3.47	3.40	3.47	920120	34791480.00
2011/01/04	3.48	3.53	3.48	3.51	1135658	43456352.00
2011/01/05	3.52	3.54	3.49	3.50	988815	37891264.00
2011/01/06	3.50	3.52	3.44	3.45	911010	34676736.00
2011/01/07	3.43	3.48	3.42	3.44	791524	29926410.00
2011/01/10	3.44	3.49	3.38	3.39	697671	26253502.00
2011/01/11	3.39	3.42	3.31	3.34	990871	36459156.00
2011/01/12	3.37	3.38	3.27	3.31	923092	33753660.00
2011/01/13	3.30	3.34	3.30	3.31	472639	17279914.00
2011/01/14	3.29	3.31	3.20	3.20	974649	34993236.00
2011/01/17	3.20	3.20	3.00	3.01	1339225	45848244.00
2011/01/18	3.01	3.03	2.98	3.02	476426	16091475.00
2011/01/19	3.02	3.07	3.00	3.07	540373	18448814.00
2011/01/20	3.04	3.07	2.92	2.92	898095	30159322.00
2011/01/21	2.92	3.01	2.86	3.00	2009312	66025716.00
2011/01/24	2.96	2.99	2.86	2.87	868206	28665174.00
2011/01/25	2.87	2.91	2.76	2.80	1403934	44856200.00
2011/01/26	2.80	2.87	2.80	2.81	1264912	40598452.00
2011/01/27	2.78	2.87	2.77	2.85	1675124	53945016.00
2011/01/28	2.84	2.87	2.81	2.86	1024531	33033072.00
2011/01/31	2.85	3.03	2.84	3.02	3040255	100562640.00
2011/02/01	3.02	3.09	2.99	3.04	1949049	66398476.00
2011/02/09	3.00	3.02	2.95	2.97	1739979	58352568.00
2011/02/10	2.97	3.05	2.94	3.05	2633533	88876344.00
2011/02/11	3.05	3.25	3.03	3.19	2945752	103383400.00
2011/02/14	3.19	3.26	3.14	3.23	2017884	71640488.00
2011/02/15	3.22	3.25	3.16	3.18	1633050	58005792.00
2011/02/16	3.18	3.23	3.17	3.22	1169898	41624696.00
2011/02/17	3.22	3.28	3.21	3.25	1450320	52036108.00
2011/02/18	3.23	3.24	3.11	3.12	2639996	92480128.00
2011/02/21	3.13	3.19	3.12	3.17	1313102	46066872.00
2011/02/22	3.24	3.25	3.05	3.05	2147102	75168064.00
2011/02/23	3.04	3.08	3.04	3.06	1273846	43598584.00
2011/02/24	3.06	3.10	3.05	3.07	1621806	55574916.00
2011/02/25	3.08	3.15	3.06	3.15	1632982	56678076.00
2011/02/28	3.15	3.20	3.13	3.20	1337378	47084988.00
2011/03/01	3.20	3.20	3.13	3.15	1230322	43188332.00
2011/03/02	3.16	3.17	3.08	3.13	921464	32064908.00
2011/03/03	3.14	3.14	3.02	3.02	1184946	40714948.00
2011/03/04	2.99	3.05	2.99	3.05	547571	18571498.00
2011/03/07	3.05	3.11	3.05	3.10	845976	29025748.00
2011/03/08	3.10	3.20	3.05	3.19	2237450	78092536.00
2011/03/09	3.19	3.20	3.12	3.14	1417981	49722996.00
2011/03/10	3.14	3.18	3.10	3.14	886940	30955902.00
2011/03/11	3.14	3.18	3.11	3.16	1232002	43247600.00
2011/03/14	3.18	3.25	3.18	3.25	2049186	73358088.00
2011/03/15	3.25	3.26	3.12	3.18	1840325	64843184.00
2011/03/16	3.19	3.34	3.15	3.33	2145862	77188384.00
2011/03/17	3.29	3.36	3.23	3.25	1913054	69523928.00
2011/03/18	3.29	3.31	3.20	3.20	1837733	65905868.00
2011/03/21	3.16	3.20	3.06	3.08	2315863	80424960.00
2011/03/22	3.08	3.10	3.05	3.08	753881	25920246.00
2011/03/23	3.10	3.10	3.06	3.08	1215126	41753892.00
2011/03/24	3.09	3.09	3.05	3.05	1269364	43540184.00
2011/03/25	3.07	3.09	3.05	3.08	1270664	43681664.00
2011/03/28	3.09	3.10	3.00	3.01	1807329	61756784.00
2011/03/29	3.00	3.03	2.95	2.95	1163032	38917968.00
2011/03/30	2.96	2.98	2.91	2.92	925869	30679386.00
2011/03/31	2.92	2.94	2.85	2.88	1196711	39126176.00
2011/04/01	2.89	2.94	2.89	2.94	706303	23262466.00
2011/04/06	2.94	2.94	2.90	2.92	825320	27212046.00
2011/04/07	2.93	2.98	2.92	2.97	596388	19891040.00
2011/04/08	2.97	3.11	2.96	3.08	2160443	73529808.00
2011/04/11	3.04	3.07	2.98	2.99	1524335	51662372.00
2011/04/12	2.97	3.01	2.91	2.93	1045555	34760896.00
2011/04/13	2.94	2.98	2.92	2.97	1358176	45197608.00
2011/04/14	2.95	2.98	2.92	2.94	810878	26961360.00
2011/04/18	2.94	3.03	2.88	2.94	799964	26505100.00
2011/04/19	2.93	2.93	2.85	2.86	1012774	32941396.00
2011/04/20	2.87	2.92	2.86	2.90	558403	18205886.00
2011/04/21	2.93	2.98	2.92	2.97	1070908	35751400.00
2011/04/22	2.98	3.02	2.97	2.99	1116212	37520856.00
2011/04/25	3.01	3.01	2.91	2.93	699961	23267940.00
2011/04/26	2.95	2.95	2.87	2.89	821639	26929134.00
2011/04/27	2.98	3.18	2.98	3.12	5152019	177922032.00
2011/04/28	3.08	3.08	2.87	2.88	3115246	100950208.00
2011/04/29	2.88	2.97	2.88	2.93	1260689	40494860.00
2011/05/03	2.96	2.97	2.90	2.95	1008361	32431544.00
2011/05/04	2.94	2.94	2.87	2.88	1124128	35674048.00
2011/05/05	2.88	2.92	2.88	2.91	594740	18941840.00
2011/05/06	2.89	3.02	2.88	2.98	1557831	50752608.00
2011/05/09	3.00	3.03	2.97	2.99	931189	30387174.00
2011/05/10	2.99	3.01	2.96	3.00	819387	26624420.00
2011/05/11	3.00	3.08	2.99	3.04	1768994	58471116.00
2011/05/12	3.01	3.03	2.93	2.94	1209225	39357572.00
2011/05/13	2.94	2.99	2.92	2.98	734713	23769594.00
2011/05/16	2.98	3.05	2.96	3.02	1142969	37604428.00
2011/05/17	3.01	3.10	3.01	3.08	1867381	62220456.00
2011/05/18	3.06	3.08	3.03	3.07	1009005	33501324.00
2011/05/19	3.07	3.11	3.03	3.03	1218459	40567528.00
2011/05/20	3.02	3.05	3.00	3.03	778580	25604526.00
2011/05/23	3.03	3.03	2.87	2.87	1405767	44921288.00
2011/05/24	2.88	2.90	2.79	2.88	924231	28898222.00
2011/05/25	2.87	2.90	2.79	2.79	647028	20153180.00
2011/05/26	2.81	2.84	2.78	2.78	578202	17897466.00
2011/05/27	2.78	2.80	2.72	2.72	585042	17826682.00
2011/05/30	2.72	2.75	2.68	2.69	520469	15660973.00
2011/05/31	2.70	2.76	2.69	2.75	587412	17765576.00
2011/06/01	2.75	2.79	2.74	2.78	507407	15506622.00
2011/06/02	2.74	2.74	2.68	2.72	614982	18497030.00
2011/06/03	2.72	2.80	2.72	2.77	678770	20760020.00
2011/06/07	2.77	2.80	2.75	2.77	487929	14955811.00
2011/06/08	2.75	2.79	2.74	2.78	382166	11675300.00
2011/06/09	2.78	2.78	2.69	2.70	549362	16602092.00
2011/06/10	2.70	2.70	2.62	2.67	535798	15877207.00
2011/06/13	2.65	2.65	2.60	2.64	400134	11727658.00
2011/06/14	2.64	2.69	2.63	2.68	501855	14935287.00
2011/06/15	2.68	2.69	2.64	2.67	516804	15342500.00
2011/06/16	2.64	2.64	2.61	2.62	403480	11830163.00
2011/06/17	2.62	2.65	2.58	2.59	414835	12110087.00
2011/06/20	2.59	2.62	2.47	2.48	939699	26639502.00
2011/06/21	2.47	2.52	2.45	2.49	945799	26485414.00
2011/06/22	2.50	2.50	2.42	2.42	1425381	39403756.00
2011/06/23	2.43	2.52	2.38	2.52	1834277	51205552.00
2011/06/24	2.49	2.64	2.49	2.61	2128958	61454072.00
2011/06/27	2.66	2.77	2.66	2.68	2186674	65584116.00
2011/06/28	2.68	2.74	2.66	2.70	1314843	39406544.00
2011/06/29	2.70	2.72	2.63	2.63	1016228	30207438.00
2011/06/30	2.63	2.74	2.63	2.70	1043042	31204766.00
2011/07/01	2.71	2.73	2.69	2.70	1012663	30454596.00
2011/07/04	2.73	2.78	2.72	2.76	1224606	37369448.00
2011/07/05	2.76	2.83	2.75	2.81	1629110	50324864.00
2011/07/06	2.81	2.96	2.79	2.90	2968370	94049392.00
2011/07/07	2.90	3.00	2.89	2.92	3022014	97296544.00
2011/07/08	2.91	2.94	2.85	2.89	1799099	56931684.00
2011/07/11	2.86	2.93	2.84	2.91	1444382	45848424.00
2011/07/12	2.89	2.90	2.84	2.84	1694605	53256808.00
2011/07/13	2.82	2.93	2.82	2.91	1556835	49310404.00
2011/07/14	2.88	2.88	2.78	2.84	4901403	152167024.00
2011/07/15	2.84	2.91	2.81	2.86	2343389	73726056.00
2011/07/18	2.89	2.99	2.88	2.96	3016195	97164560.00
2011/07/19	2.92	2.94	2.87	2.88	1313974	41767620.00
2011/07/20	2.91	2.94	2.82	2.86	1330520	41924296.00
2011/07/21	2.84	2.86	2.80	2.81	1148455	35686320.00
2011/07/22	2.82	2.86	2.81	2.83	959464	29913462.00
2011/07/25	2.82	2.82	2.63	2.66	1508795	45494684.00
2011/07/26	2.65	2.68	2.63	2.65	666771	19693666.00
2011/07/27	2.65	2.76	2.65	2.74	1160656	35011156.00
2011/07/28	2.71	2.74	2.67	2.70	967218	28971438.00
2011/07/29	2.69	2.73	2.67	2.72	919437	27552862.00
2011/08/01	2.72	2.85	2.70	2.83	2347629	72569736.00
2011/08/02	2.74	2.74	2.54	2.64	2999822	87655640.00
2011/08/03	2.60	2.63	2.57	2.60	1180843	34351284.00
2011/08/04	2.60	2.64	2.60	2.62	884859	25865636.00
2011/08/05	2.54	2.54	2.49	2.51	1496193	42339900.00
2011/08/08	2.46	2.47	2.29	2.33	1606147	43478992.00
2011/08/09	2.26	2.34	2.21	2.31	1372811	35858460.00
2011/08/10	2.35	2.41	2.33	2.35	1308352	35325332.00
2011/08/11	2.26	2.40	2.17	2.40	1272835	33988172.00
2011/08/12	2.41	2.44	2.40	2.41	1085206	29769190.00
2011/08/15	2.41	2.45	2.39	2.45	1129463	31044420.00
2011/08/16	2.44	2.47	2.41	2.41	814419	22446870.00
2011/08/17	2.41	2.45	2.41	2.42	720018	19811682.00
2011/08/18	2.42	2.42	2.33	2.33	934538	25164978.00
2011/08/19	2.26	2.29	2.24	2.28	759633	19777924.00
2011/08/22	2.29	2.34	2.28	2.29	720296	19018162.00
2011/08/23	2.31	2.42	2.30	2.41	987960	26547474.00
2011/08/24	2.41	2.47	2.39	2.39	880727	24185154.00
2011/08/25	2.39	2.46	2.39	2.44	1508582	41449544.00
2011/08/26	2.44	2.50	2.43	2.49	1516204	42385504.00
2011/08/29	2.48	2.52	2.46	2.47	1135980	31832418.00
2011/08/30	2.47	2.53	2.43	2.44	1211075	33986692.00
2011/08/31	2.43	2.45	2.40	2.42	672697	18503460.00
2011/09/01	2.42	2.45	2.39	2.40	445131	12208262.00
2011/09/02	2.40	2.41	2.34	2.35	372587	10052354.00
2011/09/05	2.32	2.33	2.27	2.27	530488	13930532.00
2011/09/06	2.26	2.27	2.20	2.24	594266	15347966.00
2011/09/07	2.25	2.31	2.25	2.29	566743	14823330.00
2011/09/08	2.31	2.34	2.28	2.28	446461	11804549.00
2011/09/09	2.28	2.32	2.25	2.27	272440	7134133.00
2011/09/13	2.25	2.26	2.21	2.24	306455	7891705.50
2011/09/14	2.26	2.28	2.21	2.28	680284	17656914.00
2011/09/15	2.30	2.36	2.28	2.33	1475651	39161952.00
2011/09/16	2.33	2.36	2.31	2.32	515605	13752275.00
2011/09/19	2.30	2.30	2.22	2.22	460764	11883744.00
2011/09/20	2.22	2.25	2.21	2.24	290761	7482452.50
2011/09/21	2.23	2.33	2.23	2.32	625396	16505903.00
2011/09/22	2.31	2.31	2.23	2.23	499379	13025839.00
2011/09/23	2.17	2.22	2.15	2.19	556836	14071452.00
2011/09/26	2.18	2.23	2.17	2.19	356960	9052444.00
2011/09/27	2.21	2.22	2.18	2.20	409699	10431343.00
2011/09/28	2.21	2.24	2.18	2.22	551767	14131911.00
2011/09/29	2.21	2.22	2.18	2.19	669208	17069654.00
2011/09/30	2.21	2.21	2.13	2.15	406590	10187572.00
2011/10/10	2.15	2.18	2.09	2.09	283824	7059489.00
2011/10/11	2.14	2.18	2.00	2.02	935493	22701282.00
2011/10/12	2.01	2.10	1.99	2.09	758807	18342486.00
2011/10/13	2.09	2.12	2.06	2.11	657274	16152823.00
2011/10/14	2.10	2.12	2.07	2.10	414780	10157115.00
2011/10/17	2.11	2.12	2.08	2.10	469338	11489913.00
2011/10/18	2.09	2.10	1.99	1.99	607870	14605157.00
