002495 佳隆股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/02	3.55	3.75	3.55	3.58	11910642	407303744.00
2010/11/03	3.48	3.55	3.44	3.45	4383442	143762064.00
2010/11/04	3.46	3.51	3.45	3.48	2311190	75971600.00
2010/11/05	3.49	3.51	3.46	3.49	2311940	76160848.00
2010/11/08	3.51	3.55	3.49	3.54	2752663	91489896.00
2010/11/09	3.55	3.59	3.51	3.58	2942141	98732984.00
2010/11/10	3.55	3.66	3.55	3.60	3282772	111745784.00
2010/11/11	3.59	3.62	3.53	3.53	2557531	86080504.00
2010/11/12	3.51	3.52	3.39	3.39	2537802	82800208.00
2010/11/15	3.44	3.49	3.40	3.46	1013133	32918952.00
2010/11/16	3.44	3.49	3.41	3.44	1304931	42589140.00
2010/11/17	3.44	3.49	3.42	3.44	1015179	33164734.00
2010/11/18	3.46	3.48	3.44	3.47	752926	24657078.00
2010/11/19	3.48	3.49	3.43	3.48	940099	30720110.00
2010/11/22	3.47	3.54	3.47	3.51	1444598	47834076.00
2010/11/23	3.49	3.51	3.45	3.48	1030976	33863700.00
2010/11/24	3.46	3.56	3.45	3.55	1864425	61913728.00
2010/11/25	3.58	3.59	3.49	3.50	1784352	59534316.00
2010/11/26	3.49	3.52	3.48	3.50	916207	30284536.00
2010/11/29	3.51	3.52	3.47	3.48	894064	29450900.00
2010/11/30	3.48	3.50	3.40	3.44	1041029	33905204.00
2010/12/01	3.44	3.45	3.41	3.43	550147	17800384.00
2010/12/02	3.44	3.48	3.44	3.46	755055	24695870.00
2010/12/03	3.45	3.47	3.41	3.45	738697	23940246.00
2010/12/06	3.44	3.45	3.40	3.41	650524	21015648.00
2010/12/07	3.41	3.43	3.39	3.42	460422	14839660.00
2010/12/08	3.43	3.43	3.39	3.41	483983	15631851.00
2010/12/09	3.41	3.41	3.39	3.39	513530	16492061.00
2010/12/10	3.39	3.40	3.38	3.40	346205	11111255.00
2010/12/13	3.42	3.47	3.42	3.47	1212404	39553240.00
2010/12/14	3.47	3.55	3.46	3.51	1312139	43282416.00
2010/12/15	3.51	3.71	3.50	3.62	5020178	170996896.00
2010/12/16	3.62	3.65	3.55	3.56	1514513	51107068.00
2010/12/17	3.56	3.60	3.54	3.58	1071130	36111980.00
2010/12/20	3.59	3.63	3.47	3.57	1770854	59608088.00
2010/12/21	3.56	3.59	3.54	3.56	916527	30792674.00
2010/12/22	3.55	3.55	3.49	3.50	832125	27670242.00
2010/12/23	3.48	3.54	3.48	3.51	512605	17009846.00
2010/12/24	3.51	3.51	3.40	3.42	730047	23700194.00
2010/12/27	3.43	3.44	3.33	3.34	1150073	36926116.00
2010/12/28	3.34	3.37	3.29	3.33	543124	17109986.00
2010/12/29	3.33	3.36	3.30	3.35	248506	7847048.00
2010/12/30	3.35	3.35	3.29	3.31	474581	14881387.00
2010/12/31	3.32	3.34	3.31	3.33	335654	10561455.00
2011/01/04	3.35	3.40	3.33	3.36	819867	26104674.00
2011/01/05	3.36	3.39	3.34	3.34	554879	17651382.00
2011/01/06	3.35	3.36	3.26	3.26	1016599	31758620.00
2011/01/07	3.26	3.28	3.24	3.26	785238	24258830.00
2011/01/10	3.26	3.26	3.19	3.20	979534	29906114.00
2011/01/11	3.19	3.20	3.13	3.14	670400	20075822.00
2011/01/12	3.14	3.16	3.13	3.16	360894	10789970.00
2011/01/13	3.18	3.18	3.15	3.17	288716	8680366.00
2011/01/14	3.19	3.34	3.19	3.26	1521760	47174164.00
2011/01/17	3.25	3.25	3.11	3.12	499478	14994611.00
2011/01/18	3.12	3.15	3.05	3.10	405690	11843975.00
2011/01/19	3.10	3.14	3.06	3.12	266378	7839063.50
2011/01/20	3.11	3.12	3.04	3.04	305867	8951972.00
2011/01/21	3.04	3.06	3.02	3.03	215418	6224232.50
2011/01/24	3.05	3.05	2.94	2.94	267648	7584322.50
2011/01/25	2.95	2.98	2.93	2.96	264812	7464206.00
2011/01/26	2.96	2.99	2.95	2.97	115056	3261118.25
2011/01/27	2.95	3.00	2.95	2.99	250826	7131594.00
2011/01/28	2.99	3.00	2.96	3.00	220321	6277983.00
2011/01/31	2.99	3.06	2.97	3.05	238362	6834990.00
2011/02/01	3.05	3.05	3.01	3.02	171168	4931516.50
2011/02/09	2.94	2.99	2.88	2.89	1823615	50703088.00
2011/02/10	2.90	3.12	2.87	3.12	2350820	66428712.00
2011/02/11	3.06	3.11	3.04	3.06	2466425	71902016.00
2011/02/14	3.09	3.11	3.05	3.08	1693167	49690916.00
2011/02/15	3.08	3.09	3.05	3.06	1005748	29351910.00
2011/02/16	3.06	3.12	3.06	3.12	1311535	38637148.00
2011/02/17	3.12	3.12	3.06	3.08	913519	26798614.00
2011/02/18	3.08	3.08	3.05	3.06	628351	18310734.00
2011/02/21	3.05	3.11	3.04	3.09	658261	19298562.00
2011/02/22	3.09	3.11	2.96	2.96	1126994	32476036.00
2011/02/23	2.97	2.98	2.92	2.95	1203609	33804824.00
2011/02/24	2.95	2.97	2.94	2.97	532188	15012561.00
2011/02/25	2.95	2.97	2.93	2.96	613955	17245352.00
2011/02/28	2.96	2.99	2.94	2.98	748503	21160988.00
