002497 雅化集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/09	6.11	6.20	5.86	6.11	24962698	984610304.00
2010/11/10	5.98	6.11	5.91	5.98	11376758	447796352.00
2010/11/11	5.94	6.12	5.91	5.98	9319274	368799072.00
2010/11/12	5.98	6.26	5.95	6.05	11550216	460907520.00
2010/11/15	6.09	6.10	5.39	5.81	7718550	292162240.00
2010/11/16	5.75	6.01	5.56	5.66	4927254	188058304.00
2010/11/17	5.55	5.71	5.46	5.50	3207790	117473016.00
2010/11/18	5.55	5.64	5.43	5.62	2576982	94213728.00
2010/11/19	5.61	5.71	5.46	5.65	2738645	101201320.00
2010/11/22	5.59	5.81	5.57	5.71	3035031	114424736.00
2010/11/23	5.69	5.77	5.60	5.68	1943486	72554648.00
2010/11/24	5.64	5.83	5.63	5.79	2405849	91225832.00
2010/11/25	5.80	5.88	5.72	5.76	2195006	83449688.00
2010/11/26	5.79	5.93	5.76	5.87	3712115	142939408.00
2010/11/29	5.87	5.92	5.81	5.86	2028739	78153872.00
2010/11/30	5.86	5.88	5.51	5.69	3062393	114672384.00
2010/12/01	5.65	5.71	5.61	5.66	1082486	40445528.00
2010/12/02	5.71	5.74	5.66	5.70	1165677	43702360.00
2010/12/03	5.70	5.73	5.55	5.60	1235595	45682684.00
2010/12/06	5.61	5.64	5.47	5.50	878181	32090060.00
2010/12/07	5.53	5.59	5.45	5.58	753809	27538804.00
2010/12/08	5.57	5.81	5.53	5.76	2161687	81358408.00
2010/12/09	5.76	5.76	5.63	5.72	1463030	54848672.00
2010/12/10	5.72	5.81	5.61	5.76	1714617	64813708.00
2010/12/13	5.77	5.94	5.77	5.90	3041820	117508400.00
2010/12/14	5.96	6.55	5.88	6.55	7262096	294452640.00
2010/12/15	6.61	7.00	6.53	6.69	8371518	362394336.00
2010/12/16	6.63	6.94	6.63	6.86	5723572	253350064.00
2010/12/17	6.81	7.00	6.71	6.88	3598386	159668608.00
2010/12/20	6.83	7.14	6.70	6.83	3721651	166540960.00
2010/12/21	6.86	6.92	6.64	6.70	3055900	133652256.00
2010/12/22	6.68	7.06	6.61	6.99	4296119	191443664.00
2010/12/23	6.91	6.99	6.66	6.70	2283665	100753320.00
2010/12/24	6.58	6.58	6.20	6.22	3196209	131878744.00
2010/12/27	6.28	6.47	6.23	6.26	3474919	144316528.00
2010/12/28	6.36	6.51	6.22	6.36	1653643	68625960.00
2010/12/29	6.40	6.65	6.30	6.58	2008214	85569432.00
2010/12/30	6.61	6.64	6.41	6.50	1659895	70506288.00
2010/12/31	6.55	6.60	6.38	6.50	1725106	72642224.00
