002508 老板电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/23	4.06	6.95	3.65	4.76	27732682	1005752448.00
2010/11/24	4.09	4.53	4.09	4.09	19322156	692489216.00
2010/11/25	4.19	4.70	4.11	4.70	16557794	611246912.00
2010/11/26	4.50	5.36	4.47	5.36	18414134	752120256.00
2010/11/29	5.38	5.96	5.19	5.63	14653228	645261440.00
2010/11/30	5.46	6.03	5.24	5.63	13691223	611878976.00
2010/12/01	5.41	6.10	5.39	6.00	11737494	534065856.00
2010/12/02	6.07	6.23	5.66	5.76	9836095	451280800.00
2010/12/03	5.60	5.65	5.00	5.04	10372287	435924992.00
2010/12/06	4.92	5.24	4.81	5.02	6694523	274248032.00
2010/12/07	4.99	4.99	4.47	4.76	6915332	267966544.00
2010/12/08	4.71	5.00	4.69	4.76	4919080	194295312.00
2010/12/09	4.68	4.68	4.32	4.36	5326157	199617424.00
2010/12/10	4.47	4.66	4.37	4.61	4327794	163015296.00
2010/12/13	4.67	4.95	4.51	4.82	5871152	229816176.00
2010/12/14	4.81	5.49	4.69	5.36	9813732	403141568.00
2010/12/15	5.25	5.48	5.04	5.09	7710864	324452544.00
2010/12/16	5.09	5.34	5.02	5.14	4382084	182624240.00
2010/12/17	5.07	5.20	5.03	5.07	3060499	125814296.00
2010/12/20	5.06	5.15	4.52	4.79	4083263	162128192.00
2010/12/21	4.76	4.84	4.66	4.80	2583544	101106360.00
2010/12/22	4.82	5.11	4.71	4.99	3704790	149121968.00
2010/12/23	4.92	5.31	4.89	5.23	6211275	259121456.00
2010/12/24	5.16	5.27	4.69	4.69	4409710	175585904.00
2010/12/27	4.74	4.81	4.34	4.45	3199202	121779928.00
2010/12/28	4.40	4.45	4.11	4.28	2040799	74071768.00
2010/12/29	4.30	4.50	4.22	4.47	1645315	60664668.00
2010/12/30	4.56	4.56	4.31	4.39	1651072	61218588.00
2010/12/31	4.36	4.48	4.34	4.45	1646869	61239016.00
2011/01/04	4.52	4.62	4.45	4.55	2056873	77836744.00
2011/01/05	4.51	4.52	4.38	4.39	2096250	78012032.00
2011/01/06	4.40	4.41	4.20	4.22	2109524	76518552.00
2011/01/07	4.17	4.35	4.16	4.23	1451452	52568540.00
2011/01/10	4.22	4.34	4.13	4.16	1166197	42139360.00
2011/01/11	4.14	4.25	3.81	3.93	1966175	67667000.00
2011/01/12	3.93	4.04	3.87	3.99	947795	32744632.00
2011/01/13	4.01	4.04	3.90	3.91	835875	28736616.00
2011/01/14	3.90	3.91	3.64	3.65	1372441	45328764.00
2011/01/17	3.70	3.93	3.69	3.75	1862561	62527232.00
2011/01/18	3.70	4.21	3.70	4.08	3464882	120269408.00
2011/01/19	4.06	4.11	3.91	4.10	2324904	81137112.00
2011/01/20	4.02	4.08	3.70	3.71	2059034	70390352.00
2011/01/21	3.66	3.87	3.66	3.78	1305343	43539204.00
2011/01/24	3.78	4.04	3.78	3.89	1866441	64136160.00
2011/01/25	3.82	3.87	3.48	3.64	1480433	48255684.00
2011/01/26	3.61	3.91	3.55	3.76	1251160	41933252.00
2011/01/27	3.70	3.91	3.62	3.88	1565116	52411696.00
2011/01/28	3.85	3.87	3.74	3.84	1217969	40944804.00
2011/01/31	3.80	3.93	3.77	3.84	1177228	39973508.00
2011/02/01	3.86	3.91	3.79	3.86	804144	27206906.00
2011/02/09	3.81	3.87	3.63	3.65	1335728	44270028.00
2011/02/10	3.65	4.01	3.59	3.98	1879625	63273964.00
2011/02/11	3.90	4.04	3.90	4.01	2252219	78020656.00
2011/02/14	3.97	4.18	3.97	4.13	2631234	93286040.00
2011/02/15	4.13	4.22	4.04	4.08	2280155	80958640.00
2011/02/16	4.08	4.30	4.07	4.24	2441859	87833352.00
2011/02/17	4.24	4.27	4.11	4.21	2073802	74040952.00
2011/02/18	4.16	4.16	4.03	4.03	1871620	65659768.00
2011/02/21	3.96	4.14	3.96	4.13	1589846	55841392.00
2011/02/22	4.13	4.13	3.78	3.79	2080122	71397088.00
2011/02/23	3.78	3.87	3.71	3.80	2836068	94805560.00
2011/02/24	3.80	3.87	3.74	3.86	2262695	76148376.00
2011/02/25	3.84	3.85	3.72	3.78	1527234	51054360.00
2011/02/28	3.79	4.01	3.79	3.99	2264153	77674712.00
2011/03/01	4.04	4.28	4.04	4.14	3709652	132631504.00
2011/03/02	4.07	4.14	4.01	4.10	2009520	70455976.00
2011/03/03	4.10	4.20	3.94	3.97	1963288	69187232.00
2011/03/04	3.99	4.11	3.98	4.11	1542440	54060256.00
2011/03/07	4.16	4.18	4.03	4.12	2284541	80688448.00
2011/03/08	4.12	4.12	4.02	4.06	1523899	53410472.00
2011/03/09	4.06	4.21	4.03	4.19	2536372	90175096.00
2011/03/10	4.19	4.30	4.11	4.12	2206036	78948464.00
2011/03/11	4.08	4.14	4.00	4.01	1843452	64582256.00
2011/03/14	3.98	4.07	3.93	4.05	1400685	48537988.00
2011/03/15	4.06	4.07	3.71	3.93	2081752	70878392.00
2011/03/16	3.91	4.01	3.90	3.95	1386907	47883680.00
2011/03/17	3.89	3.96	3.79	3.83	1306835	44329868.00
2011/03/18	3.91	3.93	3.82	3.85	868896	29505218.00
2011/03/21	3.85	3.87	3.75	3.78	983286	33057952.00
2011/03/22	3.80	3.84	3.72	3.82	783827	26198122.00
2011/03/23	3.82	3.91	3.81	3.87	1065977	36263396.00
2011/03/24	3.86	3.90	3.82	3.83	951438	32215584.00
2011/03/25	3.87	3.87	3.79	3.84	1011263	34101204.00
2011/03/28	3.84	3.87	3.73	3.74	1561797	52162384.00
2011/03/29	3.72	3.72	3.52	3.53	1968579	63524236.00
2011/03/30	3.55	3.60	3.53	3.54	876316	28181014.00
2011/03/31	3.54	3.62	3.54	3.59	862107	27838444.00
2011/04/01	3.57	3.60	3.50	3.58	783482	25170166.00
2011/04/06	3.57	3.66	3.57	3.65	1151159	37457584.00
2011/04/07	3.66	3.82	3.66	3.80	2026106	67629568.00
2011/04/08	3.80	3.83	3.73	3.79	1277935	42733148.00
2011/04/11	3.81	3.84	3.66	3.66	1695282	56019296.00
2011/04/12	3.66	3.66	3.57	3.61	778833	25289158.00
2011/04/13	3.56	3.70	3.56	3.69	669236	21945762.00
2011/04/14	3.70	3.75	3.65	3.72	885780	29299510.00
2011/04/15	3.72	3.75	3.65	3.69	622730	20505788.00
2011/04/18	3.69	3.73	3.65	3.71	622850	20490966.00
2011/04/19	3.70	3.82	3.65	3.75	1670287	55820180.00
2011/04/20	3.76	3.81	3.66	3.74	1138114	37635216.00
2011/04/21	3.75	3.79	3.69	3.79	1190866	39580916.00
2011/04/22	3.80	3.85	3.76	3.79	1349858	45375672.00
2011/04/25	3.77	3.79	3.61	3.62	1117304	36703112.00
2011/04/26	3.60	3.63	3.56	3.61	555932	17989044.00
2011/04/27	3.60	3.66	3.48	3.51	679778	21921258.00
2011/04/29	3.36	3.36	3.06	3.22	1209575	36318340.00
2011/05/03	3.22	3.24	3.13	3.22	479767	14408341.00
2011/05/04	3.19	3.19	2.99	3.00	741473	21833968.00
2011/05/05	3.00	3.03	2.91	3.00	521634	15014417.00
2011/05/06	3.02	3.40	2.99	3.28	1865623	56825332.00
2011/05/09	3.28	3.39	3.23	3.34	1009828	31081180.00
2011/05/10	3.30	3.36	3.26	3.32	476957	14583614.00
2011/05/11	3.34	3.46	3.26	3.42	950847	29530950.00
2011/05/12	3.41	3.45	3.27	3.27	950126	29509404.00
2011/05/13	3.20	3.28	3.06	3.16	812900	14921580.00
2011/05/16	3.15	3.17	3.06	3.06	813998	14826398.00
2011/05/17	3.07	3.11	3.01	3.10	996467	18094586.00
2011/05/18	3.10	3.12	3.05	3.09	489231	8899588.00
2011/05/19	3.11	3.11	2.77	2.95	1121512	20172990.00
2011/05/20	2.93	2.93	2.82	2.82	1025399	17762608.00
2011/05/23	2.82	2.82	2.57	2.58	1505225	25007148.00
2011/05/24	2.57	2.68	2.55	2.64	827464	13613012.00
2011/05/25	2.63	2.68	2.49	2.49	778629	12736234.00
2011/05/26	2.49	2.55	2.47	2.49	604245	9701437.00
2011/05/27	2.49	2.51	2.34	2.34	930460	14567480.00
2011/05/30	2.33	2.43	2.33	2.38	978753	15316739.00
2011/05/31	2.38	2.51	2.33	2.51	1001841	15923547.00
2011/06/01	2.51	2.53	2.44	2.51	840058	13406816.00
2011/06/02	2.46	2.48	2.35	2.42	1040002	16344150.00
2011/06/03	2.39	2.63	2.39	2.57	1362181	21975078.00
2011/06/07	2.54	2.61	2.52	2.56	826851	13429417.00
2011/06/08	2.58	2.58	2.47	2.52	732382	11773392.00
2011/06/09	2.52	2.54	2.34	2.36	937770	14826927.00
2011/06/10	2.36	2.39	2.30	2.37	567053	8766440.00
2011/06/13	2.35	2.40	2.31	2.37	534292	8285065.50
2011/06/14	2.38	2.44	2.38	2.44	700783	11048796.00
2011/06/15	2.44	2.52	2.39	2.40	913641	14507374.00
2011/06/16	2.36	2.36	2.27	2.28	651118	10008409.00
2011/06/17	2.29	2.31	2.25	2.26	474548	7234016.50
2011/06/20	2.27	2.30	2.19	2.24	652150	9839092.00
2011/06/21	2.27	2.37	2.22	2.33	727705	11207309.00
2011/06/22	2.33	2.35	2.24	2.27	534823	8152772.50
2011/06/23	2.28	2.69	2.25	2.52	2966039	48107220.00
2011/06/24	2.44	2.71	2.44	2.65	3673778	60370472.00
2011/06/27	2.63	3.00	2.63	2.87	4650311	80292200.00
2011/06/28	2.90	2.90	2.77	2.84	2080222	35772536.00
2011/06/29	2.83	2.91	2.78	2.79	1452741	25101294.00
2011/06/30	2.78	2.91	2.78	2.84	1924417	33387886.00
2011/07/01	2.85	2.90	2.79	2.82	1278986	22101922.00
2011/07/04	2.83	3.00	2.83	2.95	2081381	36680200.00
2011/07/05	2.94	2.97	2.88	2.94	1240491	21802204.00
2011/07/06	2.93	3.05	2.85	3.03	1789859	31681976.00
2011/07/07	3.01	3.20	2.97	3.06	3097811	56565932.00
2011/07/08	3.04	3.10	2.96	3.03	1184244	21227242.00
