002512 达华智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/03	6.66	7.03	6.22	6.22	19416658	886163520.00
2010/12/06	5.90	5.90	5.58	5.58	7283458	284544640.00
2010/12/07	5.21	5.32	5.04	5.24	7247653	260276592.00
2010/12/08	5.17	5.40	5.12	5.16	4567468	165988752.00
2010/12/09	5.05	5.06	4.81	4.81	4457629	152606336.00
2010/12/10	4.75	5.01	4.71	4.97	3599342	122353848.00
2010/12/13	4.93	5.20	4.93	5.12	4314188	152611504.00
2010/12/14	5.15	5.44	5.12	5.33	4686091	172890192.00
2010/12/15	5.27	5.36	5.16	5.16	2888393	105542344.00
2010/12/16	5.16	5.37	5.15	5.31	2756489	101096272.00
2010/12/17	5.30	5.37	5.27	5.36	2138455	78944600.00
2010/12/20	5.37	5.55	5.27	5.48	3837229	144494208.00
2010/12/21	5.47	5.53	5.39	5.43	1980637	74844296.00
2010/12/22	5.45	5.45	5.27	5.27	2055677	76126424.00
2010/12/23	5.26	5.34	5.07	5.08	1739350	63152776.00
2010/12/24	5.03	5.05	4.82	5.03	1629611	55823852.00
2010/12/27	5.00	5.10	4.76	4.86	1178754	40837636.00
2010/12/28	4.81	4.97	4.80	4.89	867306	29642310.00
2010/12/29	4.90	5.11	4.90	5.10	1189590	41572624.00
2010/12/30	5.09	5.14	5.03	5.05	999790	35348588.00
2010/12/31	5.04	5.12	5.03	5.11	903119	31989060.00
2011/01/04	5.15	5.23	5.06	5.22	1321038	47182940.00
2011/01/05	5.18	5.25	5.11	5.12	1176917	42350972.00
2011/01/06	5.11	5.13	4.96	4.97	1259088	43752240.00
2011/01/07	4.96	5.07	4.88	4.92	972620	33647652.00
2011/01/10	4.88	4.93	4.78	4.82	961225	32373224.00
2011/01/11	4.76	4.89	4.76	4.89	621591	20906438.00
2011/01/12	4.91	4.93	4.83	4.89	392835	13317418.00
2011/01/13	4.89	4.91	4.77	4.78	592928	19894332.00
2011/01/14	4.78	4.78	4.41	4.44	1556384	49279540.00
2011/01/17	4.42	4.47	4.18	4.23	1004691	30168074.00
2011/01/18	4.20	4.29	4.18	4.27	476818	14196350.00
2011/01/19	4.28	4.32	4.25	4.32	406086	12194420.00
2011/01/20	4.32	4.32	4.05	4.05	818309	23838834.00
2011/01/21	4.04	4.15	4.01	4.08	474789	13593596.00
2011/01/24	4.09	4.14	3.98	4.08	451475	12889364.00
2011/01/25	4.06	4.16	4.01	4.16	442434	12656571.00
2011/01/26	4.16	4.34	4.14	4.24	576685	17177952.00
2011/01/27	4.21	4.30	4.16	4.26	451238	13403000.00
2011/01/28	4.26	4.27	4.22	4.27	377609	11200587.00
2011/01/31	4.25	4.25	4.16	4.23	560493	16464088.00
2011/02/01	4.21	4.23	4.17	4.21	355021	10427718.00
2011/02/09	4.15	4.22	4.05	4.13	424117	12243850.00
2011/02/10	4.07	4.29	4.06	4.28	625136	18437542.00
2011/02/11	4.29	4.37	4.28	4.32	684844	20638552.00
2011/02/14	4.34	4.44	4.33	4.42	784624	24107698.00
2011/02/15	4.42	4.45	4.35	4.35	788120	24240210.00
2011/02/16	4.32	4.43	4.32	4.42	611066	18732364.00
2011/02/17	4.43	4.48	4.41	4.46	764885	23726034.00
2011/02/18	4.42	4.61	4.42	4.54	1162784	36797616.00
2011/02/21	4.53	4.60	4.46	4.58	806879	25482042.00
2011/02/22	4.58	4.66	4.42	4.44	922792	29023064.00
2011/02/23	4.38	4.48	4.38	4.45	464438	14374233.00
2011/02/24	4.43	4.48	4.40	4.47	545192	16882254.00
2011/02/25	4.54	4.66	4.42	4.60	1248271	39778844.00
2011/02/28	4.58	4.61	4.50	4.60	1099393	34853476.00
2011/03/01	4.59	4.65	4.56	4.62	937226	30100802.00
2011/03/02	4.60	4.60	4.51	4.54	692776	21941540.00
2011/03/03	4.52	4.52	4.22	4.22	2351719	71504888.00
2011/03/04	4.22	4.27	4.17	4.21	1114411	32781216.00
2011/03/07	4.20	4.25	4.18	4.24	1578542	46588440.00
2011/03/08	4.25	4.25	4.17	4.24	1024656	30181166.00
2011/03/09	4.24	4.28	4.22	4.28	1196618	35588300.00
2011/03/10	4.27	4.31	4.23	4.26	1199526	35811400.00
2011/03/11	4.27	4.33	4.25	4.26	1225048	36711608.00
2011/03/14	4.26	4.33	4.25	4.30	1004672	30139680.00
2011/03/15	4.31	4.31	4.20	4.23	1118318	33169680.00
2011/03/16	4.27	4.31	4.22	4.29	840387	25163206.00
2011/03/17	4.26	4.28	4.16	4.17	885520	26074530.00
2011/03/18	4.19	4.23	4.14	4.21	603086	17694672.00
2011/03/21	4.21	4.22	4.10	4.12	845632	24575302.00
2011/03/22	4.12	4.14	4.03	4.09	719341	20498078.00
2011/03/23	4.09	4.17	4.07	4.13	574043	16576240.00
2011/03/24	4.13	4.18	4.13	4.13	537630	15615483.00
2011/03/25	4.14	4.16	4.11	4.14	362129	10493077.00
2011/03/28	4.14	4.16	4.07	4.08	629939	18108736.00
2011/03/29	4.12	4.13	3.93	3.97	943016	26478142.00
2011/03/30	3.97	4.04	3.93	3.99	655046	18349844.00
2011/03/31	3.99	4.11	3.98	4.08	1233544	35105756.00
2011/04/01	4.08	4.23	4.04	4.23	2123187	61832708.00
2011/04/06	4.23	4.30	4.18	4.19	1844969	54715460.00
2011/04/07	4.22	4.24	4.13	4.16	845708	24688562.00
2011/04/08	4.15	4.22	4.14	4.18	561374	16451900.00
2011/04/11	4.18	4.26	4.12	4.25	1285512	37704620.00
2011/04/12	4.26	4.31	4.19	4.19	1018121	30119958.00
2011/04/13	4.19	4.45	4.15	4.41	2428692	73855528.00
2011/04/14	4.41	4.63	4.41	4.62	4612261	146937600.00
2011/04/15	4.63	4.65	4.50	4.58	2990350	95390328.00
2011/04/18	4.57	4.76	4.41	4.43	3611128	115905552.00
2011/04/19	4.37	4.40	4.20	4.26	2486557	74077104.00
2011/04/20	4.24	4.32	4.24	4.27	839657	25144126.00
2011/04/21	4.34	4.54	4.33	4.49	1871622	58269912.00
2011/04/22	4.50	4.50	4.35	4.40	1087688	33373686.00
2011/04/25	4.39	4.44	4.22	4.26	835104	25272824.00
2011/04/26	4.26	4.31	4.09	4.18	857767	25057584.00
2011/04/27	4.21	4.21	4.00	4.08	673475	19364458.00
2011/04/28	4.08	4.13	4.00	4.02	451072	12874029.00
2011/04/29	4.18	4.18	4.04	4.13	318952	9202177.00
2011/05/03	4.05	4.18	4.04	4.18	324186	9366238.00
2011/05/04	4.16	4.17	4.02	4.05	309001	8853827.00
2011/05/05	4.05	4.11	4.03	4.08	227162	6496479.00
2011/05/06	4.08	4.20	4.02	4.19	451960	13134433.00
2011/05/09	4.18	4.32	4.16	4.27	691226	20686816.00
2011/05/10	4.29	4.29	4.20	4.26	408014	12096339.00
2011/05/11	4.26	4.26	4.11	4.18	565404	16506136.00
2011/05/12	4.16	4.25	4.16	4.18	427770	12573619.00
2011/05/13	4.17	4.18	4.09	4.15	416408	12024330.00
2011/05/16	4.17	4.24	4.15	4.15	449122	13202834.00
2011/05/17	4.14	4.21	4.09	4.15	404421	11765986.00
2011/05/18	4.12	4.20	4.11	4.19	303278	8865440.00
2011/05/20	4.19	4.19	4.05	4.09	445165	12796829.00
2011/05/23	4.05	4.11	3.89	3.89	577246	16067476.00
2011/05/24	3.89	4.00	3.85	3.97	270926	7454223.00
2011/05/25	3.98	3.99	3.87	3.87	197422	5421084.00
2011/05/26	3.89	3.98	3.87	3.88	193999	5312291.00
2011/05/27	3.87	3.92	3.86	3.87	154976	4220233.00
2011/05/30	3.89	3.89	3.70	3.70	350436	9301329.00
2011/05/31	3.70	3.77	3.68	3.74	186917	4883414.50
2011/06/01	3.76	3.78	3.72	3.78	217733	5750866.00
2011/06/02	3.70	3.72	3.61	3.65	334549	8610970.00
2011/06/03	3.66	3.73	3.65	3.72	201942	5254096.50
2011/06/07	3.72	3.75	3.72	3.73	156531	4107438.00
2011/06/08	3.74	3.74	3.68	3.74	234883	6125584.00
2011/06/09	3.75	3.75	3.67	3.68	182314	4740614.50
2011/06/10	3.68	3.71	3.61	3.64	254089	6499999.50
2011/06/13	3.63	3.63	3.57	3.61	214920	5430128.50
2011/06/14	3.59	3.70	3.59	3.69	237446	6129558.00
2011/06/15	3.69	3.71	3.62	3.64	195166	5044790.00
2011/06/16	3.61	3.64	3.54	3.56	283178	7139402.50
2011/06/17	3.54	3.58	3.53	3.55	206655	5167800.50
2011/06/20	3.55	3.55	3.43	3.46	297629	7255856.00
2011/06/21	3.44	3.55	3.44	3.54	221293	5446728.50
2011/06/22	3.53	3.54	3.48	3.54	185991	4599755.50
2011/06/23	3.56	3.88	3.55	3.80	1221335	32147960.00
2011/06/24	3.74	3.89	3.71	3.84	830537	22168486.00
2011/06/27	3.86	3.91	3.80	3.89	613418	16675345.00
2011/06/28	3.89	3.96	3.83	3.96	970940	26616070.00
2011/06/29	3.92	4.06	3.92	4.04	2399633	37062620.00
2011/06/30	4.05	4.10	3.97	4.04	1943956	30096932.00
2011/07/01	4.04	4.15	3.94	4.02	2254132	35005376.00
2011/07/04	3.98	4.08	3.98	4.05	1916981	29781982.00
2011/07/05	4.09	4.28	4.06	4.27	3967279	63765636.00
2011/07/06	4.27	4.33	4.21	4.24	2821143	46162612.00
2011/07/07	4.22	4.31	4.16	4.20	2275530	37135964.00
2011/07/08	4.16	4.23	4.10	4.13	1702879	27151110.00
2011/07/11	4.13	4.20	4.10	4.18	1249676	19989176.00
2011/07/12	4.17	4.17	4.02	4.03	1456058	22863164.00
2011/07/13	4.03	4.13	4.03	4.13	1077097	16996492.00
2011/07/14	4.14	4.20	4.09	4.20	1418263	22607672.00
2011/07/15	4.18	4.30	4.16	4.25	2298595	37543988.00
2011/07/18	4.29	4.42	4.26	4.36	4281414	71752624.00
2011/07/19	4.34	4.50	4.32	4.40	4264302	72401424.00
2011/07/20	4.44	4.48	4.24	4.29	2454111	40790156.00
2011/07/21	4.29	4.29	4.17	4.18	1459542	23597622.00
2011/07/22	4.19	4.26	4.18	4.19	682598	11046756.00
2011/07/25	4.19	4.19	3.94	3.96	1594100	24720850.00
2011/07/26	3.96	4.04	3.92	4.02	803654	12345006.00
2011/07/27	4.00	4.07	3.98	4.05	703020	10909726.00
2011/07/28	4.00	4.01	3.96	4.00	648989	9973547.00
2011/07/29	4.00	4.10	3.98	4.04	778506	12092188.00
2011/08/01	4.02	4.08	4.02	4.05	739736	11555788.00
2011/08/02	4.01	4.05	3.89	3.99	831192	12608856.00
2011/08/03	3.93	4.24	3.93	4.12	1409354	22288220.00
2011/08/04	4.10	4.14	4.07	4.09	824863	13023484.00
2011/08/05	3.94	4.02	3.91	3.96	729429	11151593.00
2011/08/08	3.89	3.94	3.55	3.65	1425077	20509208.00
2011/08/09	3.52	3.58	3.38	3.53	1124696	15258882.00
2011/08/10	3.61	3.70	3.59	3.60	806115	11300600.00
2011/08/11	3.51	3.66	3.46	3.64	884994	12245666.00
2011/08/12	3.65	3.74	3.65	3.73	890496	12767925.00
2011/08/15	3.80	3.81	3.73	3.79	830560	12098103.00
2011/08/16	3.82	3.83	3.73	3.76	644565	9378577.00
2011/08/17	3.78	3.81	3.74	3.78	554050	8081028.00
2011/08/18	3.80	3.82	3.71	3.72	506299	7352147.50
2011/08/19	3.69	3.86	3.65	3.85	2268473	33334264.00
2011/08/22	3.84	3.91	3.80	3.81	1350612	20050006.00
2011/08/23	3.84	3.99	3.84	3.90	1298152	19540616.00
2011/08/24	3.92	3.97	3.88	3.96	1675926	25357908.00
2011/08/25	3.94	3.96	3.89	3.96	1410321	21355382.00
2011/08/26	3.95	3.98	3.91	3.93	867832	13166302.00
2011/08/29	3.93	3.97	3.86	3.86	780386	11726055.00
2011/08/30	3.88	3.93	3.81	3.83	925604	13794682.00
2011/08/31	3.80	3.85	3.70	3.78	627099	9126145.00
2011/09/01	3.78	3.82	3.73	3.75	312020	4557540.50
2011/09/02	3.74	3.78	3.62	3.64	668789	9532022.00
2011/09/05	3.64	3.65	3.53	3.54	459732	6321056.50
2011/09/06	3.47	3.56	3.46	3.48	337218	4569757.50
2011/09/07	3.49	3.58	3.48	3.57	461294	6318780.50
2011/09/08	3.61	3.62	3.49	3.49	346480	4765860.00
2011/09/09	3.50	3.55	3.42	3.42	439520	5900701.50
2011/09/13	3.43	3.78	3.39	3.78	2231682	31599958.00
2011/09/14	3.88	3.99	3.81	3.97	6868361	103721424.00
2011/09/15	3.97	4.01	3.90	4.00	5303148	80855280.00
2011/09/16	3.99	4.06	3.92	4.02	3994496	61355828.00
2011/09/19	3.98	4.11	3.86	3.86	4632301	71501496.00
2011/09/20	3.80	4.21	3.80	4.10	5867221	91204544.00
2011/09/21	4.03	4.23	4.00	4.21	5951989	94750256.00
2011/09/22	4.15	4.19	4.05	4.06	3371959	53639900.00
2011/09/23	3.98	4.09	3.86	4.09	3186294	48673976.00
2011/09/26	4.02	4.09	3.92	3.97	2270952	35028152.00
2011/09/27	3.98	4.05	3.92	4.05	2079576	32094328.00
2011/09/28	4.06	4.25	3.97	3.97	3966354	63088872.00
2011/09/29	3.89	3.89	3.56	3.57	3135355	44545148.00
2011/10/10	3.61	3.61	3.45	3.51	1198263	16258962.00
2011/10/11	3.62	3.68	3.47	3.55	1461228	20219342.00
2011/10/12	3.54	3.78	3.46	3.77	1945777	27694706.00
2011/10/13	3.76	4.02	3.73	4.01	3248795	48932308.00
2011/10/14	3.98	4.04	3.91	3.97	1996022	30446542.00
2011/10/17	3.99	4.13	3.94	4.12	3117238	48531740.00
2011/10/18	4.07	4.20	3.96	4.01	4856652	77264880.00
2011/10/19	4.02	4.18	3.82	3.86	3093804	47740108.00
2011/10/20	3.86	3.86	3.66	3.70	1712062	24573946.00
2011/10/21	3.70	3.81	3.60	3.60	1251049	17917220.00
2011/10/24	3.62	3.94	3.49	3.91	2053261	29462118.00
2011/10/25	3.91	4.14	3.91	4.04	3501504	54386288.00
2011/10/26	4.02	4.13	3.97	4.07	3684168	57669876.00
2011/10/27	4.09	4.28	4.03	4.17	6067410	97416160.00
2011/10/28	4.26	4.26	4.12	4.21	4715642	76014656.00
2011/10/31	4.24	4.26	4.14	4.24	3979477	64369408.00
2011/11/01	4.18	4.27	4.10	4.18	3839758	61825548.00
2011/11/02	4.08	4.61	4.03	4.61	8364007	144087136.00
2011/11/03	5.09	5.09	5.09	5.09	3394162	66152216.00
2011/11/04	5.26	5.58	5.18	5.49	28745814	590048832.00
2011/11/07	5.46	5.48	5.30	5.34	11954496	245935920.00
2011/11/08	5.42	5.43	5.15	5.18	9774266	196808304.00
2011/11/09	5.21	5.71	5.13	5.71	21620621	449168480.00
2011/11/10	5.72	5.91	5.46	5.46	22998416	501625984.00
2011/11/11	5.45	5.53	5.21	5.35	13267481	273170016.00
2011/11/14	5.41	5.53	5.31	5.48	10876879	226266640.00
2011/11/15	5.44	5.65	5.37	5.54	9022002	190372912.00
2011/11/16	5.54	5.54	5.17	5.23	8805431	180668176.00
2011/11/17	5.27	5.50	5.18	5.37	9181988	188231984.00
2011/11/18	5.30	5.30	5.00	5.04	7513551	147072160.00
2011/11/21	5.03	5.13	4.86	4.98	5209268	99663704.00
2011/11/23	4.98	5.14	4.85	4.99	6280074	119954016.00
2011/11/24	4.90	5.19	4.87	5.11	6063905	117473016.00
2011/11/25	5.05	5.08	4.82	4.86	5024851	95513240.00
2011/11/28	4.95	4.95	4.78	4.89	3254081	60668344.00
2011/11/29	4.98	5.01	4.87	5.00	4328690	82198728.00
2011/11/30	4.96	4.98	4.49	4.49	6188097	110621968.00
2011/12/01	4.64	4.68	4.46	4.47	5885342	103621616.00
2011/12/02	4.42	4.60	4.32	4.53	4740265	81486688.00
2011/12/05	4.52	4.52	4.31	4.34	2460340	41403844.00
2011/12/06	4.32	4.53	4.29	4.49	4052214	68974176.00
2011/12/07	4.46	4.63	4.38	4.60	5262081	91215144.00
2011/12/08	4.52	4.74	4.41	4.62	6114816	108187728.00
2011/12/09	4.56	4.73	4.53	4.54	4760151	84329672.00
2011/12/12	4.48	4.53	4.25	4.28	3624663	61539112.00
2011/12/13	4.20	4.24	4.00	4.05	4352790	68445248.00
2011/12/14	4.07	4.18	4.01	4.05	3604242	56886128.00
2011/12/15	4.00	4.20	3.97	4.01	4058364	63950600.00
2011/12/16	3.97	4.26	3.97	4.26	4725041	75036432.00
2011/12/19	4.18	4.37	4.12	4.35	5560127	90328728.00
2011/12/20	4.29	4.38	4.20	4.23	5032938	82797936.00
2011/12/21	4.29	4.33	4.02	4.03	4440343	71989672.00
2011/12/22	3.92	3.94	3.63	3.81	5558881	81445152.00
2011/12/23	3.73	3.92	3.73	3.81	3020315	44720112.00
2011/12/26	3.86	3.91	3.74	3.75	2631765	38957340.00
2011/12/27	3.70	3.70	3.51	3.51	3123827	43234912.00
2011/12/28	3.46	3.60	3.45	3.60	2256629	30898464.00
2011/12/29	3.56	3.62	3.49	3.52	2279672	31447892.00
2011/12/30	3.55	3.61	3.54	3.56	1955380	27007480.00
2012/01/04	3.60	3.61	3.29	3.30	2474414	33541672.00
2012/01/05	3.22	3.26	3.05	3.09	3467889	42684988.00
2012/01/06	3.10	3.25	3.02	3.21	2474971	30042832.00
2012/01/09	3.19	3.35	3.13	3.34	3001798	38188408.00
2012/01/10	3.30	3.56	3.30	3.49	4296136	57633060.00
2012/01/11	3.49	3.85	3.44	3.65	8936745	128609704.00
2012/01/12	3.57	3.64	3.53	3.59	5403328	74881872.00
2012/01/13	3.58	3.60	3.25	3.25	4789897	63147228.00
2012/01/16	3.17	3.33	3.15	3.28	2496437	31478530.00
2012/01/17	3.24	3.57	3.22	3.52	4581492	61132196.00
2012/01/18	3.49	3.54	3.36	3.36	3937087	52753604.00
2012/01/19	3.31	3.40	3.26	3.37	2621642	33946572.00
2012/01/20	3.37	3.52	3.37	3.43	2517372	33662872.00
2012/01/30	3.43	3.49	3.32	3.37	1742214	22914072.00
2012/01/31	3.36	3.39	3.24	3.39	1517025	19513688.00
2012/02/01	3.37	3.53	3.32	3.44	3937253	52704896.00
2012/02/02	3.46	3.57	3.43	3.56	4229592	57557472.00
2012/02/03	3.54	3.65	3.52	3.62	4849752	67244400.00
2012/02/06	3.62	3.63	3.53	3.59	3513679	48565560.00
2012/02/07	3.54	3.66	3.50	3.52	4558214	63240804.00
2012/02/08	3.50	3.72	3.48	3.67	5355502	74705456.00
2012/02/09	3.65	3.78	3.62	3.66	5959921	85043040.00
2012/02/10	3.62	3.71	3.60	3.66	3466279	48947124.00
2012/02/13	3.62	3.86	3.61	3.81	6448271	93531632.00
2012/02/14	3.81	3.81	3.72	3.76	4004239	58114500.00
2012/02/15	3.81	3.97	3.78	3.86	7547015	113199832.00
2012/02/16	3.81	4.00	3.80	3.89	6658849	100591568.00
2012/02/17	3.89	3.93	3.72	3.78	4432277	65087208.00
2012/02/20	3.86	3.92	3.78	3.79	3667984	54380968.00
2012/02/21	3.79	3.92	3.70	3.90	4287536	63056680.00
2012/02/22	3.88	4.30	3.86	4.30	8658656	139281792.00
2012/02/23	4.42	4.53	4.25	4.31	14680067	247644512.00
2012/02/24	4.26	4.33	4.21	4.27	6533131	107104136.00
2012/02/27	4.25	4.47	4.21	4.40	10479187	175863008.00
2012/02/28	4.39	4.62	4.38	4.44	11701814	202017056.00
2012/02/29	4.34	4.34	4.03	4.25	9275230	149845184.00
2012/03/01	4.20	4.66	4.20	4.42	10501180	178746336.00
2012/03/02	4.40	4.60	4.33	4.44	7939184	135470880.00
2012/03/05	4.44	4.46	4.31	4.36	5952985	100357168.00
