002517 恺英网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/07	4.10	4.23	3.76	3.77	12163914	303268640.00
2010/12/08	3.68	3.95	3.63	3.95	7492997	181838304.00
2010/12/09	3.87	3.99	3.78	3.81	5517352	136130096.00
2010/12/10	3.90	4.15	3.85	3.94	5845489	147615600.00
2010/12/13	3.89	4.27	3.81	4.22	5915432	151103744.00
2010/12/14	4.33	4.38	4.14	4.30	6251739	168886832.00
2010/12/15	4.35	4.54	4.23	4.39	5733185	157458224.00
2010/12/16	4.41	4.47	4.27	4.37	3393019	93574176.00
2010/12/17	4.36	4.64	4.35	4.54	3476584	98564568.00
2010/12/20	4.58	4.75	4.36	4.58	4588360	132337944.00
2010/12/21	4.74	4.74	4.55	4.65	3369790	98396512.00
2010/12/22	4.70	4.85	4.67	4.85	4328200	129707104.00
2010/12/23	4.83	5.24	4.79	5.19	5696391	178244672.00
2010/12/24	5.19	5.19	4.67	4.90	5052657	154351536.00
2010/12/27	4.82	4.85	4.39	4.39	4350266	127253560.00
2010/12/28	4.27	4.42	4.11	4.34	3489378	94225560.00
2010/12/29	4.29	4.34	4.19	4.29	2635712	70981712.00
2010/12/30	4.30	4.40	4.14	4.17	3825440	103204424.00
2010/12/31	4.07	4.32	4.01	4.23	3467780	91057960.00
2011/01/04	4.21	4.52	4.19	4.47	4114402	113566872.00
2011/01/06	4.42	4.47	4.24	4.25	2844200	77877280.00
2011/01/07	4.22	4.29	4.14	4.18	1773011	47197900.00
2011/01/10	4.19	4.29	4.18	4.20	1969219	52679552.00
2011/01/11	4.18	4.18	4.02	4.02	1626376	41910596.00
2011/01/12	4.02	4.14	3.97	4.12	1413013	36307832.00
2011/01/13	4.15	4.18	4.09	4.17	941672	24687366.00
2011/01/14	4.15	4.16	3.97	3.97	1120693	28616272.00
2011/01/17	3.94	3.95	3.67	3.67	1106698	26492028.00
2011/01/18	3.65	3.76	3.65	3.67	1084086	25589736.00
2011/01/19	3.67	3.77	3.66	3.75	1189399	28245176.00
2011/01/20	3.77	3.84	3.62	3.63	1235638	29412446.00
2011/01/21	3.60	3.66	3.48	3.65	1175030	26882450.00
2011/01/25	3.54	3.69	3.32	3.64	986097	22204432.00
2011/01/26	3.59	3.74	3.59	3.66	668405	15599873.00
2011/01/27	3.64	3.80	3.55	3.78	1275686	30248434.00
2011/01/28	3.77	3.83	3.70	3.73	808012	19263560.00
2011/01/31	3.74	3.74	3.64	3.68	831588	19479100.00
2011/02/01	3.67	3.71	3.57	3.59	992760	23001486.00
2011/02/09	3.52	3.58	3.42	3.43	888804	19820686.00
2011/02/10	3.43	3.78	3.41	3.77	1438148	32963756.00
2011/02/11	3.72	3.81	3.70	3.76	1260231	30168604.00
2011/02/15	3.83	4.09	3.82	3.90	1940224	48435448.00
