002530 金财互联 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/31	6.63	7.26	6.33	6.64	23527098	536400928.00
2011/01/04	6.01	6.31	5.95	6.14	16526465	333700768.00
2011/01/05	5.95	6.25	5.92	6.09	8761800	177573408.00
2011/01/06	6.05	6.18	5.92	5.92	6005835	119939368.00
2011/01/07	5.76	5.86	5.56	5.68	7380075	139071456.00
2011/01/10	5.63	5.69	5.56	5.58	3360841	63069664.00
2011/01/11	5.47	5.54	5.29	5.33	3960007	71331656.00
2011/01/12	5.33	5.45	5.30	5.45	3211005	57519656.00
2011/01/13	5.45	5.45	5.29	5.30	2304898	41293460.00
2011/01/14	5.27	5.30	5.03	5.14	3194227	54902588.00
2011/01/17	5.16	5.47	4.95	5.40	5863144	102130960.00
2011/01/18	5.36	5.38	5.23	5.25	2908340	51470160.00
2011/01/19	5.25	5.63	5.09	5.54	4846002	87060272.00
2011/01/20	5.52	5.52	5.11	5.11	3959233	71162848.00
2011/01/21	5.03	5.16	4.97	5.07	2587725	43944716.00
2011/01/24	5.03	5.23	4.89	5.19	3172821	53868792.00
2011/01/25	5.21	5.21	4.96	5.07	2586371	44227516.00
2011/01/26	5.02	5.23	5.02	5.12	1780255	30671392.00
2011/01/27	5.14	5.23	5.08	5.19	2068903	35827732.00
2011/01/28	5.12	5.28	5.09	5.26	2366753	41154680.00
2011/01/31	5.33	5.33	5.18	5.18	2102485	36858352.00
2011/02/01	5.19	5.22	5.09	5.18	1755839	30223426.00
2011/02/09	5.18	5.28	5.11	5.22	2508419	43769928.00
2011/02/10	5.20	5.32	5.13	5.32	2921814	51304500.00
2011/02/11	5.33	5.42	5.29	5.37	2975099	53312244.00
2011/02/14	5.36	5.49	5.31	5.44	3243264	58456228.00
2011/02/15	5.44	5.47	5.34	5.35	3051769	55148468.00
2011/02/16	5.35	5.62	5.32	5.58	4137883	76194624.00
2011/02/17	5.53	5.68	5.45	5.58	3204490	59550668.00
2011/02/18	5.61	5.61	5.42	5.44	2159497	39426364.00
2011/02/21	5.37	5.51	5.37	5.49	1677286	30521068.00
2011/02/22	5.51	5.51	5.25	5.49	3380682	60802540.00
2011/02/23	5.44	5.70	5.34	5.70	5891545	109928368.00
2011/02/24	5.68	5.68	5.56	5.60	2380475	44552932.00
2011/02/25	5.58	5.58	5.45	5.47	2006144	36803744.00
2011/02/28	5.49	5.57	5.43	5.54	1359055	24957680.00
2011/03/01	5.50	5.54	5.45	5.47	1714322	31335984.00
2011/03/02	5.45	5.48	5.36	5.38	1500995	27070242.00
2011/03/03	5.36	5.44	5.22	5.23	1650558	29449286.00
2011/03/04	5.23	5.33	5.22	5.30	823308	14524195.00
2011/03/07	5.31	5.37	5.28	5.34	1065978	18988640.00
2011/03/08	5.38	5.38	5.28	5.33	1039617	18487362.00
2011/03/09	5.34	5.38	5.31	5.32	870054	15511840.00
2011/03/10	5.33	5.41	5.32	5.40	1328473	23879958.00
2011/03/11	5.41	5.56	5.38	5.45	2531577	46382028.00
2011/03/14	5.45	5.48	5.39	5.44	1312966	23757550.00
2011/03/15	5.43	5.43	5.23	5.28	1379747	24409710.00
2011/03/16	5.25	5.34	5.25	5.31	987101	17487122.00
2011/03/17	5.31	5.31	5.09	5.11	1366710	23707828.00
2011/03/18	5.14	5.20	5.12	5.17	577269	9986840.00
2011/03/21	5.14	5.20	5.14	5.20	525666	9105197.00
2011/03/22	5.23	5.28	5.15	5.23	1007303	17604378.00
