002534 杭锅股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/01/10	17.28	18.00	16.34	17.46	27806950	914893248.00
2011/01/11	16.29	16.62	15.61	15.61	12319595	374466368.00
2011/01/12	14.79	15.28	14.67	14.83	8205871	235817552.00
2011/01/13	14.84	14.95	14.44	14.55	5383001	151867680.00
2011/01/14	14.55	15.04	14.45	14.58	4368423	123934696.00
2011/01/17	14.51	14.51	13.41	13.49	4489497	120158648.00
2011/01/18	13.30	13.78	13.13	13.56	2258240	58863692.00
2011/01/19	13.54	13.83	13.43	13.71	2773603	73585864.00
2011/01/20	13.70	13.95	13.36	13.36	3075953	81449752.00
2011/01/21	13.24	13.61	13.06	13.23	2692560	69577840.00
2011/01/24	13.30	13.37	12.63	12.65	2472008	62523240.00
2011/01/25	12.79	13.68	12.77	13.54	4031341	104165520.00
2011/01/26	13.38	14.05	13.31	13.58	3222574	85557000.00
2011/01/27	13.42	14.16	13.09	14.04	4054173	107931616.00
2011/01/28	13.91	14.15	13.71	13.84	1980738	53301216.00
2011/01/31	13.84	14.16	13.76	13.97	1935588	52351548.00
2011/02/01	13.95	14.09	13.69	13.73	1391768	37336768.00
2011/02/09	13.58	13.75	13.38	13.38	1463279	38453036.00
2011/02/10	13.38	14.12	13.18	14.09	2132918	57023980.00
2011/02/11	14.06	14.61	14.06	14.30	3537003	98252248.00
2011/02/15	14.61	14.70	14.30	14.51	4392120	123016648.00
2011/02/16	14.40	14.93	14.30	14.88	3187410	90202648.00
2011/02/17	14.81	14.95	14.56	14.95	2487428	70944504.00
2011/02/18	14.84	15.19	14.66	14.95	2825075	81400480.00
2011/02/21	14.85	15.56	14.82	15.44	3230538	95424512.00
2011/02/22	15.48	15.72	14.73	14.79	3863202	113380120.00
2011/02/23	14.84	15.15	14.79	15.06	1826406	52647580.00
2011/02/24	15.07	15.28	14.79	14.93	2079078	59982648.00
2011/02/25	14.90	15.00	14.54	14.83	1697994	48236816.00
2011/02/28	15.01	15.68	14.95	15.43	3035413	90054272.00
2011/03/01	15.54	15.90	15.30	15.48	2565485	76876192.00
2011/03/02	15.48	15.61	15.12	15.56	1666288	49254060.00
2011/03/03	15.51	15.59	14.80	14.81	2412775	70203344.00
2011/03/04	14.81	16.40	14.75	16.40	5272474	161248352.00
2011/03/07	16.72	16.83	16.07	16.40	4422037	139310384.00
2011/03/08	16.23	16.95	16.19	16.76	3556510	113379040.00
2011/03/09	16.59	16.78	16.37	16.49	2271397	71781256.00
2011/03/10	16.49	16.95	16.34	16.37	2008491	63909600.00
2011/03/11	16.19	16.56	15.99	16.18	2418111	75118464.00
2011/03/14	16.06	16.73	16.05	16.61	2119853	67028616.00
2011/03/15	16.61	16.62	16.11	16.48	1798918	56303512.00
2011/03/16	16.73	17.45	16.60	16.76	4915108	159289664.00
2011/03/18	16.49	16.94	16.18	16.81	2891045	91611144.00
2011/03/21	16.67	17.44	16.60	17.29	2478808	81281312.00
2011/03/22	17.31	17.31	16.44	17.00	2317696	74436776.00
2011/03/23	16.90	17.26	16.45	16.89	1070359	34453044.00
2011/03/24	16.90	17.31	16.73	17.01	2407740	78521880.00
2011/03/25	16.86	17.05	16.55	16.62	1973609	63090096.00
2011/03/28	16.73	17.23	16.65	16.91	1902249	61590896.00
2011/03/29	16.73	16.76	15.84	15.95	2540195	78742928.00
2011/03/30	15.94	16.05	15.14	15.45	1285901	38367920.00
2011/03/31	15.44	15.51	14.84	14.95	1451725	42172976.00
2011/04/01	14.95	15.17	14.68	15.11	739308	21302814.00
2011/04/06	15.10	15.15	14.79	14.91	842219	24241728.00
2011/04/07	14.91	15.18	14.79	15.06	861320	24829724.00
2011/04/08	15.01	15.21	14.94	15.03	938199	27150256.00
2011/04/11	14.81	14.88	14.31	14.32	2678944	75160200.00
2011/04/12	14.29	14.59	14.23	14.47	1238728	34628744.00
2011/04/13	14.50	14.78	14.24	14.70	1670423	47005392.00
2011/04/14	14.67	14.73	14.33	14.33	1369801	38140884.00
2011/04/15	14.29	14.42	14.00	14.41	1278533	34986200.00
2011/04/18	14.33	14.78	14.15	14.73	2018285	56628340.00
2011/04/19	14.65	14.79	14.24	14.56	1596874	44777680.00
2011/04/20	14.55	14.93	14.40	14.83	1699943	48189120.00
2011/04/21	15.12	15.44	14.90	15.37	2964216	86711528.00
2011/04/22	15.30	15.51	14.95	15.42	1715809	50261220.00
2011/04/26	14.06	15.06	13.78	13.79	4753942	131216328.00
2011/04/27	13.85	14.05	12.91	13.22	2456721	63776532.00
2011/04/28	13.31	13.36	13.04	13.09	824578	21096170.00
2011/04/29	13.09	13.37	13.01	13.30	473520	12182458.00
2011/05/03	13.30	13.66	13.10	13.55	696479	18047984.00
2011/05/04	13.51	13.51	13.28	13.38	634174	16435252.00
2011/05/05	13.38	13.50	13.23	13.38	422708	10809285.00
2011/05/06	13.35	13.44	13.04	13.40	409749	10459110.00
2011/05/09	13.40	13.54	13.34	13.41	377647	9727823.00
2011/05/10	13.41	13.42	13.13	13.24	732022	18589430.00
2011/05/11	13.21	13.44	13.15	13.29	509484	13016683.00
2011/05/12	13.12	13.26	12.94	12.95	605213	15267663.00
2011/05/13	12.95	13.05	12.55	12.73	818889	20069444.00
2011/05/16	12.62	12.76	12.62	12.67	525814	12837055.00
2011/05/17	12.67	13.14	12.57	12.87	938271	23120652.00
2011/05/18	12.87	12.98	12.79	12.94	470698	11671029.00
2011/05/19	13.06	13.08	12.73	12.79	444639	10972226.00
2011/05/20	12.75	12.83	12.71	12.73	243290	5968759.50
2011/05/23	12.65	12.76	12.44	12.62	858599	20792576.00
