002545 东方铁塔 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/11	7.96	8.83	7.86	8.34	22942972	934825600.00
2011/02/14	8.11	8.54	7.97	8.34	11772630	477673152.00
2011/02/15	8.25	8.34	8.11	8.15	8546669	346432000.00
2011/02/16	8.30	9.02	8.30	8.67	11724909	500308160.00
2011/02/17	8.56	8.74	8.45	8.69	6227786	263900912.00
2011/02/18	8.64	8.81	8.53	8.58	4055216	172566352.00
2011/02/21	8.54	8.68	8.52	8.60	3993143	168899264.00
2011/02/22	8.79	8.92	8.30	8.32	5948018	251601760.00
2011/02/23	8.22	8.39	8.22	8.28	3134293	128320840.00
2011/02/24	8.23	8.34	8.23	8.33	2125369	87074712.00
2011/02/25	8.30	8.32	8.10	8.22	2267600	91933040.00
2011/02/28	8.25	8.40	8.16	8.34	1999967	82107232.00
2011/03/01	8.33	8.41	8.24	8.28	2394411	98326184.00
2011/03/02	8.22	8.25	8.12	8.18	1754915	70970480.00
2011/03/03	8.14	8.27	8.08	8.08	1565960	63262184.00
2011/03/04	8.08	8.21	8.04	8.16	1315799	52868124.00
2011/03/07	8.14	8.27	8.12	8.25	1745164	70772240.00
2011/03/08	8.30	8.30	8.15	8.19	1255122	50884260.00
2011/03/09	8.19	8.24	8.14	8.22	1218291	49349972.00
2011/03/10	8.21	8.33	8.20	8.29	1919454	78538288.00
2011/03/11	8.24	8.40	8.24	8.30	2315947	95462560.00
2011/03/14	8.33	8.44	8.19	8.43	2595488	106730040.00
2011/03/15	8.39	8.49	8.19	8.30	2413421	99260432.00
2011/03/17	8.38	8.47	8.21	8.26	2240987	92330904.00
2011/03/18	8.29	8.34	8.20	8.23	1096319	44799236.00
2011/03/21	8.20	8.21	8.08	8.12	1497696	60184504.00
2011/03/22	8.12	8.20	7.98	8.14	1289328	51599056.00
2011/03/23	8.08	8.18	8.08	8.16	954534	38421960.00
2011/03/24	8.17	8.19	8.08	8.09	960744	38576952.00
2011/03/25	8.07	8.17	8.07	8.11	992620	39964412.00
2011/03/28	8.11	8.20	8.09	8.11	1244533	50138804.00
2011/03/29	8.10	8.11	7.75	7.76	1891824	74399280.00
2011/03/30	7.76	7.79	7.52	7.54	1582937	60022552.00
2011/03/31	7.56	7.65	7.53	7.59	867001	32781462.00
2011/04/01	7.60	7.69	7.59	7.68	609831	23228926.00
2011/04/06	7.68	7.69	7.53	7.55	1087572	41022388.00
2011/04/07	7.55	7.68	7.55	7.65	631276	23959400.00
2011/04/08	7.67	7.74	7.63	7.72	694586	26600260.00
2011/04/11	7.68	7.74	7.63	7.64	740546	28284736.00
2011/04/12	7.63	7.76	7.61	7.72	714225	27314806.00
2011/04/13	7.72	7.79	7.68	7.78	720609	27792206.00
2011/04/14	7.73	7.82	7.70	7.76	836926	32327866.00
2011/04/15	7.51	7.61	7.43	7.47	2100647	78615976.00
2011/04/18	7.43	7.47	7.37	7.38	1115598	41226376.00
2011/04/19	7.38	7.38	7.22	7.25	1082253	39356032.00
2011/04/20	7.25	7.33	7.23	7.28	620187	22573964.00
2011/04/21	7.30	7.40	7.22	7.36	1115314	40777744.00
2011/04/22	7.34	7.34	7.20	7.22	877795	31848376.00
2011/04/25	7.22	7.25	6.92	6.96	1024242	36149884.00
2011/04/26	6.88	6.93	6.76	6.79	927929	31862098.00
2011/04/27	6.83	6.93	6.77	6.87	732220	25214570.00
2011/04/28	6.85	6.85	6.35	6.35	1825860	60221188.00
2011/04/29	6.32	6.34	6.16	6.31	906672	28898856.00
2011/05/03	6.29	6.36	6.22	6.34	642346	20542922.00
2011/05/04	6.34	6.34	6.14	6.14	673145	21291622.00
2011/05/05	6.14	6.22	6.13	6.18	480409	15120409.00
2011/05/06	6.16	6.22	6.09	6.22	591248	18540200.00
2011/05/09	6.19	6.31	6.19	6.23	616818	19592216.00
2011/05/11	6.26	6.37	6.23	6.29	1570421	50370544.00
2011/05/12	6.28	6.41	6.22	6.30	837579	26896854.00
2011/05/13	6.29	6.36	6.16	6.30	578767	18422318.00
2011/05/16	6.29	6.36	6.24	6.29	444701	14233077.00
2011/05/17	6.29	6.32	6.18	6.23	768313	24372636.00
2011/05/18	6.26	6.27	6.21	6.25	478898	15210677.00
2011/05/19	6.28	6.28	6.12	6.14	554212	17565940.00
2011/05/20	6.14	6.14	5.92	5.95	1034229	31786778.00
2011/05/23	5.88	5.94	5.64	5.64	993343	29424258.00
2011/05/24	5.60	5.76	5.59	5.73	923164	27039968.00
2011/05/25	5.73	5.76	5.58	5.60	494342	14403137.00
2011/05/26	5.64	5.76	5.62	5.68	732803	21439272.00
2011/05/27	5.68	5.70	5.62	5.64	373454	10858398.00
2011/05/30	5.58	5.74	5.58	5.65	460513	13470278.00
2011/05/31	5.70	5.71	5.48	5.70	940320	27212418.00
2011/06/01	5.67	5.73	5.61	5.71	1344107	39214064.00
2011/06/02	5.61	5.64	5.48	5.50	956453	27349280.00
2011/06/03	5.50	5.62	5.50	5.61	598158	17226204.00
2011/06/07	5.61	5.70	5.57	5.68	541207	15752671.00
2011/06/08	5.66	5.68	5.59	5.64	427401	12376213.00
2011/06/09	5.64	5.66	5.41	5.45	603391	17288212.00
2011/06/10	5.41	5.47	5.27	5.36	824892	22876752.00
2011/06/13	5.33	5.34	5.21	5.30	474557	13002502.00
2011/06/14	5.30	5.42	5.30	5.40	437747	12212638.00
2011/06/15	5.41	5.49	5.38	5.41	555878	15623151.00
2011/06/16	5.34	5.56	5.31	5.50	1123439	31802958.00
2011/06/17	5.45	5.71	5.45	5.62	1436673	41529760.00
2011/06/20	5.65	5.67	5.45	5.51	1227223	35241868.00
2011/06/21	5.52	5.63	5.47	5.61	872024	25012612.00
2011/06/22	5.59	5.64	5.44	5.49	635113	18127070.00
2011/06/23	5.47	5.69	5.40	5.66	1146823	33039736.00
2011/06/24	5.64	5.83	5.61	5.79	1880309	55393936.00
2011/06/27	5.79	5.86	5.75	5.81	1093163	32541714.00
2011/06/28	5.81	5.81	5.72	5.80	706620	20864606.00
2011/06/29	5.77	5.83	5.65	5.66	652000	19231318.00
2011/06/30	5.63	5.75	5.63	5.70	608195	17854428.00
2011/07/01	5.80	5.99	5.77	5.84	1541808	46563564.00
2011/07/04	5.88	6.07	5.88	6.05	1566927	47926268.00
2011/07/05	6.14	6.14	6.03	6.10	1554654	48256852.00
2011/07/06	6.12	6.42	6.05	6.39	2628288	83920232.00
2011/07/07	6.48	6.81	6.39	6.46	3555421	118049160.00
2011/07/08	6.44	6.71	6.44	6.62	2199935	73331248.00
2011/07/11	6.59	6.70	6.49	6.62	1703915	56889984.00
2011/07/12	6.54	6.58	6.34	6.36	1869944	61062048.00
2011/07/13	6.38	6.64	6.38	6.64	1705174	56364512.00
2011/07/14	6.72	6.80	6.64	6.78	1693658	57354316.00
2011/07/15	6.74	6.85	6.70	6.77	1663227	56662752.00
2011/07/18	6.82	6.82	6.61	6.68	1500726	50609740.00
2011/07/19	6.65	6.65	6.39	6.42	1844762	60389496.00
2011/07/20	6.51	6.52	6.34	6.52	1180007	38489696.00
2011/07/21	6.62	7.21	6.62	7.00	5064318	176261376.00
2011/07/22	6.85	6.95	6.55	6.79	4320607	147388544.00
2011/07/25	6.74	6.74	6.30	6.34	2157231	71222216.00
2011/07/26	6.36	6.45	6.30	6.44	953851	30982572.00
2011/07/27	6.43	6.63	6.34	6.61	1176999	38949660.00
2011/07/28	6.52	6.58	6.47	6.58	921864	30489440.00
2011/07/29	6.58	6.81	6.55	6.72	2120267	71961896.00
2011/08/01	6.66	6.85	6.62	6.72	1486893	50663220.00
2011/08/02	6.70	6.87	6.61	6.86	2481204	84667120.00
2011/08/03	6.76	7.00	6.70	6.80	1912961	66102340.00
2011/08/04	6.80	6.93	6.70	6.75	1248527	42612248.00
2011/08/05	6.52	6.61	6.42	6.47	1437111	47318028.00
2011/08/08	6.36	6.36	5.74	5.96	1631978	50750944.00
2011/08/09	5.83	6.02	5.63	5.96	1054109	31460230.00
2011/08/10	6.12	6.16	5.96	5.98	1178555	36531800.00
2011/08/11	5.79	6.10	5.75	6.08	914361	27897114.00
2011/08/12	6.14	6.32	6.11	6.23	1184298	37529288.00
2011/08/15	6.35	6.47	6.23	6.39	1209567	39083020.00
2011/08/16	6.40	6.40	6.26	6.29	832971	26707282.00
2011/08/17	6.29	6.36	6.25	6.27	620673	19873252.00
2011/08/18	6.28	6.33	6.18	6.19	467095	14808249.00
2011/08/19	6.11	6.13	5.97	6.02	765539	23630488.00
2011/08/23	6.08	6.21	5.93	6.21	845046	26286486.00
2011/08/24	6.29	6.36	6.23	6.24	829450	26521886.00
2011/08/25	6.18	6.37	6.18	6.37	788991	25263954.00
2011/08/26	6.34	6.39	6.31	6.38	554272	17873184.00
2011/08/29	6.34	6.46	6.32	6.45	853039	27749194.00
2011/08/30	6.48	6.51	6.26	6.26	885142	28653536.00
2011/08/31	6.28	6.30	6.08	6.21	454273	14316995.00
2011/09/01	6.23	6.31	6.16	6.26	515451	16334549.00
2011/09/02	6.28	6.29	6.14	6.20	441233	13950253.00
2011/09/05	6.14	6.14	5.99	5.99	451195	13897430.00
2011/09/06	5.88	5.99	5.84	5.88	337633	10209629.00
2011/09/07	5.90	6.05	5.90	6.02	534406	16366754.00
2011/09/08	6.05	6.08	5.79	5.79	862141	26099700.00
2011/09/09	5.82	5.98	5.65	5.65	626147	12348477.00
2011/09/13	5.54	5.54	5.38	5.43	607750	11374990.00
2011/09/14	5.45	5.52	5.39	5.51	429603	8091228.00
2011/09/15	5.55	5.60	5.46	5.47	431869	8235775.50
2011/09/16	5.52	5.55	5.38	5.41	713140	13386247.00
2011/09/19	5.37	5.38	5.25	5.30	615038	11280968.00
2011/09/20	5.32	5.37	5.27	5.34	334831	6161208.50
2011/09/21	5.32	5.54	5.32	5.50	796974	14970397.00
2011/09/22	5.45	5.61	5.40	5.50	1446683	27606944.00
2011/09/23	5.39	5.63	5.29	5.60	1054674	20119072.00
2011/09/26	5.56	5.64	5.45	5.46	630693	11997894.00
2011/09/27	5.50	5.59	5.28	5.38	819152	15181801.00
2011/09/28	5.39	5.43	5.01	5.05	956502	17217534.00
2011/09/29	5.00	5.07	4.85	4.85	841858	14488173.00
2011/09/30	4.91	4.91	4.79	4.85	349606	5922965.50
2011/10/10	4.79	4.89	4.78	4.82	386380	6515620.50
2011/10/11	4.93	4.98	4.76	4.82	528667	9049226.00
2011/10/12	4.81	5.04	4.77	5.02	894412	15457204.00
2011/10/13	5.02	5.15	4.98	5.07	720915	12716556.00
2011/10/14	5.08	5.12	5.00	5.12	716256	12620695.00
2011/10/17	5.16	5.22	5.10	5.17	796401	14272247.00
2011/10/18	5.10	5.15	5.00	5.02	711711	12549156.00
2011/10/19	5.02	5.10	4.99	5.04	465453	8176479.50
2011/10/20	5.00	5.08	4.85	4.87	994804	17106132.00
2011/10/21	4.89	4.95	4.80	4.81	379552	6433538.50
2011/10/24	4.81	4.91	4.68	4.88	697152	11709014.00
2011/10/25	4.90	5.02	4.87	5.00	650990	11277411.00
2011/10/26	4.97	5.11	4.95	5.05	905214	15895590.00
2011/10/27	5.05	5.09	4.99	4.99	715264	12564763.00
2011/10/28	5.04	5.14	5.02	5.13	1256220	22203708.00
2011/10/31	5.13	5.66	5.07	5.65	2537268	46853596.00
2011/11/01	5.50	5.74	5.45	5.55	3367740	64807892.00
2011/11/02	5.39	5.70	5.39	5.67	1888132	36178004.00
2011/11/03	5.69	6.15	5.68	5.94	3116935	62235268.00
2011/11/04	5.90	6.15	5.85	6.01	3114756	63648960.00
2011/11/07	6.01	6.07	5.86	5.90	1433498	29063938.00
2011/11/08	5.92	5.98	5.64	5.65	1492662	29597008.00
2011/11/09	5.69	5.85	5.68	5.85	1261539	24933220.00
2011/11/10	5.75	5.84	5.71	5.73	962297	19006372.00
2011/11/11	5.72	5.78	5.65	5.66	715473	13986419.00
2011/11/14	5.73	5.88	5.71	5.85	1303004	25903578.00
2011/11/15	5.85	6.14	5.85	6.02	2255163	46467248.00
2011/11/16	6.20	6.37	5.87	5.99	3247154	67896464.00
2011/11/17	5.90	6.02	5.89	5.90	1164997	23606614.00
2011/11/18	5.81	5.85	5.59	5.60	1222742	23942826.00
2011/11/21	5.69	5.69	5.52	5.61	424537	8120773.50
