002548 金新农 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/18	7.22	7.79	7.22	7.50	14392884	406458112.00
2011/02/21	7.55	7.66	7.36	7.57	6489508	182430464.00
2011/02/22	7.49	7.55	6.91	7.01	5304659	143839168.00
2011/02/23	7.02	7.24	7.02	7.08	2042898	54712836.00
2011/02/24	7.11	7.21	7.02	7.14	1669522	44681372.00
2011/02/25	7.12	7.12	6.83	6.95	2201207	57503592.00
2011/02/28	6.96	7.12	6.89	7.08	1770598	46883616.00
2011/03/01	7.08	7.18	7.01	7.10	1824117	48756376.00
2011/03/02	7.10	7.10	6.90	7.02	1418249	37350960.00
2011/03/03	7.01	7.12	6.93	6.95	1292416	34227024.00
2011/03/04	7.01	7.11	6.96	7.09	1315662	35046924.00
2011/03/07	7.12	7.15	7.02	7.07	1483817	39470052.00
2011/03/08	7.05	7.05	6.96	7.00	1325925	34946676.00
2011/03/09	7.03	7.45	6.95	7.30	3655544	99002056.00
2011/03/10	7.22	7.27	7.12	7.14	1687260	45558032.00
2011/03/11	7.10	7.22	7.07	7.08	1266421	34031496.00
2011/03/14	7.02	7.09	6.97	7.05	1107870	29328696.00
2011/03/15	7.06	7.06	6.88	6.96	1282460	33668964.00
2011/03/16	6.97	7.12	6.91	7.11	1456182	38536820.00
2011/03/17	7.02	7.03	6.91	7.03	923643	24315972.00
2011/03/18	7.06	7.12	7.03	7.08	747662	19927054.00
2011/03/21	7.07	7.07	6.96	7.00	584020	15391248.00
2011/03/22	7.06	7.27	6.99	7.21	1991122	53561216.00
2011/03/23	7.17	7.23	7.08	7.22	1609720	43435524.00
2011/03/24	7.18	7.20	7.06	7.09	1256498	33601472.00
2011/03/25	7.04	7.09	6.97	6.98	1484332	39293620.00
2011/03/28	6.98	7.04	6.94	7.01	886118	23282802.00
2011/03/29	6.98	6.98	6.69	6.72	1151530	29880480.00
2011/03/30	6.67	6.74	6.52	6.67	949781	23926770.00
2011/03/31	6.65	6.66	6.46	6.48	697656	17376414.00
2011/04/01	6.48	6.57	6.48	6.53	463821	11525070.00
2011/04/06	6.53	6.68	6.52	6.63	519010	13007875.00
2011/04/07	6.59	6.64	6.55	6.62	332647	8328079.50
2011/04/08	6.62	6.65	6.55	6.61	332975	8355221.50
2011/04/11	6.60	6.63	6.48	6.48	624432	15533193.00
2011/04/12	6.48	6.49	6.36	6.40	677152	16580991.00
2011/04/13	6.37	6.73	6.35	6.63	889166	22000106.00
2011/04/14	6.58	6.65	6.53	6.60	582155	14570743.00
2011/04/18	6.52	6.52	6.38	6.44	413312	10150744.00
2011/04/19	6.42	6.47	6.37	6.47	398384	9741271.00
2011/04/20	6.44	6.48	6.43	6.46	284017	6984910.50
2011/04/21	6.48	6.57	6.45	6.53	352201	8716022.00
2011/04/22	6.53	6.60	6.50	6.58	613759	15328068.00
2011/04/25	6.58	6.60	6.43	6.45	443370	10992244.00
2011/04/26	6.40	6.48	6.29	6.29	388949	9486662.00
2011/04/27	6.27	6.36	6.22	6.29	251439	6054012.00
2011/04/28	6.36	6.36	5.75	6.06	431214	9930559.00
2011/04/29	5.97	6.03	5.94	5.99	163235	3713199.25
2011/05/03	5.99	6.02	5.95	6.01	145498	3310024.25
2011/05/04	5.98	5.98	5.77	5.78	234048	5206416.00
