002549 凯美特气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/18	4.25	4.77	4.15	4.60	14222162	519748832.00
2011/02/21	4.77	5.04	4.75	4.75	9681843	381492832.00
2011/02/22	4.62	4.99	4.61	4.90	6287805	245508000.00
2011/02/23	4.84	4.98	4.72	4.83	3857722	151709664.00
2011/02/24	4.98	5.17	4.82	4.89	4422281	179472816.00
2011/02/25	4.66	4.76	4.40	4.72	3745211	140861344.00
2011/02/28	4.83	4.99	4.77	4.96	3807419	151599616.00
2011/03/01	4.89	5.10	4.83	5.02	2874769	115800840.00
2011/03/02	4.96	4.98	4.75	4.89	2060928	81614784.00
2011/03/03	4.87	5.40	4.84	5.40	4989508	210416512.00
2011/03/04	5.46	5.47	5.22	5.37	3370217	146261968.00
2011/03/07	5.38	5.54	5.24	5.29	2729298	118724088.00
2011/03/08	5.21	5.49	5.16	5.37	2428860	105206880.00
2011/03/09	5.39	5.39	5.21	5.26	1557655	66471276.00
2011/03/10	5.26	5.65	5.25	5.39	2357707	104123632.00
2011/03/11	5.35	5.56	5.24	5.41	1905352	83146648.00
2011/03/14	5.37	5.83	5.37	5.72	2189539	98943888.00
2011/03/15	5.79	5.80	5.46	5.76	2168244	98286992.00
2011/03/16	5.72	6.11	5.72	5.94	2414102	116596912.00
2011/03/17	5.88	6.06	5.71	5.78	1553056	73653864.00
2011/03/18	5.80	5.90	5.62	5.69	1670014	77222024.00
2011/03/21	5.69	5.85	5.62	5.72	1547677	71727728.00
2011/03/23	5.70	5.80	5.49	5.74	869073	39771564.00
2011/03/24	5.77	5.77	5.51	5.55	1589741	71834848.00
2011/03/25	5.53	5.62	5.44	5.56	1054322	47258192.00
2011/03/28	5.51	5.57	5.17	5.20	1852751	79905216.00
2011/03/29	5.15	5.21	5.05	5.18	1425390	59246620.00
2011/03/30	5.16	5.17	4.95	4.98	848115	34779072.00
2011/03/31	4.98	5.03	4.89	5.02	673631	27171454.00
2011/04/01	5.02	5.07	4.92	5.05	446579	18125644.00
2011/04/06	5.03	5.03	4.91	4.92	739668	29749748.00
2011/04/07	4.92	5.04	4.85	5.03	531809	21435048.00
2011/04/08	5.04	5.15	4.98	5.12	700745	28886514.00
2011/04/11	5.11	5.17	4.92	4.92	808170	33005450.00
2011/04/12	4.88	4.96	4.80	4.90	565646	22414338.00
2011/04/13	4.84	5.11	4.82	5.08	646746	26434456.00
2011/04/14	5.16	5.46	5.16	5.34	2349133	101093208.00
2011/04/15	5.34	5.36	5.23	5.35	1011406	43447920.00
2011/04/18	5.27	5.35	5.06	5.07	1162233	48948264.00
2011/04/19	5.04	5.11	4.90	5.02	545211	22195660.00
2011/04/20	4.98	5.37	4.98	5.28	870110	36953208.00
2011/04/21	5.28	5.42	5.18	5.19	633932	27253146.00
2011/04/22	5.18	5.29	5.11	5.26	416471	17605734.00
2011/04/25	5.19	5.37	5.19	5.26	651518	27992838.00
2011/04/26	5.23	5.37	4.92	5.16	849427	35792200.00
2011/04/27	5.11	5.16	4.89	4.98	877711	35391828.00
2011/04/28	4.96	5.06	4.79	4.89	351798	14088351.00
2011/04/29	4.77	4.94	4.77	4.90	371864	14772919.00
2011/05/03	4.96	4.96	4.85	4.91	159427	6364642.50
2011/05/04	4.90	4.90	4.67	4.70	358462	13940187.00
2011/05/05	4.70	4.76	4.66	4.72	262010	10035152.00
2011/05/06	4.69	4.76	4.60	4.73	120142	4622299.00
2011/05/09	4.70	4.88	4.68	4.73	138590	5439922.50
2011/05/11	4.87	4.88	4.73	4.75	179865	7002753.50
2011/05/12	4.68	4.81	4.68	4.70	244433	9414662.00
2011/05/13	4.67	4.72	4.53	4.61	250571	9452336.00
2011/05/16	4.53	4.80	4.53	4.79	347767	13289198.00
2011/05/17	4.79	4.81	4.66	4.76	138534	5352185.00
2011/05/18	4.72	4.75	4.65	4.66	589009	22501494.00
2011/05/19	4.66	4.77	4.64	4.72	195506	7502621.00
2011/05/20	4.74	4.76	4.66	4.76	193421	7440107.50
2011/05/23	4.76	4.76	4.62	4.76	357509	13596532.00
2011/05/24	4.72	4.79	4.65	4.77	400509	15443869.00
2011/05/25	4.75	4.76	4.54	4.56	421206	15930593.00
2011/05/26	4.62	4.66	4.47	4.66	1109183	40963656.00
2011/05/27	4.53	4.75	4.53	4.75	508299	19314204.00
2011/05/30	4.72	4.81	4.67	4.72	495436	19193332.00
2011/05/31	4.66	4.85	4.66	4.76	278366	10812264.00
2011/06/01	4.78	4.85	4.74	4.85	299936	11710978.00
2011/06/02	4.86	5.04	4.86	4.92	840582	33766436.00
2011/06/03	4.92	5.06	4.79	5.01	480022	19353974.00
2011/06/07	4.99	5.01	4.90	4.96	310737	12479050.00
2011/06/08	4.92	4.99	4.89	4.98	169770	6840059.00
2011/06/09	4.98	5.02	4.88	4.95	320377	12899161.00
2011/06/10	4.98	4.98	4.85	4.92	324626	13001127.00
2011/06/13	4.87	5.03	4.81	4.97	253602	10152605.00
2011/06/14	4.94	5.09	4.94	5.07	226076	9239858.00
2011/06/15	5.06	5.30	5.01	5.01	345054	14383906.00
2011/06/16	5.08	5.08	4.85	5.02	272806	7320579.50
2011/06/17	4.96	5.02	4.85	4.93	289242	7728371.50
2011/06/20	4.86	4.93	4.63	4.80	233187	5996103.00
2011/06/21	4.76	4.88	4.66	4.87	319516	8247339.50
2011/06/22	4.81	4.84	4.75	4.77	234377	6064434.50
2011/06/23	4.73	5.04	4.71	4.96	299495	7904389.00
2011/06/24	4.94	5.13	4.94	5.11	897442	24538450.00
2011/06/27	5.11	5.37	5.11	5.18	647292	18308822.00
2011/06/28	5.15	5.27	5.13	5.24	429462	12086055.00
2011/06/29	5.12	5.27	5.12	5.23	355881	9918598.00
2011/06/30	5.21	5.50	5.17	5.42	1018519	29315528.00
2011/07/01	5.42	5.47	5.37	5.38	336161	9789059.00
2011/07/04	5.47	5.48	5.35	5.44	709007	20695638.00
2011/07/05	5.42	5.48	5.35	5.42	275995	8070842.50
2011/07/06	5.42	5.47	5.36	5.43	441572	12875972.00
2011/07/07	5.38	5.57	5.38	5.53	795217	23551988.00
2011/07/08	5.53	5.57	5.25	5.36	718353	20732390.00
2011/07/11	5.38	5.38	5.17	5.28	1076289	30452928.00
2011/07/12	5.23	5.23	5.13	5.13	485028	13507115.00
2011/07/13	5.15	5.28	5.13	5.28	499429	13973986.00
2011/07/14	5.21	5.32	5.21	5.31	429059	12180673.00
2011/07/15	5.31	5.33	5.23	5.29	364819	10373452.00
2011/07/18	5.37	5.40	5.28	5.37	623321	17995742.00
2011/07/19	5.37	5.37	5.21	5.34	389414	11091828.00
2011/07/20	5.29	5.40	5.19	5.29	328386	9331635.00
2011/07/21	5.11	5.34	5.10	5.22	490878	13672614.00
2011/07/22	5.19	5.26	5.13	5.25	197307	5542809.00
2011/07/25	5.17	5.24	5.00	5.07	380487	10528413.00
2011/07/26	5.10	5.11	5.02	5.08	142744	3893986.50
2011/07/27	5.03	5.30	5.02	5.25	547273	15314148.00
2011/07/28	5.20	5.54	5.13	5.48	1530268	44369676.00
2011/07/29	5.47	5.53	5.36	5.38	803525	23529068.00
2011/08/01	5.38	5.62	5.38	5.52	1457885	43320740.00
2011/08/02	5.52	5.63	5.38	5.61	1059412	31510612.00
2011/08/03	5.57	5.58	5.42	5.48	783469	23250164.00
2011/08/04	5.51	5.54	5.43	5.48	411094	12116375.00
2011/08/05	5.32	5.48	5.23	5.30	985368	28400162.00
2011/08/08	5.20	5.28	4.92	5.21	1283244	35268948.00
2011/08/09	5.00	5.26	4.90	5.24	551318	15283038.00
2011/08/10	5.29	5.38	5.14	5.23	963357	27547466.00
2011/08/11	5.13	5.29	5.09	5.28	984500	27837600.00
2011/08/12	5.31	5.63	5.31	5.63	2067107	61337488.00
2011/08/15	5.60	5.77	5.57	5.74	1327392	40650208.00
2011/08/17	5.72	6.30	5.65	6.01	2603096	83807352.00
2011/08/18	5.96	6.19	5.90	6.08	1022485	33339118.00
2011/08/19	5.96	6.30	5.87	6.27	1712249	56462492.00
2011/08/22	6.32	6.34	6.02	6.04	1172515	38759728.00
2011/08/23	6.01	6.21	5.99	6.16	828954	27124486.00
2011/08/24	6.17	6.22	6.07	6.16	567421	18659502.00
2011/08/25	6.16	6.25	5.98	6.24	715055	23532454.00
