002555 三七互娱 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/02	2.94	3.11	2.93	2.93	8827250	330382432.00
2011/03/03	2.89	2.89	2.76	2.76	3510580	124491968.00
2011/03/04	2.74	2.81	2.73	2.79	1484295	52274456.00
2011/03/07	2.77	2.79	2.76	2.77	1694556	59486192.00
2011/03/08	2.78	2.78	2.70	2.72	1652825	57421536.00
2011/03/09	2.72	2.76	2.71	2.76	1011529	35213984.00
2011/03/10	2.76	2.76	2.72	2.73	856096	29774136.00
2011/03/11	2.71	2.74	2.71	2.72	777340	26988424.00
2011/03/14	2.72	2.77	2.72	2.76	769314	26890312.00
2011/03/15	2.75	2.77	2.71	2.74	775341	26956274.00
2011/03/16	2.74	2.77	2.73	2.76	788711	27595862.00
2011/03/17	2.74	2.75	2.68	2.70	800279	27692690.00
2011/03/18	2.69	2.72	2.69	2.71	474050	16330018.00
2011/03/21	2.71	2.76	2.71	2.76	860066	30001534.00
2011/03/22	2.76	2.93	2.71	2.85	2473784	88333456.00
2011/03/23	2.83	2.83	2.78	2.80	1020254	36133276.00
2011/03/24	2.79	2.82	2.76	2.78	721821	25538906.00
2011/03/25	2.78	2.79	2.76	2.77	717147	25228970.00
2011/03/28	2.76	2.77	2.71	2.73	780138	27135724.00
2011/03/29	2.71	2.74	2.68	2.68	552822	19077124.00
2011/03/30	2.68	2.70	2.65	2.65	477805	16266341.00
2011/03/31	2.65	2.67	2.65	2.65	299786	10183697.00
2011/04/01	2.66	2.68	2.65	2.67	258676	8800540.00
2011/04/06	2.67	2.67	2.57	2.60	567290	18948398.00
2011/04/07	2.67	2.80	2.67	2.74	1217622	42483360.00
2011/04/08	2.70	2.75	2.70	2.74	534902	18558318.00
2011/04/11	2.75	2.78	2.72	2.72	508050	17728892.00
2011/04/12	2.74	2.74	2.70	2.71	272130	9391693.00
2011/04/13	2.71	2.74	2.70	2.74	281335	9755125.00
2011/04/14	2.74	2.75	2.71	2.72	323010	11187016.00
2011/04/15	2.73	2.75	2.70	2.74	341726	11856731.00
2011/04/18	2.74	2.75	2.67	2.68	499508	17224056.00
2011/04/19	2.69	2.71	2.67	2.68	327917	11245781.00
2011/04/20	2.69	2.70	2.67	2.69	272758	9346222.00
2011/04/21	2.69	2.72	2.69	2.71	396963	13698692.00
2011/04/22	2.71	2.75	2.70	2.73	311917	10848962.00
2011/04/25	2.72	2.73	2.65	2.66	300144	10236747.00
2011/04/26	2.66	2.67	2.59	2.61	268447	9007922.00
2011/04/27	2.63	2.64	2.58	2.58	187246	6246194.00
2011/04/28	2.59	2.60	2.46	2.48	334311	10927032.00
