002560 通达股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/03/03	7.38	8.12	7.36	7.95	12787631	408777632.00
2011/03/04	7.55	7.82	7.53	7.63	5505854	171580368.00
2011/03/07	7.63	7.63	7.41	7.51	3552046	108606688.00
2011/03/08	7.46	7.56	7.42	7.52	1979254	60448096.00
2011/03/09	7.50	7.64	7.44	7.63	2566386	79024112.00
2011/03/10	7.58	7.59	7.46	7.46	1730780	53210096.00
2011/03/11	7.44	7.50	7.39	7.44	1472309	44904320.00
2011/03/14	7.46	7.59	7.43	7.56	1435455	44127944.00
2011/03/15	7.55	7.64	7.41	7.50	1445043	44281100.00
2011/03/16	7.48	7.58	7.42	7.56	1646009	50560324.00
2011/03/17	7.48	7.81	7.46	7.61	2504749	78193256.00
2011/03/18	7.65	7.70	7.53	7.59	1345418	41797380.00
2011/03/21	7.61	7.66	7.49	7.62	1310520	40521744.00
2011/03/22	7.74	8.42	7.71	8.42	4402792	145506992.00
2011/03/23	8.60	8.68	8.21	8.47	4881892	167118880.00
2011/03/24	8.34	8.45	8.21	8.23	3389547	114663792.00
2011/03/25	8.21	8.32	8.14	8.24	2228861	74686784.00
2011/03/28	8.26	8.31	7.92	7.96	2427458	79771456.00
2011/03/29	7.91	7.92	7.56	7.63	2282894	71854136.00
2011/03/30	7.61	7.71	7.50	7.62	1294117	40134132.00
2011/03/31	7.59	7.69	7.51	7.52	940206	29198946.00
2011/04/01	7.56	7.65	7.48	7.62	998352	30866952.00
2011/04/06	7.53	7.61	7.28	7.31	1526605	46085980.00
2011/04/07	7.30	7.42	7.30	7.42	1033487	31159090.00
2011/04/08	7.41	7.48	7.36	7.45	802443	24378714.00
2011/04/11	7.47	7.61	7.34	7.45	1043651	31728416.00
2011/04/12	7.44	7.48	7.36	7.38	762824	23126352.00
2011/04/13	7.38	7.49	7.36	7.48	645947	19660128.00
2011/04/14	7.48	7.48	7.33	7.35	821540	24835714.00
2011/04/15	7.32	7.34	7.08	7.17	1199671	35364228.00
2011/04/18	7.18	7.22	7.13	7.20	483922	14223850.00
2011/04/19	7.20	7.20	6.99	7.04	732562	21154400.00
2011/04/20	7.02	7.11	7.00	7.11	445524	12870174.00
2011/04/21	7.13	7.13	7.08	7.11	503306	14647481.00
2011/04/22	7.13	7.15	7.00	7.01	666971	19305338.00
2011/04/25	7.01	7.01	6.80	6.81	633270	17883282.00
2011/04/26	6.81	6.95	6.78	6.91	467339	13141082.00
2011/04/28	6.87	6.87	6.47	6.48	622926	16990420.00
2011/04/29	6.49	6.65	6.47	6.64	303629	8226824.00
2011/05/03	6.57	6.71	6.57	6.67	243068	6652863.00
2011/05/04	6.69	6.82	6.59	6.68	342857	9454017.00
2011/05/05	6.68	6.73	6.57	6.65	167841	4593127.00
2011/05/06	6.59	6.66	6.53	6.63	252450	6850288.00
2011/05/09	6.63	6.65	6.56	6.58	276834	5735027.50
2011/05/10	6.64	6.64	6.54	6.57	197845	4075187.75
2011/05/11	6.62	6.64	6.53	6.63	287808	5959845.00
2011/05/12	6.63	6.64	6.46	6.47	329871	6771726.00
2011/05/13	6.47	6.50	6.30	6.38	464034	9276427.00
2011/05/16	6.38	6.63	6.37	6.57	501698	10299946.00
2011/05/17	6.53	6.58	6.42	6.53	260121	5322622.50
2011/05/18	6.46	6.56	6.44	6.47	169321	3449740.00
2011/05/19	6.50	6.50	6.33	6.33	253385	5105828.00
2011/05/20	6.33	6.46	6.22	6.26	305305	6045351.00
2011/05/23	6.22	6.30	5.81	5.81	498626	9402910.00
2011/05/24	5.80	5.86	5.58	5.80	409364	7382421.00
2011/05/25	5.80	5.89	5.58	5.62	282853	5098236.50
2011/05/26	5.67	5.76	5.59	5.59	221635	3957858.75
2011/05/27	5.59	5.63	5.42	5.43	268748	4657687.00
2011/05/30	5.42	5.52	5.42	5.42	341344	5900665.50
2011/05/31	5.42	5.60	5.42	5.57	262451	4585749.50
2011/06/01	5.52	5.66	5.50	5.65	420057	7460776.50
2011/06/02	5.58	5.58	5.38	5.46	404024	6976899.50
2011/06/03	5.49	5.59	5.42	5.57	254859	4458264.50
2011/06/07	5.57	5.58	5.47	5.51	255675	4456617.00
2011/06/08	5.52	5.54	5.44	5.52	284732	4944979.50
2011/06/09	5.52	5.55	5.36	5.37	311695	5361408.00
2011/06/10	5.33	5.37	5.16	5.24	405010	6724695.50
2011/06/13	5.17	5.22	5.09	5.16	274404	4481340.50
2011/06/14	5.16	5.26	5.16	5.24	409377	6790618.50
2011/06/15	5.25	5.35	5.22	5.22	350309	5866269.50
2011/06/16	5.16	5.16	5.07	5.07	252538	4101082.25
2011/06/17	5.07	5.13	5.05	5.05	281228	4545483.50
2011/06/20	5.01	5.15	4.95	5.05	204514	3275170.25
2011/06/21	5.19	5.22	5.06	5.15	210879	3436689.50
2011/06/22	5.14	5.20	5.09	5.18	298016	4876406.00
2011/06/23	5.17	5.33	5.15	5.33	715578	11980244.00
2011/06/24	5.30	5.52	5.27	5.44	973428	16652287.00
2011/06/27	5.44	5.52	5.40	5.43	709444	12256628.00
2011/06/28	5.40	5.51	5.40	5.50	579839	10004772.00
2011/06/29	5.53	5.79	5.44	5.55	1160645	20612696.00
2011/06/30	5.51	5.63	5.51	5.54	685151	12054633.00
2011/07/01	5.55	5.60	5.52	5.53	468557	8234347.50
2011/07/04	5.52	5.88	5.52	5.73	935488	16821822.00
2011/07/05	5.76	5.76	5.67	5.73	646346	11644597.00
2011/07/06	5.73	6.33	5.70	6.33	4142546	79942992.00
2011/07/07	6.26	6.30	6.12	6.22	2985085	58263792.00
2011/07/08	6.10	6.23	6.06	6.10	1169153	22535662.00
2011/07/11	6.02	6.16	6.02	6.10	924007	17784546.00
2011/07/12	6.04	6.22	5.97	6.14	1310452	25300296.00
2011/07/13	6.14	6.22	5.98	6.21	1266944	24483028.00
2011/07/14	6.18	6.43	6.18	6.27	1380172	27337090.00
2011/07/15	6.30	6.36	6.23	6.30	1084240	21431236.00
2011/07/18	6.35	6.37	6.23	6.24	841937	16621595.00
2011/07/19	6.19	6.19	5.96	5.97	921001	17550754.00
2011/07/20	6.09	6.55	6.09	6.25	1884371	37362092.00
2011/07/22	6.10	6.23	6.03	6.06	770110	14830571.00
2011/07/25	6.03	6.06	5.57	5.65	848885	15600724.00
2011/07/26	5.64	5.69	5.60	5.67	380914	6796348.00
2011/07/27	5.67	5.80	5.57	5.76	482938	8705854.00
2011/07/28	5.70	5.76	5.62	5.75	412137	7404240.00
2011/07/29	5.75	5.82	5.65	5.69	339951	6117627.50
2011/08/01	5.72	5.72	5.52	5.71	356279	6375946.50
2011/08/02	5.67	5.72	5.54	5.71	409991	7309168.00
2011/08/03	5.66	5.90	5.60	5.90	988035	18102040.00
2011/08/04	5.90	5.97	5.81	5.93	742619	13812501.00
2011/08/05	5.59	5.73	5.55	5.63	668755	11961892.00
2011/08/08	5.53	5.61	5.06	5.16	906518	15334946.00
2011/08/09	5.09	5.18	4.78	5.10	633928	10066730.00
2011/08/10	5.21	5.28	5.16	5.23	593469	9843363.00
2011/08/11	5.04	5.48	5.04	5.46	718382	12200593.00
2011/08/12	5.50	5.58	5.41	5.51	562608	9801011.00
2011/08/15	5.48	5.62	5.48	5.59	674100	11878098.00
2011/08/16	5.59	5.65	5.50	5.50	429596	7531038.50
2011/08/17	5.47	5.53	5.41	5.49	344461	5967823.00
2011/08/18	5.49	5.50	5.38	5.38	379536	6538505.00
2011/08/19	5.36	5.37	5.24	5.29	385646	6470607.00
2011/08/23	5.36	5.56	5.36	5.48	887032	15416373.00
2011/08/24	6.00	6.06	6.00	6.06	1908673	36410364.00
2011/08/25	6.33	6.53	6.16	6.45	7433359	148072672.00
2011/08/26	6.26	6.39	6.21	6.30	3401214	67354992.00
2011/08/29	6.23	6.46	6.16	6.38	3172391	63159800.00
2011/08/30	6.39	6.96	6.39	6.61	5620544	118609104.00
2011/08/31	6.54	6.56	6.21	6.33	2914105	58164432.00
2011/09/01	6.41	6.51	6.15	6.36	2072968	41288176.00
2011/09/02	6.26	6.39	6.16	6.35	1516532	29885688.00
2011/09/05	6.26	6.33	5.90	5.95	1812940	34636460.00
2011/09/06	5.84	6.20	5.84	6.11	1886429	35961236.00
2011/09/07	6.05	6.42	6.05	6.39	3060092	60338808.00
2011/09/08	6.31	6.39	6.10	6.10	2207210	43353376.00
2011/09/09	6.11	6.36	5.99	6.36	2454134	48090576.00
2011/09/13	6.25	6.89	6.15	6.69	5728595	117973112.00
2011/09/14	6.66	6.66	6.44	6.60	3295541	67833984.00
2011/09/15	6.60	6.92	6.58	6.58	4211916	89361576.00
2011/09/16	6.58	6.67	6.37	6.37	2732095	55458128.00
2011/09/19	6.30	6.33	6.03	6.05	1862674	36087924.00
2011/09/20	6.03	6.23	5.97	6.14	1484800	28510984.00
2011/09/21	6.15	6.53	6.10	6.47	2334411	46279612.00
2011/09/22	6.41	6.56	6.14	6.19	2078480	41368128.00
2011/09/23	6.03	6.14	5.93	6.06	1152402	21828158.00
2011/09/26	6.00	6.10	5.68	5.73	1378276	25506728.00
2011/09/27	5.83	5.83	5.56	5.64	1014830	18159230.00
2011/09/28	5.69	5.76	5.56	5.68	655413	11686152.00
2011/09/29	5.63	5.77	5.52	5.54	865973	15490546.00
2011/09/30	5.54	5.63	5.08	5.23	1039234	17373194.00
2011/10/10	5.24	5.31	5.05	5.31	555119	9177130.00
2011/10/11	5.39	5.51	5.26	5.35	1024771	17618628.00
2011/10/12	5.27	5.58	5.21	5.57	884051	15348409.00
2011/10/13	5.57	5.75	5.53	5.63	693846	12353063.00
2011/10/14	5.63	5.67	5.40	5.55	678500	11850387.00
2011/10/17	5.66	5.76	5.47	5.74	1346185	23983118.00
2011/10/18	5.67	5.67	5.33	5.35	946526	16574050.00
2011/10/19	5.37	5.46	5.30	5.34	455940	7780535.50
2011/10/20	5.33	5.36	5.07	5.16	434955	7183849.00
2011/10/21	5.21	5.26	5.06	5.08	375375	6116138.00
2011/10/24	5.08	5.23	4.99	5.18	488404	7944244.50
2011/10/25	5.18	5.38	5.15	5.36	755447	12680849.00
2011/10/26	5.29	5.47	5.26	5.35	827509	14082916.00
2011/10/27	5.36	5.43	5.31	5.35	666894	11329798.00
2011/10/28	5.46	5.55	5.33	5.53	1090705	18759292.00
2011/10/31	5.54	5.54	5.44	5.49	691667	12011179.00
2011/11/01	5.45	5.53	5.38	5.49	828861	14306270.00
2011/11/02	5.37	5.66	5.34	5.60	1107900	19270266.00
2011/11/03	5.60	6.19	5.60	6.04	3913832	73481432.00
2011/11/04	6.19	6.37	5.97	6.01	3472026	67310616.00
2011/11/07	5.98	6.04	5.86	5.95	1026036	19229318.00
2011/11/08	5.95	6.18	5.94	5.98	1295821	24737404.00
2011/11/09	5.99	6.13	5.91	6.09	1044444	19771616.00
2011/11/10	5.96	6.07	5.87	5.96	949511	17878910.00
2011/11/11	5.95	6.02	5.83	5.85	836510	15579687.00
2011/11/14	5.88	6.46	5.88	6.30	3532929	69589856.00
2011/11/15	6.26	6.33	6.13	6.24	2128915	41665348.00
2011/11/16	6.24	6.24	5.90	5.91	1538528	29377906.00
2011/11/17	5.91	6.08	5.91	5.98	848931	16038467.00
2011/11/18	5.91	6.03	5.76	5.82	784248	14617220.00
2011/11/21	5.88	5.88	5.70	5.78	530449	9680858.00
2011/11/22	5.71	5.79	5.60	5.73	528244	9510825.00
2011/11/23	5.71	5.79	5.67	5.68	544158	9851168.00
2011/11/24	5.56	5.63	5.39	5.52	923743	16067242.00
2011/11/25	5.44	5.56	5.44	5.48	405554	7050208.50
2011/11/28	5.52	5.53	5.46	5.50	389981	6781972.50
2011/11/29	5.56	5.75	5.56	5.69	740951	13232408.00
2011/11/30	5.73	5.74	5.13	5.22	959500	16417418.00
2011/12/01	5.46	5.58	5.30	5.32	694011	11904286.00
2011/12/02	5.34	5.40	5.22	5.27	353778	5945062.00
2011/12/05	5.23	5.33	5.18	5.18	302356	5039671.00
