002605 姚记扑克 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/05	7.75	9.04	7.73	8.43	17164805	609737216.00
2011/08/08	7.54	7.91	7.53	7.53	4988193	163163360.00
2011/08/09	6.72	7.37	6.72	6.88	8606418	256741728.00
2011/08/10	7.02	7.24	6.77	6.84	6751195	203705424.00
2011/08/11	6.38	6.78	6.30	6.73	5106186	145970048.00
2011/08/12	6.69	6.96	6.67	6.72	4004664	118217384.00
2011/08/15	6.67	7.08	6.67	6.98	4465190	133535768.00
2011/08/16	6.98	7.23	6.92	7.09	5232724	159876720.00
2011/08/17	7.02	7.08	6.68	6.78	3309049	99116752.00
2011/08/18	6.69	6.99	6.66	6.87	2805398	83509496.00
2011/08/19	6.62	6.74	6.41	6.67	2344538	67099068.00
2011/08/22	6.64	6.91	6.59	6.81	2404272	70913696.00
2011/08/23	6.84	7.11	6.65	7.10	3638362	109056504.00
2011/08/24	7.08	7.71	7.01	7.37	5688619	178745488.00
2011/08/25	7.34	7.42	7.09	7.26	3511663	109896224.00
2011/08/26	7.29	7.41	7.22	7.34	2616463	83053536.00
2011/08/29	7.34	7.41	7.00	7.01	2943042	91107976.00
2011/08/30	7.05	7.14	6.74	6.74	2294900	68679784.00
2011/08/31	6.77	6.91	6.59	6.89	1568594	45919192.00
2011/09/01	6.89	6.90	6.62	6.66	1276509	37485904.00
2011/09/02	6.61	6.68	6.44	6.60	1114019	31790446.00
2011/09/05	6.54	6.54	6.05	6.14	1802801	49447056.00
2011/09/06	5.89	6.04	5.66	5.76	1858112	47559796.00
2011/09/07	5.79	5.94	5.76	5.92	1418030	36514872.00
2011/09/08	5.94	5.97	5.54	5.56	1665263	42444244.00
2011/09/09	5.56	5.85	5.29	5.85	2582873	63502888.00
2011/09/13	5.63	5.78	5.44	5.49	1638650	40914596.00
2011/09/14	5.44	5.88	5.39	5.69	1836318	45271304.00
2011/09/16	5.82	5.82	5.49	5.51	1158483	28818412.00
2011/09/19	5.50	5.50	5.17	5.20	976442	22963924.00
2011/09/20	5.12	5.44	5.07	5.36	1400680	32906326.00
2011/09/21	5.27	5.54	5.27	5.48	1531376	36868916.00
2011/09/22	5.39	5.46	5.25	5.25	1315481	31335708.00
2011/09/23	5.08	5.40	5.00	5.40	1852937	43380704.00
2011/09/26	5.28	5.54	5.28	5.40	1448772	34816884.00
2011/09/27	5.39	5.49	5.29	5.37	979110	23451486.00
2011/09/28	5.42	5.48	5.09	5.12	1035787	24207336.00
2011/09/29	5.04	5.10	4.64	4.69	1556280	33775332.00
2011/09/30	4.71	4.77	4.42	4.57	833905	17286180.00
2011/10/10	4.52	4.67	4.52	4.55	442672	9130515.00
2011/10/11	4.75	4.78	4.45	4.54	866880	18127388.00
2011/10/12	4.57	4.80	4.44	4.78	1094318	23033344.00
2011/10/13	4.77	4.93	4.72	4.87	1161863	25368146.00
2011/10/14	4.87	5.16	4.81	5.13	1844577	41355488.00
2011/10/17	5.14	5.39	5.08	5.27	1882392	43878092.00
2011/10/18	5.24	5.24	4.79	4.82	1580339	35395676.00
2011/10/19	4.89	5.04	4.87	4.92	981342	21824608.00
2011/10/20	4.83	4.88	4.59	4.68	924386	19570500.00
2011/10/21	4.68	4.74	4.54	4.55	545795	11361728.00
2011/10/24	4.60	4.79	4.40	4.77	972287	20145340.00
2011/10/25	4.77	4.96	4.72	4.92	1055790	22939694.00
2011/10/26	4.92	5.38	4.82	5.14	2168902	49498456.00
2011/10/27	5.16	5.16	4.97	5.03	1571915	35497628.00
2011/10/28	5.13	5.29	5.04	5.22	1892804	43567760.00
2011/10/31	5.27	5.30	5.12	5.17	1538740	35684416.00
2011/11/01	5.05	5.74	5.05	5.74	3696107	89417088.00
2011/11/02	5.67	5.91	5.61	5.87	4735236	120262424.00
2011/11/03	5.74	5.98	5.69	5.71	3134833	80207352.00
2011/11/04	5.71	5.78	5.53	5.56	2448270	61028256.00
2011/11/07	5.52	6.16	5.39	5.99	6940994	173806944.00
2011/11/08	5.85	5.86	5.61	5.64	3267610	83029488.00
2011/11/09	5.67	5.73	5.48	5.68	2164862	53714876.00
2011/11/10	5.59	5.69	5.44	5.46	1882850	46249988.00
2011/11/11	5.46	5.51	5.32	5.35	1888616	45353376.00
2011/11/14	5.39	5.60	5.37	5.52	2187555	53116508.00
2011/11/15	5.50	5.59	5.42	5.54	2088756	50866964.00
2011/11/16	5.60	5.71	5.39	5.43	3003191	73771304.00
2011/11/17	5.44	5.53	5.26	5.37	1965014	46910916.00
2011/11/18	5.33	5.36	5.07	5.09	1737564	40289220.00
2011/11/21	5.09	5.14	4.99	5.14	891065	20081226.00
2011/11/22	5.07	5.12	4.94	5.08	847493	19086096.00
2011/11/23	5.07	5.16	5.05	5.08	681292	15504623.00
2011/11/24	5.03	5.10	4.94	5.03	761232	17028596.00
2011/11/25	5.07	5.20	5.03	5.11	1406581	32107676.00
2011/11/28	5.04	5.16	4.92	4.95	906031	20367184.00
2011/11/29	5.01	5.07	4.95	5.02	919479	20525364.00
2011/11/30	5.01	5.08	4.50	4.60	1710794	36732936.00
2011/12/01	4.76	4.83	4.67	4.68	1470092	31336646.00
2011/12/02	4.67	4.67	4.49	4.49	880839	18042650.00
2011/12/05	4.48	4.48	4.30	4.32	798645	15913326.00
2011/12/06	4.32	4.42	4.28	4.40	606721	12044113.00
2011/12/07	4.35	4.45	4.34	4.41	618614	12325804.00
2011/12/08	4.41	4.54	4.29	4.43	989298	19797042.00
2011/12/09	4.35	4.43	4.31	4.34	640360	12650482.00
2011/12/12	4.34	4.39	4.24	4.24	462390	9058264.00
2011/12/13	4.19	4.31	3.94	3.94	906375	16790268.00
2011/12/14	3.97	4.04	3.84	3.86	979347	17778620.00
2011/12/15	3.79	3.86	3.68	3.74	879641	15314967.00
2011/12/16	3.68	3.91	3.68	3.88	893433	15714580.00
2011/12/19	3.89	4.00	3.72	3.94	1000797	17757872.00
2011/12/20	3.89	4.01	3.86	3.86	706734	12749965.00
2011/12/21	3.89	3.97	3.76	3.76	761833	13643735.00
2011/12/22	3.70	3.70	3.37	3.56	1072934	17693708.00
2011/12/23	3.54	3.68	3.50	3.60	536831	8991707.00
2011/12/26	3.58	3.64	3.53	3.54	360766	6028050.00
2011/12/27	3.48	3.55	3.37	3.39	610064	9844572.00
2011/12/28	3.31	3.40	3.26	3.38	456912	7141077.00
2011/12/29	3.38	3.43	3.32	3.38	488828	7770724.50
2011/12/30	3.38	3.48	3.37	3.44	462925	7446161.50
2012/01/04	3.48	3.52	3.32	3.32	555407	8968591.00
2012/01/05	3.36	3.36	3.01	3.06	652159	9750443.00
2012/01/06	3.07	3.15	2.97	3.11	445532	6459928.50
2012/01/09	3.13	3.48	3.05	3.41	834299	12855601.00
2012/01/10	3.35	3.56	3.35	3.52	1043806	16962404.00
2012/01/11	3.52	3.63	3.48	3.54	1036168	17134104.00
2012/01/12	3.49	3.59	3.43	3.50	766553	12527524.00
2012/01/13	3.49	3.49	3.25	3.26	616710	9682207.00
2012/01/16	3.26	3.26	3.11	3.12	348909	5226219.50
2012/01/17	3.13	3.36	3.10	3.34	695242	10717350.00
2012/01/18	3.34	3.40	3.21	3.22	529300	8245274.00
2012/01/19	3.19	3.38	3.19	3.29	448875	6973523.50
2012/01/20	3.30	3.40	3.27	3.37	605596	9549268.00
2012/01/30	3.37	3.39	3.29	3.35	442352	6967790.50
2012/01/31	3.34	3.37	3.29	3.37	376151	5881322.50
2012/02/01	3.37	3.48	3.31	3.40	741977	11895002.00
2012/02/02	3.38	3.48	3.38	3.47	536997	8645303.00
2012/02/03	3.47	3.54	3.43	3.52	807151	13213835.00
2012/02/06	3.49	3.66	3.48	3.63	1269985	21118334.00
2012/02/07	3.60	3.71	3.45	3.60	1506599	25152908.00
2012/02/08	3.57	3.71	3.54	3.67	1131489	19103042.00
2012/02/09	3.67	3.82	3.64	3.65	1056759	18156428.00
2012/02/10	3.66	3.70	3.58	3.64	785430	13276494.00
2012/02/13	3.59	3.72	3.56	3.66	794858	13531399.00
2012/02/14	3.68	3.83	3.62	3.81	2090988	36271336.00
2012/02/15	3.77	3.90	3.76	3.89	1687068	29795564.00
2012/02/16	3.99	4.34	3.93	4.15	3893102	73723392.00
2012/02/17	4.14	4.21	4.07	4.19	1379587	26044618.00
2012/02/20	4.21	4.61	4.21	4.49	3789751	76603984.00
2012/02/21	4.43	4.91	4.43	4.84	4141492	86151672.00
2012/02/22	4.88	5.24	4.79	5.11	3982062	89205944.00
2012/02/23	5.14	5.31	5.04	5.10	3111707	71344320.00
2012/02/24	5.09	5.19	5.07	5.14	2091667	47794876.00
2012/02/27	5.14	5.20	5.02	5.04	2259995	51512316.00
2012/02/28	5.05	5.29	4.97	5.20	2504111	57295408.00
2012/03/09	5.42	5.78	5.42	5.78	1935635	48171240.00
2012/03/12	5.92	6.38	5.76	6.09	6634786	174130752.00
2012/03/13	5.93	6.15	5.89	6.02	3660266	96421384.00
2012/03/14	5.96	6.09	5.36	5.39	4482839	113395760.00
2012/03/15	5.38	5.46	5.13	5.19	3667698	85472840.00
2012/03/16	5.26	5.37	5.06	5.36	3101748	71945512.00
2012/03/19	5.29	5.35	5.10	5.33	1968978	45975104.00
2012/03/20	5.29	5.31	5.15	5.19	1498883	34855472.00
2012/03/21	5.21	5.26	5.02	5.21	2149670	49110124.00
2012/03/22	5.19	5.49	5.14	5.39	2885166	68474200.00
2012/03/23	5.36	5.61	5.32	5.52	2993412	72630736.00
2012/03/26	5.47	5.53	4.91	4.98	3941831	89292552.00
